bizplc_nm,licensg_ymd,bsn_state_div,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,locplc_ar_info,roadnm_zipno,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,bizcond_div_nm_info,xcrd_vl,ycrd_vl,stockrs_idntfy_id,right_wk_pehs_have_id
푸른동물종합병원,20021101,0000,정상,,031-404-7588,54.4,14916,"경기도 시흥시 은행로 130, 102호 (은행동)",경기도 시흥시 은행동 539-7 40통5반 102호,14916,37.4427062854,126.8000192604,,182228.035061262,437845.224968691,,000
배곧동물병원,20021226,0000,정상,,031-503-6611,88.4,15010,"경기도 시흥시 배곧3로 96, 131호 (정왕동, M-플러스)",경기도 시흥시 정왕동 2514 131호,15011,37.3697764139,126.7302927867,,176020.267577341,429797.394821987,,000
참누리동물병원,20031021,0000,정상,,031-318-3375,0,14914,"경기도 시흥시 대은로 81, 102호, 201호 (대야동, 모비딕빌딩)","경기도 시흥시 대야동 모비딕빌딩  102호,201호",14914,37.4447000348,126.7972761971,,181992.191375186,438080.194127793,,000
닥터원동물병원,20040510,0000,정상,,031-432-6991,60.34,15011,"경기도 시흥시 서울대학로278번길 19-13, 108동 B-134호 (배곧동, 시흥배곧 C1 호반 써밋플레이스)",경기도 시흥시 배곧동 191 시흥배곧 C1 호반 써밋플레이스,15011,37.3711662538,126.7277939416,,175778.500048456,429887.847826116,,000
시화종합동물병원,20041206,0000,정상,,031-507-0082,85.84,,"경기도 시흥시 정왕대로 64 (정왕동,메가쇼핑몰(108,109호))","경기도 시흥시 정왕동 1861-2 메가쇼핑몰(108,109호)",15040,37.3542557561,126.7235297297,,175417.656719379,428065.936335703,,000
박한준종합동물병원,20050628,0000,정상,,031-315-7582,82.37,14909,경기도 시흥시 복지로 47 (대야동),경기도 시흥시 대야동 490-2,14909,37.4438221596,126.7891449539,,181266.089586862,437987.885439946,,000
굿모닝동물병원,20061117,0000,정상,,031-508-0555,76.59,15068,경기도 시흥시 군자로 511 (거모동),경기도 시흥시 거모동 1757-7,15068,37.3444775477,126.7852843459,,180905.305188228,426959.715302146,,000
이지 동물병원,20100507,0000,정상,,031-314-7975,112,,경기도 시흥시 비둘기공원로 21 (대야동),경기도 시흥시 대야동 562-5,14908,37.4439484989,126.7921734489,,181546.832263878,438000.766205583,,000
애니온동물병원,20140917,0000,정상,,031-499-7991,160.59,15036,"경기도 시흥시 군자천로 335, 2층 201,202호 (정왕동)",경기도 시흥시 정왕동 1729-2,15036,37.3467024328,126.7346154408,,176413.201198838,427217.488643418,,000
펫츠나라 동물병원,20150331,0000,정상,,031-314-0706,22.86,14910,"경기도 시흥시 수인로 3376-1, 1층 (신천동)",경기도 시흥시 신천동 712-6 1층,14910,37.4412846629,126.7838897999,,180804.91720934,437704.197630953,,000
24시위드동물병원(정왕동동물의료센터),20150925,0000,정상,,031-488-8075,50.6,15066,"경기도 시흥시 정왕대로 230, 1층 107호 (정왕동, 제일프라자)",경기도 시흥시 정왕동 1734-7 제일프라자 107호,15066,37.3449788088,126.7384940896,,176756.587046982,427023.699054553,,000
고래 동물병원,20190410,0000,정상,,,0,14923,"경기도 시흥시 은계번영길 11, 은계프라자 202, 203, 204호 (은행동)",경기도 시흥시 은행동 34,14922,37.4374281699,126.8021935463,,182424.443029733,437272.273354834,,000
은계동물병원,20200121,0000,정상,,,94.32,14923,"경기도 시흥시 은계번영길 19, 은계 디스퀘어큐브 2층 202호 (은행동)",경기도 시흥시 은행동 646-8 은계 디스퀘어큐브,14922,37.4372709361,126.8030427925,,182499.160642918,437254.491739593,,000
내친구동물병원,20200311,0000,정상,,031-497-4479,50.4,15010,"경기도 시흥시 서울대학로278번길 19-14, 배곧프라자 1층 115호 (배곧동)",경기도 시흥시 배곧동 193-1 배곧프라자,15011,37.3701623935,126.7286625518,,175894.079233629,429822.55268777,,000
배곧도담동물병원,20200325,0000,정상,,,72,15011,"경기도 시흥시 배곧1로 27-16, 제상가4동 1층 105호 (배곧동, 한라비발디캠퍼스2차)",경기도 시흥시 배곧동 245 한라비발디캠퍼스2차,15011,37.3617928357,126.7128710723,,174692.009149631,428974.106106504,,000
24시 위드유 동물의료센터,20200518,0000,정상,,,183.63,14922,"경기도 시흥시 은계번영길 1, 태산W타워 207,208,209호 (은행동)",경기도 시흥시 은행동 646 태산W타워,14922,37.4365775346,126.8016249551,,182373.275854102,437178.738265029,,000
바른마음동물병원,20200601,0000,정상,,031-778-7512,163.8,14995,"경기도 시흥시 장현능곡로 178, 능곡타운 2층 204호 (능곡동)",경기도 시흥시 능곡동 719 능곡타운,14995,37.3696097976,126.8099146126,,183094.315546217,429741.225241601,,000
윤슬동물병원,20210513,0000,정상,,031-404-8566,169.52,14963,"경기도 시흥시 월곶중앙로 87-1, 101호 (월곶동)",경기도 시흥시 월곶동 1011-6,14963,37.3897044558,126.7356809117,,176524.235,431990.395,,000
시흥i동물병원,20210625,0000,정상,,031-8042-7511,99.41,14911,"경기도 시흥시 수인로3312번길 16, 상가T동 2층 227~228호 (대야동, 시흥 센트럴 푸르지오)",경기도 시흥시 대야동 693 시흥 센트럴 푸르지오,14911,37.4413231865,126.7902764284,,181327.055829927,437611.716007368,,000
시흥시동물누리보호센터 동물병원,20220214,0000,정상,,031-310-6943,121.04,15007,경기도 시흥시 뒷방울길 218(정왕동),경기도 시흥시 정왕동 산 15-7,15007,37.3739656998,126.7425381409,,,,,000
이산동물의료센터,20220310,0000,정상,,031-8042-6016,145.1,14999,"경기도 시흥시 능곡번영길 22, 304,305호 (능곡동)",경기도 시흥시 능곡동 457-12,14999,37.3699045006,126.8079016338,,182922.65075394,430097.802602658,,000
동그라미 동물의료센터,20220503,0000,정상,,,105.8,14996,"경기도 시흥시 진말1로 18, 310호 (장곡동)",경기도 시흥시 장곡동 260-21,14996,37.3778277752,126.789700539,,181268.875221092,430651.776551747,,000
연희동물의료원,20220525,0000,정상,,031-315-5119,176,15002,"경기도 시흥시 인선1길 8, 301, 302호 (장곡동)",경기도 시흥시 장곡동 345-1,15002,37.3779990067,126.7881967017,,181144.705842846,430654.098350972,,000
