시군명,사업장명,인허가일자,영업상태명,폐업일자,다중이용업소여부,발한실여부,욕실수(개),위생업종명,위생업태명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
시흥시,평화사우나,20031028,영업,,N,Y,15,,공동탕업+찜질시설서비스영업,"경기도 시흥시 연성로13번길 3 (하중동,,2번지(6,7,8층))","경기도 시흥시 하중동 875-1 ,2번지(6,7,8층) ",14976,37.3904462000,126.8047643000
시흥시,어울림여성전용한증막사우나,20041001,영업,,N,N,2,,공동탕업+찜질시설서비스영업,"경기도 시흥시 중심상가로 132, 청솔아파트 상가동 지하층 (정왕동)",경기도 시흥시 정왕동 1847번지 청솔아파트 상가동 지하층호,15037,37.3474805000,126.7308930000
시흥시,월곶해수피아,20030829,영업,,N,N,2,,공동탕업+찜질시설서비스영업,"경기도 시흥시 월곶중앙로 58, 중앙프라자 6,7층 (월곶동)",경기도 시흥시 월곶동 1009-2 중앙프라자 ,14966,37.3889417000,126.7390098000
시흥시,워터캐슬 불가마사우나,20070227,영업,,N,Y,0,,공동탕업+찜질시설서비스영업,"경기도 시흥시 정왕대로 174 (정왕동,광개토빌딩 B101,B201호)","경기도 시흥시 정왕동 1726-1 광개토빌딩 B101,B201호 ",15036,37.3481553000,126.7334942000
시흥시,오아시스한증막,20070613,영업,,N,Y,2,,공동탕업+찜질시설서비스영업,"경기도 시흥시 마유로 415 (정왕동,역전프라자 B01호)",경기도 시흥시 정왕동 2302번지 역전프라자 B01호 ,15024,37.3519417000,126.7405803000
시흥시,온세사우나,20050701,영업,,N,Y,2,,공동탕업+찜질시설서비스영업,"경기도 시흥시 비둘기공원4길 9 (대야동, 5층.6층,7층)","경기도 시흥시 대야동 531-1번지 5층,6층,7층 ",14912,37.4433587000,126.7900311000
시흥시,지젤사우나,20031219,영업,,N,N,2,,공동탕업+찜질시설서비스영업,"경기도 시흥시 신천로 95, 1,2층 (신천동)",경기도 시흥시 신천동 766-3 ,14949,37.4389808000,126.7859917000
시흥시,장곡사우나(해양),20060209,영업,,Y,Y,2,,공동탕업+찜질시설서비스영업,"경기도 시흥시 진말로9번길 2 (장곡동,601호)",경기도 시흥시 장곡동 820-3 601호 ,15002,37.3784680000,126.7852668000
시흥시,참나무숯불사우나,20030530,영업,,N,N,,,공동탕업+찜질시설서비스영업,"경기도 시흥시 인선길 104 (장곡동,지하1층)",경기도 시흥시 장곡동 803-2 지하1층 ,15002,37.3802219000,126.7801899000
시흥시,월곶해수피아,20030829,영업,,N,N,2,,공동탕업+찜질시설서비스영업,"경기도 시흥시 월곶중앙로 58 (월곶동,월곶중앙프라자 5,6,7층)","경기도 시흥시 월곶동 1009-2 월곶중앙프라자 5,6,7층 ",14966,37.3889417000,126.7390098000
시흥시,배곧스파24시사우나,20181214,영업,,Y,N,2,,공동탕업+찜질시설서비스영업,"경기도 시흥시 서울대학로264번길 26-32, 배곧중앙프라자 8층 (정왕동)",경기도 시흥시 정왕동 1771-24 배곧중앙프라자 ,15011,37.3666139000,126.7277276000
시흥시,칠보석대중탕,20020926,폐업,20121228,N,N,,,공동탕업+찜질시설서비스영업,경기도 시흥시 정왕대로 64 (정왕동),경기도 시흥시 정왕동 1861-2번지 B01호 ,15040,37.3542557000,126.7235297000
시흥시,낙원24시불가마사우나,20030426,폐업,20080609,N,Y,2,,공동탕업+찜질시설서비스영업,경기도 시흥시 은행로173번길 17,경기도 시흥시 대야동 572-3번지 ,14914,37.4448414000,126.7968000000
시흥시,인스파존24시불가마사우나,20071108,폐업,20121213,N,,,,공동탕업+찜질시설서비스영업,경기도 시흥시 호현로40번길 5,경기도 시흥시 대야동 495-13번지 1~5층 ,14909,37.4437668000,126.7859462000
시흥시,스파리스24시불가마,20030115,폐업,20160727,N,N,,,공동탕업+찜질시설서비스영업,"경기도 시흥시 정왕시장길 51 (정왕동,2,3층)","경기도 시흥시 정왕동 1203번지 2,3층 ",15052,37.3458093000,126.7485677000
시흥시,다올황토불가마,20071214,폐업,20180716,N,N,,,공동탕업+찜질시설서비스영업,"경기도 시흥시 도일로 110-2 (거모동, 지하)",경기도 시흥시 거모동 1658-19번지 지하 ,15069,37.3403238000,126.7840593000
시흥시,귀빈사우나,20040402,폐업,20180201,N,N,2,,공동탕업+찜질시설서비스영업,경기도 시흥시 군자로 507 (거모동),경기도 시흥시 거모동 1757-1번지 ,15068,37.3447661000,126.7853041000
시흥시,테스스파,20031224,폐업,20211111,N,N,2,,공동탕업+찜질시설서비스영업,경기도 시흥시 은행로 86 (은행동),경기도 시흥시 은행동 547-4 ,14916,37.4392911000,126.7971459000
시흥시,청수사우나,20060314,폐업,20130125,N,Y,2,,공동탕업+찜질시설서비스영업,경기도 시흥시 은행로 130,경기도 시흥시 은행동 539-4번지 3.4층 ,14916,37.4427062000,126.8000192000
시흥시,신천스파랜드,20081128,폐업,20201231,N,N,,,공동탕업+찜질시설서비스영업,"경기도 시흥시 수인로3325번길 10, 3층 (신천동)",경기도 시흥시 신천동 774 3층 ,14950,37.4382099000,126.7881919000
시흥시,락암해수탕,20070920,폐업,20171114,N,N,0,,공동탕업+찜질시설서비스영업,"경기도 시흥시 서촌상가2길 10 (정왕동, 지하)",경기도 시흥시 정왕동 1728-1번지 지하 ,15036,37.3472726000,126.7335822000
시흥시,불가마찜질방 오션,20060330,폐업,20221012,N,N,0,,공동탕업+찜질시설서비스영업,"경기도 시흥시 시흥대로1074번길 5 (은행동,4,5층)","경기도 시흥시 은행동 288-1 4,5층 ",14921,37.4320543000,126.7936643000
