mnginst_nm,refine_road_nm_addr,refine_lotno_addr,instl_purps_div,camera_vcnt,camera_pixel_cnt,potogrf_directn_info,custody_day_cnt,instl_ym,mnginst_telno,refine_wgs84_lat,refine_wgs84_logt,dat_crtr_ymd
경기도 시흥시,경기도 시흥시 신현로30번길 7,경기도 시흥시 포동 5-12,생활방범,2,200,360도,30,201912,031-310-6763,37.4073603,126.7854245,20241218
경기도 시흥시,경기도 시흥시 해송십리로 472-12,경기도 시흥시 배곧동 14,생활방범,4,200,360도,30,201712,031-310-6763,37.3819336,126.7311796,20241218
경기도 광명시 정보통신과,,경기도 광명시 하안동 716-1 (하안남초등학교(금천대교->시흥대교)),차량방범,2,0,,0,201012,02-2680-6500,37.461438,126.88693,20200715
경기도 광명시 정보통신과,경기도 광명시 금하로 531-1,경기도 광명시 소하동 31-25 (시흥대교 진출),차량방범,3,0,,0,201606,02-2680-6500,37.451514,126.89191,20200715
경기도 광명시 정보통신과,경기도 광명시 금하로 531-1,경기도 광명시 소하동 31-25 (시흥대교 진입),차량방범,3,0,,0,201903,02-2680-6500,37.451802,126.892646,20200715
경기도 시흥시,,경기도 시흥시 거모동 1349-1(2),생활방범,5,200,360도,30,201012,031-310-6763,37.3470032,126.7803167,20241218
경기도 시흥시,,경기도 시흥시 거모동 1349-1(3),생활방범,1,200,360도,30,201012,031-310-6763,37.3464012,126.7806976,20241218
경기도 시흥시,경기도 시흥시 하중로173번길 23,경기도 시흥시 하중동 848,생활방범,4,200,360도,30,201112,031-310-6763,37.3959866,126.8044369,20241218
경기도 시흥시,,경기도 시흥시 정왕동 2138,생활방범,2,200,360도,30,201112,031-310-6763,37.3560776,126.7131991,20241218
경기도 시흥시,,경기도 시흥시 신천동 산 15-21,생활방범,4,200,360도,30,201312,031-310-6763,37.4442283,126.7796786,20241218
경기도 시흥시,경기도 시흥시 호현로21번길 42,경기도 시흥시 신천동 701,생활방범,4,200,360도,30,201312,031-310-6763,37.4448884,126.7816569,20241218
경기도 시흥시,경기도 시흥시 수인로3395번길 56,경기도 시흥시 신천동 835-22,생활방범,4,200,360도,30,201312,031-310-6763,37.4364769,126.7811942,20241218
경기도 시흥시,,경기도 시흥시 신천동 558-5,생활방범,3,200,360도,30,201312,031-310-6763,37.4382568,126.7755493,20241218
경기도 시흥시,,경기도 시흥시 신천동 793,생활방범,5,200,360도,30,201312,031-310-6763,37.4406056,126.7857605,20241218
경기도 시흥시,경기도 시흥시 시흥대로1073번길 33,경기도 시흥시 신천동 874-1,생활방범,5,200,360도,30,201312,031-310-6763,37.432193,126.7887097,20241218
