park_nm,park_div_nm,refine_road_nm_addr,refine_lotno_addr,refine_wgs84_lat,refine_wgs84_logt,park_ar,park_sports_faclt_dtls,park_amsmt_faclt_dtls,park_cnvnnc_faclt_dtls,park_cltr_faclt_dtls,park_etc_faclt_dtls,apnt_ancmnt_ymd,mnginst_nm,mnginst_telno,dat_crtr_ymd
영남,어린이공원,,경기도 시흥시 대야동 332-106,,,2525.0,,,,,,,경기도 시흥시청,031-310-2694,20251219
85호,수변공원,경기도 시흥시 거북섬로 26,경기도 시흥시 정왕동 2726-5,37.3274408727,126.6731033534,3000.0,,,,,,,경기도 시흥시청,031-310-3869,20251219
아름,소공원,,경기도 시흥시 배곧동 53,37.3751420174,126.7376734179,2650.0,,,,,,,경기도 시흥시청,031-310-3870,20251219
소공원월동4,소공원,,경기도 시흥시 월곶동 1071-7,37.3781741832,126.764795117,213.3,,,,,,20110922,경기도 시흥시청,031-310-3873,20251219
거모공원,어린이공원,경기도 시흥시 군자로466번길 92,경기도 시흥시 거모동 1754-1,37.3430747685,126.7843493091,1772.0,체육시설,조합놀이대+그네 등,,,,19901012,경기도 시흥시청,031-310-3871,20251219
은계소공원,소공원,,경기도 시흥시 대야동 648,37.4487897309,126.7969647766,2594.0,,,,,,20100427,경기도 시흥시청,031-310-2694,20251219
물왕소공원,소공원,,경기도 시흥시 산현동 493,37.3773517232,126.8431399927,1421.0,,,,,,20140922,경기도 시흥시청,031-310-3872,20251219
장현문화1,문화공원,,경기도 시흥시 장곡동 861,37.3815457876,126.7803368811,2011.7,,,,,,20070118,경기도 시흥시청,031-310-3873,20251219
놀자숲,문화공원,,경기도 시흥시 대야동 산171-1,,,7607.0,,,,,,20180206,경기도 시흥시청,031-310-2343,20251219
갈대너울,소공원,,경기도 시흥시 배곧동 301,37.3567244486,126.7063436701,9486.0,,,,,,,경기도 시흥시청,031-310-3870,20251219
생매,어린이공원,,경기도 시흥시 대야동 570-3,37.4468272121,126.7942191235,1733.0,,,,,,,경기도 시흥시청,031-310-2694,20251219
대야삼1,어린이공원,경기도 시흥시 비둘기공원1길 6,경기도 시흥시 대야동 418-126,37.4419458795,126.7889027009,1543.0,,,,,,20210428,경기도 시흥시청,031-310-2694,20251219
대야삼2,어린이공원,,경기도 시흥시 대야동 638-1,37.4400406339,126.7914831244,7163.0,,,,,,20210428,경기도 시흥시청,031-310-2694,20251219
대야이1,수변공원,경기도 시흥시 은행로218번길 14,경기도 시흥시 대야동 358-3,37.4463637961,126.7921167781,1701.0,,,,,,20190626,경기도 시흥시청,031-310-2694,20251219
MTV 60호,수변공원,,경기도 시흥시 정왕동 2726-6,37.3219977908,126.6765466472,3858.0,,,,,,20010829,경기도 시흥시청,031-310-3862,20251219
MTV88호,문화공원,경기도 시흥시 거북섬둘레길 42,경기도 시흥시 정왕동 2721,37.3241773184,126.680791543,166521.0,,,,,,20190219,웨이브파크,1544-9662,20251219
장현2,체육공원,,경기도 시흥시 장현동 686,37.3767894652,126.8024750736,22562.0,,,,,,20070118,경기도 시흥시청,031-310-3472,20251219
선사유적공원,역사공원,,경기도 시흥시 능곡동 479,37.3750817937,126.8115003294,10145.0,,,,,,20180515,경기도 시흥시청,031-310-6739,20251219
능골공원,근린공원,,경기도 시흥시 능곡동 781,37.3655520644,126.8083189326,20260.0,체육시설+인라인스케이장+ 농구장,,,,,20041110,경기도 시흥시청,031-310-3871,20251219
목실공원,어린이공원,,경기도 시흥시 능곡동 495,37.3737155983,126.8132251419,3387.0,,조합놀이대,,,,20041110,경기도 시흥시청,031-310-3871,20251219
가래울공원,어린이공원,,경기도 시흥시 능곡동 793,37.3650721711,126.8138107943,9351.0,,조합놀이대,,,,20041110,경기도 시흥시청,031-310-3871,20251219
산들공원,근린공원,,경기도 시흥시 거모동 1352,37.3470772801,126.7807844539,27413.0,체육시설물,,화장실+관리사무소,,,20050503,경기도 시흥시청,031-310-3871,20251219
나래솔공원,근린공원,경기도 시흥시 엠티브이26로 41,경기도 시흥시 정왕동 2606-3,37.3232187638,126.7041088449,10044.0,,,,,,20010829,경기도 시흥시청,031-310-3862,20251219
하늬공원,근린공원,경기도 시흥시 시화호수전원2길 58,경기도 시흥시 정왕동 2795,37.3170922681,126.7005168749,10797.0,,조합놀이대,주차장+화장실+관리사무소,,,20010829,경기도 시흥시청,031-310-3865,20251219
물비늘,수변공원,,경기도 시흥시 정왕동 2609-6,37.3209722218,126.7095214881,13750.0,,,,,,20010829,경기도 시흥시청,031-310-3865,20251219
승지공원,근린공원,경기도 시흥시 능곡중앙로 85,경기도 시흥시 능곡동 552,37.3713774904,126.8131849527,10842.0,,조합놀이대,,도서관,,20041110,경기도 시흥시청,031-310-3871,20251219
장현소공원2,소공원,,경기도 시흥시 장곡동 897-1,37.3780664664,126.7876307344,272.7,,,,,,20231228,경기도 시흥시청,031-310-3869,20251219
86호,수변공원,경기도 시흥시 거북섬로 180,경기도 시흥시 정왕동 2738-1,37.3202394137,126.6861726522,3000.0,,,,,,,경기도 시흥시청,031-310-3869,20251219
한울(3),수변공원,,경기도 시흥시 배곧동 309,37.3859030341,126.7310449263,51572.0,,,,,,,경기도 시흥시청,031-310-3870,20251219
한울(2),문화공원,,경기도 시흥시 배곧동 307,37.3539939196,126.701796762,116969.0,,,,,,,경기도 시흥시청,031-310-3870,20251219
죽율체육,체육공원,,경기도 시흥시 죽율동 769,37.3491855533,126.7599599424,10355.0,,,,,,20190422,경기도 시흥시청,031-310-3869,20251219
장현소공원3,소공원,,경기도 시흥시 장현동 675-2,37.3782198895,126.8025164295,588.0,,,,,,20231228,경기도 시흥시청,031-310-3873,20251219
장현소공원4,소공원,,경기도 시흥시 장곡동 902,37.3753547653,126.7815602082,2061.7,,,,,,20231228,경기도 시흥시청,031-310-3873,20251219
장현소공원6,소공원,,경기도 시흥시 장곡동 886-5,37.3827315372,126.7883012209,323.0,,,,,,20231228,경기도 시흥시청,031-310-3873,20251219
장현소공원8,소공원,,경기도 시흥시 장현동 593,37.3741277239,126.7957175892,1705.2,,,,,,20231228,경기도 시흥시청,031-310-3873,20251219
소공원월동3,소공원,,경기도 시흥시 월곶동 1066-16,37.3809606857,126.7679578095,347.6,,,,,,20110922,경기도 시흥시청,031-310-3873,20251219
월동1,어린이공원,,경기도 시흥시 월곶동 1068-1,37.3797534235,126.7649047959,1544.9,,,,,,20110922,경기도 시흥시청,031-310-3873,20251219
새미지구 어린이,어린이공원,,경기도 시흥시 거모동 1873,37.3625959444,126.771875079,3805.8,,,,,,20170927,경기도 시흥시청,031-310-3871,20251219
근린1(가온공원),근린공원,,경기도 시흥시 장곡동 938-1,37.3761166475,126.7923365391,139018.4,,,,,,20231228,경기도 시흥시청,031-310-3873,20251219
근린2(숲새재공원),근린공원,,경기도 시흥시 능곡동 865,37.372344218,126.806065171,43239.4,,,,,,20231228,경기도 시흥시청,031-310-3873,20251219
문화1,문화공원,경기도 시흥시 동서로 902-20,경기도 시흥시 산현동 495,37.3779461657,126.8461740007,4653.0,,,,,,,경기도 시흥시청,031-310-3873,20251219
송운공원,근린공원,경기도 시흥시 옥구천동로 434,경기도 시흥시 정왕동 1873-1,37.358378208,126.7323062517,10113.0,,,,,,19940422,경기도 시흥시청,031-310-3865,20251219
군서공원,근린공원,경기도 시흥시 정왕천로369번길 46,경기도 시흥시 정왕동 1581,37.3441305669,126.7453781427,11106.0,체육시설물,조합놀이대,,,,19940422,경기도 시흥시청,031-310-3864,20251219
동보공원,근린공원,,경기도 시흥시 정왕동 1942-3,37.354986366,126.7164093153,10009.0,,,,,,19940422,경기도 시흥시청,031-310-3862,20251219
함현공원,근린공원,경기도 시흥시 함송로29번길 31,경기도 시흥시 정왕동 1878-3,37.3653332895,126.7331614186,12141.0,,,,,,19940422,경기도 시흥시청,031-310-3865,20251219
소공원월동2,소공원,,경기도 시흥시 월곶동 1063-6,37.3814620821,126.7659459268,370.6,,,,,,20110922,경기도 시흥시청,031-310-3873,20251219
