sigun_nm,bizplc_nm,licensg_ymd,bsn_state_nm,clsbiz_ymd,multi_utlz_bizest_yn,tot_faclt_scale,sanittn_indutype_nm,sanittn_bizcond_nm,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
시흥시,탐스피시,20201113,영업,,,,,기타 휴게음식점,"경기도 시흥시 신천로 95, 1층 일부호 (신천동)",경기도 시흥시 신천동 766-3 ,14949,37.4389808,126.7859917
시흥시,옛날우동덮밥,20120515,영업,,,,,중국식,"경기도 시흥시 월곶중앙로 90, 월곶동풍림1차아파트 제상가동동 1층 111-1호 (월곶동)",경기도 시흥시 월곶동 1010-4 월곶동풍림1차아파트 ,14964,37.3902457,126.7357544
시흥시,이삭토스트시흥목감점,20210518,영업,,,,,기타 휴게음식점,"경기도 시흥시 목감우회로 45, 한울플러스 1층 106호 (목감동)",경기도 시흥시 목감동 403-2 한울플러스 ,14985,37.3820288,126.8609131
시흥시,돈가스앤(&)파스타하우스,20161208,영업,,,,,식육(숯불구이),"경기도 시흥시 군자로 526, 207,208호 (거모동, 그랜드프라자)","경기도 시흥시 거모동 1756-4 그랜드프라자 207,208호 ",15070,37.3433773,126.7851931
시흥시,던킨시흥능곡,20210518,영업,,,,,기타 휴게음식점,"경기도 시흥시 승지로59번길 12, 시티타워 1층 107호 (능곡동)",경기도 시흥시 능곡동 722 시티타워 ,14995,37.3688925,126.8090289
시흥시,씨유은계럭스나인점,20210518,영업,,,,,편의점,"경기도 시흥시 은계중앙로 247, 1층 126호 일부호 (은행동)",경기도 시흥시 은행동 607 ,14923,37.44588,126.8032342
시흥시,카페미카,20210518,영업,,,,,커피숍,"경기도 시흥시 수인로2421번길 16, 1층 일부호 (논곡동)",경기도 시흥시 논곡동 240-13 ,14982,37.3933667,126.8556992
시흥시,본죽앤비빔밥시흥거모점,20210520,영업,,,,,한식,"경기도 시흥시 군자로 507, 군자프라자 1층 113호 (거모동)",경기도 시흥시 거모동 1757-1 군자프라자 ,15068,37.3447661,126.7853041
시흥시,디저트39시흥목감역점,20210716,영업,,,,,커피숍,"경기도 시흥시 목감둘레로 253-35, 1층 103호 (조남동)",경기도 시흥시 조남동 710-1 ,14986,37.3809857,126.8613738
시흥시,아무거나,20200420,영업,,,,,기타,"경기도 시흥시 군서로14번길 8, 1층 일부호 (정왕동)",경기도 시흥시 정왕동 1198-13 ,15052,37.3446319,126.7505213
시흥시,츄비스버거앤피자,20210409,영업,,,,,기타,"경기도 시흥시 거북섬4길 2, 퍼스트프라자 1층 103호 (정왕동)",경기도 시흥시 정왕동 2720 퍼스트프라자 ,15119,37.3236271,126.682039
