사업장명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,폐업일자,소재지시설전화번호,소재지면적정보,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,업태구분명정보,X좌표값,Y좌표값,문화체육업종명,공사립구분명,보험가입여부코드,회원모집총인원
하움 피트니스 헬스 PT & 필라테스,20260213,,13,영업중,,,153.38,14940,"경기도 시흥시 매화1로 2, A동 3층 301호 (매화동)",경기도 시흥시 매화동 200-5,14940,37.4160292165,126.8144047009,,183488.1709056600,434914.6330164280,체력단련장업,사립,,
목감재활운동전문센터,20260213,,13,영업중,,,87.41,14988,"경기도 시흥시 목감남서로 9-33, 더클래스투 105호 (조남동)",경기도 시흥시 조남동 654 더클래스투,14988,37.3783369935,126.8533203389,,186939.8251810360,430705.3558634920,체력단련장업,사립,,
F45배곧,20260327,,13,영업중,,,,15011,"경기도 시흥시 서울대학로278번길 21, 502,503호 (배곧동)",경기도 시흥시 배곧동 193-3 새롬프라자2,15011,37.3695093281,126.7280367972,,175839.5469831310,429749.9891504180,체력단련장업,사립,,
핏 테라피 퍼스널 트레이닝,20231122,,13,영업중,,031-503-8277,279.8,14995,"경기도 시흥시 승지로60번길 17, 현대프라자 6층 601, 602호 (능곡동)",경기도 시흥시 능곡동 758 현대프라자,14995,37.3687417605,126.8125426628,,183330.1996627670,429662.4262836440,체력단련장업,사립,,
핏어스짐,20220119,,13,영업중,,,234.49,14996,"경기도 시흥시 장현장곡로 2, 8층 802호 (장곡동)",경기도 시흥시 장곡동 251,14996,37.3788529681,126.7893068390,,181256.9681689170,430769.6486721350,체력단련장업,사립,,
매드볼릭휘트니스,20220207,,13,영업중,,,375.93,15011,"경기도 시흥시 서울대학로278번길 19-8, 새롬프라자 3층 303~304호 (배곧동)",경기도 시흥시 배곧동 193-2 새롬프라자,15011,37.3698358612,126.7283496731,,175866.6491494710,429786.1300355010,체력단련장업,사립,,
머슬원핏 배곧신도시점,20220302,,13,영업중,,,72,15010,"경기도 시흥시 서울대학로278번길 19-14, 배곧프라자 3층 304-2호 (배곧동)",경기도 시흥시 배곧동 193-1 배곧프라자,15011,37.3701623935,126.7286625518,,175894.0792336290,429822.5526877700,체력단련장업,사립,,
123 Fitness,20220419,,13,영업중,,031-432-0123,345.56,15036,"경기도 시흥시 중심상가로 149, 진성프라자 5층 (정왕동)",경기도 시흥시 정왕동 1728-7 진성프라자,15036,37.3468250497,126.7326722825,,176245.1582510780,427233.1864302820,체력단련장업,사립,,
헬로우짐,20170316,,13,영업중,,,99,15066,"경기도 시흥시 정왕대로 230, 제일프라자 5층 (정왕동)",경기도 시흥시 정왕동 1734-7 제일프라자,15066,37.3449788088,126.7384940896,,176756.5870469820,427023.6990545530,체력단련장업,사립,,
두나미스 피트니스,20170524,,13,영업중,,,105.3,14964,"경기도 시흥시 월곶중앙로70번길 3, 풍림프라자 4층 405호 (월곶동)",경기도 시흥시 월곶동 1010-4 풍림프라자,14964,37.3896123363,126.7381671017,,176679.4631529380,432080.0279504860,체력단련장업,사립,,
슈퍼바디짐,20181210,,13,영업중,,,254.7,15011,"경기도 시흥시 서울대학로278번길 43-13, 5층 503호 (배곧동)",경기도 시흥시 배곧동 200-1,15011,37.3692258093,126.7301741831,,176030.2888009560,429720.0022413360,체력단련장업,사립,,
플라이휘트니스 대야점,20190618,,13,영업중,,031-312-7969,479,14912,"경기도 시흥시 비둘기공원5길 7, 4층 401호 (대야동)",경기도 시흥시 대야동 536,14912,37.4431020845,126.7908135554,,181414.7048748910,437905.3630521800,체력단련장업,사립,,
동네헬스장,20120501,,13,영업중,,031-311-0974,454.53,14949,경기도 시흥시 신천로 95 (신천동),경기도 시흥시 신천동 766-3 3층,429831,37.4389808910,126.7859917014,,180993.0042877260,437451.6015898080,체력단련장업,사립,,1000
네이처짐,20200331,,13,영업중,,,234.62,14923,"경기도 시흥시 은계번영길 23, 은계타운 508호 (은행동)",경기도 시흥시 은행동 646-10 은계타운,14922,37.4371409352,126.8039256944,,182573.8351544920,437236.3556637870,체력단련장업,사립,,
근뚜루 짐,20200611,,13,영업중,,,224.4,15011,"경기도 시흥시 서울대학로278번길 21, 새롬프라자2 6층 605~606호 (배곧동)",경기도 시흥시 배곧동 193-3 새롬프라자2,15011,37.3695093281,126.7280367972,,175839.5469831310,429749.9891504180,체력단련장업,사립,,
