bizplc_nm,licensg_ymd,licensg_rtrcn_ymd,bsn_state_div,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,roadnm_zipno,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,bizcond_div_nm_info,xcrd_vl,ycrd_vl,cultur_phstrn_indutype_nm,plvtinst_div_nm,insrnc_join_yn,buldng_tot_ar,mber_recrut_tot_psncnt,detls_indutype_nm
목감 휘트니스,20060829,,32,신고취소,,,,"경기도 시흥시 목감초등길 14-22  (조남동,지하1)",경기도 시흥시 조남동 171-18 지하1,429869,37.3852378798,126.8592818605,,187468.461378283,431470.670342224,골프연습장업,사립,0,,,
이루다골프,20220422,,13,영업중,,031-365-4136,14922,"경기도 시흥시 은계번영길 1, 태산W타워 6층 601~602호 (은행동)",경기도 시흥시 은행동 646 태산W타워,14922,37.4365775346,126.8016249551,,182373.275854102,437178.738265029,골프연습장업,사립,,,,
태영스크린 골프존,20100305,,13,영업중,,031-318-3366,14995,"경기도 시흥시 승지로 58, 태영프라자 3층 301~304호 (능곡동)",경기도 시흥시 능곡동 741 태영프라자,14995,37.3690282853,126.810665315,,183158.752737336,429679.870178966,골프연습장업,사립,,6086.0,,
골프존파크 정왕 시화점,20100511,,13,영업중,,031-433-6049,15040,경기도 시흥시 중심상가로 52 (정왕동),경기도 시흥시 정왕동 1855-16 4층,429864,37.351859171,126.7236899065,,175448.341656662,427792.857000756,골프연습장업,사립,,2645.0,,
US골프연습장,20100630,,13,영업중,,031-499-1119,15036,경기도 시흥시 서촌상가2길 38 (정왕동),경기도 시흥시 정왕동 1733-2 청송코아 206~211호,429862,37.3453574542,126.73153564,,176140.983071078,427069.452054038,골프연습장업,사립,,,,
버디버디스크린골프아카테미,20100826,,13,영업중,,,15062,경기도 시흥시 중심상가로 317 (정왕동),경기도 시흥시 정왕동 1624-8 401호,429858,37.3375831016,126.7476562636,,177567.91003372,426203.674175809,골프연습장업,사립,,,,
오토반 골프 실내연습장,20101110,,13,영업중,,031-314-8181,14905,경기도 시흥시 복지로 87 (대야동),경기도 시흥시 대야동 454-6 은수빌딩 4층,429809,37.4469246388,126.7909470515,,181431.859770655,438331.999836621,골프연습장업,사립,,,,
정왕그린스크린골프장,20101222,,13,영업중,,031-432-0543,15062,경기도 시흥시 옥구공원로 361 (정왕동),경기도 시흥시 정왕동 1784-6 103호,429861,37.3352047815,126.7478606008,,177585.706969372,425944.159242914,골프연습장업,사립,,,,
월곶위너스,20220524,,13,영업중,,031-404-0753,14968,"경기도 시흥시 월곶중앙로14번길 68, 3층 303~306-1호 (월곶동, 나보나시티)",경기도 시흥시 월곶동 991-28 나보나시티,14968,37.3921319647,126.7417227491,,177058.514988114,432258.455022987,골프연습장업,사립,,,,
아우라 골프 스튜디오,20220628,,13,영업중,,031-434-0721,15040,"경기도 시흥시 옥구상가4길 24-1, 하나빌딩 2층 (정왕동)",경기도 시흥시 정왕동 1853-7 하나빌딩,15040,37.3524634067,126.7209964184,,175207.979203737,427860.147745374,골프연습장업,사립,,,,
시화골프연습장,19980611,,13,영업중,,031-433-2000,15066,경기도 시흥시 마유로 308 (정왕동),경기도 시흥시 정왕동 1745-1,429861,37.3439030383,126.7338197032,,176353.135985419,426903.536296332,골프연습장업,사립,,,,
대일골프랜드,20000605,,13,영업중,,031-492-4456,15068,경기도 시흥시 황고개로206번길 33 (거모동),경기도 시흥시 거모동 거모동 1714-1번지,429801,37.3489650968,126.7850724491,,180873.824171653,427478.392240344,골프연습장업,사립,,1613.0,,
킹&퀸 골프파크,20020207,,13,영업중,,,15062,"경기도 시흥시 중심상가로 312, 이림프라자 지하층 B01~B04호 (정왕동)",경기도 시흥시 정왕동 1782-1 이림프라자,15062,37.3375063282,126.7469232568,,177501.708572764,426194.159476746,골프연습장업,사립,,,,
