sigun_nm,refine_road_nm_addr,refine_lotno_addr,refine_zipno,locplc_faclt_telno_dtls,refine_wgs84_lat,refine_wgs84_logt,bizcond_div_nm_info,sanittn_bizcond_nm,ratg_div_nm,rk_cnt_faclt_div_nm,factry_prdc_dut_emply_cnt,multi_utlz_bizest_yn,traditn_bizest_apnt_id,traditn_bizest_food_desc
,"경기도 시흥시 복지로 29-1, 1층 일부호 (대야동)",경기도 시흥시 대야동 501-1,14909,,37.4423284734,126.7880738466,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 은계번영길 19, 은계 디스퀘어큐브 105호일부호 (은행동)",경기도 시흥시 은행동 646-8 은계 디스퀘어큐브,14922,,37.4372709361,126.8030427925,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 하상로8번길 20, 1층 일부호 (하상동)",경기도 시흥시 하상동 374-8,14977,,37.391370566,126.8148665777,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,경기도 시흥시 삼미시장4길 4 (신천동),경기도 시흥시 신천동 734-6,14948,031-313-2627,37.4390236878,126.7841261233,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,,경기도 시흥시 대야동 476-13,14905,031-315-3341,37.4455903266,126.7864037052,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 하중로 118, 창완빌딩 2층 일부호 (하중동)",경기도 시흥시 하중동 831-2 창완빌딩,14975,,37.3994907975,126.7993029051,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 서울대학로278번길 67, 시흥배곧 롯데마트 1층 일부호 (배곧동)",경기도 시흥시 배곧동 202 시흥배곧 롯데마트,15011,,37.3688907319,126.7313182505,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 정왕대로 210, E MART시화점 (정왕동)",경기도 시흥시 정왕동 1734-2 E MART시화점,15066,,37.3459328804,126.7368812651,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 배곧1로 27-15, 상가1동 지하층 101일부호 (정왕동, 한라비발디캠퍼스)",경기도 시흥시 정왕동 2566 한라비발디캠퍼스 상가1동 B101호,15011,02-427-3727,37.3636798562,126.7119931155,즉석판매제조가공업,즉석판매제조가공업,자율,상수도전용,0,N,,
,경기도 시흥시 오이도로 173,경기도 시흥시 정왕동 2003-12 오이도직판장 B동 151호,15015,031-432-4949,37.3454457514,126.6880796381,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 배곧1로 27-15, 지하층 (정왕동, 한라비발디캠퍼스)",경기도 시흥시 정왕동 2566 한라비발디캠퍼스 지하층호,15011,,37.3636798562,126.7119931155,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 서울대학로278번길 67 (정왕동, 롯데마트 시흥배곧점)",경기도 시흥시 정왕동 1771-1,15011,,37.3688907319,126.7313182505,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 함송로13번길 27, 1층 일부호 (정왕동)",경기도 시흥시 정왕동 1878-2,15020,,37.3651101625,126.7321134465,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 월곶중앙로 90, 1층 109호 (월곶동, 풍림1차 제상가동)",경기도 시흥시 월곶동 1010-4 풍림1차 제상가동 109호,14964,031-318-1733,37.3902457487,126.735754493,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 옥구천서로373번길 8 (정왕동),경기도 시흥시 정왕동 1866-6,15030,031-433-5313,37.3557018589,126.7268797058,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 역전로 203-1, 3층 일부호 (정왕동)",경기도 시흥시 정왕동 1161-9,15052,,37.3477173748,126.748108378,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 서울대학로278번길 67, 시흥배곧 롯데마트 지하1층 일부호 (배곧동)",경기도 시흥시 배곧동 202 시흥배곧 롯데마트,15011,,37.3688907319,126.7313182505,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 옥구천동로 404 (정왕동, GS슈퍼내)",경기도 시흥시 정왕동 1873-3 GS슈퍼내,15027,,37.3552565325,126.7318525139,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 희망공원로 269 (정왕동, 홈플러스 2층)",경기도 시흥시 정왕동 2166-4,15081,,37.3452082082,126.725237369,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 은행로 92, 1층 102호 일부호 (은행동)",경기도 시흥시 은행동 547-7 평안교회,14916,,37.4397256236,126.7974583677,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 옥구천동로 402, GS슈퍼정왕점 내 (정왕동)",경기도 시흥시 정왕동 1873-3 월드아파트,15027,02-2689-2100,37.3567512193,126.7302225709,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 배곧4로 32-13, 이마트에브리데이 시흥배곧점 1층 일부호 (배곧동)",경기도 시흥시 배곧동 126 이마트에브리데이 시흥배곧점 1층 일부호,15010,,37.376956103,126.7268874805,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 오이도로 167, A동 3호 (정왕동)",경기도 시흥시 정왕동 2003-8,15015,031-498-9887,37.3458883179,126.6882103529,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 희망공원로 269, 홈플러스시화점 일부호 (정왕동)",경기도 시흥시 정왕동 2166-4 홈플러스시화점,15081,,37.3452082082,126.725237369,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,경기도 시흥시 정왕대로 210,경기도 시흥시 정왕동 1734-1 이마트시화점,15066,,37.3459328804,126.7368812651,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 마유로238번길 26, 1층 일부호 (정왕동)",경기도 시흥시 정왕동 1366-4,15079,,37.3376271419,126.7306774357,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 정왕대로 210, E MART시화점 2층 (정왕동)",경기도 시흥시 정왕동 1734-2 E MART시화점,15066,031-858-1226,37.3459328804,126.7368812651,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 비둘기공원로 28, 롯데마트 시흥점 2층 일부호 (대야동)",경기도 시흥시 대야동 542 롯데마트 시흥점,14912,,37.4430368253,126.7919559438,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,경기도 시흥시 삼미시장2길 44,경기도 시흥시 신천동 736-1,14948,031-317-7111,37.4398375319,126.7845592338,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,경기도 시흥시 복지로99번길 12,경기도 시흥시 대야동 344-10,14906,031-694-5628,37.4485320814,126.7914519329,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 장곡로 23 (장곡동, 중앙시장마트)",경기도 시흥시 장곡동 823-2 중앙시장마트,15002,031-317-3555,37.3790954387,126.7861645217,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 동서로 706-58, 안산농협 연꽃지점 일부호 (물왕동)",경기도 시흥시 물왕동 349-2 안산농협 영농자원센터,14993,,37.3838533611,126.827462028,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,경기도 시흥시 마유로238번길 26,경기도 시흥시 정왕동 1366-4 LG마트,15079,031-496-7700,37.3376271419,126.7306774357,즉석판매제조가공업,즉석판매제조가공업,,,0,N,,
,"경기도 시흥시 배곧1로 27-16, 상가2동 1층 104B호 (배곧동, 한라비발디캠퍼스2차)",경기도 시흥시 배곧동 245 한라비발디캠퍼스2차,15011,,37.3617928357,126.7128710723,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,경기도 시흥시 장곡로 50 (주)진보유통 그린마트 장곡점 1층 일부호 (장곡동),경기도 시흥시 장곡동 877-1 (주)진보유통,15002,,37.3797082545,126.783165496,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 거북섬둘레길 42, 거북섬 별빛공원 (정왕동)",경기도 시흥시 정왕동 2721 웨이브파크,15119,,37.3241773184,126.680791543,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 은계호수로 49, 시흥 센트럴돔 그랑트리 캐슬 1층 1036호 일부호 (은행동)",경기도 시흥시 은행동 605 시흥 센트럴돔 그랑트리 캐슬,14923,,37.4458457243,126.8020023203,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 큰솔로8번안길 18, 102호 (정왕동)",경기도 시흥시 정왕동 1420-7 102호,15060,,37.3389472106,126.7538290438,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
,"경기도 시흥시 오이도로 173 (정왕동,수산물직판장 B-44호)",경기도 시흥시 정왕동 2003-12 수산물직판장 B-44호,15015,031-499-5388,37.3454457514,126.6880796381,즉석판매제조가공업,즉석판매제조가공업,,,,N,,
