인허가일자,사업장명,통합영업상태명,영업상태명,폐업일자,소재지시설전화번호,소재지면적,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도,업태구분명정보,X좌표값,Y좌표값,위생업태명,건물지상층수,건물지하층수,사용시작지상층수,사용끝지상층수,사용시작지하층수,사용끝지하층수,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,세탁기수,여성종사자수,남성종사자수,회수건조수,침대수,다중이용업소여부
20150423,(주) 더빨래,폐업,폐업,20170710,031-311-3161,102.80,경기도 시흥시 신현로287번길 14-8 (방산동),경기도 시흥시 방산동 683,14960,37.4093063009,126.7636516519,빨래방업,179005.8671421800,434157.4270960520,빨래방업,0,0,,,,,,,,,1,0,0,2,,N
19920330,(주)모던,폐업,폐업,20000929,031-694-2783,1.00,경기도 시흥시 호현로 132-1,경기도 시흥시 대야동 140-5 1층,14902,37.4522998645,126.7899692149,일반세탁업,181347.1905095910,438887.2287932240,일반세탁업,0,0,0,,0,,,,,,,,,,,N
20220819,(주)크린토피아시흥지사,영업/정상,영업,,,291.20,"경기도 시흥시 능곡로76번길 9, 1층 (화정동)",경기도 시흥시 화정동 655-8,14992,37.3609228972,126.8165211508,일반세탁업,183680.7901738650,428776.1636282550,일반세탁업,0,0,,,,,,,,,2,0,0,3,,N
20120720,(주)크린화이트,영업/정상,영업,,031-499-3782,118.95,"경기도 시흥시 오이도중앙로36번길 6-7, 101,102호 (정왕동)",경기도 시흥시 정왕동 2001-3,15015,37.3458949765,126.6891812232,일반세탁업,172389.3905959690,427140.9202045890,일반세탁업,0,0,0,0,0,0,,,,,1,,,1,,N
20040721,1급 세탁소,폐업,폐업,20060510,031-434-3677,34.32,경기도 시흥시 큰솔로12번안길 18,경기도 시흥시 정왕동 1404,15060,37.3397971897,126.7528271886,일반세탁업,178025.3617368400,426447.6845908030,일반세탁업,,,,,,,,,,,,,,,,N
19960501,2002세탁소,폐업,폐업,19970519,031-695-4366,1.00,경기도 시흥시 매화1로 19,경기도 시흥시 매화동 253-12 1층,14939,37.4151818088,126.8128303550,일반세탁업,183362.2704981530,434802.6165134200,일반세탁업,0,0,0,,0,,,,,,,,,,,N
20081014,21C 세탁소,영업/정상,영업,,031-431-6810,25.55,"경기도 시흥시 군서로 18 (정왕동,101호)",경기도 시흥시 정왕동 1199-9 101호,15052,37.3445371931,126.7497884097,일반세탁업,177759.2378427720,426974.9408205820,일반세탁업,0,0,0,0,0,0,,,,,0,,,0,,N
20010915,21세기세탁소,영업/정상,영업,,031-314-0969,30.00,경기도 시흥시 대야로 36-1 (대야동),경기도 시흥시 대야동 455-14,14905,37.4464161758,126.7903300651,일반세탁업,181376.1177931510,438272.9988484630,일반세탁업,,,,,,,,,,,,,,,,N
20040319,21세기세탁소,폐업,폐업,20040511,031-431-6810,27.74,경기도 시흥시 군서로 18,경기도 시흥시 정왕동 1199-9,15052,37.3445371931,126.7497884097,일반세탁업,177759.2378427720,426974.9408205820,일반세탁업,,,,,,,,,,,,,,,,N
20030916,25시세탁소,폐업,폐업,20051222,031-497-7747,23.22,경기도 시흥시 정왕천로411번길 60,경기도 시흥시 정왕동 1182-5,15052,37.3476544617,126.7467202949,일반세탁업,177486.7013850340,427321.7921827570,일반세탁업,,,,,,,,,,,,,,,,N
