librry_nm,sido_nm,signgu_nm,librry_type_nm,close_day_info,opr_bgng_hr,opr_end_hr,temp_1_cont,temp_2_cont,temp_3_cont,temp_cont,read_seat_cnt,book_data_cnt,contuatn_publctn_data_cnt,nonbook_data_cnt,loan_posbl_volm_cnt,loan_posbl_day_cnt,refine_road_nm_addr,opr_inst_nm,librry_telno,plot_ar,buldng_ar,hmpg_addr,refine_wgs84_lat,refine_wgs84_logt,dat_crtr_ymd,sigun_nm
옥구공원숲속도서관,경기도,시흥시,작은도서관,법정공휴일,10:00,17:00,10:00,17:00,00:00,00:00,25,4338,0,0,10,14,경기도 시흥시 오이도로 58,경기도 시흥시청,031-319-8519,45.0,45.0,http://lib.siheung.go.kr,37.3518072,126.700967,20250905,시흥시
삼립식품작은도서관,경기도,시흥시,작은도서관,토+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,32,3876,6,192,10,14,경기도 시흥시 공단1대로 101,㈜삼립식품,031-496-2333,80.0,80.0,http://lib.siheung.go.kr,37.34408857,126.7161419,20250905,시흥시
늠내골실버작은도서관,경기도,시흥시,작은도서관,법정공휴일,09:00,18:00,09:00,15:00,00:00,00:00,18,7587,11,0,10,14,경기도 시흥시 장현능곡로 214,노인종합복지관,031-8063-2594,77.4,77.4,http://lib.siheung.go.kr,37.36865998,126.8133007,20250905,시흥시
평안골작은도서관,경기도,시흥시,작은도서관,법정공휴일,13:30,17:00,13:30,17:00,00:00,00:00,16,5922,0,0,10,14,경기도 시흥시 정왕대로298번길 36,정왕1동주민자치위원회,070-8814-5223,77.0,77.0,http://lib.siheung.go.kr,37.33946223,126.7419022,20250905,시흥시
함현공원작은도서관,경기도,시흥시,작은도서관,법정공휴일,13:00,17:00,09:00,17:00,00:00,00:00,24,8988,0,0,10,14,경기도 시흥시 함송로29번길 31,정왕4동주민자치위원회,070-4187-2634,100.0,100.0,http://lib.siheung.go.kr,37.36532905,126.7331599,20250905,시흥시
장곡도서관,경기도,시흥시,공공도서관,월+법정공휴일,08:00,22:00,08:00,22:00,00:00,00:00,170,46089,22,132,10,14,경기도 시흥시 인선길 52,경기도 시흥시청,031-310-5233,1920.0,1920.0,http://lib.siheung.go.kr,37.37757881,126.7829731,20250905,시흥시
웃터골작은도서관,경기도,시흥시,작은도서관,법정공휴일,10:00,19:00,09:00,18:00,00:00,00:00,29,15866,3,36,10,14,경기도 시흥시 은계로 240,경기도 시흥시청,070-4255-1999,182.16,182.16,http://lib.siheung.go.kr,37.4433253,126.8044737,20250905,시흥시
배곧너나들이작은도서관,경기도,시흥시,작은도서관,법정공휴일,10:00,18:00,10:00,16:00,00:00,00:00,62,7391,0,0,10,14,경기도 시흥시 해송십리로 472-30,배곧누리초등학교,031-488-8603,221.0,221.0,http://lib.siheung.go.kr,37.38260925,126.7319868,20250905,시흥시
송운작은도서관,경기도,시흥시,작은도서관,토+법정공휴일,10:00,17:00,00:00,00:00,00:00,00:00,13,4806,0,0,10,14,경기도 시흥시 옥구천동로 434,정왕2동주민자치위원회,070-4124-9573,84.5,84.5,http://lib.siheung.go.kr,37.3583724,126.7323096,20250905,시흥시
배곧도서관,경기도,시흥시,공공도서관,금+법정공휴일,08:00,22:00,08:00,22:00,00:00,00:00,666,69389,30,43,10,14,경기도 시흥시 배곧4로 102,경기도 시흥시청,031-310-5280,5580.0,3896.0,http://lib.siheung.go.kr,37.37344303,126.7337992,20250905,시흥시
정왕어린이도서관,경기도,시흥시,공공도서관,금+법정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,85,69722,13,1209,10,14,경기도 시흥시 정왕시장길 45,경기도 시흥시청,031-310-5186,1030.0,997.0,http://lib.siheung.go.kr,37.345318,126.7481254,20250905,시흥시
군자도서관,경기도,시흥시,공공도서관,월+법정공휴일,08:00,22:00,08:00,22:00,00:00,00:00,170,78476,18,1325,10,14,경기도 시흥시 군자로 499,경기도 시흥시청,031-310-5196,1305.0,1499.0,http://lib.siheung.go.kr,37.345624,126.7851913,20250905,시흥시
신천도서관,경기도,시흥시,공공도서관,월+법정공휴일,10:00,22:00,10:00,22:00,00:00,00:00,87,47843,11,558,10,14,경기도 시흥시 신천로 89-18,경기도 시흥시청,031-310-2570,746.0,663.0,http://lib.siheung.go.kr,37.438412,126.785024,20250905,시흥시
