indutype_nm,cmpnm_nm,signgu_nm,emd_nm,roadnm_addr,lotno_addr,detail_addr,rprs_telno_info,opr_hr_info,sat_opr_hr,sun_opr_hr,restday_info,image_nm,dat_crtr_ymd,refine_wgs84_lat,refine_wgs84_logt
동물미용업,와와리 애견미용,시흥시,배곧동,"경기도 시흥시 배곧4로 106-25, 정문상가동 102호 (배곧동, 호반베르디움 센트로하임아파트)",경기도 시흥시 배곧동 174번지,,***-****-****,10:00~17:00,10:00~17:00,10:00~17:00,수요일,313115073030_1.jpeg,20221123,37.3710666931,126.7332724678
동물미용업,미래애견,시흥시,신천동,"경기도 시흥시 시흥대로 1069-1, 염광교회 (신천동)",경기도 시흥시 신천동 888-7번지,1층,031-312-2625,,,,,313115052048_1.jpeg,20221109,37.4315756478,126.7926403664
동물위탁관리업,위드독,시흥시,정왕동,"경기도 시흥시 마유로418번길 10, 롯데시네마 시화점 (정왕동)",경기도 시흥시 정왕동 2327-2번지,2층,0507-1432-2272,10:00~19:00,10:00~19:00,10:00~19:00,연중무휴,323115064005_1.jpeg,20221118,37.3514000851,126.7418503694
동물위탁관리업,잘놀개잘자개,시흥시,배곧동,"경기도 시흥시 서울대학로278번길 61, 서영베니스스퀘어 T동 348,349호 (배곧동)",경기도 시흥시 배곧동 204번지,3층,***-****-****,08:00~19:30,08:00~19:30,08:00~19:30,연중무휴,323115073029_1.jpeg,20221124,37.3681926149,126.7306929431
동물미용업,배곧코코동물병원,시흥시,정왕동,"경기도 시흥시 함송로 15, 화신프라자 (정왕동)",경기도 시흥시 정왕동 1881-11번지,,031-434-0863,10:00~19:30,10:00~17:30,,일요일,313115072010_1.jpeg,20221122,37.3640347307,126.7302949768
동물미용업,우주개스타,시흥시,정왕동,"경기도 시흥시 봉우재로69번길 14, 104호 (정왕동)",경기도 시흥시 정왕동 1819-7번지,,0507-1383-2514,09:00~20:00,09:00~20:00,,"화요일,일요일",313115064080_1.jpeg,20221118,37.3490536732,126.745633714
동물미용업,멍크러쉬,시흥시,배곧동,"경기도 시흥시 서울대학로264번길 25, 시흥배곧 아브뉴프랑 센트럴 블루 (배곧동)",경기도 시흥시 배곧동 219번지,3층 위치,0507-1347-5981,10:00~19:00,10:00~19:00,10:00~19:00,금요일,313115073087_1.jpeg,20221122,37.3683599517,126.7273257955
동물위탁관리업,개편한세상,시흥시,은행동,"경기도 시흥시 은계번영길 40, 샤르망프라자 202호 (은행동)",경기도 시흥시 은행동 645-2번지,2층,***-****-****,10:00~19:00,10:00~19:00,10:00~19:00,연중무휴,323115054056_1.jpeg,20221111,37.4365649144,126.8025406729
동물미용업,윤슬동물병원,시흥시,월곶동,경기도 시흥시 월곶중앙로 87-1 (월곶동),경기도 시흥시 월곶동 1011-6번지,,031-404-8566,10:00~19:00,10:00~19:00,,일요일,313115069036_1.jpeg,20221123,37.3897044558,126.7356809117
동물미용업,펫츠나라동물병원,시흥시,신천동,경기도 시흥시 수인로 3376-1 (신천동),경기도 시흥시 신천동 712-6번지,1층,031-314-0706,10:00~20:00,10:00~20:00,,일요일,313115052006_1.jpeg,20221108,37.4412846629,126.7838897999
동물위탁관리업,RARERANG,시흥시,배곧동,"경기도 시흥시 배곧4로 32-27, 광장프라자 2층 207호 ",경기도 시흥시 배곧동 131번지,,***-****-****,"13:00~21:00,금 13:00~18:00",11:00~21:00,11:00~21:00,목요일,323115073036_1.jpeg,20221123,37.3776954647,126.7255471026
동물미용업,센트럴 독,시흥시,은행동,"경기도 시흥시 은계호수로 49 1층 1064호(은행동, 시흥 센트럴돔 그 랑트리 캐슬)",경기도 시흥시 은행동 605번지,1층,***-****-****,10:00~19:00,10:00~19:00,10:00~19:00,연중무휴,313115054002_1.jpeg,20221103,37.4458457243,126.8020023203
동물위탁관리업,박한준종합동물병원,시흥시,대야동,"경기도 시흥시 복지로 47, 박한준동물병원 (대야동)",경기도 시흥시 대야동 490-2번지,1층,031-315-7582,09:00~20:00,09:00~18:00,10:00~18:00,연중무휴,323115051019_1.jpeg,20221104,37.4438221596,126.7891449539
동물미용업,애니온동물병원,시흥시,정왕동,"경기도 시흥시 군자천로 335, 그린프라자 (정왕동)",경기도 시흥시 정왕동 1729-2번지,2층,031-499-7991,10:00~20:00,10:00~20:00,10:00~20:00,,313115061009_1.jpeg,20221118,37.3467024328,126.7346154408
동물미용업,샤이니독,시흥시,대야동,경기도 시흥시 비둘기공원2길 10 1층 샤이니독,경기도 시흥시 대야동 557-2번지,1층,031-503-4470,11:00~22:00,11:00~22:00,11:00~22:00,월요일,313115051004_1.jpeg,20221110,37.4397786972,126.7927553286
동물위탁관리업,목감동물병원,시흥시,조남동,경기도 시흥시 동서로 1064 1층 (조남동),경기도 시흥시 조남동 169-45,1층,031-482-7585,09:30~20:00,09:30~17:00,휴무,일요일,323115056025_1.jpeg,20221101,37.3838893135,126.8599259022
동물미용업,만세동물병원,시흥시,정왕동,"경기도 시흥시 배곧4로 95, 지음프라자 (정왕동)",경기도 시흥시 배곧동 75번지,,0507-1316-7583,10:30~20:00,10:30~19:00,,일요일,313115073068_1.jpeg,20221123,37.3742440446,126.7339742565
동물위탁관리업,24시 배곧스마트동물병원,시흥시,배곧동,"경기도 시흥시 배곧3로 86, 센터프라자2 207호, 208호 (배곧동)",경기도 시흥시 배곧동 194-2번지,2층,031-432-1224,00:00~24:00,00:00~24:00,00:00~24:00,연중무휴,323115073015_1.jpeg,20221123,37.3702222869,126.7295541408
동물미용업,뽀숑뽀숑,시흥시,은행동,"경기도 시흥시 은계번영길 11, 208호 (은행동)",경기도 시흥시 은행동 646-5번지,2층,***-****-****,09:30~18:30,09:30~18:30,09:30~18:30,연중무휴,313115054021_1.jpeg,20221111,37.4374281699,126.8021935463
동물위탁관리업,애니온동물병원,시흥시,정왕동,"경기도 시흥시 군자천로 335, 그린프라자 (정왕동)",경기도 시흥시 정왕동 1729-2번지,2층,031-499-7991,10:00~20:00,,,,323115061023_1.jpeg,20221118,37.3467024328,126.7346154408
동물위탁관리업,위드유 펫 스토어,시흥시,은행동,"경기도 시흥시 은계번영길 1, 태산W타워 (은행동)",경기도 시흥시 은행동 646번지,2층,,09:00~22:00,09:00~22:00,09:00~22:00,연중무휴,323115054009_1.jpeg,20221111,37.4365775346,126.8016249551
동물미용업,은동이네,시흥시,은행동,"경기도 시흥시 은계중앙로 37, 상가동 205호 (은행동, 시흥은계엘에이치7단지)",경기도 시흥시 은행동 660,2층,***-****-****,09:00~19:00,09:00~19:00,,일요일,313115054038_1.jpeg,20221111,37.4343695822,126.8001647285
동물미용업,24시 배곧스마트동물병원,시흥시,배곧동,"경기도 시흥시 배곧3로 86, 센터프라자2 207호, 208호 (배곧동)",경기도 시흥시 배곧동 194-2번지,2층,031-432-1224,00:00~24:00,00:00~24:00,00:00~24:00,연중무휴,313115073051_1.jpeg,20221123,37.3702222869,126.7295541408
동물미용업,메종드 로이,시흥시,산현동,"경기도 시흥시 목감전원로 32, 레이크문 3층 (산현동)",경기도 시흥시 산현동 492-1번지,3층,0507-1303-6386,10:00~21:00,10:00~21:00,10:00~21:00,월요일,313115056091_1.jpeg,20221124,37.3769652872,126.8432119872
동물미용업,행복한강아지,시흥시,신천동,경기도 시흥시 호현로 21,경기도 시흥시 신천동 705-16번지,1층,031-313-2858,10:00~21:00,,,토요일 + 일요일,313115052055_1.jpeg,20221107,37.4423432288,126.7845466809
동물위탁관리업,뽀독,시흥시,정왕동,경기도 시흥시 정왕천로 438 (정왕동),경기도 시흥시 정왕동 1500-12번지,,0507-1469-0190,09:30~20:00,09:30~20:00,09:30~20:00,수요일,323115064038_1.jpeg,20221118,37.3461054246,126.7540404648
동물위탁관리업,(주)코펫스쿨,시흥시,배곧동,"경기도 시흥시 서울대학로278번길 70, 배곧두손지젤타워 B동 1층 115호 (배곧동)",경기도 시흥시 배곧동 206-3번지,,031-319-1916,08:00~20:00,08:00~20:00,,"일요일,공휴일",323115073037_1.jpeg,20221124,37.3680122208,126.7320612827
동물미용업,위드독,시흥시,정왕동,"경기도 시흥시 마유로418번길 10, 롯데시네마 시화점 2층(정왕동)",경기도 시흥시 정왕동 2327-2번지,2층,031-434-2272,07:00~22:00,07:00~22:00,07:00~22:00,연중무휴,313115064029_1.jpeg,20221118,37.3514000851,126.7418503694
동물미용업,레인바우 시흥점,시흥시,포동,경기도 시흥시 신현로 127 (포동),경기도 시흥시 포동 20-4번지,,031-1877-1722,14:00~20:00,11:00~20:00,11:00~20:00,,313115053067_1.jpeg,20221121,37.4029159467,126.7768432025
동물미용업,참누리종합동물병원,시흥시,대야동,"경기도 시흥시 대은로 81, 모비딕빌딩 (대야동)",경기도 시흥시 대야동 573-2번지,,031-312-0075,09:00~22:00,09:00~22:00,09:00~20:00,연중무휴,313115051063_1.jpeg,20221104,37.4447000348,126.7972761971
동물미용업,목감시티동물병원,시흥시,조남동,경기도 시흥시 목감둘레로 253-24 (조남동),경기도 시흥시 조남동 707-1,1층,031-504-7559,09:30~20:00,09:30~20:00,09:30~20:00,수요일,313115056020_1.jpeg,20221101,37.380972798,126.8606510065
동물위탁관리업,루비펫살롱,시흥시,장현동,"경기도 시흥시 시청로68번길 30, 1층 (장현동, 이즈라이프)",경기도 시흥시 장현동 548-3,1층,***-****-****,09:00~19:00,09:00~19:00,09:00~19:00,연중무휴,323115070058_1.jpeg,20221109,37.3820403906,126.8023569656
동물미용업,강아지마을,시흥시,정왕동,"경기도 시흥시 오동마을로6번길 4, C.M건축자재 백화점 (정왕동)",경기도 시흥시 정왕동 2320-2번지,1층,0507-1349-0289,00:00~24:00,00:00~24:00,00:00~24:00,연중무휴,313115064086_1.jpeg,20221118,37.3529327465,126.7419027019
동물위탁관리업,아띠,시흥시,정왕동,"경기도 시흥시 정왕천로369번길 59-7, 102호 (정왕동)",경기도 시흥시 정왕동 1592-11번지,,031-488-8991,10:00~19:00,10:00~19:00,10:00~19:00,수요일,323115065047_1.jpeg,20221118,37.3442815559,126.7436154194
동물미용업,정왕동 애견용품 창고형 할인매장(비제이코리아),시흥시,정왕동,"경기도 시흥시 오동마을로6번길 4, C.M건축자재 백화점 (정왕동)",경기도 시흥시 정왕동 2320-2번지,,031-520-0289,10:00~22:00,10:00~22:00,10:00~22:00,연중무휴,313115064071_1.jpeg,20221122,37.3529327465,126.7419027019
동물미용업,오렌지펫,시흥시,배곧동,경기도 시흥시 배곧전원로 18-18 (배곧동),경기도 시흥시 배곧동 101-12번지,,031-432-5115,10:00~22:00,10:00~22:00,10:00~22:00,연중무휴,313115073075_1.jpeg,20221123,37.3779294972,126.7282554607
동물위탁관리업,숲속동물병원,시흥시,신천동,"경기도 시흥시 삼미시장1길 39, 리앤신빌딩 (신천동)",경기도 시흥시 신천동 743번지,1층,031-317-8275,09:30~07:30,09:30~06:30,,일요일,323115052022_1.jpeg,20221107,37.4412632357,126.7818439067
동물미용업,다독다독,시흥시,정왕동,경기도 시흥시 오동마을로5번길 29-1 (정왕동),경기도 시흥시 정왕동 2312-3번지,1층,031-497-5525,09:30~20:00,09:30~20:00,09:30~20:00,연중무휴,313115064026_1.jpeg,20221118,37.3526839405,126.745281237
동물미용업,몽몽이털,시흥시,대야동,"경기도 시흥시 은계북길 7 (대야동, 시흥은계엘에이치2단지)",경기도 시흥시 대야동 658번지,1층,0507-1441-1038,10:00~19:00,10:00~19:00,10:00~19:00,일요일,313115051098_1.jpeg,20221111,37.4490484995,126.7979364675
