secrtlgt_loc_nm_info,instl_tnf,refine_road_nm_addr,refine_lotno_addr,refine_wgs84_lat,refine_wgs84_logt,instl_yr,instl_div_nm,mnginst_telno,mnginst_nm,dat_crtr_ymd
정왕본동239,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕본동240,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕본동241,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕본동242,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕본동245,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕본동247,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕본동249,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕본동307,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕본동306,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕본동309,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕본동310,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕본동311,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕본동312,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕1동21U079,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕1동21U087,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕1동21U111,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕1동21U133,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕1동21U134,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕1동21U135,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕1동21U166,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕1동21U185,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕1동21U236,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕1동001,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕1동002,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕1동003,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕1동004,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕1동005,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕1동006,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕1동007,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕1동008,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕본동007,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕1동013,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕1동015,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕1동016,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕1동017,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕1동018,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕1동019,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕본동20U215,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
신현353,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
신현354,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
신현055,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
신현217,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
신현218,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
신현220,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
신현368,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
신현232,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
은행391,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
매화461,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
매화483,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
매화동24155,1,,,,,2011,,031-310-3144,경기도 시흥시청,20260224
정왕본동22019,1,,,,,2022,,031-310-3144,경기도 시흥시청,20260224
정왕본동814,1,,,,,2022,,031-310-3144,경기도 시흥시청,20260224
신천동N22013,1,,,,,2022,,031-310-3144,경기도 시흥시청,20260224
신천동N22014,1,,,,,2022,,031-310-3144,경기도 시흥시청,20260224
신현동N263,1,,,,,2022,,031-310-3144,경기도 시흥시청,20260224
신현동N264,1,,,,,2022,,031-310-3144,경기도 시흥시청,20260224
신현동N269,1,,,,,2022,,031-310-3144,경기도 시흥시청,20260224
신천동N22006,1,,,,,2022,,031-310-3144,경기도 시흥시청,20260224
신천동N22007,1,,,,,2022,,031-310-3144,경기도 시흥시청,20260224
신천동N22008,1,,,,,2022,,031-310-3144,경기도 시흥시청,20260224
신천동N22009,1,,,,,2022,,031-310-3144,경기도 시흥시청,20260224
신천동N22010,1,,,,,2022,,031-310-3144,경기도 시흥시청,20260224
신천동N22011,1,,,,,2022,,031-310-3144,경기도 시흥시청,20260224
신천동N22012,1,,,,,2022,,031-310-3144,경기도 시흥시청,20260224
정왕본동22017,1,,,,,2022,,031-310-3144,경기도 시흥시청,20260224
연성동N085,1,,,,,2022,,031-310-3144,경기도 시흥시청,20260224
연성동N086,1,,,,,2022,,031-310-3144,경기도 시흥시청,20260224
연성동N084,1,,,,,2022,,031-310-3144,경기도 시흥시청,20260224
연성동N098,1,,,,,2022,,031-310-3144,경기도 시흥시청,20260224
연성동N099,1,,,,,2022,,031-310-3144,경기도 시흥시청,20260224
신현동N270,1,,,,,2022,,031-310-3144,경기도 시흥시청,20260224
신현동N271,1,,,,,2022,,031-310-3144,경기도 시흥시청,20260224
신현동N272,1,,,,,2022,,031-310-3144,경기도 시흥시청,20260224
