기관명,분류,종별,주소,좌표X,좌표Y,전화번호,출처
헬로우짐(hellogym)휘트니스,헬스장,,"경기도 시흥시 정왕대로 230, 제일프라자 5층 (정왕동)",126.7384940896,37.3449788088,031-504-0111,경기데이터드림
트윈스포츠센터,헬스장,,"경기도 시흥시 비둘기공원7길 45, 트윈프라자 B동 5,6층 (대야동)",126.7921350993,37.4420193646,031-311-0072,경기데이터드림
아쿠아온,헬스장,,"경기도 시흥시 장현능곡로 155, 장현지구 상업6BL 4층 411호 (능곡동)",126.8072928232,37.3710186339,031-315-2288,경기데이터드림
시흥시공공스포츠클럽,헬스장,종합 스포츠시설,경기도 시흥시 서해안로 1589,126.784838735292,37.4477156453494,,공공데이터포털(상가업소정보)
스포츠앤코,헬스장,종합 스포츠시설,경기도 시흥시 양우재길 37,126.78555282774,37.4232093534859,,공공데이터포털(상가업소정보)
무극멀티짐,헬스장,종합 스포츠시설,경기도 시흥시 시청로80번길 6,126.799469651827,37.3814084501779,,공공데이터포털(상가업소정보)
캐치클라이밍짐,헬스장,종합 스포츠시설,경기도 시흥시 장현장곡로 2,126.789292178642,37.3788678910891,,공공데이터포털(상가업소정보)
하움 피트니스 헬스 PT & 필라테스,헬스장,체력단련장업,"경기도 시흥시 매화1로 2, A동 3층 301호 (매화동)",126.8144047009,37.4160292165,,경기데이터드림
목감재활운동전문센터,헬스장,체력단련장업,"경기도 시흥시 목감남서로 9-33, 더클래스투 105호 (조남동)",126.8533203389,37.3783369935,,경기데이터드림
F45배곧,헬스장,체력단련장업,"경기도 시흥시 서울대학로278번길 21, 502,503호 (배곧동)",126.7280367972,37.3695093281,,경기데이터드림
핏 테라피 퍼스널 트레이닝,헬스장,체력단련장업,"경기도 시흥시 승지로60번길 17, 현대프라자 6층 601, 602호 (능곡동)",126.8125426628,37.3687417605,031-503-8277,경기데이터드림
핏어스짐,헬스장,체력단련장업,"경기도 시흥시 장현장곡로 2, 8층 802호 (장곡동)",126.7893068390,37.3788529681,,경기데이터드림
매드볼릭휘트니스,헬스장,체력단련장업,"경기도 시흥시 서울대학로278번길 19-8, 새롬프라자 3층 303~304호 (배곧동)",126.7283496731,37.3698358612,,경기데이터드림
머슬원핏 배곧신도시점,헬스장,체력단련장업,"경기도 시흥시 서울대학로278번길 19-14, 배곧프라자 3층 304-2호 (배곧동)",126.7286625518,37.3701623935,,경기데이터드림
123 Fitness,헬스장,체력단련장업,"경기도 시흥시 중심상가로 149, 진성프라자 5층 (정왕동)",126.7326722825,37.3468250497,031-432-0123,경기데이터드림
헬로우짐,헬스장,체력단련장업,"경기도 시흥시 정왕대로 230, 제일프라자 5층 (정왕동)",126.7384940896,37.3449788088,,경기데이터드림
두나미스 피트니스,헬스장,체력단련장업,"경기도 시흥시 월곶중앙로70번길 3, 풍림프라자 4층 405호 (월곶동)",126.7381671017,37.3896123363,,경기데이터드림
슈퍼바디짐,헬스장,체력단련장업,"경기도 시흥시 서울대학로278번길 43-13, 5층 503호 (배곧동)",126.7301741831,37.3692258093,,경기데이터드림
플라이휘트니스 대야점,헬스장,체력단련장업,"경기도 시흥시 비둘기공원5길 7, 4층 401호 (대야동)",126.7908135554,37.4431020845,031-312-7969,경기데이터드림
동네헬스장,헬스장,체력단련장업,경기도 시흥시 신천로 95 (신천동),126.8129528648,37.3906293556,031-311-0974,경기데이터드림
네이처짐,헬스장,체력단련장업,"경기도 시흥시 은계번영길 23, 은계타운 508호 (은행동)",126.8039256944,37.4371409352,,경기데이터드림
근뚜루 짐,헬스장,체력단련장업,"경기도 시흥시 서울대학로278번길 21, 새롬프라자2 6층 605~606호 (배곧동)",126.7280367972,37.3695093281,,경기데이터드림
파인짐 휘트니스,헬스장,체력단련장업,"경기도 시흥시 은계번영길 1, 태산W타워 6층 609~615호 (은행동)",126.8016249551,37.4365775346,,경기데이터드림
MF 휘트니스&필라테스,헬스장,체력단련장업,"경기도 시흥시 신현로38번길 22, 시흥종교교회 3층 (포동)",126.7843809470,37.4075046773,031-315-7712,경기데이터드림
남스짐 월곶점,헬스장,체력단련장업,"경기도 시흥시 월곶중앙로 49, 2층 (월곶동)",126.7395824479,37.3881702527,,경기데이터드림
피트온,헬스장,체력단련장업,"경기도 시흥시 솔고개길 3-4, 303호 (목감동)",126.8609665498,37.3823896542,,경기데이터드림
맞춤운동센터 자이언트짐,헬스장,체력단련장업,"경기도 시흥시 함송로29번길 5, 2층 ,3층 301호 (정왕동)",126.7355466077,37.3450589490,,경기데이터드림
올페이스짐,헬스장,체력단련장업,"경기도 시흥시 배곧3로 86, 센터프라자2 605~607호 (배곧동)",126.7295541408,37.3702222869,,경기데이터드림
밸런스 핏 PT 스튜디오,헬스장,체력단련장업,"경기도 시흥시 대은로103번길 7, 신화프라자 204호 (대야동)",126.7986302192,37.4461863037,,경기데이터드림
예일피티 YALE PT,헬스장,체력단련장업,"경기도 시흥시 진말로9번길 2, 부석프라자 306호 (장곡동)",126.7852668701,37.3784680740,,경기데이터드림
리라핏 거모점,헬스장,체력단련장업,"경기도 시흥시 군자로504번길 1, 보성빌딩 지하1층 (거모동)",126.7845460989,37.3449417984,,경기데이터드림
샤랩 피트니스 헬스&피티 배곧점,헬스장,체력단련장업,"경기도 시흥시 서울대학로 99, 801호 (배곧동)",126.7114638181,37.3592235848,,경기데이터드림
일루와짐,헬스장,체력단련장업,"경기도 시흥시 협력로 281, 메가폴리스 1층 B105~B107호 (정왕동)",126.7151538858,37.3518659383,,경기데이터드림
라포르짐,헬스장,체력단련장업,"경기도 시흥시 비둘기공원7길 54, 정민빌딩 5층 502호 (대야동)",126.7913246197,37.4416539648,,경기데이터드림
마리오 짐,헬스장,체력단련장업,"경기도 시흥시 중심상가4길 30, 4층 (정왕동)",126.7368765863,37.3430484691,,경기데이터드림
라훔헬스&필라테스,헬스장,체력단련장업,"경기도 시흥시 비둘기공원로 10, 4층 (대야동)",126.7907603419,37.4439490409,031-315-7779,경기데이터드림
피지오숲 필라테스 배곧점,헬스장,체력단련장업,"경기도 시흥시 서울대학로264번길 44-4, 에스프라자 8층 806,807호 (배곧동)",126.7282075179,37.3671759068,031-365-4550,경기데이터드림
크로스핏 삶의짐,헬스장,체력단련장업,"경기도 시흥시 중심상가4길 24-1, 나라빌딩 지하 1층 (정왕동)",126.7371559822,37.3433296956,,경기데이터드림
정왕헬스,헬스장,체력단련장업,"경기도 시흥시 정왕시장길 52, 정왕시장 3층 301호 (정왕동)",126.7489652672,37.3455685452,031-496-4514,경기데이터드림
리에베 필라테스&PT,헬스장,체력단련장업,경기도 시흥시 산현마을길 52 (주)이안리치개발 301호 (산현동),126.8458587537,37.3765292718,,경기데이터드림
머슬리 짐 PT,헬스장,체력단련장업,"경기도 시흥시 능곡번영길 16, 602~603호 (능곡동)",126.8076490989,37.3691188314,031-404-4465,경기데이터드림
다비드 핏,헬스장,체력단련장업,"경기도 시흥시 서울대학로278번길 19-8, 새롬프라자 4층 407호 (배곧동)",126.7283496731,37.3698358612,,경기데이터드림
머슬뷰티,헬스장,체력단련장업,"경기도 시흥시 중심상가로 197, 영창빌딩 5층 (정왕동)",126.7370463570,37.3441221935,031-433-4935,경기데이터드림
어게인핏,헬스장,체력단련장업,"경기도 시흥시 진말로9번길 2, 부석프라자 501~505호 (장곡동)",126.7852668701,37.3784680740,,경기데이터드림
체인지핏(배곧점),헬스장,체력단련장업,"경기도 시흥시 서울대학로264번길 26-32, 배곧중앙프라자 5층 519~520호 (배곧동)",126.7277276688,37.3666139281,070-7763-3333,경기데이터드림
매드볼릭,헬스장,체력단련장업,"경기도 시흥시 서울대학로278번길 19-8, 새롬프라자 3층 307, 308호 (배곧동)",126.7283496731,37.3698358612,,경기데이터드림
글로리 짐,헬스장,체력단련장업,"경기도 시흥시 서울대학로278번길 26, 시흥배곧 아브뉴프랑 센트럴 오렌지 4층 435호 (배곧동)",126.7278397154,37.3689041270,,경기데이터드림
바나나 짐,헬스장,체력단련장업,"경기도 시흥시 중심상가로 49, 5층 (정왕동)",126.7238318533,37.3523288135,031-431-1188,경기데이터드림
MUSCLE GYM(머슬짐),헬스장,체력단련장업,"경기도 시흥시 은행로167번길 3, 대원빌딩 5층 501호 (대야동)",126.7982075509,37.4454446818,070-8116-8117,경기데이터드림
머슬원핏 월곶점,헬스장,체력단련장업,"경기도 시흥시 월곶중앙로 59, 월곶프라자 402호 (월곶동)",126.7386183971,37.3885516352,,경기데이터드림
파인짐(FINE GYM),헬스장,체력단련장업,"경기도 시흥시 은계번영길 25, 미림프라자 4층 405~407호 (은행동)",126.8039629429,37.4367806110,,경기데이터드림
시흥 하중동 헬스장 짐 메종그랑조,헬스장,체력단련장업,"경기도 시흥시 하중로 213-1, 2층 (하중동)",126.8058059258,37.3926517416,,경기데이터드림
크로스핏 졸리,헬스장,체력단련장업,"경기도 시흥시 시흥대로268번길 12, 3동 (능곡동)",126.8079452309,37.3639286757,,경기데이터드림
배곧멀티짐,헬스장,체력단련장업,"경기도 시흥시 배곧4로 22, 배곧타운2 5층 511호 (배곧동)",126.7269601551,37.3775785190,031-365-5199,경기데이터드림
남스짐 PT전문 &투게더짐 그룹PT전문,헬스장,체력단련장업,"경기도 시흥시 승지로60번길 12, 광장프라자 3층 301~303호 (능곡동)",126.8116614024,37.3687817033,031-317-7377,경기데이터드림
로얄바디짐 은계점 헬스PT,헬스장,체력단련장업,"경기도 시흥시 은계번영길 21, 은계 유테라스 4층 402~403호 (은행동)",126.8033937765,37.4372099101,031-312-9679,경기데이터드림
버프짐,헬스장,체력단련장업,"경기도 시흥시 서울대학로278번길 61, 서영베니스스퀘어 4층 413호 (배곧동)",126.7306929431,37.3681926149,031-488-9679,경기데이터드림
짐무드 시흥점,헬스장,체력단련장업,"경기도 시흥시 서울대학로278번길 61, 서영베니스스퀘어 7층 703~707호 (배곧동)",126.7306929431,37.3681926149,,경기데이터드림
위블휘트니스,헬스장,체력단련장업,"경기도 시흥시 승지로60번길 20, 영 프라자 5층 (능곡동)",126.8119897207,37.3686934767,031-509-8886,경기데이터드림
헬스 DUNAMIS,헬스장,체력단련장업,"경기도 시흥시 월곶중앙로 64, 풍산프라자 4층 402호 (월곶동)",126.7385104453,37.3891728802,,경기데이터드림
ARK GYM,헬스장,체력단련장업,"경기도 시흥시 목감우회로 51, 동한메티컬프라자 5층 501호 (목감동)",126.8619616634,37.3822598219,031-506-5060,경기데이터드림
알유짐 장현동 pt&헬스 시흥시청점,헬스장,체력단련장업,"경기도 시흥시 시청로68번길 25, 삼하빌딩 5층 501호 (장현동)",126.8017904655,37.3822263343,,경기데이터드림
라이프원오원헬스피티,헬스장,체력단련장업,"경기도 시흥시 배곧3로 80, 센터프라자 306,604호 (배곧동)",126.7290879019,37.3705347264,,경기데이터드림
