ID,시군구코드,학교구분,학교코드,학교명,설립구분,설립형태,남학생수,여학생수,남교사수,여교사수,경도,위도,학교주소,홈페이지,학교알리미홈페이지,전화번호,조사일자,1학년학급수,1학년학생수,2학년학급수,2학년학생수,3학년학급수,3학년학생수,4학년학급수,4학년학생수,5학년학급수,5학년학생수,6학년학급수,6학년학생수,기타학급수,기타학생수,특수학급수,특수학생수,교사당학생수,졸업학생수,일반고_전문대,특성화고_일반대,특목고_국외진학,자율고_취업,기타,읍면동코드,중부원점X,중부원점Y,지번코드,학교급
282,41390,초등학교,J100002762,시흥초등학교,공립,단설,,,30,,126.7310765000,37.3522237000,"경기도 시흥시 정왕대로143번길 15, 시흥초등학교 (정왕동)",www.siheung.es.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100002762,031-504-8500,2023년 4월,4,79,4,88,4,112,3,78,4,90,4,101,3,17,0,0,18,,,,,,,41390132,176105.9716029600,427830.6349373000,4139013200118710004,초등학교
283,41390,초등학교,J100002764,신천초등학교,공립,병설,,,18,,126.7827810000,37.4354350000,"경기도 시흥시 포도원로 88(신천동,신천초등학교)",www.sinchen.es.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100002764,070-7097-2204,2023년 4월,2,31,2,36,2,36,2,35,2,26,2,34,2,10,0,0,11,,,,,,,41390102,180707.7590423400,437053.2203624800,4139010200102030000,초등학교
265,41390,초등학교,J100002743,서촌초등학교,공립,단설,,,26,,126.7274269000,37.3494822000,"경기도 시흥시 정왕대로118번길 27(정왕동,서촌초등학교)",www.sechon.es.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100002743,070-7014-4095,2023년 4월,3,58,4,80,3,67,3,80,3,74,4,106,2,9,0,0,18,,,,,,,41390132,175781.7734962300,427527.3257652200,4139013200118480001,초등학교
266,41390,초등학교,J100002744,서해초등학교,공립,단설,,,41,,126.7225337000,37.3559172000,"경기도 시흥시 정왕대로53번길 14(정왕동,서해초등학교)",www.sohae.es.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100002744,031-434-6151,2023년 4월,4,84,5,110,5,137,5,131,5,134,6,157,3,17,1,1,18,,,,,,,41390132,175350.3647168300,428242.7083008100,4139013200118640000,초등학교
272,41390,초등학교,J100002751,소래초등학교,공립,단설,,,21,,126.7837563000,37.4438151000,"경기도 시흥시 호현로 27번길, 14, 소래초등학교 (신천동)",www.sorae.es.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100002751,031-311-9050,2023년 4월,2,33,2,29,3,50,2,34,2,45,3,58,2,13,0,0,12,,,,,,,41390102,180796.1996201800,437983.0108232300,4139010200107040002,초등학교
273,41390,초등학교,J100002752,송운초등학교,공립,병설,,,34,,126.7301021000,37.3602227000,"경기도 시흥시 옥구천동로 433-25(정왕동, 송운초등학교)",www.songwoon.es.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100002752,031-500-0600,2023년 4월,4,80,5,108,4,90,5,111,5,120,5,123,2,17,0,0,19,,,,,,,41390132,176022.1862329300,428718.5656474300,4139013200118750003,초등학교
278,41390,초등학교,J100002758,시화초등학교,공립,단설,,,29,,126.7514256000,37.3393480000,"경기도 시흥시 큰솔로7번길 10, 시화초등학교 (정왕동,시화초등학교)",www.sihwa.es.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100002758,031-503-0650,2023년 4월,3,45,5,75,3,55,3,46,3,48,4,66,2,14,0,0,12,,,,,,,41390132,177904.9482101500,426396.8252526200,4139013200114180002,초등학교
279,41390,초등학교,J100002759,시흥매화초등학교,공립,단설,,,21,,126.8079043000,37.4163213000,"경기도 시흥시 매화1로 62, 시흥매화초등학교 (매화동)",www.shmh.es.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100002759,031-8042-0070,2023년 4월,2,49,3,53,3,51,2,45,3,62,3,70,2,12,0,0,16,,,,,,,41390108,182926.6617090700,434927.2393513900,4139010800103030001,초등학교
280,41390,초등학교,J100002760,시흥신일초등학교,공립,단설,,,26,,126.7914559000,37.4330918000,"경기도 시흥시 신천로7번길 12, 시흥신일초등학교 (신천동)",http://www.sinil-sh.es.kr/,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100002760,031-311-7701,2023년 4월,3,51,3,61,3,68,3,72,4,81,4,106,2,7,0,0,17,,,,,,,41390102,181474.8477648100,436791.4481739900,4139010200108850001,초등학교
281,41390,초등학교,J100002761,시흥은행초등학교,공립,단설,,,36,,126.8007672000,37.4425656000,"경기도 시흥시 대은로104번길 29-10(은행동,시흥은행초등학교)",www.gingko.es.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100002761,07070970204,2023년 4월,5,104,4,96,5,131,4,99,4,101,5,134,2,12,0,0,18,,,,,,,41390106,182301.0764477900,437841.0284527600,4139010600105450000,초등학교
