기관명,분류,종별,주소,좌표X,좌표Y,전화번호,출처
롯데마트 시흥점,대형마트,롯데마트,경기 시흥시 비둘기공원로 28,126.79192609366012,37.44306108835704,031-599-2800,카카오맵
홈플러스익스프레스 대야점,대형마트,홈플러스익스프레스,경기 시흥시 은행로173번길 17,126.79674674600484,37.44476338131484,031-314-8542,카카오맵
북시흥농협 하나로마트,대형마트,하나로마트,경기 시흥시 수인로 3309,126.79144833817683,37.43849210734221,031-313-9085,카카오맵
롯데슈퍼프레시 시흥대야점,대형마트,롯데슈퍼프레시,경기 시흥시 은계로338번길 40,126.796285072774,37.45123906488,031-311-6709,카카오맵
다정홈마트 시흥신천점,대형마트,대형마트,경기 시흥시 시흥대로 1110,126.792411732383,37.4349798477035,031-311-3334,카카오맵
GS더프레시 시흥은계점,대형마트,GS더프레시,경기 시흥시 은계중앙로 115,126.80394538023285,37.43994700980373,031-314-8762,카카오맵
GS더프레시 은계호반점,대형마트,GS더프레시,경기 시흥시 은계남로 12,126.80146157408312,37.43613067287056,031-404-8572,카카오맵
부천축산농협 시흥로컬푸드직매장&하나로마트,대형마트,하나로마트,경기 시흥시 계수로 94,126.809969558965,37.4488038983754,031-311-2012,카카오맵
더이음,대형마트,대형마트,경기 시흥시 수인로2421번길 87-2,126.858559377538,37.3880587361479,,카카오맵
롯데슈퍼프레시 시흥조남점,대형마트,롯데슈퍼프레시,경기 시흥시 목감중앙로 47,126.85476613960948,37.37353324246276,031-481-8352,카카오맵
노브랜드 시흥목감점,대형마트,노브랜드,경기 시흥시 목감둘레로 59-19,126.848055510471,37.37459793187673,02-380-5111,카카오맵
GS더프레시 목감레이크점,대형마트,GS더프레시,경기 시흥시 목감전원로 32,126.843220676468,37.3769667214813,031-485-4999,카카오맵
안산농협 로컬푸드직매장 하나로마트 연꽃지점,대형마트,하나로마트,경기 시흥시 동서로 770,126.830793633484,37.3843460954203,031-487-8989,카카오맵
홈플러스익스프레스 능곡점,대형마트,홈플러스익스프레스,경기 시흥시 능곡로 182,126.810744167325,37.3682414457395,031-404-8545,카카오맵
웰빙푸드마켓 시흥,대형마트,대형마트,경기 시흥시 장현능곡로 155,126.80731411113274,37.37105251076102,031-311-0975,카카오맵
노브랜드 시흥군자점,대형마트,노브랜드,경기 시흥시 능곡군자1길 35,126.807175123174,37.3671319254494,02-380-5111,카카오맵
이마트에브리데이 장현점,대형마트,이마트에브리데이,경기 시흥시 새재로17번길 3,126.801787407572,37.3810969995399,,카카오맵
GS더프레시 시흥장현점,대형마트,GS더프레시,경기 시흥시 장현순환로 81,126.797575152929,37.3733707972528,031-313-5028,카카오맵
군자농협하나로마트 장현점,대형마트,하나로마트,경기 시흥시 장현능곡로 7,126.79127091967835,37.37294536839882,031-435-0031,카카오맵
그린마트 장곡점,대형마트,대형마트,경기 시흥시 장곡로 50,126.78315666698812,37.37969745495335,031-313-8282,카카오맵
GS더프레시 시흥죽율점,대형마트,GS더프레시,경기 시흥시 죽율로 38,126.76131294364042,37.348119516707904,031-434-0456,카카오맵
세계로마트 시화점,대형마트,대형마트,경기 시흥시 정왕대로 210,126.73689386094348,37.3459836520064,031-499-9466,카카오맵
홈플러스 메가푸드마켓 시화점,대형마트,홈플러스,경기 시흥시 희망공원로 269,126.725080411202,37.3452233528729,031-310-8000,카카오맵
롯데마트 시화점,대형마트,롯데마트,경기 시흥시 마유로238번길 26,126.73067927697298,37.3376270524659,031-496-7700,카카오맵
롯데슈퍼프레시 시흥정왕역가맹점,대형마트,롯데슈퍼프레시,경기 시흥시 오동마을로 14,126.74310966977532,37.35270570823534,,카카오맵
홈플러스익스프레스 시흥정왕2점,대형마트,홈플러스익스프레스,경기 시흥시 함송로14번길 30,126.72933608532,37.3619273723365,031-497-8545,카카오맵
노브랜드 시흥정왕점,대형마트,노브랜드,경기 시흥시 함송로 16,126.72958781883892,37.36381289116383,02-380-5111,카카오맵
해성포장용기마트,대형마트,대형마트,경기 시흥시 죽율로 29,126.758898964868,37.3484344861748,031-433-5393,카카오맵
롯데마트 시흥배곧점,대형마트,롯데마트,경기 시흥시 서울대학로278번길 67,126.73146317267782,37.36878540957944,031-299-2500,카카오맵
GS더프레시 배곧신도시점,대형마트,GS더프레시,경기 시흥시 배곧1로 27-15,126.71362443646576,37.36331759886302,031-431-3620,카카오맵
홈플러스익스프레스 시흥배곧점,대형마트,홈플러스익스프레스,경기 시흥시 서울대학로278번길 19-13,126.728545262826,37.3708817371719,031-8042-2293,카카오맵
GS더프레시 시흥배곧파크점,대형마트,GS더프레시,경기 시흥시 배곧4로 81-48,126.73396505842328,37.374803590817926,031-433-2885,카카오맵
노브랜드 시흥아울렛점,대형마트,노브랜드,경기 시흥시 서해안로 699,126.73804949203834,37.37879342495676,02-380-5111,카카오맵
GS더프레시 배곧중흥점,대형마트,GS더프레시,경기 시흥시 해송십리로 472-11,126.73117424057,37.3833173440484,031-497-2248,카카오맵
롯데슈퍼프레시 시흥거북섬점,대형마트,롯데슈퍼프레시,경기 시흥시 거북섬남로 47,126.687472462058,37.32251598023056,02-2290-5600,카카오맵
홈플러스익스프레스 시흥월곶점,대형마트,홈플러스익스프레스,경기 시흥시 월곶중앙로70번길 3,126.73810586898104,37.38952921896998,031-312-8545,카카오맵
