sigun_nm,bizplc_nm,licensg_ymd,bsn_state_nm,clsbiz_ymd,multi_utlz_bizest_yn,swrm_yn,bathrm_cnt,sanittn_indutype_nm,sanittn_bizcond_nm,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
시흥시,평화사우나,20031028,영업,,N,Y,15,,공동탕업+찜질시설서비스영업,"경기도 시흥시 연성로13번길 3 (하중동,,2번지(6,7,8층))","경기도 시흥시 하중동 875-1 ,2번지(6,7,8층)",14976,37.3904462,126.8047643
시흥시,어울림여성전용한증막사우나,20041001,영업,,N,N,2,,공동탕업+찜질시설서비스영업,"경기도 시흥시 중심상가로 132, 청솔아파트 상가동 지하층 (정왕동)",경기도 시흥시 정왕동 1847번지 청솔아파트 상가동 지하층호,15037,37.3474805,126.730893
시흥시,월곶해수피아,20030829,영업,,N,N,2,,공동탕업+찜질시설서비스영업,"경기도 시흥시 월곶중앙로 58, 중앙프라자 6,7층 (월곶동)",경기도 시흥시 월곶동 1009-2 중앙프라자,14966,37.3889417,126.7390098
시흥시,워터캐슬 불가마사우나,20070227,영업,,N,Y,0,,공동탕업+찜질시설서비스영업,"경기도 시흥시 정왕대로 174 (정왕동,광개토빌딩 B101,B201호)","경기도 시흥시 정왕동 1726-1 광개토빌딩 B101,B201호",15036,37.3481553,126.7334942
시흥시,오아시스한증막,20070613,영업,,N,Y,2,,공동탕업+찜질시설서비스영업,"경기도 시흥시 마유로 415 (정왕동,역전프라자 B01호)",경기도 시흥시 정왕동 2302번지 역전프라자 B01호,15024,37.3519417,126.7405803
시흥시,온세사우나,20050701,영업,,N,Y,2,,공동탕업+찜질시설서비스영업,"경기도 시흥시 비둘기공원4길 9 (대야동, 5층.6층,7층)","경기도 시흥시 대야동 531-1번지 5층,6층,7층",14912,37.4433587,126.7900311
시흥시,지젤사우나,20031219,영업,,N,N,2,,공동탕업+찜질시설서비스영업,"경기도 시흥시 신천로 95, 1,2층 (신천동)",경기도 시흥시 신천동 766-3,14949,37.4389808,126.7859917
시흥시,장곡사우나(해양),20060209,영업,,Y,Y,2,,공동탕업+찜질시설서비스영업,"경기도 시흥시 진말로9번길 2 (장곡동,601호)",경기도 시흥시 장곡동 820-3 601호,15002,37.378468,126.7852668
시흥시,참나무숯불사우나,20030530,영업,,N,N,,,공동탕업+찜질시설서비스영업,"경기도 시흥시 인선길 104 (장곡동,지하1층)",경기도 시흥시 장곡동 803-2 지하1층,15002,37.3802219,126.7801899
시흥시,배곧스파24시사우나,20181214,영업,,Y,N,2,,공동탕업+찜질시설서비스영업,"경기도 시흥시 서울대학로264번길 26-32, 배곧중앙프라자 8층 (정왕동)",경기도 시흥시 정왕동 1771-24 배곧중앙프라자,15011,37.3666139,126.7277276
