시설구분,시설명,영업상태,지번주소,도로명주소,위도,경도,위치정보확인,주소정정내역,위치정보출처,원본파일,원본_지번주소,허가일자,허가취소일자,영업상태구분,폐업일자,전화번호,도로명우편번호,정제우편번호,업태구분명,X좌표,Y좌표,문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,건물용도명,지상층수,지하층수,선박총톤수,선박규격내용,회의실객석수용인원,놀이시설수,안내데스크내선번호,부대시설정보
공연장,대야평생학습관,영업중,경기도 시흥시 대야동 571-3,경기도 시흥시 은행로173번길 14 (대야동),37.4455175348,126.7968163486,원본 좌표·주소 대조 완료,,http://place.map.kakao.com/582834692,시흥시 공연장.csv,경기도 시흥시 대야동 571-3,20040426,,13,,031-310-2524,,429874,,181933.080911607,438152.135409829,공연장,공연장,,,,,,,,,,,,
공연장,정왕평생학습관,영업중,경기도 시흥시 정왕동 1800-7,경기도 시흥시 정왕대로233번길 21 (정왕동),37.3478304211,126.7404072295,원본 좌표·주소 대조 완료,,http://place.map.kakao.com/7973083,시흥시 공연장.csv,경기도 시흥시 정왕동 1800-7,20040608,,13,,031-310-6001,,429450,,176928.091882098,427334.540864059,공연장,공연장,,,,,,,,,,,,
공연장,한울림관,영업중,경기도 시흥시 대야동 571-2 시흥시청소년수련관,"경기도 시흥시 은행로 179, 시흥시청소년수련관 (대야동)",37.4460408308,126.7969018918,원본 좌표·주소 대조 완료,,시흥시 공연장.csv 원본 좌표,시흥시 공연장.csv,경기도 시흥시 대야동 571-2 시흥시청소년수련관,20070731,,13,,031-315-1890,14914,14914,,181992.276738745,438229.692309296,공연장,공연장,,,,,,,,,,,,
공연장,어울림 소극장,영업중,경기도 시흥시 대야동 332-1 시흥ABC행복학습타운 3동,"경기도 시흥시 소래산길 11, 시흥ABC행복학습타운 3동 지1층 (대야동)",37.4485093838,126.7846914585,원본 좌표·주소 대조 완료,,http://place.map.kakao.com/1132580572,시흥시 공연장.csv,경기도 시흥시 대야동 332-1 시흥ABC행복학습타운 3동,20180220,,13,,031-310-2063,14902,14902,,180906.714094577,438586.806375632,공연장,공연장,,,,,,,,,,,,
공연장,ABC홀,영업중,경기도 시흥시 대야동 332-1 시흥ABC행복학습타운,"경기도 시흥시 소래산길 11, 시흥ABC행복학습타운 (대야동)",37.4485093838,126.7846914585,원본 좌표·주소 대조 완료,,시흥시 공연장.csv 원본 좌표,시흥시 공연장.csv,경기도 시흥시 대야동 332-1 시흥ABC행복학습타운,20220725,,13,,031-310-2062,14902,14902,,180906.714094577,438586.806375632,공연장,공연장,,1,기타,문화시설,,,,,,,,
영화관,CGV 배곧,영업중,경기도 시흥시 배곧동 204 서영베니스스퀘어 7~8층,"경기도 시흥시 서울대학로278번길 61, 서영베니스스퀘어 7~8층 (배곧동)",37.36805681,126.7304204,주소/시설 기반 좌표 보완,법정동·지번 현행 주소로 정정: 정왕동 1771-1 → 배곧동 204,http://place.map.kakao.com/639010670,시흥시 영화관.csv,경기도 시흥시 정왕동 1771-1 서영베니스스퀘어,,,,,,,,,,,,,,,,,,,,,,,,
영화관,CGV 시흥,휴업중,경기도 시흥시 대야동 568-1 7층,"경기도 시흥시 복지로 90 (대야동, 7층)",37.4470118,126.7917322,주소/시설 기반 좌표 보완,,https://www.openstreetmap.org/node/4644267945,시흥시 영화관.csv,경기도 시흥시 대야동 568-1 7층,,,,,,,,,,,,,,,,,,,,,,,,
영화관,롯데시네마 시흥장현,영업중,경기도 시흥시 능곡동 871 시흥 플랑드르 6층,"경기도 시흥시 장현능곡로 155, 시흥 플랑드르 6층 (능곡동)",37.3711937,126.80659799,주소/시설 기반 좌표 보완,지번 현행 주소로 정정: 능곡동 235-1 → 능곡동 871,http://place.map.kakao.com/1065604754,시흥시 영화관.csv,경기도 시흥시 능곡동 235-1 시흥 플랑드르,,,,,,,,,,,,,,,,,,,,,,,,
영화관,롯데시네마(시화관),영업중,경기도 시흥시 정왕동 2327-2 외1필지 4층,"경기도 시흥시 마유로418번길 10 (정왕동, 외1필지 4층)",37.35139082,126.741849,주소/시설 기반 좌표 보완,,http://place.map.kakao.com/8044736,시흥시 영화관.csv,경기도 시흥시 정왕동 2327-2 외1필지 4층,,,,,,,,,,,,,,,,,,,,,,,,
영화관,메가박스 시흥배곧,영업중,경기도 시흥시 배곧동 199-1 M-플러스 7~8층,"경기도 시흥시 배곧3로 96, M-플러스 7~8층 (배곧동)",37.36969807,126.73063918,주소/시설 기반 좌표 보완,지번 현행 주소로 정정: 배곧동 199-2 → 배곧동 199-1,http://place.map.kakao.com/2100700350,시흥시 영화관.csv,경기도 시흥시 배곧동 199-2 7-8F,,,,,,,,,,,,,,,,,,,,,,,,
영화관,시네마코리아 시흥정왕,영업중,경기도 시흥시 정왕동 1734-2 E MART시화점 10층,"경기도 시흥시 정왕대로 210, E MART시화점 10층 (정왕동)",37.34593587,126.73688161,주소/시설 기반 좌표 보완,,http://place.map.kakao.com/577952487,시흥시 영화관.csv,경기도 시흥시 정왕동 1734-2 E MART시화점,,,,,,,,,,,,,,,,,,,,,,,,
