개방자치단체코드,관리번호,소재지전체주소,도로명전체주소,도로명우편번호,지정일자,해제일자,운영상태,시설명,시설구분,시설위치(지상/지하),시설면적(㎡),최대수용인원,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보X(EPSG5179),좌표정보Y(EPSG5179),데이터갱신구분,데이터갱신시점,최종수정시점,학교급
4010000,4010000-S190000001,경기도 시흥시 대야동 570번지 1호,"경기도 시흥시 은행로 243-17 (대야동, 청구아파트)",14914,2000-01-01,,사용중,대야동 청구1차아파트 지하주차장 지하1층,공공용시설,지하,3247,3247,37,26,48.23,126,47,42.76,37.44668447735505,126.79628530120605,937753.995168,1938843.811348,I,2025-12-15 16:14:09,2025-09-10 10:19:45,
4010000,4010000-S190000002,경기도 시흥시 대야동 548번지,"경기도 시흥시 비둘기공원7길 37 (대야동, 청구아파트)",14912,2000-01-01,,사용중,대야동 청구2차아파트 지하주차장 지하1층,공공용시설,지하,6811,6811,37,26,33.37,126,47,35.32,37.44258921319789,126.7928044401933,937442.687077,1938391.772211,I,2025-12-15 16:14:09,2025-09-10 10:20:24,
4010000,4010000-S190000003,경기도 시흥시 대야동 563 서해아파트,"경기도 시흥시 비둘기공원7길 19 (대야동, 서해아파트)",14913,2000-01-01,,사용중,대야동 서해아파트 지하주차장 지하1층,공공용시설,지하,4501,4501,37,26,37.41,126,47,37.55,37.44412290447477,126.79325859388842,937484.137385,1938561.624359,I,2025-12-15 16:14:09,2025-09-10 10:21:00,
4010000,4010000-S190000004,경기도 시흥시 대야동 567-2 우성아파트,"경기도 시흥시 은행로 222 (대야동, 우성아파트)",14908,2000-01-01,,사용중,대야동 우성1차아파트 지하주차장 지하1층,공공용시설,지하,3894,3894,37,26,46.5,126,47,35.83,37.44644558247846,126.79367995880975,937523.341864,1938819.031697,I,2025-12-15 16:14:09,2025-09-10 10:21:48,
4010000,4010000-S190000005,경기도 시흥시 대야동 569번지 1호,경기도 시흥시 은행로 208 (대야동),14907,2000-01-01,,사용중,대야동 우성2차아파트 지하주차장 지하1층,공공용시설,지하,2719,2719,37,26,50.55,126,47,39.01,37.44751312639322,126.79446360811426,937593.546319,1938936.949834,I,2025-12-15 16:14:09,2025-09-10 10:22:26,
4010000,4010000-S190000006,경기도 시흥시 대야동 568번지 4호,경기도 시흥시 은행로218번길 4 (대야동),14908,2000-01-01,,사용중,대야동 서강1차아파트 지하주차장 지하1층,공공용시설,지하,488,488,37,26,49.5,126,47,33.88,37.44669302763407,126.79277062838123,937443.113145,1938847.08753,I,2025-12-15 16:14:09,2025-09-10 10:23:07,
4010000,4010000-S190000007,경기도 시흥시 대야동 564번지,경기도 시흥시 은행로 230 (대야동),14913,2000-01-01,,사용중,대야동 서강2차아파트 지하주차장 지하1층,공공용시설,지하,6547,6547,37,26,44.05,126,47,39.16,37.44565664951688,126.79422632261236,937571.014862,1938731.142321,I,2025-12-15 16:14:09,2025-09-10 10:24:42,
4010000,4010000-S190000008,경기도 시흥시 대야동 570번지 2호,경기도 시흥시 은행로 233 (대야동),14914,2000-01-01,,사용중,대야동 늘푸른벽산아파트 지하주차장 지하1층,공공용시설,지하,4435,4435,37,26,45.39,126,47,40.24,37.4458213939868,126.7947144515211,937614.329524,1938749.096419,I,2025-12-15 16:14:09,2025-09-10 10:25:43,
4010000,4010000-S190000009,경기도 시흥시 대야동 288번지,경기도 시흥시 서해안로1670번길 12 (대야동),14907,2000-01-01,,사용중,대야동 한신아파트 지하주차장 지하1층,공공용시설,지하,1280,1280,37,27,0.73,126,47,38.45,37.45054589024943,126.79398178525632,937553.448479,1939273.735708,I,2025-12-15 16:14:09,2025-09-10 10:44:15,
4010000,4010000-S190000010,경기도 시흥시 거모동 1715번지 2호,경기도 시흥시 황고개로206번길 43 (거모동),15068,2004-12-02,,사용중,군자동 유호아파트 지하주차장 1층,공공용시설,지하,6504,6504,37,20,55.64,126,47,11.22,37.34832846604252,126.78573406132428,936738.0672,1927938.92305,I,2025-12-15 16:14:09,2025-09-10 10:16:00,
