faclt_nm,faclt_div_nm,refine_wgs84_lat,refine_wgs84_logt,refine_road_nm_addr,refine_lotno_addr,faclt_telno,room_cnt,plot_ar,build_tfar,aceptnc_posbl_psncnt,parkng_comprt_cnt,convnce_faclt_info,safe_faclt_info,subfaclt_info,opr_hr_info,chrg_info,mnginst_telno,mnginst_nm,dat_crtr_ymd
갯골캠핑장,야영장,37.38927543,126.761998,경기도 시흥시 동서로 137-71,경기도 시흥시 월곶동 520-327번지,031-488-6999,45,38157.0,123.0,220,306,화장실/ 음수대/ 샤워실,소화기/ 안전게시물/ 대피공간/ 관리요원,고정형텐트 3동,당일 14:00 ~ 익일 11:00,관외 35000원/관내 25000원/관외(게르) 90000원/관내(게르) 70000원,031-488-6999,경기도 시흥시 시설관리공단,20201229
물왕숲캠핑파크,야영장,37.38116529,126.8280419,경기도 시흥시 물왕동 341-12,경기도 시흥시 물왕동 341-12,031-486-4700,24,4992.0,199.36,96,2,화장실/ 음수대/ 샤워실,소화기/ 안전게시물/ 관리요원,카라반2대/ 야영트레일러2대,,,031-310-2902,경기도 시흥시청,20201229
작은쉼터야영장,야영장,37.34936338,126.7589429,경기도 시흥시 죽율로 25,경기도 시흥시 죽율동 620번지,031-431-6660,15,4916.0,149.4,56,18,화장실/ 음수대/ 샤워실,소화기/ 안전게시물/ 확성기/ 관리요원,카라반 14대,,,031-310-2902,경기도 시흥시청,20201229
갯골캠핑장,야영장,37.38927543,126.761998,경기도 시흥시 동서로 137-71,경기도 시흥시 월곶동 520-327번지,031-488-6999,45,38157.0,123.0,220,306,화장실/ 음수대/ 샤워실,소화기/ 안전게시물/ 대피공간/ 관리요원,고정형텐트 3동,당일 14:00 ~ 익일 11:00,관외 35000원/관내 25000원/관외(게르) 90000원/관내(게르) 70000원,031-488-6999,경기도 시흥시 시설관리공단,20201229
물왕숲캠핑파크,야영장,37.38116529,126.8280419,경기도 시흥시 물왕동 341-12,경기도 시흥시 물왕동 341-12,031-486-4700,24,4992.0,199.36,96,2,화장실/ 음수대/ 샤워실,소화기/ 안전게시물/ 관리요원,카라반2대/ 야영트레일러2대,,,031-310-2902,경기도 시흥시청,20201229
작은쉼터야영장,야영장,37.34936338,126.7589429,경기도 시흥시 죽율로 25,경기도 시흥시 죽율동 620번지,031-431-6660,15,4916.0,149.4,56,18,화장실/ 음수대/ 샤워실,소화기/ 안전게시물/ 확성기/ 관리요원,카라반 14대,,,031-310-2902,경기도 시흥시청,20201229
갯골캠핑장,야영장,37.38927543,126.761998,경기도 시흥시 동서로 137-71,경기도 시흥시 월곶동 520-327번지,031-488-6999,45,38157.0,123.0,220,306,화장실/ 음수대/ 샤워실,소화기/ 안전게시물/ 대피공간/ 관리요원,고정형텐트 3동,당일 14:00 ~ 익일 11:00,관외 35000원/관내 25000원/관외(게르) 90000원/관내(게르) 70000원,031-488-6999,경기도 시흥시 시설관리공단,20201229
물왕숲캠핑파크,야영장,37.38116529,126.8280419,경기도 시흥시 물왕동 341-12,경기도 시흥시 물왕동 341-12,031-486-4700,24,4992.0,199.36,96,2,화장실/ 음수대/ 샤워실,소화기/ 안전게시물/ 관리요원,카라반2대/ 야영트레일러2대,,,031-310-2902,경기도 시흥시청,20201229
작은쉼터야영장,야영장,37.34936338,126.7589429,경기도 시흥시 죽율로 25,경기도 시흥시 죽율동 620번지,031-431-6660,15,4916.0,149.4,56,18,화장실/ 음수대/ 샤워실,소화기/ 안전게시물/ 확성기/ 관리요원,카라반 14대,,,031-310-2902,경기도 시흥시청,20201229
갯골캠핑장,야영장,37.38927543,126.761998,경기도 시흥시 동서로 137-71,경기도 시흥시 월곶동 520-327번지,031-488-6999,45,38157.0,123.0,220,306,화장실/ 음수대/ 샤워실,소화기/ 안전게시물/ 대피공간/ 관리요원,고정형텐트 3동,당일 14:00 ~ 익일 11:00,관외 35000원/관내 25000원/관외(게르) 90000원/관내(게르) 70000원,031-488-6999,경기도 시흥시 시설관리공단,20201229
