mnginst_nm,refine_road_nm_addr,refine_lotno_addr,instl_purps_div,camera_vcnt,camera_pixel_cnt,potogrf_directn_info,custody_day_cnt,instl_ym,mnginst_telno,refine_wgs84_lat,refine_wgs84_logt,dat_crtr_ymd
경기도 시흥시,,,생활방범,2,200,360도,30,201912,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,4,200,360도,30,201712,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,5,200,360도,30,201012,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,1,200,360도,30,201012,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,4,200,360도,30,201112,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,2,200,360도,30,201112,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,4,200,360도,30,201312,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,4,200,360도,30,201312,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,4,200,360도,30,201312,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,3,200,360도,30,201312,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,5,200,360도,30,201312,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,5,200,360도,30,201312,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,4,200,360도,30,201312,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,5,200,360도,30,201312,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,4,200,360도,30,201312,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,5,200,360도,30,201312,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,5,200,360도,30,201312,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,5,200,360도,30,201312,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,5,200,360도,30,201312,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,5,200,360도,30,200612,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,5,200,360도,30,201712,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,5,200,360도,30,200612,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,4,200,360도,30,200612,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,4,200,360도,30,202012,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,4,200,360도,30,201712,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,4,200,360도,30,201712,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,4,200,360도,30,201712,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,4,200,360도,30,201712,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,4,200,360도,30,201712,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,4,200,360도,30,201712,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,3,200,360도,30,201712,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,3,200,360도,30,201312,031-310-6763,,,20241218
경기도 시흥시,,,생활방범,3,200,360도,30,201312,031-310-6763,,,20241218
