sigun_nm,str_nm,bizregno,refine_road_nm_addr,refine_lotno_addr,indutype_cont,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
시흥시,팡제반점,7242101231,경기도 시흥시 군서로18번길 17,경기도 시흥시 정왕동 1191-4번지 101호,중식,15052,37.3457772,126.7506002
시흥시,백소정시흥점,2412501336,경기도 시흥시 옥구상가4길 15,경기도 시흥시 정왕동 1852-3번지 202호,일식·돈까스,15040,37.351529,126.7214577
시흥시,오후엔참치,3253400490,경기도 시흥시 서울대학로278번길 25-18,경기도 시흥시 배곧동 196-1번지 다인로얄팰리스배곧3차 110호,일식·돈까스,15011,37.3697689,126.7291409
시흥시,꽃나라생고기,8800701267,경기도 시흥시 정왕시장길 28,경기도 시흥시 정왕동 1558-12번지 1층,한식,15058,37.3436813,126.7470196
시흥시,하왕이돈까스,8033800741,경기도 시흥시 삼미시장4길 37,경기도 시흥시 신천동 755-25번지 하왕이돈까스,일식·돈까스,14948,37.4402196,126.7806895
시흥시,타코마스터 배곧신도시점,1604200452,경기도 시흥시 서울대학로278번길 25-24,경기도 시흥시 배곧동 198-1번지 다인로얄팰리스배곧1차 113호,"분식,프랜차이즈",15011,37.3695195,126.7296065
시흥시,웰빙엄마손 꼬마김밥 정왕역점,6660601456,경기도 시흥시 마유로418번길 18,경기도 시흥시 정왕동 2326-1번지 정왕프라자 1층 104호,"분식,프랜차이즈",15049,37.3511996,126.742925
시흥시,옛날착한통닭 정왕점,2021511198,경기도 시흥시 역전로 209-1,경기도 시흥시 정왕동 1161-4번지 태금 1층 101호,"치킨,프랜차이즈",15052,37.3480198,126.7474843
시흥시,신기루,1400414038,경기도 시흥시 시흥대로1073번길 31,경기도 시흥시 신천동 874-2번지 신기루,중식,14951,37.4320695,126.7893352
시흥시,태호장,1330443781,경기도 시흥시 복지로53번길 7,경기도 시흥시 대야동 488-7번지 태호장,중식,14909,37.444405,126.788642
시흥시,곱분이 곱창 시흥은계점,7973800747,,경기도 시흥시 은행동 644번지 시흥은계호반써밋플레이스 161호,"프랜차이즈,한식",14922,37.4351025,126.8037071
시흥시,꼬꼬씨참숯불닭갈비닭발,8890900162,경기도 시흥시 호현로22번길 16-1,경기도 시흥시 신천동 708-16번지 꼬꼬씨참숯불닭갈비닭발,한식,14910,37.4411071,126.7858358
시흥시,짬뽕타임시흥은행점,1341349005,경기도 시흥시 은행로149번길 10,경기도 시흥시 은행동 534-2번지 짬뽕타임시흥은행점,중식,14917,37.4441289,126.7982424
시흥시,던킨 시흥조남점,8223800475,경기도 시흥시 목감둘레로 59-9,"경기도 시흥시 조남동 666번지 1층 108,109호","카페,프랜차이즈",14988,37.373667,126.8482441
시흥시,본죽 시흥삼미시장점,2096191657,경기도 시흥시 삼미시장1길 19,경기도 시흥시 신천동 738-2번지 늘푸른교회 1층 6호,"프랜차이즈,한식",14948,37.4405908,126.7839303
시흥시,삼국진 돼지국밥,4343900464,경기도 시흥시 마유로 415,"경기도 시흥시 정왕동 2302번지 110,111호",한식,15024,37.3519417,126.7405803
시흥시,역전할머니맥주(대야점),2430301626,경기도 시흥시 비둘기공원5길 7,경기도 시흥시 대야동 536번지 101호,"프랜차이즈,한식",14912,37.443102,126.7908135
