sigun_nm,medchek_inst_nm,medchek_inst_detail_telno_dtls,medchek_rom_detail_telno_dtls,medchek_rom_detail_faxno_dtls,refine_road_nm_addr,refine_lotno_addr,refine_zipno,genrl_medchek_div_nm,orcvt_medchek_div_nm,infant_medchek_div_nm,stcan_medchek_div_nm,cocan_medchek_div_nm,cvccan_medchek_div_nm,brstcan_medchek_div_nm,lican_medchek_div_nm,refine_wgs84_lat,refine_wgs84_logt
시흥시,365서울가정의학과의원,031-319-6429,031-319-6429,0504-346-3890,경기도 시흥시 배곧1로 27-15,경기도 시흥시 배곧동 243번지 한라비발디캠퍼스 2층 201~202호,15011,없음,없음,내원,없음,없음,없음,없음,없음,37.3636798562,126.7119931155
시흥시,365장곡편한내과의원,031-311-7553,031-311-7553,031-311-7554,경기도 시흥시 장현장곡로 2,경기도 시흥시 장곡동 932-2번지 4층 403~405호,14996,내원,없음,없음,내원,내원,내원,내원,내원,37.3788529681,126.789306839
시흥시,365제이에스JS연합의원,031-365-3735,031-365-3735,070-8230-3737,경기도 시흥시 승지로59번길 12,경기도 시흥시 능곡동 722번지 시티타워 3층 302~303호,14995,없음,없음,내원,없음,없음,없음,없음,없음,37.3688925451,126.8090289918
시흥시,e-조은치과의원,031-491-5956,031-491-5956,031-491-5956,경기도 시흥시 군자로 514,경기도 시흥시 거모동 1742-5번지 거모프라자 204호,15070,없음,내원,없음,없음,없음,없음,없음,없음,37.3443304026,126.7848002767
시흥시,가온내과의원,031-317-7588,031-317-7588,031-317-7589,경기도 시흥시 승지로59번길 12,경기도 시흥시 능곡동 722번지 시티타워 4층 406~409호,14995,내원,없음,없음,내원,내원,없음,내원,내원,37.3688925451,126.8090289918
시흥시,강소아청소년과의원,031-498-7577,031-498-7577,031-498-7577,경기도 시흥시 배곧4로 32-9,경기도 시흥시 배곧동 125번지 골든프라자 2층 206호,15010,없음,없음,내원,없음,없음,없음,없음,없음,37.3767326227,126.7271721413
시흥시,거북섬메디컬치과병원,031-8042-7502,031-8042-7502,070-8220-7502,경기도 시흥시 거북섬2길 25,경기도 시흥시 정왕동 2703번지 퍼스트에비뉴2차 3층,15119,없음,내원,없음,없음,없음,없음,없음,없음,37.3273135449,126.6768182482
시흥시,건영치과의원,031-315-0028,031-315-0028,031-315-0027,경기도 시흥시 시흥대로 1121,"경기도 시흥시 신천동 948번지 신천휴먼시아 상가조합 3층 303호, 302(일부)호",14950,없음,내원,없음,없음,없음,없음,없음,없음,37.43555991,126.7911786218
시흥시,구본건산부인과의원,031-312-7575,031-312-7575,031-312-6767,경기도 시흥시 삼미시장1길 5,경기도 시흥시 신천동 733-1번지 104호,14948,없음,없음,없음,없음,없음,내원,없음,없음,37.4397624314,126.7855547167
시흥시,굿모닝치과의원,031-404-1879,031-404-1879,031-435-4663,경기도 시흥시 월곶중앙로 58,경기도 시흥시 월곶동 1009-2번지 중앙프라자 3층,14966,없음,내원,없음,없음,없음,없음,없음,없음,37.3889417408,126.7390098298
시흥시,굿이브닝치과의원,031-506-2875,031-506-2875,031-509-2828,경기도 시흥시 은계중앙로 374,"경기도 시흥시 대야동 650번지 4층 402,403호",15120,없음,내원,없음,없음,없음,없음,없음,없음,37.4509151361,126.7950473314
시흥시,김경범소아청소년과의원,031-491-5275,031-491-5275,031-491-5275,경기도 시흥시 도일로135번길 4,경기도 시흥시 거모동 1754-5번지 빅타운 302호,15070,없음,없음,내원,없음,없음,없음,없음,없음,37.342598571,126.7846021993
시흥시,김사라소아청소년과의원,031-315-0608,031-315-0608,031-315-0609,경기도 시흥시 장현장곡로 2,경기도 시흥시 장곡동 932-2번지 메디프라자 2층 202호,14996,없음,없음,내원,없음,없음,없음,없음,없음,37.3788529681,126.789306839
시흥시,김서경산부인과의원,031-433-6677,031-433-6677,031-431-5474,경기도 시흥시 정왕대로 220,경기도 시흥시 정왕동 1734-5번지 우리빌딩 5층 504호,15066,없음,없음,없음,없음,없음,내원,없음,없음,37.3454964064,126.7376872724
시흥시,김창규치과의원,031-316-2878,031-316-2878,031-316-2877,경기도 시흥시 비둘기공원7길 33,경기도 시흥시 대야동 543-1번지 디아망타운 503호,14912,없음,내원,없음,없음,없음,없음,없음,없음,37.4430055784,126.7927588701
시흥시,김희승내과의원,031-432-5544,031-432-5544,031-432-5639,경기도 시흥시 군서마을로 36,경기도 시흥시 정왕동 1212-9번지 2층,15052,없음,없음,내원,없음,없음,없음,없음,없음,37.3452818939,126.7478278349
시흥시,꾸러기소아청소년과의원,031-316-9955,031-316-9955,031-314-5005,경기도 시흥시 승지로60번길 25,경기도 시흥시 능곡동 762번지 송죽센타프라자 401~2호,14995,없음,없음,내원,없음,없음,없음,없음,없음,37.3679920221,126.8122671683
