사업장명,영업상태,인허가일자,도로명주소,지번주소,우편번호,전화번호,WGS84위도,WGS84경도,인허가취소일자,폐업일자,휴업시작일자,휴업종료일자,업태구분명,X좌표값,Y좌표값,문화체육업종명,문화사업자구분명,총층수,주변환경명,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,총게임기수,제공게임물명,최초등록시점,지역구분명
123도레미노래연습장KTV,영업중,20130125,"경기도 시흥시 군서로10번길 6-1 (정왕동,지하 1층)",경기도 시흥시 정왕동 1197-10 지하 1층,15052,031-498-9669,37.3443732404,126.7509416046,,,,,,177860.3900000000,426956.8405000000,노래연습장업,유통관련업,4,학교정화(상대),148.720,3,1,근린생활시설,,,5,,,,,,,,,,,일반주거지역
21세기 노래연습장,폐업,19980722,"경기도 시흥시 미산로 69, 지층 (미산동)",경기도 시흥시 미산동 93-1 지층,14944,031-315-1886,37.4220704601,126.7963575821,,20210222,,,,181911.7273690530,435569.1201817870,노래연습장업,유통관련업,,,130.520,,,근린생활시설,,,6,1,N,N,N,Y,N,N,,,,
21세기노래연습장,폐업,20020309,"경기도 시흥시 옥구상가1길 9  (정왕동,(5층))",경기도 시흥시 정왕동 1857-2 (5층),15040,031-499-0500,37.3540055062,126.7224822200,,20070226,,,,175341.5388460960,428032.0137316730,노래연습장업,유통관련업,,유흥업소밀집지역,,,,근린생활시설,,,,,N,N,N,N,N,N,,,,
21세기노래연습장,폐업,20070914,"경기도 시흥시 옥구상가1길 9  (정왕동,5층)",경기도 시흥시 정왕동 1857-2 5층,15040,,37.3540055062,126.7224822200,,20100622,,,,175341.5388460960,428032.0137316730,노래연습장업,유통관련업,5,유흥업소밀집지역,260.880,5,,근린생활시설,1.00,50.000,8,1,Y,Y,Y,Y,Y,N,,,,상업지역
46노래연습장,영업중,20080722,"경기도 시흥시 중심상가로 39, 신우프라자 3층 302호 (정왕동)",경기도 시흥시 정왕동 1859-6 신우프라자,15040,,37.3528545057,126.7229005711,,,,,,175378.8796276250,427904.9821902660,노래연습장업,유통관련업,6,유흥업소밀집지역,288.170,5,1,근린생활시설,2.00,50.000,5,,Y,Y,Y,,Y,N,,,,일반상업지역
5번지노래연습장,영업중,19991025,"경기도 시흥시 정왕천로411번길 7, 지하층 (정왕동)",경기도 시흥시 정왕동 1197,15052,,37.3446362651,126.7511986590,,,,,,177882.6086522890,426985.0017520990,노래연습장업,유통관련업,,,129.960,,,근린생활시설,,,5,,N,N,N,,N,N,,,,
998노래연습장,영업중,20150421,"경기도 시흥시 군서로28번길 8, 지하층 (정왕동)",경기도 시흥시 정왕동 1201-14 지하,15052,,37.3454812084,126.7494064473,,,,,,177723.9084003010,427078.3658180370,노래연습장업,유통관련업,,,132.200,,,근린생활시설,,,5,,,,,,,,,,,일반주거지역
ABC코인노래연습장,폐업,20181026,"경기도 시흥시 비둘기공원7길 33, 디아망타운 2층 201,208호 (대야동)",경기도 시흥시 대야동 543-1 디아망타운,14912,,37.4430055784,126.7927588701,,20240709,,,,181596.5776774840,437913.2683075030,노래연습장업,유통관련업,,,179.640,,,,,,24,,,,,Y,,,,,,
C F 노래연습장,폐업,20000126,"경기도 시흥시 중심상가3길 22  (정왕동,(3층))",경기도 시흥시 정왕동 1742-5 (3층),15066,031-433-9114,37.3443667638,126.7358358707,,20080211,,,,176522.7998190260,426959.3604521410,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,N,N,N,,,,
CNN 노래연습장,폐업,20021107,"경기도 시흥시 평안상가2길 16  (정왕동,(2층))",경기도 시흥시 정왕동 1624-4 (2층),15062,,37.3375959178,126.7482544434,,20080226,,,,177613.5053387580,426212.5609845390,노래연습장업,유통관련업,6,,,5,1,근린생활시설,,,,,N,N,N,N,N,N,,,,
