bizplc_nm,licensg_ymd,bsn_state_nm,locplc_faclt_telno_dtls,locplc_ar_info,roadnm_zipno,refine_road_nm_addr,refine_lotno_addr,refine_zipno,dat_updt_hr,bizcond_div_nm_info,xcrd_vl,ycrd_vl
씨티애견,20080910,말소,031-434-3050,,,"경기도 시흥시 정왕시장길 **, ***호 (정왕동)",경기도 시흥시 정왕동 ****-* ***호,15119,2026-03-10 21:35:50,,177394.005798776,426773.757543338
K.B.T펫월드,20081217,말소,031-433-6434,0,,"경기도 시흥시 정왕천로***번길 *, ***호 (정왕동)",경기도 시흥시 정왕동 ****-* ***호,15119,2026-03-10 21:35:51,,178026.462563253,427060.346014499
바람난강아지,20090415,말소,,,,"경기도 시흥시 정왕시장길 **, ***호 (정왕동)",경기도 시흥시 정왕동 ****-* ***호,15119,2026-03-10 21:35:52,,177519.96,426935.526
우리애견,20090730,말소,,,,"경기도 시흥시 매화*로 **, ***호 (매화동)",경기도 시흥시 매화동 ***-** ***호,,2026-03-10 21:35:54,,183337.081524678,434998.890723225
오이도애견,20100416,말소,031-488-8234,,,"경기도 시흥시 오이도중앙로 ** (정왕동,(*층))",경기도 시흥시 정왕동 ****-** (*층),15119,2026-03-10 21:35:56,,172517.680770372,427222.387869391
도그앤도그,20100705,말소,031-432-2044,,,"경기도 시흥시 마유로 ***-**, ***호 (정왕동)",경기도 시흥시 정왕동 ****-* ***호,15119,2026-03-10 21:35:56,,177180.775369058,427626.071843399
블루아트캣,20130322,말소,031-497-8335,0,15059,"경기도 시흥시 큰솔로 **, ***호 (정왕동)",경기도 시흥시 정왕동 ****-* ***호,15119,2026-03-10 21:36:03,,177963.424698185,426575.939952421
퍼피쏭,20130426,말소,031-431-6979,0,15051,"경기도 시흥시 정왕천로***번길 *, *층 *호 (정왕동)",경기도 시흥시 정왕동 ****-* *층 *호,15119,2026-03-10 21:36:04,,177986.6105,426937.69
(주)성담시화 이마트,20120823,말소,031-451-6200,,15066,경기도 시흥시 정왕대로 *** (정왕동),경기도 시흥시 정왕동 ****-*,15119,2026-03-10 21:36:01,,176599.546077229,427145.740913738
애견 oh! dog,20150211,말소,,0,15049,"경기도 시흥시 오동마을로*번길 **-*, ***호 (정왕동)",경기도 시흥시 정왕동 ****-* ***호,15119,2026-03-10 21:36:09,,177248.309343571,427902.929433874
파블로프애견,20151027,말소,031-316-0020,0,15015,"경기도 시흥시 오이도로 ***, *,*층 (정왕동)","경기도 시흥시 정왕동 ****-** *,*층",15119,2026-03-10 21:36:10,,172217.964902371,426877.630797322
개인의 취향,20161229,말소,,0,15002,경기도 시흥시 진말로*번길 **-** (장곡동),경기도 시흥시 장곡동 ***-*,,2026-03-10 21:36:12,,180829.343612991,430790.666958714
(주)코펫스쿨,20220406,말소,031-319-1916,0,15011,"경기도 시흥시 서해안로 ***, 배곧두손지젤타워 B동 ***호 (배곧동)",경기도 시흥시 배곧동 ***-* 배곧두손지젤타워,,2026-03-10 21:36:22,,176194.216987428,429583.715452083
"오독, Oh dog",20140219,말소,,0,14963,"경기도 시흥시 월곶해안로 ***, *,*,*,*호 (월곶동)",경기도 시흥시 월곶동 ****-**,,2026-03-10 21:36:06,,176495.402218194,431764.844038523
곰아저씨애견샵,20140710,말소,031-432-6377,0,15049,"경기도 시흥시 오동마을로 **, *층 (정왕동)",경기도 시흥시 정왕동 ****-*,15119,2026-03-10 21:36:07,,177185.523929572,427912.31361024
펫스토리,20141205,말소,031-488-8856,0,15049,"경기도 시흥시 마유로***번길 **, ***호 (정왕동, 정왕프라자)",경기도 시흥시 정왕동 정왕프라자 ***호,15119,2026-03-10 21:36:08,,177150.29275918,427712.395055463
도그앤도그,20090721,말소,031-432-2044,,,"경기도 시흥시 마유로 ***-**, ***호 (정왕동)",경기도 시흥시 정왕동 ****-* ***호,15119,2026-03-10 21:35:53,,177180.775369058,427626.071843399
도담캣,20191120,말소,,0,15011,"경기도 시흥시 서울대학로***번길 **, 시흥배곧 아브뉴프랑 센트럴 오렌지 ***호 (정왕동)",경기도 시흥시 정왕동 ****-** 시흥배곧 아브뉴프랑 센트럴 오렌지,15119,2026-03-10 21:36:16,,175820.421330517,429682.135298707
권애견,20090602,말소,,,,"경기도 시흥시 호현로 **, ***호 (대야동)",경기도 시흥시 대야동 ***-* ***호,,2026-03-10 21:35:53,,181107.335863788,438288.286611461
비타민 동물병원,20240401,정상,031-432-9119,0,15010,"경기도 시흥시 배곧*로 **-**, 광장프라자 *층 ***호 (배곧동)",경기도 시흥시 배곧동 *** 광장프라자,,2026-03-10 21:36:28,,175621.112587005,430662.360321249
오&Pet,20240731,정상,,0,15036,"경기도 시흥시 정왕대로 ***, 광개토빌딩* ***호 (정왕동)",경기도 시흥시 정왕동 ****-* 광개토빌딩*,15119,2026-03-10 21:36:30,,176313.285156484,427368.540805943
맘스퍼피,20250926,정상,,0,15011,"경기도 시흥시 서울대학로***번길 **, 새롬프라자* ***호 (배곧동)",경기도 시흥시 배곧동 ***-* 새롬프라자* ***호,,2026-03-10 21:36:32,,175839.546983131,429749.989150418
정왕동 애견용품 창고형 할인매장(비제이코리아),20140917,정상,031-520-0289,0,15049,"경기도 시흥시 오동마을로*번길 *, ***호 (정왕동)",경기도 시흥시 정왕동 ****-* ***호,15119,2026-03-10 21:36:08,,177065.1119357,427903.539989077
유앤미펫 강아지분양 고양이분양 시흥점,20200820,정상,,0,15011,"경기도 시흥시 서울대학로***번길 **, 서영베니스스퀘어 A동 *층 **호 (배곧동)",경기도 시흥시 배곧동 ***-* 서영베니스스퀘어 A동 **호,,2026-03-10 21:36:17,,176072.60072494,429602.843996773
러빙펫 강아지분양 배곧본점,20210326,정상,,0,15011,"경기도 시흥시 서울대학로***번길 **, 서영베니스스퀘어 A-*호 (정왕동)",경기도 시흥시 정왕동 ****-* 서영베니스스퀘어 A-*호,15119,2026-03-10 21:36:18,,176072.60072494,429602.843996773
밀레쥬 에듀파크,20230714,정상,,0,15119,"경기도 시흥시 거북섬북로 **, 아쿠아펫랜드 c동 *층 ***호 (정왕동)",경기도 시흥시 정왕동 **** 아쿠아펫랜드,15119,2026-03-10 21:36:26,,171450.600413716,425422.79435828
고양이 주택,20240124,정상,,0,15011,"경기도 시흥시 배곧*로 **, 센터프라자* *층 ***호 (배곧동)",경기도 시흥시 배곧동 ***-* 센터프라자*,,2026-03-10 21:36:27,,175971.233747393,429834.311801204
연성애견백화점,20110516,정상,031-317-6885,0,15002,"경기도 시흥시 장곡로**번길 **, ***동 ***호 (장곡동)",경기도 시흥시 장곡동 ***-* ***동 ***호,,2026-03-10 21:35:59,,180717.518908813,430704.027602308
애니멀프렌즈,20120828,정상,,0,15009,경기도 시흥시 봉화로***번길 ** (정왕동),경기도 시흥시 정왕동 ***,15119,2026-03-10 21:36:02,,177552.80812114,429449.448859196
경기 관상어,20161209,정상,,0,15011,"경기도 시흥시 서울대학로***번길 ** (정왕동, 롯데마트(시흥배곧점))",경기도 시흥시 정왕동 ****-*,15119,2026-03-10 21:36:11,,176109.153092015,429698.791930655
강아지마을,20210209,정상,,0,15049,"경기도 시흥시 오동마을로*번길 *, C.M건축자재 백화점 ***호 (정왕동)",경기도 시흥시 정왕동 ****-* C.M건축자재 백화점 ***호,15119,2026-03-10 21:36:17,,177065.1119357,427903.539989077
왕발고양이,20210517,정상,,0,15011,"경기도 시흥시 서울대학로***번길 **, 서영베니스스퀘어 ***호 (배곧동)",경기도 시흥시 배곧동 ***-* 서영베니스스퀘어 ***호,,2026-03-10 21:36:18,,176072.60072494,429602.843996773
베베멍 강아지분양 고양이분양 시흥본점,20210823,정상,,0,14923,"경기도 시흥시 은계번영길 **, 미림프라자 ***호 (은행동)",경기도 시흥시 은행동 ***-** 미림프라자 ***호,14923,2026-03-10 21:36:19,,182581.557789038,437200.268595453
드림독 강아지 고양이 안심분양센터 시흥점,20210928,정상,,0,15010,"경기도 시흥시 서울대학로***번길 **-**, ***동 ***, ***호 (배곧동, 시흥배곧 C* 호반 써밋플레이스)",경기도 시흥시 배곧동 *** 시흥배곧 C* 호반 써밋플레이스,,2026-03-10 21:36:19,,175778.500048456,429887.847826116
오늘은 그루밍,20220921,정상,,0,15020,"경기도 시흥시 함송로**번길 **, 세계로교회 *층 ***호 (정왕동)",경기도 시흥시 정왕동 ****-* 세계로교회,15119,2026-03-10 21:36:23,,176195.020493883,429202.130582581
멍블랑 강아지분양 시흥배곧점,20220930,정상,,0,15011,"경기도 시흥시 서울대학로***번길 **-**, B동 *층 ***호 (배곧동, 시흥배곧 C* 호반 써밋플레이스)",경기도 시흥시 배곧동 *** 시흥배곧 C* 호반 써밋플레이스,,2026-03-10 21:36:24,,175778.500048456,429887.847826116
오독안심분양센터 강아지분양 고양이분양 시흥점,20230308,정상,,0,14904,"경기도 시흥시 수인로 ****, *층 (신천동)",경기도 시흥시 신천동 ***-**,,2026-03-10 21:36:25,,180687.043360501,437758.209893463
멍냥멍냥,20230511,정상,,0,14940,"경기도 시흥시 매화*로 **, *층 (매화동)",경기도 시흥시 매화동 ***-*,,2026-03-10 21:36:25,,183144.848144189,434982.738855262
도그시장,20230519,정상,,0,14996,"경기도 시흥시 장현장곡로 **, ****동 ****호 (장현동, 시흥장현 루벤시아 *차)",경기도 시흥시 장현동 *** 시흥장현 루벤시아 *차,,2026-03-10 21:36:26,,181881.048526356,431213.852420596
홈플러스 시화점 수족관 코너,20230605,정상,,0,15081,"경기도 시흥시 희망공원로 ***, 홈플러스시화점 *층 (정왕동)",경기도 시흥시 정왕동 ****-* 홈플러스시화점,15119,2026-03-10 21:36:26,,175571.408649221,427063.061719326
(주)밀레펫,20230804,정상,031-485-5820,0,15119,"경기도 시흥시 거북섬북로 **, 아쿠아펫랜드 C동 *층 ***호 (정왕동)",경기도 시흥시 정왕동 **** 아쿠아펫랜드,15119,2026-03-10 21:36:27,,171450.600413716,425422.79435828
퍼피에몽 강아지분양 시흥본점,20231103,정상,,0,14996,"경기도 시흥시 장현서*길 *, *층 ***호 (장현동)",경기도 시흥시 장현동 ***-*,,2026-03-10 21:36:27,,181994.907930615,430115.720547276
버디독 강아지분양 고양이분양 안심분양센터 시흥점,20240313,정상,,0,14917,"경기도 시흥시 대은로 **, 대양빌딩 *층 ***호 (은행동)",경기도 시흥시 은행동 ***-* 대양빌딩,14923,2026-03-10 21:36:28,,182111.269402746,438106.493449361
라이프독 시흥점 24시 강아지분양 고양이분양,20240425,정상,,0,15011,"경기도 시흥시 서울대학로***번길 **, 시흥배곧 아브뉴프랑 센트럴 오렌지 ***호 (배곧동)",경기도 시흥시 배곧동 *** 시흥배곧 아브뉴프랑 센트럴 오렌지 ***호,,2026-03-10 21:36:29,,175820.421330517,429682.135298707
캣플코지눅 시화점,20240621,정상,,0,15066,"경기도 시흥시 정왕대로 ***, 성담스퀘어 *층 ***호 (정왕동)",경기도 시흥시 정왕동 ****-* 성담스퀘어,15119,2026-03-10 21:36:29,,,
위드멍,20240906,정상,,0,15121,"경기도 시흥시 장현능곡로 ***, 시흥 플랑드르 ****호 (능곡동)",경기도 시흥시 능곡동 *** 시흥 플랑드르 ****호,,2026-03-10 21:36:30,,182864.742763587,429902.071373508
더 퍼펙트,20250131,정상,,0,14998,"경기도 시흥시 시청로 **, 시티프론트 *** The Five ***호 (장현동)",경기도 시흥시 장현동 ***-* 시티프론트 *** The Five,,2026-03-10 21:36:31,,182588.840684945,430776.747702976
신비한동물원,20250616,정상,,0,14916,"경기도 시흥시 은행로 ***-*, 성영빌딩 *층 (은행동)",경기도 시흥시 은행동 ***-* 성영빌딩,14923,2026-03-10 21:36:31,,182236.956274022,437920.194767722
주식회사 부타캣시흥,20251126,정상,,0,14912,"경기도 시흥시 비둘기공원*길 *, 성원상떼빌더센트럴 ***호 (대야동)",경기도 시흥시 대야동 ***-* 성원상떼빌더센트럴 ***호,,2026-03-10 21:36:32,,181487.447272276,437963.787017635
시흥강아지분양 루트켄넬,20251216,정상,,0,15121,"경기도 시흥시 장현천로 **, ***호 (능곡동)",경기도 시흥시 능곡동 *** ***호,,2026-03-10 21:36:33,,182818.33679572,430359.001938888
댕댕뿌치,20260109,정상,,0,15119,"경기도 시흥시 거북섬*길 *, 오션파크 ***, ***호 (정왕동)",경기도 시흥시 정왕동 ****-* 오션파크,15119,2026-03-10 21:36:33,,171352.151621897,424919.465163692
김현수 동물병원,20110419,폐업,031-313-4535,,,,경기도 시흥시 능곡동 ***-***,,2026-03-10 21:35:58,,,
도그훼밀리,20110705,폐업,,,,"경기도 시흥시 월곶해안로 ***, ***,***,***동 (월곶동)","경기도 시흥시 월곶동 ****-** ***,***,***동",,2026-03-10 21:35:59,,176495.402218194,431764.844038523
꼬리치는강아지,20080804,폐업,031-319-3666,,,"경기도 시흥시 정왕천로***번길 **, ***호 (정왕동)",경기도 시흥시 정왕동 ****-* ***호,15119,2026-03-10 21:35:48,,178056.184555054,426694.238741125
복터진강아지,20080808,폐업,031-432-2979,,,경기도 시흥시 정왕천로***번길 ** (정왕동),경기도 시흥시 정왕동 ****-**,15119,2026-03-10 21:35:49,,177679.716022529,427171.003312554
미래애견,20080828,폐업,031-312-2625,,,"경기도 시흥시 시흥대로 ****-*, ***호 (신천동)",경기도 시흥시 신천동 ***-* ***호,,2026-03-10 21:35:49,,181574.799219386,436624.858517906
애견나라,20080829,폐업,031-404-1474,,,경기도 시흥시 신천천서로 ** (신천동),경기도 시흥시 신천동 ***-*,,2026-03-10 21:35:49,,180817.618331903,437420.594157441
킹애견,20081017,폐업,031-488-8233,,,경기도 시흥시 진말로**번길 ** (장곡동),경기도 시흥시 장곡동 ***-*,,2026-03-10 21:35:50,,180748.731112938,430820.896451346
도그앤도그,20081031,폐업,031-432-2044,,,"경기도 시흥시 마유로 ***-**, ***호 (정왕동)",경기도 시흥시 정왕동 ****-* ***호,15119,2026-03-10 21:35:51,,177180.775369058,427626.071843399
바람난강아지,20081110,폐업,031-319-2620,,,"경기도 시흥시 봉우재로 **, ***호 (정왕동)",경기도 시흥시 정왕동 ****-** ***호,15119,2026-03-10 21:35:51,,177428.933832412,427277.536966681
행복한강아지,20120215,폐업,031-313-2858,,,경기도 시흥시 호현로 **-* (신천동),경기도 시흥시 신천동 ***-**,,2026-03-10 21:35:52,,,
도그앤캣,20100204,폐업,031-488-8256,,,"경기도 시흥시 큰솔로**번길 *, ***호 (정왕동)",경기도 시흥시 정왕동 **** ***호,15119,2026-03-10 21:35:54,,178089.082900961,426688.408587376
행복하시개,20221206,폐업,,0,14996,"경기도 시흥시 장현장곡로 **, S***동 *층 ***호 (장현동, 시흥장현LH**단지)",경기도 시흥시 장현동 *** 시흥장현LH**단지,,2026-03-10 21:36:24,,181645.169733108,431182.114637029
