sigun_nm,bizplc_nm,licensg_ymd,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,licensg_rtrcn_ymd,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,xcrd_vl,ycrd_vl,parmacy_bsn_ar,apnt_ymd
,100세약국,20051102,경기도 시흥시 오이도로135번길 44,경기도 시흥시 정왕동2006-4,15015,37.3446059,126.6878515,,폐업,20100302,031-433-0350,,,,
,365능곡온누리약국,20240812,"경기도 시흥시 능곡번영길 30, 센텀시티 121호 (능곡동)",경기도 시흥시 능곡동 898-5 센텀시티,14999,37.3702036,126.8066452,,영업중,,031-435-7897,182800.783926613,429794.882209076,,
,365보건약국,20230602,"경기도 시흥시 정왕천로411번길 48, 102호 (정왕동)",경기도 시흥시 정왕동 1185-8,15052,37.3470298,126.74772,,영업중,,031-504-1611,177575.929948476,427251.791415519,,
,365봄날약국,20230628,"경기도 시흥시 은행고길 28, 1층 101,102호 (은행동)","경기도 시흥시 은행동 616번지 1층 101,102호",14923,37.4407643,126.7993364,,영업중,,031-8042-3034,182172.965565365,437630.09209119,,
,365신천중앙약국,20180305,"경기도 시흥시 수인로 3366, 삼영아트빌 1층 (신천동)",경기도 시흥시 신천동 711번지 삼영아트빌 1층,14910,37.4408674,126.7849563,,폐업,20201108,031-313-0542,180900.325295085,437658.771184379,,
,365열린약국,20250218,"경기도 시흥시 진말1로 10, 1층 103호 (장곡동)",경기도 시흥시 장곡동 934-3,14996,37.3781884,126.7897197,,폐업,20250414,070-7537-2365,,,,
,365조은약국,20180219,"경기도 시흥시 목감중앙로 47, 골든프라자 101호 (조남동)",경기도 시흥시 조남동 677번지,14988,37.3735227,126.854796,,영업중,,031-403-1178,187070.588884491,430169.979351503,,
,365해피약국,20220919,"경기도 시흥시 산현마을길 56, 청담빌딩 1동 1층 101호 (산현동)",경기도 시흥시 산현동 506-1번지 청담빌딩 1동 1층 101호,14989,37.3764823,126.8455203,,영업중,,031-411-3655,186248.136745302,430499.533543744,,
,365햇살약국,20220509,"경기도 시흥시 황고개로 530, 107호 (장곡동)",경기도 시흥시 장곡동 260-21,14996,37.3782036,126.7892564,,영업중,,,181268.875221092,430651.776551747,,
,365행복약국,20170912,"경기도 시흥시 마유로418번길 18, 108호 (정왕동, 정왕프라자)",경기도 시흥시 정왕동 2326-1번지 정왕프라자 108호,15049,37.3511996,126.742925,,영업중,,031-431-4691,177150.29275918,427712.395055463,,
,3층신동아약국,20120928,"경기도 시흥시 정왕대로 230, 3층 306호 (정왕동)",경기도 시흥시  1734번지 7호,15066,37.3449788,126.738494,,영업중,,031-434-4588,176756.587046982,427023.699054553,,
,e-녹향약국,20100201,경기도 시흥시 하중로 127 (하중동),경기도 시흥시 하중동 825번지 1호,14975,37.3993261,126.8004229,,폐업,20100422,,182252.34267047,433050.821767474,,
,e-녹향약국,20100422,경기도 시흥시 하중로 127 (하중동),경기도 시흥시 하중동 825번지 1호,14975,37.3993261,126.8004229,,폐업,20111027,031-435-1144,182252.34267047,433050.821767474,,
,거모보룡약국,20050816,"경기도 시흥시 군자로 520, 109호 (거모동, 동운디오빌아파트)",경기도 시흥시 거모동 1756-1 2 동운디오빌109호,15070,37.3438261,126.784884,,폐업,20131231,031-491-8306,180856.345855649,426905.31334509,,
,거모보룡약국,20140101,경기도 시흥시 군자로 520 (거모동),경기도 시흥시 거모동 1756번지 1호,15070,,,,영업중,,031-491-8306,180856.345855649,426905.31334509,,
,거북섬마린약국,20231208,"경기도 시흥시 거북섬로 219, 셀럽시티 104,105호 (정왕동)",경기도 시흥시 정왕동 2713,15119,37.3235081,126.688327,,폐업,20251110,031-499-5469,172304.609046814,424658.783226581,,
,거북섬약국,20230801,"경기도 시흥시 거북섬로 207, 돌핀프라자 106호 (정왕동)",경기도 시흥시 정왕동 2713-4,15119,37.3227096,126.6875568,,영업중,,031-433-7493,172237.38941878,424572.474332287,,
,건강당약국,19900404,"경기도 시흥시 진말로9번길 2, 108호 (장곡동, 부석프라자)",경기도 시흥시 장곡동 820번지 3호 108호,15002,37.378468,126.7852668,,영업중,,031-503-0771,180903.089589895,430743.560929967,,
,건강약국,20040607,"경기도 시흥시 중심상가4길 18, 18호 (정왕동, 이송빌딩)",경기도 시흥시 정왕1동1739-7,15066,37.343792,126.737569,,영업중,,031-433-3923,176675.322213746,426895.276409752,,
,건강을주는약국,20061204,"경기도 시흥시 도일로135번길 4, 104호 (거모동, 빅타운)",경기도 시흥시거모동1754-5 104호,15070,37.3425985,126.7846021,,영업중,,031-494-3554,180842.716455287,426756.136088499,,
,건강플러스약국,20190419,"경기도 시흥시 희망공원로 269, 홈플러스시화점 2층 (정왕동)",경기도 시흥시 정왕동 2166번지 4호 홈플러스시화점,15081,37.3452082,126.7252373,,영업중,,031-496-9736,175571.408649221,427063.061719326,,
,경희예한약국,20070809,경기도 시흥시 군자천로 321,경기도 시흥시 정왕동1731-6 시화태원프라자103,15036,37.3456507,126.7336777,,폐업,20091214,031-310-3242,,,,
,공룡약국,20210118,"경기도 시흥시 서울대학로278번길 19-13, A동 209호 (배곧동, 시흥배곧 C1 호반 써밋플레이스)",경기도 시흥시 배곧동 191 시흥배곧 C1 호반 써밋플레이스,15011,37.3709989,126.7270163,,영업중,,031-8042-5076,175778.500048456,429887.847826116,,
,관곡지약국,20111006,"경기도 시흥시 관곡지로40번길 22, 102호 (하중동)",경기도 시흥시 하중동 825번지 3호 102호,14975,37.399156,126.8006166,,영업중,,031-435-3445,182274.466237118,433025.875531851,,
,관곡지약국,20080509,경기도 시흥시 관곡지로40번길 22,경기도 시흥시 하중동 825번지 3호  102호,14975,37.399156,126.8006166,,폐업,20111006,031-435-3445,,,,
,광성약국,20190211,"경기도 시흥시 역전로 292, 1층 101호 (정왕동)",경기도 시흥시 정왕동 2303번지 7호,15024,37.3520992,126.7398335,,영업중,,031-495-7373,176879.415818784,427815.695289683,,
,광장약국,20050906,경기도 시흥시 삼미시장1길 17,경기도 시흥시 신천동 737번지 2호,14948,37.440413,126.7843389,,폐업,20100930,031-318-2428,,,,
,국민약국,19980601,경기도 시흥시 마유로 336,경기도 시흥시 정왕동 1735-2 1층,15066,37.3457442,126.7355848,,폐업,20100730,031-431-0346,,,,
,굿모닝 온누리약국,20141124,"경기도 시흥시 승지로60번길 25, 102~3호 (능곡동)",경기도 시흥시 능곡동 762번지 102호,14995,37.367992,126.8122671,,폐업,20170529,031-317-7571,183299.263019354,429563.86993943,,
,굿모닝 온누리약국,20081230,경기도 시흥시 승지로60번길 25 (능곡동),경기도 시흥시 능곡동 762번지 센타프라자 102  103호,14995,37.367992,126.8122671,,폐업,20141124,,183299.263019354,429563.86993943,,
,굿모닝약국,20001007,"경기도 시흥시 정왕대로 220 (정왕동, 우리메디칼센타 305호)",경기도 시흥시 정왕1동1734-5 우리빌딩305,15066,37.3454964,126.7376872,,영업중,,031-319-8286,176685.558296454,427078.797135031,,
,굿모닝온누리약국,20170529,"경기도 시흥시 승지로60번길 25, 102~103호 (능곡동, 센타프라자)",경기도 시흥시 능곡동 762번지 센타프라자 102~103호,14995,37.367992,126.8122671,,영업중,,031-317-7571,183299.263019354,429563.86993943,,
,그린약국,20080212,경기도 시흥시 월곶중앙로30번길 4,경기도 시흥시 월곶동994-1.주영프라자104호,14967,37.3877015,126.7423886,,폐업,20090601,031-435-0545,,,,
,그린약국,20100719,"경기도 시흥시 대은로 83, 2층 203-1호 (대야동, 루비프라자)",경기도 시흥시 대야동 574번지 루비프라자 2층 203-1호,14914,37.4449448,126.7975226,,영업중,,031-435-2250,182013.614439406,438109.017469,,
,금강약국,20010910,"경기도 시흥시 장곡로 74, 110호 (장곡동, 금강프라자)",경기도 시흥시 장곡동 802번지 1호,15002,37.3797651,126.7806574,,폐업,20170331,031-503-1004,180484.866445433,430878.050844962,,
,금빛약국,20200611,"경기도 시흥시 은계로 347, 다온프라자 105호 (대야동)",경기도 시흥시 대야동 646번지,14907,37.4500045,126.7950106,,폐업,20200924,031-311-3180,181791.354918463,438669.611253572,,
,기쁨약국,20200212,경기도 시흥시 수인로3381번길 27 (신천동),경기도 시흥시 신천동 759번지 7호,14948,37.4388888,126.7826917,,폐업,20210310,031-404-9176,180698.831963223,437442.299101552,,
,길약국,20150720,"경기도 시흥시 정왕대로 178, 117호 (정왕동, 광개토빌딩2)",경기도 시흥시 정왕동 1726번지 2호 광개토빌딩2 117호,15036,37.3478159,126.7339718,,폐업,20150831,031-319-9588,176352.574988974,427337.809330146,,
,길약국,20150102,경기도 시흥시 정왕대로 178 (정왕동),경기도 시흥시 정왕동 1726번지 2호,15036,37.3478159,126.7339718,,폐업,20150629,031-310-9588,176352.574988974,427337.809330146,,
,나나약국,20220128,"경기도 시흥시 장현장곡로 2, 110호 (장곡동)",경기도 시흥시 장곡동 932-2번지 블럭메디프라자 110호,14996,37.3788529,126.7893068,,영업중,,031-311-8840,181256.968168917,430769.648672135,,
,나은약국,20070731,,경기도 시흥시 은행동 289번지 5호  1층,14921,37.4317419,126.7943761,,폐업,20100226,031-314-5105,,,,
,나음약국,20091016,경기도 시흥시 비둘기공원1길 7 (대야동),경기도 시흥시 대야동 529번지 4호,14912,37.442228,126.7893522,,폐업,20131112,,181287.491781867,437807.462642537,,
,녹십자약국,19930609,"경기도 시흥시 도일로 123 (거모동, 녹십자약국)",경기도시흥시 거모동1658-68,15070,37.3415478,126.7837541,,폐업,20140408,031-494-4930,180767.513892528,426639.7303738,,
,녹십자약국,20150806,경기도 시흥시 도일로 123 (거모동),경기도 시흥시 거모동 1553번지 1호 1층,15070,37.3415478,126.7837541,,영업중,,031-494-4930,180757.283824488,426627.240684789,,
,녹십자약국,20140408,경기도 시흥시 도일로 123 (거모동),경기도 시흥시 거모동 1553번지 2호,15070,37.3415478,126.7837541,,폐업,20150806,031-494-4930,180763.56730874,426619.857475016,,
,누리약국,20140117,경기도 시흥시 함송로 16 (정왕동),경기도 시흥시 정왕동 1882-1번지,15020,37.3637596,126.729575,,폐업,20210523,070-8824-4362,175974.682228517,429107.516992278,,
,뉴스퀘어약국,20210820,"경기도 시흥시 수도권제1순환고속도로 105, 2층 (조남동)",경기도 시흥시 조남동 산15-1번지 2층,14983,37.3838382,126.8554983,,영업중,,070-4146-6666,187200.182942354,431598.431932023,,
,뉴정왕약국,20070727,경기도 시흥시 옥구상가2길 3 (정왕동),경기도 시흥시 정왕동1861-6 뉴스타프라자1층,15040,37.3536757,126.7244277,,폐업,20221101,031-319-4636,175513.955076215,427990.984622404,,
