sigun_nm,faclt_no,play_si_desc,instl_ymd,instl_plc,publ_prvate_div_nm,inoutdr_div_nm,refine_zipno,refine_road_nm_addr,refine_lotno_addr,refine_wgs84_lat,refine_wgs84_logt
시흥시,525054,산들공원 산책로 어린이 놀이시설,20100519,도시공원,공공,실외,15072,,경기도 시흥시 거모동 1352,37.3470772801,126.7807844539
시흥시,525055,산들공원 중앙광장 어린이놀이시설,20100519,도시공원,공공,실외,15072,,경기도 시흥시 거모동 1352번지,37.3470772801,126.7807844539
시흥시,496,썸머힐시흥어린이집 놀이터,20090213,어린이집,민간,실외,15069,경기도 시흥시 도일로112번길 12,경기도 시흥시 거모동 1653-1번지,37.3403842569,126.7851086429
시흥시,20180,안골공원 어린이놀이시설,20010106,도시공원,공공,실외,15068,,경기도 시흥시 거모동 1715-1번지,37.349095249,126.7857779023
시흥시,20357,거모동 유호아파트101동 어린이놀이터,19980331,주택단지,민간,실외,15068,,경기도 시흥시 거모동 1715-2번지 유호아파트,37.3487844084,126.7864967685
시흥시,545546,거모동 유호아파트103동 어린이놀이터,20140508,주택단지,민간,실외,15068,,경기도 시흥시 거모동 1715-2번지 유호아파트,37.3487844084,126.7864967685
시흥시,27327,세종어린이집 놀이터,20100326,어린이집,민간,실외,15068,경기도 시흥시 군자로481번길 13,경기도 시흥시 거모동 1718-6번지,37.3479541859,126.7848449364
시흥시,20181,내곡공원 어린이 놀이시설,20010106,도시공원,공공,실외,15068,경기도 시흥시 군자로477번안길 10-4,경기도 시흥시 거모동 1722-5번지,37.3481608682,126.7832510254
시흥시,543406,거모어린이집 놀이터,20131101,어린이집,민간,실외,15071,경기도 시흥시 한우물로 49,경기도 시흥시 거모동 1730-7번지,37.3468514236,126.7828457345
시흥시,20182,한우물공원 어린이놀이시설,20010106,도시공원,공공,실외,15071,,경기도 시흥시 거모동 1735-3번지,37.3450033712,126.7832592638
시흥시,545168,아주아파트 402동,20140325,주택단지,민간,실외,15071,,경기도 시흥시 거모동 1736-1번지 아주4차아파트 402동,37.3448501523,126.7828083187
시흥시,20183,석곡공원 어린이 놀이시설,20010106,도시공원,공공,실외,15070,경기도 시흥시 한우물로21번길 30,경기도 시흥시 거모동 1739-1번지,37.3439477049,126.7811460118
시흥시,20362,아주5차아파트 어린이 놀이터,19940101,주택단지,민간,실외,15071,경기도 시흥시 한우물로21번길 20,경기도 시흥시 거모동 1740-1번지,37.3441703967,126.7821938431
시흥시,507944,거모동 보우아파트 놀이터,20110318,주택단지,민간,실외,15071,,경기도 시흥시 거모동 1741-1번지 보우아파트,37.3446085751,126.7831041537
시흥시,28196,이튼어린이집 놀이터,20100309,어린이집,민간,실외,15070,경기도 시흥시 도일로123번길 23-1,경기도 시흥시 거모동 1747-10번지,37.343241695,126.7821462348
시흥시,20184,거모공원 어린이 놀이시설,20010106,도시공원,공공,실외,15070,경기도 시흥시 군자로466번길 92,경기도 시흥시 거모동 1754-1번지,37.3430747685,126.7843493091
시흥시,20379,녹원아파트 어린이 놀이터(102동),19921031,주택단지,민간,실외,15069,,경기도 시흥시 거모동 1765-5번지 녹원아파트,37.3418570224,126.788684739
시흥시,20378,녹원아파트 어린이 놀이터(101동),19921031,주택단지,민간,실외,15069,,경기도 시흥시 거모동 1765-5번지 녹원아파트,37.3418570224,126.788684739
시흥시,20185,태봉공원 어린이 놀이시설,20010106,도시공원,공공,실외,15069,경기도 시흥시 군자로534번안길 6-6,경기도 시흥시 거모동 1768-5번지,37.3421162724,126.7868308112
시흥시,20186,도일어린이놀이시설,20010106,도시공원,공공,실외,15069,경기도 시흥시 군자로534번길 36,경기도 시흥시 거모동 1775-2번지,37.3401452639,126.785833419
시흥시,535958,시립군자어린이집놀이터,20121016,어린이집,민간,실외,15069,경기도 시흥시 도일로92번길 9-12,경기도 시흥시 거모동 1776-1번지,37.3396368428,126.7852286191
시흥시,590023,군자서희스타힐스 유아놀이터(110동),20230815,주택단지,민간,실외,15004,,경기도 시흥시 거모동 1859번지 군자서희스타힐스,37.3635274524,126.7726252368
