region_id,region_name,sido,lawd_cd,valid_from,valid_to,source
seoul-jongno,종로구,서울특별시,11110,202508,202607,행정표준코드관리시스템 법정동코드
seoul-jung,중구,서울특별시,11140,202508,202607,행정표준코드관리시스템 법정동코드
seoul-yongsan,용산구,서울특별시,11170,202508,202607,행정표준코드관리시스템 법정동코드
seoul-seongdong,성동구,서울특별시,11200,202508,202607,행정표준코드관리시스템 법정동코드
seoul-gwangjin,광진구,서울특별시,11215,202508,202607,행정표준코드관리시스템 법정동코드
seoul-dongdaemun,동대문구,서울특별시,11230,202508,202607,행정표준코드관리시스템 법정동코드
seoul-jungnang,중랑구,서울특별시,11260,202508,202607,행정표준코드관리시스템 법정동코드
seoul-seongbuk,성북구,서울특별시,11290,202508,202607,행정표준코드관리시스템 법정동코드
seoul-gangbuk,강북구,서울특별시,11305,202508,202607,행정표준코드관리시스템 법정동코드
seoul-dobong,도봉구,서울특별시,11320,202508,202607,행정표준코드관리시스템 법정동코드
seoul-nowon,노원구,서울특별시,11350,202508,202607,행정표준코드관리시스템 법정동코드
seoul-eunpyeong,은평구,서울특별시,11380,202508,202607,행정표준코드관리시스템 법정동코드
seoul-seodaemun,서대문구,서울특별시,11410,202508,202607,행정표준코드관리시스템 법정동코드
seoul-mapo,마포구,서울특별시,11440,202508,202607,행정표준코드관리시스템 법정동코드
seoul-yangcheon,양천구,서울특별시,11470,202508,202607,행정표준코드관리시스템 법정동코드
seoul-gangseo,강서구,서울특별시,11500,202508,202607,행정표준코드관리시스템 법정동코드
seoul-guro,구로구,서울특별시,11530,202508,202607,행정표준코드관리시스템 법정동코드
seoul-geumcheon,금천구,서울특별시,11545,202508,202607,행정표준코드관리시스템 법정동코드
seoul-yeongdeungpo,영등포구,서울특별시,11560,202508,202607,행정표준코드관리시스템 법정동코드
seoul-dongjak,동작구,서울특별시,11590,202508,202607,행정표준코드관리시스템 법정동코드
seoul-gwanak,관악구,서울특별시,11620,202508,202607,행정표준코드관리시스템 법정동코드
seoul-seocho,서초구,서울특별시,11650,202508,202607,행정표준코드관리시스템 법정동코드
seoul-gangnam,강남구,서울특별시,11680,202508,202607,행정표준코드관리시스템 법정동코드
seoul-songpa,송파구,서울특별시,11710,202508,202607,행정표준코드관리시스템 법정동코드
seoul-gangdong,강동구,서울특별시,11740,202508,202607,행정표준코드관리시스템 법정동코드
incheon-jung,중구,인천광역시,28110,202508,202606,행정표준코드관리시스템 법정동코드(개편 전)
incheon-dong,동구,인천광역시,28140,202508,202606,행정표준코드관리시스템 법정동코드(개편 전)
incheon-michuhol,미추홀구,인천광역시,28177,202508,202607,행정표준코드관리시스템 법정동코드
