시군명,관서명,지방청명,경찰서명,구분명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
가평군,상면,경기북부청,가평,파출소,,경기도 가평군 상면 연하리 171-31번지,경기도 가평군 상면 청군로 1101,37.8048711871,127.3573432680
가평군,조종,경기북부청,가평,파출소,,경기도 가평군 조종면 현리 267-5번지,경기도 가평군 조종면 현창로 43,37.8188027465,127.3478860341
가평군,설악,경기북부청,가평,파출소,,경기도 가평군 설악면 신천리 434-4번지,경기도 가평군 설악면 신천중앙로 115,37.6777705583,127.4906895404
가평군,북면,경기북부청,가평,파출소,,경기도 가평군 북면 목동리 848-4번지,경기도 가평군 북면 화악산로 6,37.8858129462,127.5496854231
가평군,읍내,경기북부청,가평,파출소,,경기도 가평군 가평읍 대곡리 213-4번지,경기도 가평군 가평읍 가화로 38,37.8234695199,127.5162713956
가평군,청평,경기북부청,가평,파출소,,경기도 가평군 청평면 청평리 462-3번지,경기도 가평군 청평면 청평중앙로 33,37.7373479172,127.4183403216
고양시,화정,경기북부청,고양,지구대,17411,경기도 고양시 덕양구 화정동 960번지,경기도 고양시 덕양구 은빛로 80,37.6371666006,126.8366893454
고양시,화전,경기북부청,고양,파출소,10858,경기도 고양시 덕양구 화전동 544-19번지,경기도 고양시 덕양구 중앙로 219,37.6059435097,126.8660377638
고양시,행신3,경기북부청,고양,파출소,10823,경기도 고양시 덕양구 행신동 931번지,경기도 고양시 덕양구 중앙로558번길 90,37.6268138317,126.8389232004
고양시,관산,경기북부청,고양,파출소,10948,경기도 고양시 덕양구 관산동 231-17번지,경기도 고양시 덕양구 통일로 782,37.6882775524,126.8639084709
고양시,고양,경기북부청,고양,파출소,10835,경기도 고양시 덕양구 고양동 444-3번지,경기도 고양시 덕양구 벽제관로 3,37.7034216753,126.9039487688
고양시,신도,경기북부청,고양,지구대,10801,경기도 고양시 덕양구 삼송동 30-27번지,경기도 고양시 덕양구 신도길 6,37.6529325102,126.8939570142
고양시,원당,경기북부청,고양,지구대,17332,경기도 고양시 덕양구 성사동 408-5번지,경기도 고양시 덕양구 호국로790번길 105,37.6542566105,126.8416615154
고양시,행신,경기북부청,고양,지구대,17365,경기도 고양시 덕양구 행신동 991번지,경기도 고양시 덕양구 중앙로 541-18,37.6221093198,126.8357919673
고양시,일산,경기북부청,일산서부,파출소,17753,경기도 고양시 일산서구 일산동 2142번지,경기도 고양시 일산서구 하늘마을로 190,37.6801278137,126.7760658754
고양시,가좌,경기북부청,일산서부,파출소,18014,경기도 고양시 일산서구 가좌동 134-7번지,경기도 고양시 일산서구 가좌로 24,37.6913466551,126.7232494027
고양시,주엽,경기북부청,일산서부,지구대,10930,경기도 고양시 일산서구 주엽동 70번지,경기도 고양시 일산서구 강성로 107,37.6700542770,126.7634867237
고양시,대화,경기북부청,일산서부,지구대,10902,경기도 고양시 일산서구 대화동 2036번지,경기도 고양시 일산서구 일산로 670,37.6828787011,126.7546614181
고양시,탄현,경기북부청,일산서부,지구대,10867,경기도 고양시 일산서구 탄현동 1488번지,경기도 고양시 일산서구 현중로36번길 1,37.6942189518,126.7678755745
고양시,중산,경기북부청,일산동부,지구대,10826,경기도 고양시 일산동구 중산동 1573-5번지,경기도 고양시 일산동구 중산로 220,37.6916194789,126.7804570636
고양시,풍사,경기북부청,일산동부,파출소,10937,경기도 고양시 일산동구 풍동 1271번지,경기도 고양시 일산동구 숲속마을로 54,37.6675840583,126.7973683398
고양시,백석,경기북부청,일산동부,지구대,10803,경기도 고양시 일산동구 백석동 1338번지,경기도 고양시 일산동구 장백로 76,37.6441488751,126.7852452366
고양시,마두,경기북부청,일산동부,지구대,10893,경기도 고양시 일산동구 장항동 899번지,경기도 고양시 일산동구 노루목로 116,37.6500024218,126.7784895770
고양시,도래울,경기북부청,고양,지구대,10946,경기도 고양시 덕양구 도내동 922-1,,,
과천시,별양,경기남부청,과천,지구대,12610,경기도 과천시 갈현동 101-3번지,경기도 과천시 과천대로6길 52,37.4094856920,126.9828185120
과천시,과천,경기남부청,과천,지구대,12607,경기도 과천시 중앙동 70번지,경기도 과천시 관문로 135,37.4335594546,126.9928033332
광명시,광남,경기남부청,광명,지구대,11347,경기도 광명시 광명동 752-4번지,경기도 광명시 광명로 772,37.4689340249,126.8485826730
광명시,광명,경기남부청,광명,지구대,11310,경기도 광명시 철산동 66-9번지,경기도 광명시 사성로 67,37.4863305271,126.8652062127
광명시,소하,경기남부청,광명,지구대,11321,경기도 광명시 소하동 1310번지,경기도 광명시 금하로 500,37.4499205223,126.8883403633
광명시,철산,경기남부청,광명,지구대,12168,경기도 광명시 철산동 241-3번지,경기도 광명시 철산로29번길 16,37.4780403426,126.8689973353
광명시,하안,경기남부청,광명,지구대,12210,경기도 광명시 하안동 650-5번지,경기도 광명시 범안로 1027,37.4615714654,126.8772884787
광명시,일직,경기남부청,광명,파출소,11331,경기도 광명시 일직동 528번지,경기도 광명시 서독로 418,37.4128272193,126.8861786755
광주시,태전,경기남부청,광주,파출소,11442,경기도 광주시 태전동 232-1번지,경기도 광주시 태봉로 46,37.3894674764,127.2294744718
광주시,오포서부,경기남부청,광주,파출소,11468,경기도 광주시 능평동 133번지,경기도 광주시 오포로171번길 3,37.3470315342,127.1827939832
광주시,곤지암,경기남부청,광주,파출소,11520,경기도 광주시 곤지암읍 곤지암리 623번지,경기도 광주시 곤지암읍 곤지암천로 267,37.3520986077,127.3397658920
광주시,경안,경기남부청,광주,지구대,11493,경기도 광주시 경안동 72-2번지,경기도 광주시 중앙로 137,37.4120071172,127.2567399449
광주시,남한산성,경기남부청,광주,파출소,11451,경기도 광주시 남한산성면 산성리 401-2번지,경기도 광주시 남한산성면 남한산성로 757,37.4777402716,127.1862234785
광주시,초월,경기남부청,광주,파출소,11427,경기도 광주시 초월읍 대쌍령리 211-6번지,경기도 광주시 초월읍 경충대로 1243,37.3857296173,127.2883640564
광주시,오포동부,경기남부청,광주,파출소,11496,경기도 광주시 추자동 105-7번지,경기도 광주시 오포로 869,37.3677395674,127.2314159422
광주시,퇴촌,경기남부청,광주,파출소,11504,경기도 광주시 퇴촌면 광동리 237-2번지,경기도 광주시 퇴촌면 광동로 45,37.4707716792,127.3078475312
광주시,도척,경기남부청,광주,파출소,11419,경기도 광주시 도척면 노곡리 283-8번지,경기도 광주시 도척면 도척로 603,37.3002119424,127.3314585546
구리시,수택,경기북부청,구리,파출소,,경기도 구리시 수택동 493-5번지,경기도 구리시 검배로71번길 12-5,37.5964829327,127.1471535945
구리시,갈매,경기북부청,구리,지구대,,경기도 구리시 갈매동 654번지,경기도 구리시 갈매순환로 112,37.6296416364,127.1204435516
구리시,토평,경기북부청,구리,지구대,,경기도 구리시 수택동 851-3번지,경기도 구리시 체육관로74번길 55,37.5913542299,127.1411630420
구리시,인창,경기북부청,구리,지구대,,경기도 구리시 인창동 671-2번지,경기도 구리시 건원대로34번길 31,37.6054432838,127.1414919007
구리시,교문,경기북부청,구리,지구대,,경기도 구리시 교문동 736-3번지,경기도 구리시 안골로 40,37.5969073648,127.1355516299
