설치장소명,설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치연월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
중앙공원,중앙공원,경기도,시흥시,편의시설,시흥시,Siheung-free,201712,경기도 시흥시 정왕대로 191,경기도 시흥시 정왕동 1845-2번지,경기도 시흥시청,031-310-2305,37.3480737,126.7355473000,20190520
외국인복지센터본관,외국인복지센터본관,경기도,시흥시,서민·복지시설,시흥시,Siheung-free,201712,경기도 시흥시 공단1대로259번길 5,경기도 시흥시 정왕동 1366-6번지,경기도 시흥시청,031-310-2305,37.3360099,126.7297798000,20190520
오이도역사기념공원,오이도역사기념공원,경기도,시흥시,편의시설,시흥시,Siheung-free,201612,경기도 시흥시 오이도로 330,경기도 시흥시 정왕동 990-32번지,경기도 시흥시청,031-310-2305,37.3351848,126.6912346000,20190520
도일시장,도일시장,경기도,시흥시,기타,시흥시,Siheung-free,201612,경기도 시흥시 도일로 108-1,경기도 시흥시 거모동 1658-18번지,경기도 시흥시청,031-310-2305,37.3401019,126.7839705000,20190520
월곶해안로,월곶해안로,경기도,시흥시,관광,시흥시,Siheung-free,201612,경기도 시흥시 월곶동 1031,경기도 시흥시 월곶동 1031,경기도 시흥시청,031-310-2305,37.3909555,126.7356186000,20190520
여성비전센터,여성비전센터,경기도,시흥시,관공서,시흥시,Siheung-free,201612,경기도 시흥시 정왕대로233번길 21,경기도 시흥시 정왕동 1800-7번지,경기도 시흥시청,031-310-2305,37.3478191,126.7404047000,20190520
신천도서관,신천도서관,경기도,시흥시,지역문화시설,시흥시,Siheung-free,201712,경기도 시흥시 신천로 89-18,경기도 시흥시 신천동 765-5번지,경기도 시흥시청,031-310-2305,37.4384178,126.7850242000,20190520
정왕어린이도서관,정왕어린이도서관,경기도,시흥시,지역문화시설,시흥시,Siheung-free,201712,경기도 시흥시 정왕시장길 45,경기도 시흥시 정왕동 1212-8번지,경기도 시흥시청,031-310-2305,37.3453239,126.7481209000,20190520
옥구공원,옥구공원,경기도,시흥시,편의시설,시흥시,Siheung-free,201612,경기도 시흥시 오이도로 58,경기도 시흥시 정왕동 876-25번지,경기도 시흥시청,031-310-2305,37.3518081,126.7009578000,20190520
포동체육공원,포동체육공원,경기도,시흥시,편의시설,시흥시,Siheung-free,201712,경기도 시흥시 포동 67-207,경기도 시흥시 포동 67-207,경기도 시흥시청,031-310-2305,37.4037662,126.7844345000,20190520
