sigun_nm,center_nm,telno,hmpg_addr,refine_zipno,refine_lotno_addr,refine_road_nm_addr,refine_wgs84_lat,refine_wgs84_logt
경기도,경기도중독관리통합지원센터,031-269-6692,https://gcamc.co.kr/,16337,경기도 수원시 장안구 정자동 434-10번지 동우빌딩 4층 401호,경기도 수원시 장안구 장안로 262 4층 401호,37.3054885522,126.9920511545
고양시,고양시중독관리통합지원센터,031-932-7071,http://www.gamc.or.kr/,10450,경기도 고양시 일산동구 백석동 1241번지 1층,경기도 고양시 일산동구 일산로 86 1층,37.6451574062,126.7910618871
김포시,김포시중독관리통합지원센터,031-998-4005,http://www.gimpomhc.or.kr,10111,경기도 김포시 사우동 869번지 김포시보건소 별관 2층,"경기도 김포시 사우중로108,  김포시보건소 별관2층",37.623745773,126.7229788379
성남시,성남시중독관리통합지원센터,031-751-2768,www.snac.or.kr,13346,경기도 성남시 수정구 신흥동 3435번지 수정구보건소 5층,경기도 성남시 수정구 수정로 218 수정구보건소 5층,37.4443151933,127.1440483271
수원시,수원시중독관리통합지원센터,031-256-9478,www.kosacc.or.kr,16457,경기도 수원시 팔달구 매산로3가 43-1번지 매산119안전센터 2층,경기도 수원시 팔달구 매산로 89 매산119안전센터 2층,37.2704759309,127.0106824112
안산시,안산시중독관리통합지원센터,031-411-8445,www.ansanacc.or.kr,15335,경기도 안산시 단원구 고잔동 515번지 구단원보건소 2층,경기도 안산시 단원구 화랑로 387 (고잔동) 구단원보건소 2층,37.3213281212,126.8311685283
안양시,안양시중독관리통합지원센터,031-464-0175,http://www.acamc.co.kr/,14093,경기도 안양시 만안구 안양동 548-1번지 계양빌딩 7층,경기도 안양시 만안구 안양로 119(계양빌딩) 7층,37.3853127956,126.9321521471
용인시,용인시중독관리통합지원센터,031-326-0959,https://yiad.co.kr/,17036,경기도 용인시 처인구 모현읍 갈담리 309번지,경기도 용인시 처인구 독점로 31-6,37.3294550112,127.2423886045
의정부시,의정부시중독관리통합지원센터,031-829-5001,https://www.uamc.co.kr/,11673,경기도 의정부시 의정부동 485-6번지 광희빌딩 5층,경기도 의정부시 둔야로 33번길 8 (광희빌딩 5층),37.7391168557,127.0393137603
파주시,파주시중독관리통합지원센터,031-948-8004,www.pajuacc.com,10937,경기도 파주시 조리읍 봉일천리 188-9번지 파주시건강증진센터 2층,"경기도 파주시 조리읍 봉천로 68, 파주시건강증진센터 2층",37.7450796245,126.8050129799
화성시,화성시중독관리통합지원센터,031-354-6614,https://www.hsalcohol.kr/,18519,경기도 화성시 효행구 정남면 신리 260-1번지 정남행정복합센터 내 정남보건지소 1층,경기도 화성시 서봉로 998 정남행정복합센터 내 정남보건지소 1층,37.1602272071,126.9711979594
