bizplc_nm,licensg_ymd,bsn_state_div,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,locplc_ar_info,roadnm_zipno,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,bizcond_div_nm_info,xcrd_vl,ycrd_vl,stockrs_idntfy_id,right_wk_pehs_have_id
칠보 동물병원,20040702,0004,말소,,,30.8,,경기도 수원시 권선구 매실로69번길 18 (호매실동),경기도 수원시 권선구 호매실동 82-3,16395,37.269390113,126.9579950272,,196202.455173852,418609.316536235,,000
협성동물병원,19690101,0004,말소,,,33,12564,경기도 양평군 양평읍 대흥로 106-31,경기도 양평군 양평읍 대흥리 553-1,12564,37.4843514387,127.5403468216,,247666.563321251,442602.110459968,,000
보정동물병원,20140919,0004,말소,,031-898-3708,65.47,16903,경기도 용인시 기흥구 보정로 32 (보정동),경기도 용인시 기흥구 보정동 1277,16903,37.3140161364,127.1111118459,,209787.252955929,423563.214492078,,000
가평축산농협 동물병원,20110418,0004,말소,,,0,,경기도 가평군 가평읍 가화로 55-12,경기도 가평군 가평읍 대곡리 166-1,12420,37.8249298209,127.5150104334,,245272.399227679,480386.602337806,,L00
가평축산농협 동물병원,20110418,0004,말소,,,0,,경기도 가평군 가평읍 가화로 55-12,경기도 가평군 가평읍 대곡리 166-1,12420,37.8249298209,127.5150104334,,245272.399227679,480386.602337806,,000
가평동물병원,19990119,0004,말소,,,0,,,경기도 가평군 가평읍 대곡리 236-7,12420,,,,245147.288587871,480533.900451766,,000
경기동물병원,19900303,0004,말소,,,0,,경기도 가평군 청평면 청평중앙로 8,경기도 가평군 청평면 청평리 438-23,12453,37.7358500189,127.4159359201,,236594.523885646,470455.677127581,,000
해비치동물병원,20150317,0004,말소,,,0,16853,"경기도 용인시 수지구 성복1로 106, 107호 (성복동)",경기도 용인시 수지구 성복동 276-1,16853,37.3168060655,127.0682562124,,205973.446381175,423887.105552504,,000
용정동물병원,20031101,0004,말소,20091231,,0,,경기도 남양주시 진건읍 진건오남로 83,경기도 남양주시 진건읍 용정리 774-17,12133,37.658178087,127.1780509982,,215639.679752428,461776.274704874,,000
용정동물병원,20031014,0004,말소,20091231,,0,,경기도 남양주시 진건읍 진건오남로 83,경기도 남양주시 진건읍 용정리 774-17,12133,37.658178087,127.1780509982,,215639.679752428,461776.274704874,,000
태양동물병원,20011214,0004,말소,20131231,,0,,경기도 남양주시 퇴계원읍 퇴계원로 70,경기도 남양주시 퇴계원읍 퇴계원리 268-11,12119,37.6526421434,127.1429996029,,212548.023423564,461146.256444482,,000
청학동물병원,20010323,0004,말소,20131231,,0,,경기도 남양주시 별내면 청학로 89,경기도 남양주시 별내면 청학리 443-8,12089,37.7076502193,127.1170283154,,210250.681364408,467253.309451237,,000
