sigun_nm,bizplc_nm,licensg_ymd,bsn_state_nm,clsbiz_ymd,multi_utlz_bizest_yn,swrm_yn,bathrm_cnt,sanittn_indutype_nm,sanittn_bizcond_nm,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
가평군,보송목욕탕,19911118,영업,,N,N,0,,공동탕업+찜질시설서비스영업,"경기도 가평군 조종면 현창로56번길 27, 보송목욕탕 1~3층",경기도 가평군 조종면 현리 261-8 보송목욕탕 1~3층 ,12437,37.819734,127.3501792
가평군,신청평숯가마사우나,20071220,폐업,20180201,N,N,2,,공동탕업+찜질시설서비스영업,경기도 가평군 청평면 경춘로 556,경기도 가평군 청평면 대성리 49-5번지 ,12457,37.7196083,127.404562
고양시,스타24시불한증막사우나,20000203,영업,,Y,N,0,,공동탕업+찜질시설서비스영업,"경기도 고양시 일산서구 탄중로233번길 25, B101호,B201호 (탄현동, 양우프라자)","경기도 고양시 일산서구 탄현동 1490-1 외 1필지 양우프라자 B101호, B201호 ",10244,37.6946221,126.7703897
고양시,백송사우나,20061120,영업,,Y,N,0,,공동탕업+찜질시설서비스영업,"경기도 고양시 일산서구 덕이로 212 (덕이동,외 2필지 신일산 골프연습장 지하2층(일부))",경기도 고양시 일산서구 덕이동 1047-1 외 2필지 신일산 골프연습장 지하2층(일부) ,10228,37.6966883,126.7393575
고양시,또와,20191211,영업,,Y,Y,2,,공동탕업+찜질시설서비스영업,"경기도 고양시 일산동구 일산로 46, 남정씨티프라자3 801,901호 (백석동)","경기도 고양시 일산동구 백석동 1308 남정씨티프라자 801,901호 ",10449,37.6423442,126.7879035
고양시,삼송월드24시불한증막,20140224,영업,,Y,Y,4,,공동탕업+찜질시설서비스영업,"경기도 고양시 덕양구 권율대로 908, 701,801,901호 (신원동)","경기도 고양시 덕양구 신원동 629 701,801,901호 ",10571,37.6638806,126.8916117
고양시,대화사우나,20030821,영업,,Y,Y,7,,공동탕업+찜질시설서비스영업,"경기도 고양시 일산서구 송포로 35 (대화동,대륙종합상가 지하2,3층)","경기도 고양시 일산서구 대화동 1464-7 대륙종합상가 지하2,3층 ",10219,37.6696305,126.7323768
고양시,원스파사우나,20160906,영업,,Y,N,0,,공동탕업+찜질시설서비스영업,"경기도 고양시 덕양구 의장로 140, 원흥연세프라자제1동 5층6층 (도내동)","경기도 고양시 덕양구 도내동 961 원흥연세프라자 제1동, 5층6층 ",10551,37.6351897,126.8706968
고양시,아쿠아필드 고양점,20170814,영업,,Y,Y,11,,공동탕업+찜질시설서비스영업,"경기도 고양시 덕양구 고양대로 1955, 4(일부)층 (동산동, 스타필드 고양 쇼핑몰동)",경기도 고양시 덕양구 동산동 370 스타필드 고양 쇼핑몰동 4(일부)층 ,10595,37.6470962,126.8948092
고양시,설문스파랜드,20170710,영업,,N,Y,2,,공동탕업+찜질시설서비스영업,"경기도 고양시 일산동구 은마길 239-3, 1동 (설문동)",경기도 고양시 일산동구 설문동 583-19 외 1필지 1동 ,10252,37.7249075,126.8003221
고양시,스파아일랜드,20220420,영업,,Y,Y,2,,공동탕업+찜질시설서비스영업,"경기도 고양시 일산서구 중앙로 1371, 지하1층 83,84호 (주엽동, 강선마을13단지아파트)","경기도 고양시 일산서구 주엽동 81 강선마을 복합상가동 지하1층 83,84호 ",10366,37.6661974,126.7665181
고양시,엠스파,20030225,영업,,Y,Y,10,,공동탕업+찜질시설서비스영업,"경기도 고양시 일산서구 중앙로 1493 (주엽동,번지 문촌마을복합상가 지하1층)",경기도 고양시 일산서구 주엽동 138 번지 문촌마을복합상가 지하1층 ,10379,37.6725454,126.754005
고양시,썬스파(해양),20071226,영업,,Y,Y,3,,공동탕업+찜질시설서비스영업,"경기도 고양시 일산서구 주엽로 134, B101호 (주엽동, 일산시대프라자 )",경기도 고양시 일산서구 주엽동 115-1 일산시대프라자 B101호,10387,37.6707056,126.7581282
고양시,백두산불한증막사우나,20111212,영업,,Y,Y,10,,공동탕업+찜질시설서비스영업,"경기도 고양시 일산서구 킨텍스로 308 (주엽동, 문촌마을상가동 지하1층)",경기도 고양시 일산서구 주엽동 133 문촌마을상가동 지하1층 ,10384,37.6720825,126.7534994
고양시,북한산온천비젠,19951207,영업,,Y,Y,2,,공동탕업+찜질시설서비스영업,"경기도 고양시 덕양구 중고개길 88-10 (지축동, 지하1층, 1층, 2층)","경기도 고양시 덕양구 지축동 207-1 지하1층,1층,2층 ",10580,37.659174,126.9328957
고양시,에이스스파랜드,20050111,영업,,Y,Y,9,,공동탕업+찜질시설서비스영업,"경기도 고양시 일산서구 고봉로 291, 에이스스타디움 501호 일부, 601호 (일산동)","경기도 고양시 일산서구 일산동 555-1 에이스스타디움 501호 일부, 601호 ",10340,37.6852992,126.7771837
고양시,스파렉스24시불가마사우나,20031011,영업,,Y,Y,14,,공동탕업+찜질시설서비스영업,"경기도 고양시 일산서구 산현로92번길 60 (일산동,탄현 이화프라자 401호, 501호)","경기도 고양시 일산서구 일산동 2023 탄현 이화프라자 401호, 501호 ",10347,37.6894239,126.7707922
고양시,동궁스파 24시 사우나,20170227,영업,,Y,Y,2,,공동탕업+찜질시설서비스영업,"경기도 고양시 일산동구 중앙로 1123, 지하1층 일부호 (백석동, 흰돌마을 상가동)",경기도 고양시 일산동구 백석동 1351 ,10421,37.6470766,126.7820318
고양시,로얄자연에스파,20211117,영업,,Y,N,2,,공동탕업+찜질시설서비스영업,"경기도 고양시 일산서구 탄현로 144-103, 다영프라자 지하1층 B101호 (탄현동)",경기도 고양시 일산서구 탄현동 98-6 다영프라자 지하1층 B101호,10248,37.706477,126.7664617
