faclt_nm,faclt_div_nm,refine_wgs84_lat,refine_wgs84_logt,refine_road_nm_addr,refine_lotno_addr,faclt_telno,room_cnt,plot_ar,build_tfar,aceptnc_posbl_psncnt,parkng_comprt_cnt,convnce_faclt_info,safe_faclt_info,subfaclt_info,opr_hr_info,chrg_info,mnginst_telno,mnginst_nm,dat_crtr_ymd
문수골산장,야영장,37.740257,126.5355384,,"경기도 김포시 월곶면 성동리 212-3, 4, 5번지",031-997-8959,40,3276.0,237.0,160,40,샤워실16,"소화기 ,구급약품","음식점, 족구장",(09:00~22:00),30000~50000,031-980-2482,경기도 김포시청,20190510
김포황토테마파크,자동차야영장,37.7008491,126.6554141,,경기도 김포시 하성면 전류리 114번지,031-984-7428,11,2515.0,68.0,55,10,샤워실3,"소화기 ,구급약품","수영장, 놀이터",1박(상시),30000~50000,031-980-2482,경기도 김포시청,20190510
동막골캠프,야영장,37.751002,126.5369799,경기도 김포시 월곶면 문수산로252번길 19,경기도 김포시 월곶면 성동리 84번지,031-981-7433,16,1653.0,258.0,80,20,샤워실2,"소화기 ,구급약품",음식점,(09:00~22:00),30000~50000,031-980-2482,경기도 김포시청,20190510
김포예당캠핑장,야영장,37.7480874,126.5335602,경기도 김포시 월곶면 문수산로 216,경기도 김포시 월곶면 성동리 152번지,031-989-3113,7,499.0,198.0,30,10,미상,"소화기 ,구급약품",음식점,(09:00~22:00),30000~50000,031-980-2482,경기도 김포시청,20190510
솔내음캠핑장,야영장,37.6894886,126.5810027,경기도 김포시 통진읍 절골로127번길 32-90,경기도 김포시 통진읍 옹정리 248-5번지,031-997-3775,49,5927.0,279.0,245,30,샤워실4,"소화기 ,구급약품",-,1박(상시),30000~50000,031-980-2482,경기도 김포시청,20190510
덕포진누리마을캠핑장,야영장,37.6511312,126.5369813,경기도 김포시 대곶면 덕포진로103번길 130-1,경기도 김포시 대곶면 신안리 228-2번지,031-988-5952,25,6748.0,108.0,140,25,샤워실2,"소화기 ,구급약품",모래놀이터,1박(상시),30000~50000,031-980-2482,경기도 김포시청,20190510
영농조합법인 김포관광농원,야영장,37.7475853,126.5597847,경기도 김포시 월곶면 용강로 325,경기도 김포시 월곶면 용강리 315-156번지,031-986-7608,69,29900.0,934.0,280,70,샤워실30,"소화기 ,구급약품","수영장, 체육관, 매점, 체험농장, 동물농장",1박(오후입영),50000~180000,031-980-2482,경기도 김포시청,20190510
김포한강오토캠핑장,자동차야영장,37.7033421,126.6544953,경기도 김포시 하성면 월하로912번길 64,경기도 김포시 하성면 전류리 167번지,031-989-1000,95,20748.0,1359.0,585,80,샤워실15,"소화기 ,구급약품","수영장, 놀이터",1박(상시),30000~100000,031-980-2482,경기도 김포시청,20190510
봉바위농원,야영장,37.7406421,126.611583,경기도 김포시 하성면 평화공원로70번길 290-97,경기도 김포시 하성면 가금리 396-1번지,031-983-5095,7,5343.0,21.0,65,10,샤워실4,"소화기 ,구급약품","조립식오두막 6동,수영장",1박(상시),30000~50000,031-980-2482,경기도 김포시청,20190510
캠프그라운드 성지,자동차야영장,37.06899931,127.171286,경기도 안성시 원곡면 천덕산로 857-1,경기도 안성시 원곡면 성은리 453-7번지,,19,4997.0,83.21,80,19,전기+상하수도+샤워실+화장실,소화기+확성기+대피공간+관리요원,매점,00:00~23:59,,031-678-2494,안성시 문화관광과,20250320
서울YMCA다락원캠프장,자동차야영장,37.6963545,127.0411835,경기도 의정부시 평화로49번길 63,경기도 의정부시 호원동 산119-6번지 서울YMCA다락원캠프장,031-873-5624,20,4602.0,,80,,음수대,"소화기, 대피시설, 대피안내문",,,,031-828-4354,의정부시 문화관광과,20190401
수락 캠핑장,야영장,37.71351389,127.1003953,경기도 의정부시 송산로971번길 99-4,경기도 의정부시 산곡동 603번지,070-4189-2787,6,2966.0,,30,,샤워장+개수대+화장실+매점,"소화기, 대피시설, 대피안내문",,,,031-828-4354,의정부시 문화관광과,20190401
도봉야영장,야영장,37.73936016,127.0730684,경기도 의정부시 창포원로 81,경기도 의정부시 호원동 163번지,000-0000-0000,18,9020.0,,80,,음수대,"소화기, 대피시설, 대피안내문",,,,031-828-4354,의정부시 문화관광과,20190401
청운오토캠핑장,야영장,37.543015,127.702333,경기도 양평군 청운면 수풀길 37,경기도 양평군 청운면 가현리 435-2번지,031-775-1231,36,11631.0,140.0,144,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
산음캠핑,야영장,37.599515,127.596335,경기도 양평군 단월면 고북길 76-23,경기도 양평군 단월면 산음리 685-1번지,031-772-3054,20,7619.0,188.0,80,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",야외물놀이장,,,031-770-2069,양평군 관광과,20200611
신화가족목공체험 캠핑소,야영장,37.46703328,127.458889,경기도 양평군 강상면 강상로 328,경기도 양평군 강상면 신화리 387-2번지,031-775-7647,5,1646.0,157.0,20,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
별자리농원,야영장,37.597899,127.425618,경기도 양평군 서종면 서정로 361-3,경기도 양평군 서종면 정배리 233-5번지,031-774-3213,10,1458.0,276.0,40,,"화장실, 개수대, 샤워장","소화기, 긴급방송시설, 안전정보게시판 등",,,,031-770-2069,양평군 관광과,20200611
