mnginst_nm,refine_road_nm_addr,refine_lotno_addr,instl_purps_div,camera_vcnt,camera_pixel_cnt,potogrf_directn_info,custody_day_cnt,instl_ym,mnginst_telno,refine_wgs84_lat,refine_wgs84_logt,dat_crtr_ymd
연천군 안전총괄과,,경기도 연천군 백학면 학곡리 33-2,재난재해,2,0,,10,202112,031-839-2428,38.0724685,127.0130218,20240731
연천군 안전총괄과,,경기도 연천군 백학면 노곡리 579-2,재난재해,2,0,,10,202112,031-839-2428,37.9831621,127.0681704,20240731
연천군 안전총괄과,,경기도 연천군 백학면 노곡리 600,재난재해,2,0,,10,202112,031-839-2428,37.9853414,127.0706433,20240731
연천군 안전총괄과,,경기도 연천군 미산면 우정리 105-1,재난재해,2,0,,10,202112,031-839-2428,37.9870076,127.0734281,20240731
연천군 안전총괄과,,경기도 연천군 미산면 동이리 426-1,재난재해,2,0,,10,202112,031-839-2428,37.9970981,127.0755704,20240731
연천군 안전총괄과,,경기도 연천군 미산면 동이리 65-1,재난재해,2,0,,10,202112,031-839-2428,37.9999343,126.9617597,20240731
연천군 안전총괄과,,경기도 연천군 미산면 아미리 132-6,재난재해,2,0,,10,202112,031-839-2428,38.0042214,126.9668468,20240731
연천군 안전총괄과,,경기도 연천군 왕징면 북삼리 187-18,재난재해,2,0,,10,202112,031-839-2428,37.9916933,126.9533589,20240731
연천군 안전총괄과,,경기도 연천군 왕징면 북삼리 228-1,재난재해,2,0,,10,202112,031-839-2428,37.9865294,126.9254028,20240731
경기도 화성시청,,경기도 화성시 덕리 430,생활방범,1,200,,30,200801,031-5189-3528,37.1626,126.937,20240723
연천군 안전총괄과,,경기도 연천군 장남면 원당리 1318-1,재난재해,2,0,,10,202112,031-839-2428,37.9881794,126.921093,20240731
연천군 안전총괄과,,경기도 연천군 장남면 원당리 440-5,재난재해,2,0,,10,202112,031-839-2428,38.0454778,127.020258,20240731
연천군 안전총괄과,,경기도 연천군 장남면 원당리 969-2,재난재해,2,0,,10,202112,031-839-2428,38.0103404,127.0032535,20240731
연천군 안전총괄과,,경기도 연천군 미산면 우정리 570,재난재해,2,0,,10,202212,031-839-2428,38.0193172,127.0149128,20240731
연천군 안전총괄과,,경기도 연천군 미산면 우정리 618-1,재난재해,2,0,,10,202212,031-839-2428,38.0225909,126.9709351,20240731
연천군 안전총괄과,,경기도 연천군 미산면 우정리 594-1,재난재해,2,0,,10,202212,031-839-2428,38.0899833,127.006712,20240731
연천군 안전총괄과,,경기도 연천군 미산면 우정리 231-1,재난재해,2,0,,10,202212,031-839-2428,38.0859888,127.0054675,20240731
연천군 안전총괄과,,경기도 연천군 전곡읍 전곡리 672-7,재난재해,3,0,,30,202012,031-839-2412,37.9917627,126.8904908,20240731
연천군 안전총괄과,경기도 연천군 전곡읍 양연로1503번길 104-1,경기도 연천군 전곡읍 고능리 37-2,재난재해,4,0,,30,202012,031-839-2412,37.9819696,126.8898402,20240731
연천군 안전총괄과,,경기도 연천군 전곡읍 은대리 820-4,재난재해,3,0,,30,202012,031-839-2412,37.969694,126.8787402,20240731
연천군 안전총괄과,,경기도 연천군 군남면 남계리 20-1,재난재해,3,0,,30,202012,031-839-2412,38.0430083,127.0121676,20240731
연천군 안전총괄과,,경기도 연천군 연천읍 차탄리 215-3,재난재해,3,0,,30,202112,031-839-2412,38.0415746,127.0088561,20240731
연천군 연천군보건의료원(의료지원과),경기도 연천군 전곡읍 은대성로 95,경기도 연천군 전곡읍 은대리 577-36,시설물관리,28,0,,30,200412,031-839-4035,38.0417146,127.0955701,20240731
연천군 연천군보건의료원(의료지원과),경기도 연천군 전곡읍 은대성로 95,경기도 연천군 전곡읍 은대리 577-36,기타,2,0,,30,202312,031-839-4139,38.1348849,127.0284325,20240731
연천군 연천읍,경기도 연천군 연천읍 연천로 302,경기도 연천군 연천읍 차탄리 4-4,시설물관리,4,0,,30,201912,031-839-2701,38.1687593,127.0992751,20240731
연천군 왕징면,경기도 연천군 왕징면 왕산로 44,경기도 연천군 왕징면 무등리 8-2,시설물관리,2,0,,30,201912,031-839-2717,38.103887,127.075859,20240731
연천군 왕징면,경기도 연천군 왕징면 왕산로 44,경기도 연천군 왕징면 무등리 8-2,시설물관리,2,0,,30,201912,031-839-2717,38.0581977,127.0128517,20240731
연천군 장남면,경기도 연천군 장남면 장백로 244,경기도 연천군 장남면 원당리 681-5,시설물관리,3,0,,30,201912,031-839-2710,38.1230202,127.0501133,20240731
연천군 장남면,경기도 연천군 장남면 장백로 244,경기도 연천군 장남면 원당리 681-5,시설물관리,3,0,,30,201912,031-839-2710,37.9818046,126.8842091,20240731
연천군 전곡읍,경기도 연천군 전곡읍 은전로 47,경기도 연천군 전곡읍 은대리 573,시설물관리,4,0,,30,201912,031-839-2872,38.0511484,127.0171657,20240731
연천군 종합민원과,경기도 연천군 연천읍 연천로 220,경기도 연천군 연천읍 차탄리 290-1,시설물관리,2,0,,30,201612,031-839-2131,38.0965132,127.0752586,20240731
연천군 종합민원과,경기도 연천군 전곡읍 은대성로 95,경기도 연천군 전곡읍 은대리 577-36,시설물관리,1,0,,30,202112,031-839-2754,38.0235335,127.0609624,20240731
연천군 종합민원과,경기도 연천군 왕징면 왕산로 44,경기도 연천군 왕징면 무등리 8-2,시설물관리,2,0,,30,202112,031-839-2754,38.0581977,127.0128517,20240731
연천군 종합민원과,경기도 연천군 전곡읍 은전로 47,경기도 연천군 전곡읍 은대리 573,시설물관리,2,0,,30,202112,031-839-2754,38.0280866,127.0649737,20240731
연천군 종합민원과,경기도 연천군 전곡읍 전곡로 131,경기도 연천군 전곡읍 전곡리 305-12,시설물관리,1,0,,30,202112,031-839-2754,38.0240083,127.0690335,20240731
연천군 중면,경기도 연천군 중면 군중로 400,경기도 연천군 중면 삼곶리 302,시설물관리,3,0,,30,201912,031-839-2739,38.1208832,127.0533565,20240731
연천군 중면,경기도 연천군 중면 군중로 400,경기도 연천군 중면 삼곶리 302,시설물관리,3,0,,30,201912,031-839-2739,38.1358246,127.0191014,20240731
연천군 지역경제과,경기도 연천군 전곡읍 온골로 49,경기도 연천군 전곡읍 전곡리 474-2,교통단속,2,0,,30,200812,031-839-2275,38.025279,127.0676966,20240731
연천군 지역경제과,경기도 연천군 전곡읍 온골로 43,경기도 연천군 전곡읍 전곡리 302-18,교통단속,1,0,,30,200812,031-839-2275,38.0246413,127.0679578,20240731
연천군 지역경제과,경기도 연천군 전곡읍 전곡역로 41,경기도 연천군 전곡읍 전곡리 485-50,교통단속,1,0,,30,200812,031-839-2275,38.023434,127.0676941,20240731
연천군 지역경제과,경기도 연천군 전곡읍 은전로 80,경기도 연천군 전곡읍 전곡리 459-16,교통단속,1,0,,30,200812,031-839-2275,38.0282884,127.0685249,20240731
연천군 지역경제과,경기도 연천군 전곡읍 전곡로 177,경기도 연천군 전곡읍 전곡리 666-11,교통단속,2,0,,30,200812,031-839-2275,38.0278383,127.0672161,20240731
