div,entrps_nm,main_biz_cont,telno,dat_crtr_ymd,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
음식점업,(신)대원옥,40(1979년),031-255-7493,20221124,"경기도 수원시 팔달구 정조로800번길 6-3, 1층",경기도 수원시 팔달구 팔달로1가 64-1번지 1층,16257,37.2793458,127.0173141
도소매업,금화상회,43(1962년),031-255-7047,20221124,"경기도 수원시 팔달구 수원천로255번길 6, 영동시장 17",경기도 수원시 팔달구 영동 8번지 영동시장 17,16262,37.2768907,127.0187173
음식점업,안일옥,44(1976년),031-675-2486,20221124,경기도 안성시 중앙로 411번길 20(영동),경기도 안성시 영동 24번지,17589,37.0076761,127.2728938
음식점업,유일관,55(1966년),031-585-2543,20221124,경기도 가평군 하면 현창로 38번길 11-1,경기도 가평군 조종면 현리 264-44번지,12437,37.8192727,127.3488962
음식점업,지동관,56(1965년),031-846-2047,20221124,경기도 의정부시 의정부동 196-14,경기도 의정부시 의정부동 196-14,11695,37.7400794,127.0481606
음식점업,남한산성은행나무집,46(1974년),031-743-6549,20221124,경기도 광주시 남한산성면 남한산성로 772,경기도 광주시 남한산성면 산성리 582-4번지,12700,37.4781781,127.1848078
음식점업,장안면옥,38(1982년),031-675-4703,20221124,경기도 안성시 중앙로 371번길 54,경기도 안성시 연지동 157-2번지,17580,37.0099231,127.2694812
음식점업,고복례냉면,43(1975년),"031-655-4252,",20221124,경기도 평택시 조개터로 1번길  71(합정동),경기도 평택시 합정동 920-17번지,17914,36.9896855,127.0997226
도소매업,매향철물(매향상사),33(1987년),031-255-4313,20221124,경기도 수원시 팔달구 수원천로 313(남수동),경기도 수원시 팔달구 남수동 130-4번지,16257,37.2813855,127.0179441
음식점업,민물추어탕,34(1986년),031-215-6655,20221124,"경기도 수원시 영통구 중부대로 286(매탄동, 1층)",경기도 수원시 영통구 매탄동 127-26번지 1층,16531,37.2736123,127.0468126
음식점업,이천용인닭발본점(구.용인닭발),49(1971년),031-635-2287,20221124,경기도 이천시 중리천로21번길 10-11,,17368,,
음식점업,미락복집,31(1983년),031-713-5394,20221124,"경기도 성남시 분당구 구미로9번길 25, 108호",경기도 성남시 분당구 구미동 182번지 분당대맥주차빌딩 108호,13637,37.3403778,127.1099373
도소매업,발안건재,32(1988년),031-353-1223,20221124,경기도 화성시 향남읍 배터길 26-4,경기도 화성시 만세구 향남읍 장짐리 282-17번지,18593,37.1335864,126.9056334
음식점업,봉암식당,44(1975년),031-471-7428,20221124,경기도 안양시 만안구 예술공원로 245번길 15,경기도 안양시 만안구 석수동 839-8번지,13911,37.4191968,126.932484
음식점업,이화회집,31(1988년),031-358-0807,20221124,경기도 화성시 우정읍 이화5리 매화길 2,경기도 화성시 만세구 우정읍 이화리 1099-6번지,18573,37.0272644,126.7953278
도소매업,갑오상회,33(1987년),031-848-0256,20221124,경기도 의정부시 의정부동160 제일상가동 14호~15호,경기도 의정부시 의정부동 160 제일상가동 14호~15호,,,
음식점업,백제장,54(1966년),031-746-4296,20221124,경기도 광주시 남한산성면 남한산성로780번길 3,경기도 광주시 남한산성면 산성리 589번지,12700,37.478834,127.184002
도소매업,수덕신발,40(1978년),031-848-3660,20221124,경기도 의정부시 태평로73번길 20 가동48호,경기도 의정부시 의정부동 160번지 의정부제일시장 가동 48호,11695,37.7394019,127.0501169
도소매업,양곡종묘농약사,38(1981년),031-981-2151,20221124,경기도 김포시 양촌면 양곡리 415-2,경기도 김포시 양촌읍 양곡리 415-2,10059,,
도소매업,엘지슈퍼,33(1986년),031-668-1570,20221124,경기도 부천시 조종로 74 (원미동),경기도 부천시 원미구 원미동 162-104번지,14646,37.4923288,126.7929614
도소매업,영광종묘농약사,35(1985년),02-381-9440,20221124,경기도 고양시 덕양구 삼송로205번길 30-9(삼송동),경기도 고양시 덕양구 삼송동 61-34번지,10556,37.6550583,126.8972274
음식점업,영빈루((주)왕기봉),36(1985년),031-666-2258,20221124,경기도 평택시 신장동 212-10 (탄현로 341),경기도 평택시 신장동 212-10 (탄현로 341),17753,37.0828025,127.0564118
음식점업,털보아구탕,37(1982년),031-484-9393,20221124,"경기도 안산시 단원구 원초로 34 (원곡동, 남양상가)",경기도 안산시 단원구 원곡동 846-1번지 남양상가,15382,37.3276939,126.8018777
도소매업,풍년지물포,40(1980년),031-352-4700,20221124,경기도 화성시 향남읍 평리 108-5,경기도 화성시 만세구 향남읍 평리 108-5,18593,37.1319469,126.9076502
음식점업,홍능갈비,37(1983년),02-3491-6800,20221124,"경기도 고양시 덕양구 삼송로 158 (삼송동,1층)",경기도 고양시 덕양구 삼송동 135-55번지 1층,10590,37.6526946,126.8915216
음식점업,대성민물매운탕,33(1987년),031-840-1361,20221124,경기도 양주시 원학로 147번길 82-3 1층,경기도 양주시 광사동 551-12번지 1층,11489,37.7764304,127.0675843
음식점업,두꺼비집,31(1989년),031-483-2379,20221124,경기도 안산시 단원구 원고잔로 15 (고잔동),경기도 안산시 단원구 고잔동 520-4번지,15357,37.3189,126.8273866
음식점업,부일곱창,32(1986년),032-326-6066,20221124,경기도 부천시 계남로 304(중동),경기도 부천시 원미구 중동 1083-5번지,14530,37.5035894,126.7814735
도소매업,새서울정육점,31(1989년),02-2682-4643,20221124,"경기도 광명시 광이로13번길 11, 1층",경기도 광명시 광명동 158-13번지 1층,14221,37.4799575,126.8568
음식점업,폭포수식당,43(1977년),031-471-3360,20221124,경기도 안양시 만안구 석수동 850-3,경기도 안양시 만안구 석수동 850-3,13911,37.4188028,126.9311421
음식점업,마포설렁탕,28(1990년),031-235-4455,20221124,경기도 수원시 팔달구 인계로101번길 11(인계동),경기도 수원시 팔달구 인계동 949-7번지,16487,37.2687111,127.028954
도소매업,산본시장정육점,31(1988년),031-396-5665,20221124,경기도 군포시 산본천로183번길 3(산본동),경기도 군포시 산본동 221-3번지,15806,37.3698651,126.9382204
음식점업,서울깍두기,30(1989년),031-487-3346,20221124,"경기도 안산시 단원구 광덕서로 56(고잔동, 109~110호)",경기도 안산시 단원구 고잔동 715번지 109~110호,15476,37.3096607,126.8273561
음식점업,인하찹쌀순대,34(1985년),032-652-3834,20221124,경기도 부천시 심곡로34번길 43(송내동),경기도 부천시 소사구 송내동 600번지,14739,37.4810587,126.7731161
음식점업,장흥회관,35(1984년),031-635-3710,20221124,경기도 이천시 중리천로 8-1(중리동),경기도 이천시 중리동 20-2번지,17375,37.2802149,127.4388709
도소매업,제일안경원,28(1991년),031-411-8118,20221124,"경기도 안산시 단원구 선이로 14, 1130(선부동, 안산제1종합시장)",경기도 안산시 단원구 선부동 1028번지 안산제1종합시장 1130호,15220,37.3423606,126.8036386
제조업,㈜동방파스텍,27(1990년),031-847-9872,20221124,경기도 양주시 백석읍 권율로1203번길 39-31,경기도 양주시 백석읍 홍죽리 954-12번지,11517,37.7969599,126.9580026
음식점업,㈜오뎅식당,52(1968년),031-842-0423,20221124,경기도 의정부시 호국로1309번길 7(의정부동),경기도 의정부시 의정부동 220-58번지,11689,37.7440954,127.0494983
음식점업,초리골초계탕,30(1989년),031-958-5250,20221124,경기도 파주시 법원읍 초리골길 110,경기도 파주시 법원읍 법원리 391-3번지,10826,37.8511003,126.8896218
음식점업,할매설렁탕,30(1989년),031-675-6852,20221124,경기도 안성시 중앙로 480(봉산동),경기도 안성시 봉산동 60-4번지,17594,37.0051378,127.2796901
도소매업,쓰리에이안경,26(1994년),031-222-0001,20221124,"경기도 수원시 경수대로302번길 29, 1층 104-1호, 104-2호(권선동)","경기도 수원시 권선구 권선동 1185-1번지 권선삼성아파트 1층 104-1호, 104-2호",16583,37.2535563,127.0238386
제조업,화성기름집,34(1985년),031-754-1285,20221124,"경기도 성남시 중원구 둔촌대로69번길 8, 166(성남동)",경기도 성남시 중원구 성남동 4214번지 166,13377,37.4306354,127.1274977
제조업,대성기름집,32(1988년),031-754-2883,20221124,경기도 성남시 중원구 둔촌대로83번길 7(성남동),경기도 성남시 중원구 성남동 4222번지,13377,37.4309074,127.128005
제조업,성경기름집,21(1999년),031-721-2173,20221124,경기도 성남시 중원구 성남대로1139번길 6(성남동),경기도 성남시 중원구 성남동 4168번지,13376,37.431657,127.128476
도소매업,가나북스,32(1987년),031-408-8811,20221124,"경기도 시흥시 수인로 2323, 409호, 414호, 415호","경기도 시흥시 목감동 235-2번지 409호,414호,415호",14984,37.3866531,126.8626473
서비스업,할리바버샵,21(1998년),031-411-5070,20221124,경기도 수원시 권선구 금곡로 236 홈플러스 서수원점 3층,경기도 수원시 권선구 금곡동 1116번지 홈플러스서수원점 3층,16393,37.274401,126.9558611
서비스업,정숙희미용실,25(1994년),031-466-6904,20221124,경기도 안양시 만안구 안양로332 우성빌딩 2층,경기도 안양시 만안구 안양동 689-112번지 우성빌딩 2층,13991,37.4014403,126.9195682
음식점업,어부집,30(1989년),031-953-0787,20221124,경기도 파주시 파평면 장승배기로 366번길 15,경기도 파주시 파평면 율곡리 83-29번지,10809,37.8967525,126.8192395
음식점업,할머니집,35(1984년),031-374-4634,20221124,경기도 오산시 오산로300번길 3(오산동),경기도 오산시 오산동 429-9번지,18136,37.1537459,127.0691175
도소매업,광명탈렌트,28(1991년),02-2618-1616,20221124,경기도 광명시 광명로 898,경기도 광명시 광명동 158-513번지,14262,37.4790441,126.854591
서비스업,제궁태권도장,28(1992년),031-391-5442,20221124,"경기도 군포시 산본로 296-1, 401호",경기도 군포시 금정동 849-2번지 주공1단지 401호,15836,37.3584473,126.9368714
도소매업,김포쌀상회,34(1986년),031-981-2320,20221124,경기도 김포시 양촌읍 양곡1로 28,경기도 김포시 양촌읍 양곡리 1091-47번지,10059,37.6530048,126.6242177
도소매업,올림픽신발,26(1982년),050-71307-6402,20221124,경기도 김포시 양촌읍 양곡1로 35,경기도 김포시 양촌읍 양곡리 388-8번지,10059,37.6536947,126.6236655
서비스업,한화하이안세탁,33(1987년),031-989-7868,20221124,"경기도 김포시 풍무로68번길 41, 101호",경기도 김포시 풍무동 775번지 한화유로메트로아파트 101호,10115,37.6019246,126.7284736
도소매업,현경한약방,36(1984년),031-981-4943,20221124,경기도 김포시 양촌읍 양곡1로 23,경기도 김포시 양촌읍 양곡리 393-3번지,10059,37.652751,126.624028
음식점업,삼미정,22(1997년),032-651-9493,20221124,"경기도 부천시 부천로130번길 3, 1층(원미동)",경기도 부천시 원미구 원미동 88-8번지 1층,14566,37.4956862,126.7861874
도소매업,이안경,23(1984년),032-664-3030,20221124,경기도 부천시 부천로 185(춘의동),,,,
음식점업,행복한밥상,23(1997년),032-653-7272,20221124,경기도 부천시 장말로279번길 6-2(심곡동),경기도 부천시 원미구 심곡동 305-7번지,14611,37.4916865,126.773262
도소매업,우드아트,23(1998년),031-751-9130,20221124,경기도 성남시 수정구 제일로 154,경기도 성남시 수정구 수진동 75번지,13327,37.4403942,127.132265
도소매업,충주기름집,28(1992년),031-754-0751,20221124,경기도 성남시 중원구 둔촌대로 83번길 7,경기도 성남시 중원구 성남동 4222번지,13377,37.4309074,127.128005
서비스업,대성이발관,38(1981년),031-235-1653,20221124,"경기도 수원시 팔달구 인계로68번길 52, 102호",경기도 수원시 팔달구 인계동 990-10번지 창조의집 102호,16476,37.2666814,127.0240492
도소매업,대하건재약업사,20(2000년),031-292-1800,20221124,"경기도 수원시 권선구 입북로 12, 1층 102호",경기도 수원시 권선구 입북동 430-26번지 1층 102호,16370,37.2928457,126.9602976
음식점업,진천식당,28(1991년),031-256-3074,20221124,경기도 수원시 장안구 정조로934번길 25,경기도 수원시 장안구 영화동 293-38번지,16269,37.2916722,127.0139862
도소매업,깨?는부부,26(1993년),031-495-7282,20221124,경기도 시흥시 도일로 100-4,경기도 시흥시 거모동 1669-24번지,15069,37.3393863,126.7840569
서비스업,맨스헤어몽스튜디오,23(1997년),031-311-6623,20221124,경기도 시흥시 은행로 66,경기도 시흥시 은행동 105-2번지,14920,37.4378067,126.7961198
음식점업,벼슬구지뼈다귀감자탕,20(2000년),031-318-8199,20221124,경기도 시흥시 연성로29번길 14-1,경기도 시흥시 하중동 867-12번지,14976,37.3919522,126.8064111
도소매업,이안경박사,42(1978년),031-492-0085,20221124,"경기도 안산시 단원구 원곡로 36, 1층동 (원곡동)",경기도 안산시 단원구 원곡동 801번지 1층 동,15392,37.3302009,126.7929824
음식점업,그때그집,22(1998년),031-675-5268,20221124,경기도 안성시 안성맞춤대로 1052-1,경기도 안성시 서인동 54번지,17592,37.0071561,127.2696582
음식점업,마로니에,30(1990년),031-674-9993,20221124,경기도 안성시 서인동 77,경기도 안성시 서인동 77,17581,37.0061716,127.2686833
도소매업,안성땅콩상회,35(1984년),031-674-8089,20221124,경기도 안성시 아양동 286-4,경기도 안성시 아양동 286-4,17582,37.0059882,127.2671215
음식점업,남한강송어횟집,26(1993년),031-881-5792,20221124,경기도 여주시 능서면 능서로 714,경기도 여주시 세종대왕면 내양리 68번지,12642,37.3535636,127.5731574
음식점업,단골집,47(1973년),031-882-7607,20221124,경기도 여주시 대신면 율촌리 379-4,경기도 여주시 대신면 율촌리 379-4,12610,,
도소매업,용인떡집,38(1982년),031-335-5480,20221124,경기도 용인시 처인구 금령로93번길 12-1,경기도 용인시 처인구 김량장동 133-217번지,17052,37.2367528,127.2064585
음식점업,경원식당,39(1980년),031-878-5464,20221124,경기도 의정부시 둔야로 49번길 21,경기도 의정부시 의정부동 483번지,11673,37.7402755,127.038285
음식점업,고산떡갈비,33(1986년),031-842-3006,20221124,경기도 의정부시 평화로 562번길 13,경기도 의정부시 의정부동 202-15번지,11692,37.7423043,127.0477952
도소매업,해성장식,31(1989년),031-633-7887,20221124,경기도 이천시 중리천로 11,경기도 이천시 관고동 12-5번지,17368,37.2806568,127.4391977
도소매업,경기모타,34(1986년),031-941-3302,20221124,경기도 파주시 강천길 134,경기도 파주시 금촌동 329-203번지,10912,37.7642617,126.7696152
제조업,청아원㈜,27(1987년),031-554-0775,20221124,경기도 포천시 군내면 용정경제로 1길 48-39,경기도 포천시 군내면 용정리 484번지,11154,37.8783747,127.1999166
음식점업,대로식당,27(1993년),031-234-2186,20221124,경기도 화성시 병점중앙로 170번길 12-7,경기도 화성시 병점구 진안동 869-8번지,18399,37.2137086,127.0383013
음식점업,석정,25(1994년),031-376-4316,20221124,경기도 화성시 풀무골로 77번길 20-9,경기도 화성시 동탄구 중동 192-2번지,18465,37.2068111,127.1390362
서비스업,태양이발관,30(1990년),031-234-3070,20221124,경기도 화성시 경기도대로 1024(병점동),경기도 화성시 병점구 병점동 354-18번지,18411,37.2071735,127.0360196
음식점업,털보회관,28(1991년),031-376-2479,20221124,경기도 화성시 풀무골로 106번길 19,경기도 화성시 동탄구 중동 243번지,18465,37.2034864,127.1395141
음식점업,갯바위,23(1997년),031-396-3356,20221124,"경기도 군포시 산본로323번길 16-7, 113호(산본동, 롯데프라자)",경기도 군포시 산본동 1135-1번지 롯데프라자 113호,15865,37.3592251,126.9317615
음식점업,군포식당,22(1988년),031-452-0025,20221124,경기도 군포시 군포로 556번길 6 (당동),경기도 군포시 당동 748-22번지,15840,37.3555128,126.9472816
도소매업,동아수산(유한),23(1997년),031-425-0096,20221124,경기도 안양시 동안구 흥안대로 313(평촌동),경기도 안양시 동안구 평촌동 934-1번지,14104,37.3831019,126.9704727
도소매업,보안당안경,38(1983년),031-975-8448,20221124,경기도 고양시 일산서구 일청로 10(일산동),경기도 고양시 일산서구 일산동 616-12번지,10342,37.6851928,126.7701531
서비스업,봉담디지털스튜디오,29(1991년),031-227-3570,20221124,경기도 화성시 봉담읍 삼천병마로 1276,경기도 화성시 효행구 봉담읍 상리 27-11번지,18316,37.2196719,126.9488266
음식점업,송림병,22(1999년),031-922-8188,20221124,"경기도 고양시 일산서구 대화로 130, 104호(대화동, 한내프라자)",경기도 고양시 일산서구 대화동 866번지 한내프라자 104호,10222,37.6702771,126.7347854
음식점업,송월관,37(1983년),031-865-2428,20221124,경기도 동두천시 큰시장로 28-10(생연동),경기도 동두천시 생연동 683-23번지,11333,37.9010075,127.0550269
음식점업,쉐프부랑제,30(1989년),031-998-1313,20221124,"경기도 김포시 사우중로 82 (사우프라자 108,109호)","경기도 김포시 사우동 875번지 사우프라자 108,109호",10111,37.6217149,126.7211869
음식점업,양평명품한우,32(1988년),0507-1308-6282,20221124,경기도 양평군 양평읍 양평장터길 5,경기도 양평군 양평읍 양근리 167-6번지,12556,37.4900547,127.4932241
제조업,에이큐양복점,38(1981년),031-666-4786,20221124,"경기도 평택시 쇼핑로 6-2(신장동, 1층)",경기도 평택시 신장동 302-190번지 1층,17758,37.0803189,127.0503846
도소매업,용문마트,26(1994년),031-792-7350,20221124,경기도 하남시 역말로 26 1층(덕풍동),경기도 하남시 덕풍동 519-5번지 1층,12978,37.5344199,127.2009041
도소매업,정금주한복연구실,25(1994년),02-503-0845,20221124,"경기도 과천시 별양상가2로 20(별양동, 새서울프라자2층 14호, 62호)","경기도 과천시 별양동 1-18번지 새서울프라자 2층 14호,62호",13837,37.4268251,126.9925549
도소매업,진미정육점,38(1983년),031-976-3101,20221124,경기도 고양시 일산서구 일청로 12번길 9(일산동),경기도 고양시 일산서구 일산동 617-20번지,10342,37.6856296,126.7708293
도소매업,혼수타운,24(1996년),032-651-8198,20221124,경기도 부천시 자유로47(심곡본동),경기도 부천시 소사구 심곡본동 544-4번지,14709,37.4838043,126.7813803
음식점업,홍두깨,23(1996년),031-535-7973,20221124,"경기도 포천시 호국로 1435 (어룡동, 410)",경기도 포천시 어룡동 410번지,11150,37.8863322,127.1925492
음식점업,우리밀칼국수,23(1997년),032-884-9083,20221124,경기도 안산시 단원구 대부황금로 1361(대부북동),경기도 안산시 단원구 대부북동 1855-14번지,15638,37.2776754,126.5686334
음식점업,부곡통닭집,40(1980년),031-461-8451,20221124,경기도 의왕시 부곡시장길 17(삼동) 1층,경기도 의왕시 삼동 166-23번지 1층,16088,37.3195378,126.9509423
서비스업,영주자동차공업사,22(1998년),031-592-8213,20221124,경기도 남양주시 화도읍 수레로 1111,경기도 남양주시 화도읍 차산리 83-6번지,12197,37.6367852,127.3033405
