park_nm,park_div_nm,refine_road_nm_addr,refine_lotno_addr,refine_wgs84_lat,refine_wgs84_logt,park_ar,park_sports_faclt_dtls,park_amsmt_faclt_dtls,park_cnvnnc_faclt_dtls,park_cltr_faclt_dtls,park_etc_faclt_dtls,apnt_ancmnt_ymd,mnginst_nm,mnginst_telno,dat_crtr_ymd
송정지구 6호 소공원,소공원,,경기도 광주시 송정동 206-1,,,1398.6,,,,,,,광주도시관리공사,031-762-1039,20250820
새싹,어린이공원,,경기도 광명시 하안동 296-4,37.4600207922,126.8784249765,1500.0,,,,,,19871224,경기도 광명시청,02-2680-2887,20251209
26호,기타,,경기도 화성시 동탄구 산척동 287,,,435.0,,,,,,,경기도 화성시 공원녹지사업소 동부공원관리과,031-5189-6961,20260201
수변공원 8호(고덕국제화지구 율포리),수변공원,,경기도 평택시 고덕면 율포리 98답,,,11150.0,,,,,,20130104,경기도 평택시청,031-8024-4248,20260313
동항산업단지어린이공원,어린이공원,,경기도 안성시 양성면 동항리 821-7,37.0648846263,127.1828772118,1742.0,,,,,,20180824,경기도 안성시청,031-678-6893,20250226
한강소공원12,소공원,,경기도 김포시 운양동 644-5,,,905.0,,,,,,20071029,경기도 김포시 공원관리과,031-5186-4627,20251124
미관광장 42호,기타,,경기도 화성시 동탄구 능동 1090,,,517.0,,,,,,,경기도 화성시 공원녹지사업소 동부공원관리과,031-5189-6961,20260201
향남2지구 8호 어린이(시샘달),어린이공원,,경기도 화성시 만세구 향남읍 상신리 1301-11,37.1035582392,126.89951594,1726.0,,,,,,,,031-5189-6655,20260201
광도아파트 어린이공원,어린이공원,,경기도 화성시 효행구 기안동 329-5,37.2271941711,126.9732328659,1578.0,,,,,,,,031-5189-6655,20260201
영남,어린이공원,,경기도 시흥시 대야동 332-106,,,2525.0,,,,,,,경기도 시흥시청,031-310-2694,20251219
선단동문화공원,문화공원,,"경기도 포천시 선단동 산41, 706-4번지 일원",,,18001.0,농구장+풋살장(겸용),,화장실,,,20180314,경기도 포천시청 산림공원과,031-538-2358,20241114
85호,수변공원,경기도 시흥시 거북섬로 26,경기도 시흥시 정왕동 2726-5,37.3274408727,126.6731033534,3000.0,,,,,,,경기도 시흥시청,031-310-3869,20251219
산수유,어린이공원,,경기도 고양시 일산동구 풍동 1240-3,37.6734308021,126.8016976997,1501.0,체력단련시설,조합놀이대,,,,20001018,경기도 고양시 푸른도시사업소,031-8075-4337,20251215
제4호 공공공지,기타,,경기도 양주시 고암동 603-8,37.8297050068,127.0731736263,349.0,,,,,,,경기도 양주시청 공원사업과,031-8082-7317,20250912
새텃말,소공원,,경기도 부천시 오정구 여월동 44-79,37.5185650485,126.7986304165,1044.0,,,,,,20150921,경기도 부천시청,032-625-4843,20250731
죽산연못공원,어린이공원,,경기도 안성시 죽산면 죽산리 482-1,37.0768372427,127.4243927229,5601.0,,,,,,19850930,경기도 안성시청,031-678-6893,20250226
세교2지구 제4호 수변공원,수변공원,,경기도 오산시 벌음동 214,,,4791.0,,,,,,20131224,오산시 환경사업소 도시공원녹지과,031-8036-6475,20251222
찬들,근린공원,,"경기도 부천시 오정구 오정동 793, 794",37.5306902432,126.7678246259,13291.0,,,화장실,,,20120705,경기도 부천시청,032-625-4843,20250731
향동수변2,수변공원,,경기도 고양시 덕양구 향동동 550,37.598151734,126.8912579546,16470.2,체력단련시설,,,,,20091230,경기도 고양시 푸른도시사업소,031-8075-4328,20251215
효양공원(서희테마파크),근린공원,,경기도 이천시 부발읍 산촌리 산21,37.2728172938,127.4845243529,142467.0,운동기구,,주차장+화장실,,,20030419,경기도 이천시청,031-645-3831,20250221
동탄13호 근린공원(초록공원),근린공원,,경기도 화성시 동탄구 석우동 21-8,37.2204325006,127.0707583731,26930.5,테니스장+축구장,,,,,,경기도 화성시 공원녹지사업소 동부공원관리과,031-5189-6961,20260201
28호 어린이공원(서정동),어린이공원,,경기도 평택시 서정동 632답,,,2049.0,,,,,,20150403,경기도 평택시청,031-8024-4248,20260313
소꼽놀이,어린이공원,,경기도 수원시 영통구 하동 965-8,37.2934824625,127.0696720128,2133.3,,조합놀이대1,,,,,경기도 수원시 영통구 녹지공원과,031-5191-8331,20260115
송담4로 어린이공원(안중송담지구),어린이공원,,경기도 평택시 안중읍 안중리 96-8,,,1540.0,,고무칩포장+버섯의자+조합놀이대+회전놀이대+흔들놀이,,,U형측구+집수정+흉관,20060206,경기도 평택시청,031-8024-4248,20260313
제2호 어린이공원(견산리),어린이공원,,경기도 평택시 진위면 견산리 393,37.1081029355,127.0722267281,2526.0,,,,,,20070709,경기도 평택시청,031-8024-4248,20260313
황금산 문화공원,문화공원,,경기도 남양주시 지금동 719,37.6053315976,127.1671132366,49812.0,,,,,,,경기도 남양주시청,031-590-5354,20260319
일패근린공원,근린공원,,경기도 남양주시 일패동 860-9,37.6246596754,127.170374567,54947.0,,,,,,,경기도 남양주시청,031-590-5354,20260319
돌우물 어린이공원,어린이공원,,경기도 평택시 이충동 676,37.0585845532,127.0691929523,4039.3,다리뻗치기+다목적 운동장+등허리지압기+마라톤운동기+하늘걷기,고무칩포장+시소+조합놀이대,,,운동시설보호대+집수정,20020529,경기도 평택시청,031-8024-4248,20260313
1호 소공원(장당지구),소공원,,경기도 평택시 장당동 175-1,37.0316869925,127.0696812901,0.0,,,,,,20160812,경기도 평택시청,031-8024-4248,20260313
