sigun_nm,faclt_nm,telno,dat_crtr_ymd,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
양주시,조명박물관,070-7780-8911,20210305,경기도 양주시 광적면 광적로 235-48,경기도 양주시 광적면 석우리 633번지,11414,37.8361021,126.9675239
안성시,이경순소리박물관,031-670-6500,20210305,경기도 안성시 삼죽면 동아예대길 47 동아방송예술대학교 디마종합촬영소내,경기도 안성시 삼죽면 진촌리 632-18번지 동아방송예술대학교 디마종합촬영소내,17516,37.0623757,127.3532789
안성시,안성맞춤박물관,031-676-4352,20210305,경기도 안성시 대덕면 서동대로 4726-15,경기도 안성시 대덕면 내리 399-5번지,17546,37.0113686,127.2283474
안성시,안성포도박물관,031-675-6675,20210305,경기도 안성시 서운면 방아동길 68,,17607,,
성남시,한생연 마이크로과학박물관,031-711-0154,20210305,경기도 성남시 분당구 성남대로 381 폴라리스Ⅰ빌딩 4층,경기도 성남시 분당구 정자동 15-3번지 폴라리스Ⅰ빌딩 4층,13555,37.3702777,127.1075125
부천시,부천수석박물관,032-655-2900,20210305,경기도 부천시 원미구 소사로 482,경기도 부천시 원미구 춘의동 8번지,14655,37.5008512,126.7982775
부천시,유럽자기박물관,032-661-0238,20210305,경기도 부천시 원미구 소사로 482,경기도 부천시 원미구 춘의동 8번지,14655,37.5008512,126.7982775
부천시,부천활박물관,032-614-2678,20210305,경기도 부천시 원미구 소사로 482,경기도 부천시 원미구 춘의동 8번지,14655,37.5008512,126.7982775
남양주시,왈츠와닥터만커피박물관,031-576-6051,20210305,경기도 남양주시 북한강로 856-37,경기도 남양주시 조안면 삼봉리 272-6번지,12278,37.5919694,127.3384601
남양주시,우석헌자연사박물관,031-572-9555,20210305,경기도 남양주시 진접읍 금강로 1095,경기도 남양주시 진접읍 내각리 589번지,12074,37.6980229,127.1608295
남양주시,아라크노피아,031-576-7908,20210305,경기도 남양주시 조안면 운길산로 316,경기도 남양주시 조안면 진중리 527번지,12281,37.5671283,127.2824618
김포시,다도박물관,031-998-1000,20210305,경기도 김포시 월곶면 애기봉로275번길 187-49,경기도 김포시 월곶면 개곡리 832번지,10003,37.7375369,126.574444
김포시,덕포진교육박물관,031-989-8580,20210305,경기도 김포시 대곶면 덕포진로103번길 90,경기도 김포시 대곶면 신안리 232-1번지,10041,37.6506537,126.5387271
군포시,물테마박물관,031-390-3294,20210305,경기도 군포시 수리산로 151,경기도 군포시 산본동 485-1번지,15819,37.3626067,126.9177361
광주시,풀짚공예박물관,031-717-4538,20210305,경기도 광주시 오프읍 문형산길 76,경기도 광주시 신현동 331-5번지,12820,37.3641991,127.1650933
광주시,닻미술관,031-798-2581,20210305,경기도 광주시 초월읍 진새골길 184,경기도 광주시 초월읍 대쌍령리 447-32번지,12735,37.3803432,127.2711197
광주시,분원백자관,031-766-8465,20210305,경기도 광주시 남종면 산수로 1642-1,경기도 광주시 남종면 분원리 116번지,12708,37.4962551,127.3034494
광명시,충현박물관,02-898-0505,20210305,경기도 광명시 오리로 347번길 5-5,경기도 광명시 소하동 1085-16번지,14333,37.4333375,126.8783815
광명시,나비야놀자박물관,02-2614-3338,20210305,경기도 광명시 장절로 56-16,경기도 광명시 노온사동 908번지,14334,37.4272868,126.8527073
과천시,아해박물관,02-3418-5501,20210305,경기도 과천시 추사로 133,경기도 과천시 주암동 97-2번지,13820,37.4576264,127.0299991
과천시,한국카메라박물관,02-502-4123,20210305,경기도 과천시 대공원광장로 8,경기도 과천시 막계동 330번지,13829,37.435056,127.0056567
과천시,렛츠런파크서울말박물관,02-509-1287,20210305,경기도 과천시 경마공원대로 107,경기도 과천시 주암동 685번지,13822,37.4459244,127.0116448
가평군,가평현암농경유물박물관,031-581-0612,20210305,경기도 가평군 북면 석장모루길 13,경기도 가평군 북면 이곡리 13-45번지,12407,37.8793061,127.5481231
용인시,경기도어린이박물관,031-270-8600,20210305,경기도 용인시 기흥구 상갈로 6,경기도 용인시 기흥구 상갈동 496번지,17072,37.2667987,127.1076441
용인시,삼성화재교통박물관,031-320-9900,20210305,경기도 용인시 처인구 포곡읍 에버랜드로 376번길 171,경기도 용인시 처인구 포곡읍 유운리 432번지,17022,37.300372,127.2169533
용인시,예아리박물관,031-323-7277,20210305,경기도 용인시 처인구 백암면 원설로270번길 25,경기도 용인시 처인구 백암면 근삼리 389-1번지,17181,37.1413267,127.3642625
