fastvl_nm,opnmt_plc,fastvl_bgng_ymd,fastvl_end_ymd,fastvl_cont,sprvsn_inst_nm,host_inst_nm,suprt_inst_nm,sprvsn_inst_telno,hmpg_addr,relate_info,refine_road_nm_addr,refine_lotno_addr,refine_wgs84_lat,refine_wgs84_logt,dat_crtr_ymd
제15회 구리한강 유채꽃 축제,구리한강 시민공원,20150508,20150510,유채꽃 축제,(사)한국예총 구리지회,경기도 구리시청,경기도+한국관광공사+경기관광공사+경기문화재단,031-550-2065,http://www.guri.go.kr,고구려대장간마을,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,20260202
제15회 구리 코스모스 축제,구리한강 시민공원,20151009,20151011,코스모스 축제,(사)한국예총 구리지회,경기도 구리시청,경기도+한국관광공사+경기관광공사+경기문화재단,031-550-2065,http://www.guri.go.kr,고구려대장간마을,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,20260202
제16회 구리한강 유채꽃 축제,구리한강 시민공원,20160513,20160515,유채꽃 축제,(사)한국예총 구리지회,경기도 구리시청,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,20260202
제16회 구리 코스모스 축제,구리한강 시민공원,20160923,20160925,코스모스 축제,(사)한국예총 구리지회,경기도 구리시청,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,20260202
제17회 구리 유채꽃 축제,구리한강 시민공원,20170512,20170514,무대공연+체험부스운영+먹거리 체험+꽃 관람,(사)한국예총 구리지회,경기도 구리시청,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,20260202
제18회 구리 유채꽃 축제,구리한강 시민공원,20180504,20180506,무대공연+체험부스운영+먹거리 체험+꽃 관람,(사)한국예총 구리지회,경기도 구리시청,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,20260202
제18회 구리 코스모스 축제,구리한강 시민공원,20181005,20181007,무대공연+체험부스운영+먹거리 체험+꽃 관람,(사)한국예총 구리지회,경기도 구리시청,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,20260202
제19회 구리 유채꽃 축제,구리한강 시민공원 및 시가지 일원,20190510,20190512,한강 꽃단지 체험 및 시가지 공연 등,(사)한국예총 구리지회,경기도 구리시청,경기도+한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,20260202
2023 구리 유채꽃 한강예술제,구리한강 시민공원,20230512,20230514,무대공연+체험부스운영+먹거리 체험+꽃 관람,(사)구리문화원,경기도 구리시청,한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,20260202
2023 구리 코스모스 한강예술제,구리한강 시민공원,20231013,20231015,무대공연+체험부스운영+먹거리 체험+꽃 관람,(사)구리문화원,경기도 구리시청,한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,20260202
2024 구리 유채꽃 축제,구리한강 시민공원,20240510,20240512,무대공연+체험부스운영+먹거리 체험+꽃 관람,(사)구리문화원,경기도 구리시청,한국관광공사+경기관광공사,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,20260202
2024 구리 코스모스 축제,구리한강 시민공원,20241011,20241013,무대공연+체험부스운영+먹거리 체험+꽃 관람,(사)구리문화원,경기도 구리시청,한국관광공사+경기관광공사,031-550-2065,https://www.guri.go.kr/cosmos/index.do,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,20260202
안산국제거리극축제,안산문화광장 및 안산시 일대,20220505,20220508,공연+퍼포먼스+예술프로그램,경기도 안산시청,경기도 안산시청,경기도청,031-481-0536,https://www.ansanart.com/index.do,안산문화광장,경기도 안산시 단원구 광덕대로 157,경기도 안산시 단원구 고잔동 800,37.310742,126.829822,20260304
안산국제거리극축제,안산문화광장 및 안산시 일대,20230505,20230507,공연+퍼포먼스+예술프로그램,경기도 안산시청,경기도 안산시청,경기도청,031-481-0536,https://www.ansanart.com/index.do,안산문화광장,경기도 안산시 단원구 광덕대로 157,경기도 안산시 단원구 고잔동 800,37.310742,126.829822,20260304
안산국제거리극축제,안산문화광장 일대 및 안산호수공원 중앙광장,20240504,20240506,공연+퍼포먼스+예술프로그램,안산문화재단,경기도 안산시청,경기도청,031-481-0536,https://www.ansanart.com/index.do,안산문화광장,경기도 안산시 단원구 광덕대로 157,경기도 안산시 단원구 고잔동 800,38.310742,126.829822,20260304
2019 광복기념음악회,병목안시민공원,20190815,20190815,뮤지컬 그룹 플래티넘+ 안양시립합창단 공연 등,(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,경기도 안양시+ 티브로드abc방송,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 만안구 병목안로 215,경기도 안양시 만안구 안양동 산 82-2,37.385289,126.907675,20260227
2019 안양 시민축제,평촌중앙공원+병목안시민공원+범계로데오,20190920,20190922,시민공연마당+ 전시체험부스+ 개폐막 축하공연+ 방송국 공개방송+ 안양시민의날 기념식+ 안양시민가요제 등,(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.961329,20260227
2021 안양시민축제&amp;lt;우선멈춤&amp;gt;,평촌중앙공원+삼덕공원+온라인(www.aydf.or.kr),20211001,20211003,시민과 함께하는 K-POP 댄스 페스티벌,안양문화예술재단,경기도 안양시+안양축제추진위원회,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.961329,20260227
2023 안양충훈벚꽃축제,안양충훈2교일대,20230408,20230409,벚꽃콘서트+ 버스킹공연+ 벚꽃체험부스+ 푸드트럭&amp;먹거리+ 벚꽃컬러링북+ SNS이벤트 등,(재)안양문화예술재단,경기도 안양시+안양충훈벚꽃축제추진위원회,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 만안구 석수로 159,경기도 안양시 만안구 석수동 797,37.404615,126.896157,20260227
2023 광복78주년 광복기념음악회,병목안시민공원,20230815,20230815,기념행사 + 오프닝 퍼포먼스 + 뮤지컬 갈라 + 팝페라 + 가수공연 + 테마영상 상영 등,(재)안양문화예술재단,(재)안양문화예술재단,경기도 안양시 + SK브로드밴드 abc방송,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 만안구 병목안로 215,경기도 안양시 만안구 안양동 산 82-2,37.385289,126.907675,20260227
