sigun_nm,str_nm,bizregno,refine_road_nm_addr,refine_lotno_addr,indutype_cont,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
수원시,샤이바나(광교월드마크점),6940101344,경기도 수원시 영통구 센트럴타운로 107,"경기도 수원시 영통구 이의동 1331번지 광교푸르지오월드마크,월드스퀘어 1층40,41,42호 샤이바나","프랜차이즈,피자·양식",16507,37.291711,127.0488364
수원시,동천홍,1242856629,경기도 수원시 팔달구 매산로130번길 12,경기도 수원시 팔달구 매교동 26-9번지 1층 동천홍,"중식,프랜차이즈",16465,37.2712779,127.0150083
수원시,홍미집 수원역점,6260401866,경기도 수원시 팔달구 향교로 27-1,경기도 수원시 팔달구 매산로2가 27-14번지 리오빌딩 1층 홍미집,"찜·탕,프랜차이즈,픽업",16455,37.2686992,127.0039492
수원시,만나고쪽갈비,2832500272,경기도 수원시 영통구 권선로 811,경기도 수원시 영통구 매탄동 1172-13번지 1층,"프랜차이즈,픽업,한식",16546,37.2552401,127.0393447
수원시,개성집(영통청명점),1352879961,경기도 수원시 영통구 청명북로 90-1,경기도 수원시 영통구 영통동 1051-13번지 2층,"프랜차이즈,한식",16710,37.2594494,127.0804926
수원시,소문난분식,1801201201,경기도 수원시 장안구 파장로21번길 15,경기도 수원시 장안구 송죽동 277-22번지 현대양행 104호,분식,16301,37.3038454,126.9977718
수원시,홍닭발,1352956887,경기도 수원시 영통구 영통로501번길 48-10,경기도 수원시 영통구 영통동 951-3번지 1층,"픽업,한식",16706,37.2653137,127.0769187
수원시,커피에반하다(수원고색산업1단지점),8900400420,경기도 수원시 권선구 오목천로152번길 60,경기도 수원시 권선구 고색동 948번지 수원고색산업1단지점 커피에반하다,"카페,프랜차이즈",16642,37.2420855,126.9777409
수원시,커피에반하다(수원탑동점),6466500047,경기도 수원시 권선구 하탑로34번길 10,경기도 수원시 권선구 탑동 862-3번지 103호,"카페,프랜차이즈",16610,37.2683594,126.975315
수원시,길림성인계점,7501600902,경기도 수원시 팔달구 권광로 277,경기도 수원시 팔달구 인계동 369-4번지 2층,중식,16487,37.2721262,127.0354859
수원시,소문난통닭,1064036592,경기도 수원시 장안구 조원로89번길 13,경기도 수원시 장안구 조원동 742-23번지 가동5호 소문난통닭,치킨,16286,37.3003674,127.0153971
수원시,한촌설렁탕(권선점),1741200134,경기도 수원시 권선구 권광로 107,경기도 수원시 권선구 권선동 1038-10번지 1층코너 한촌설렁탕권선점,"찜·탕,프랜차이즈",16568,37.2574476,127.0299376
수원시,네네치킨 광교1호점,5380501931,경기도 수원시 영통구 법조로149번길 171,경기도 수원시 영통구 하동 972-4번지 102호,"치킨,프랜차이즈",16512,37.2928275,127.0702999
수원시,가장맛있는족발 수원율전점,3101092314,경기도 수원시 장안구 율전로98번길 7,경기도 수원시 장안구 율전동 297-2번지 101호,"족발·보쌈,프랜차이즈",16362,37.2981321,126.9692073
수원시,우주족발,3480202073,경기도 수원시 권선구 장다리로 33,경기도 수원시 권선구 세류동 1104-18번지 1층,족발·보쌈,16589,37.2536158,127.0185045
수원시,유진참치(매탄점),6042092066,경기도 수원시 영통구 영통로331번길 56,경기도 수원시 영통구 매탄동 496-16번지 1층,일식·돈까스,16676,37.2563137,127.0609334
수원시,미스터코다리 본점,3442000951,경기도 수원시 영통구 센트럴파크로127번길 125-2,경기도 수원시 영통구 이의동 1312-6번지 미스터코다리,한식,16506,37.2942103,127.0542371
수원시,스타마법피자,4662100578,경기도 수원시 권선구 매실로53번길 19,경기도 수원시 권선구 호매실동 395-14번지 1층,"피자·양식,픽업",16400,37.2686609,126.9562407
수원시,토마토피자 본점,1380239518,경기도 수원시 영통구 매여울로53번길 73,경기도 수원시 영통구 매탄동 173-40번지 토마토피자,피자·양식,16532,37.2728046,127.0407153
수원시,역전할머니맥주 호매실능실점,7420601726,경기도 수원시 권선구 호매실로104번길 24-70,"경기도 수원시 권선구 호매실동 1399-1번지 아크미파크 104,105호","프랜차이즈,한식",16630,37.2591918,126.9631541
수원시,피자에땅(성대점),5790901866,경기도 수원시 장안구 하률로12번길 4,경기도 수원시 장안구 천천동 557-4번지 105호 피자에땅 성대점,"프랜차이즈,피자·양식",16324,37.3027247,126.9742639
수원시,교촌치킨(신동1호점),6031379311,경기도 수원시 영통구 권선로908번길 52-22,경기도 수원시 영통구 신동 935-3번지 디알프라자 1층 103호,"치킨,프랜차이즈,픽업",16683,37.2473094,127.0443994
수원시,행궁통닭본닭강정,7881501006,경기도 수원시 팔달구 수원천로 291,경기도 수원시 팔달구 남수동 111-1번지 1층,치킨,16257,37.2794668,127.0182496
수원시,청록,5153100898,,경기도 수원시 권선구 고색동 397-6번지 주안빌라 1층,카페,16650,37.2482118,126.979063
수원시,골목대장(본점),5100713447,경기도 수원시 영통구 매탄로 55-2,경기도 수원시 영통구 매탄동 1165-5번지 1층,분식,16546,37.2563727,127.0408489
수원시,긴자참치,1351620550,경기도 수원시 권선구 일월천로 6,경기도 수원시 권선구 구운동 908-6번지 1층 긴자참치,일식·돈까스,16413,37.2828148,126.9726427
수원시,미스터아구왕 탱고알찜,6192165248,경기도 수원시 권선구 세권로137번길 29,경기도 수원시 권선구 권선동 995-8번지 1층 일부호,"아시안,찜·탕,한식",16564,37.2581914,127.0198625
수원시,굽네치킨 오목천점,6084666255,경기도 수원시 권선구 온정로 8,경기도 수원시 권선구 오목천동 295-3번지 1층,"치킨,프랜차이즈",16632,37.2472237,126.9656745
수원시,땅스부대찌개파장동점,5720601205,경기도 수원시 장안구 경수대로1081번길 39,경기도 수원시 장안구 파장동 579-2번지 1층,"찜·탕,프랜차이즈",16349,37.307728,126.9930065
수원시,개성집,1245335403,경기도 수원시 권선구 수인로296번길 34,경기도 수원시 권선구 구운동 897-11번지 1층,"프랜차이즈,픽업,한식",16412,37.2844973,126.9719428
수원시,밀플랜비(아주대점),1390505856,경기도 수원시 팔달구 아주로47번길 12,경기도 수원시 팔달구 우만동 59번지 1층 밀플랜비,피자·양식,16497,37.2792406,127.0430564
수원시,현죽,2800100938,경기도 수원시 영통구 영통로153번길 98,경기도 수원시 영통구 망포동 255-2번지 국제프라자 106호 현죽,"프랜차이즈,한식",16689,37.2414173,127.0499256
수원시,남문통닭 영통점,7988501194,경기도 수원시 영통구 영통로200번길 35,경기도 수원시 영통구 영통동 1107번지 남문통닭영통점,"치킨,프랜차이즈",16690,37.2445504,127.0585098
수원시,신전떡볶이(수원영통1호점),3714300118,경기도 수원시 영통구 영통로 232,경기도 수원시 영통구 영통동 973-3번지 두산.우성.한신아파트 상가 2동 104호,"분식,프랜차이즈,픽업",16698,37.2471281,127.0608288
수원시,조대감부대찌개,1617300027,,경기도 수원시 팔달구 인계로166번길 16-7 1층,찜·탕,16488,,
수원시,제주알찜,6900201238,경기도 수원시 권선구 서둔로 221,경기도 수원시 권선구 탑동 320-15번지 1층,"찜·탕,픽업",16607,37.2712154,126.9790737
수원시,얼큰이해물짬뽕,1352771318,경기도 수원시 팔달구 경수대로428번길 11,경기도 수원시 팔달구 인계동 1027-10번지 1층,중식,16490,37.2643117,127.0265228
수원시,이바돔감자탕,1244686980,경기도 수원시 권선구 일월천로16번길 28,경기도 수원시 권선구 구운동 911-4번지 1층,"찜·탕,프랜차이즈,픽업",16413,37.2834369,126.9747027
수원시,한일칡냉면,1351812618,경기도 수원시 장안구 만석로210번길 16,경기도 수원시 장안구 송죽동 449-2번지 1층,한식,16303,37.3042963,127.0021019
수원시,티바두마리치킨(파장점),6034603556,경기도 수원시 장안구 파장로68번길 15,경기도 수원시 장안구 파장동 581번지 1층 일부호,"치킨,프랜차이즈",16349,37.3065556,126.9928677
수원시,청년피자(서수원점),2680701171,경기도 수원시 팔달구 동말로77번길 26,경기도 수원시 팔달구 화서동 71-161번지 청년피자,"프랜차이즈,피자·양식,픽업",16439,37.279962,127.0028601
