bizplc_nm,licensg_ymd,licensg_rtrcn_ymd,bsn_state_div,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,locplc_ar_info,roadnm_zipno,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,bizcond_div_nm_info,xcrd_vl,ycrd_vl,cultur_phstrn_indutype_nm,plvtinst_div_nm,insrnc_join_yn,mber_recrut_tot_psncnt
탑 휘트니스,20040331,20131221,31,등록취소,,,277.58,,경기도 의왕시 부곡복지관길 6 (삼동),경기도 의왕시 삼동 277-6,437815,37.322908104,126.9566063775,,196000.020126776,424397.758706817,체력단련장업,사립,,
구리시청소년수련관,20030217,20160310,32,신고취소,,,,11922,"경기도 구리시 건원대로34번길 32-10 (인창동, 구리청소년수련관)",경기도 구리시 인창동 673-4,11922,37.6037947732,127.1418056987,,212452.473507195,455728.631803299,체력단련장업,사립,,
감골시민헬스장,20020201,20151030,32,신고취소,,,233,15620,경기도 안산시 상록구 석호로 226 (사동),경기도 안산시 상록구 사동 1342,15620,37.2930381189,126.8563302128,,187156.242793,421276.868631119,체력단련장업,사립,,
여주국민체육센터(체력단련실),20140220,20210129,32,신고취소,,031-880-4051,279.76,12636,경기도 여주시 여양로 190-17 (천송동),경기도 여주시 천송동 561-3,469120,37.2997306025,127.6511865479,,257663.010430815,422156.354940146,체력단련장업,사립,,
센츄리헬스클럽,19970328,,34,영업장폐쇄,,,237.6,,"경기도 부천시 소사구 경인로 155 (송내동,3층)",경기도 부천시 소사구 송내동 564-4 3층,422818,37.4842380716,126.7727233711,,179828.030454719,442475.116730209,체력단련장업,사립,,
송내헬스,20071217,,34,영업장폐쇄,,032-612-6082,210.44,,경기도 부천시 소사구 경인로150번길 25 (송내동),경기도 부천시 소사구 송내동 576-5,422820,37.4829089171,126.7720463043,,179768.364584073,442326.336060552,체력단련장업,사립,,
올웨이즈피트니스 청북점,20200305,,34,영업장폐쇄,20250408,031-684-9682,783.98,17808,"경기도 평택시 청북읍 안청로2길 33-2, 청북프라자 6층",경기도 평택시 청북읍 옥길리 1158-8,17808,37.0184998311,126.9178513031,,192619.325594008,390763.213422595,체력단련장업,사립,,
낙원헬스,19930222,,34,영업장폐쇄,,,78.85,,경기도 부천시 소사구 송내대로30번길 74-16 (송내동),경기도 부천시 소사구 송내동 332-10,422814,37.4853682114,126.7573407162,,178467.823995037,442594.698304593,체력단련장업,사립,,
어라운드 크로스핏 위례점,20220217,,13,영업중,,,233.91,13640,"경기도 성남시 수정구 위례광장로 82, B115,116호 (창곡동, 위례 보미리즌빌)",경기도 성남시 수정구 창곡동 507 위례 보미리즌빌,13640,37.4712844212,127.1411610574,,212435.111912506,441050.367718282,체력단련장업,사립,,
하이클래스짐 서현점 헬스 PT,20220124,,13,영업중,,,497.49,13587,"경기도 성남시 분당구 불정로 382, 3층 301호 (서현동)",경기도 성남시 분당구 서현동 306-1,13587,37.3741672907,127.1371854696,,212079.053383154,430243.356013186,체력단련장업,사립,,
백프로짐,20220209,,13,영업중,,,333.03,13397,"경기도 성남시 중원구 금상로 11, 2층 (상대원동)",경기도 성남시 중원구 상대원동 2999-4,13397,37.4373645104,127.1589573095,,213994.558323574,437261.327339628,체력단련장업,사립,,
타임피트니스 소사벌점,20260430,,13,영업중,,,361.29,17854,"경기도 평택시 비전5로 24, 4층 (비전동)",경기도 평택시 비전동 1100-1,17854,37.0004150893,127.1140747404,,210083.189026453,388759.547374203,체력단련장업,사립,,
노상혁 FTC,20160225,,13,영업중,,,126.4,13558,"경기도 성남시 분당구 정자일로 162, 젤존타워2 604호 (정자동)",경기도 성남시 분당구 정자동 159-4 젤존타워2 604호,13558,37.3646310886,127.1063109728,,209346.56,429178.135,체력단련장업,사립,,
운동장,20190509,,13,영업중,,,199.74,12771,"경기도 광주시 새말길 95, 2층",경기도 광주시 신현동 588-12 2층,12821,37.3673984684,127.1617023538,,,,체력단련장업,사립,,
한영남여헬스타운,19991227,,13,영업중,,031-852-2020,377.24,11808,"경기도 의정부시 용현로 158, 한영빌딩 5층 (민락동)",경기도 의정부시 민락동 700-3 5층,11808,37.7404154841,127.0934106607,,208160.372807808,470886.291792554,체력단련장업,사립,,
ONE F GYM,20260408,,13,영업중,,031-373-3027,264,18137,"경기도 오산시 오산로 195, 1층 (오산동)",경기도 오산시 오산동 882-1,18137,37.1445016902,127.0678187429,,205978.934564127,404735.622899394,체력단련장업,사립,,
여성전용제이핏 PT&필라테스 수원정자점,20250805,,13,영업중,,,215.85,16334,"경기도 수원시 장안구 정자천로 179, 5층 501호 502호 (정자동)",경기도 수원시 장안구 정자동 874-5,16334,37.2961182664,126.9951266665,,199496.626855085,421573.284189843,체력단련장업,사립,,
바디밸런스 안양범계 체형교정&PT,20260320,,13,영업중,,,117.96,14047,경기도 안양시 동안구 시민대로 199 (주)신한방 평촌지구 매장1 6층 604호 (비산동),경기도 안양시 동안구 비산동 1114 (주)신한방 평촌지구 매장1 604호,14047,37.3922438363,126.9530786407,,195772.174771787,432241.538235591,체력단련장업,사립,,
에이치짐,20231211,,13,영업중,,,236.19,16351,"경기도 수원시 장안구 파장로 40, 2층 (파장동)",경기도 수원시 장안구 파장동 599-24,16351,37.3054525566,126.9962829561,,199600.647616656,422608.801672937,체력단련장업,사립,,
아치앤할로,20250722,,13,영업중,,,268.94,16696,"경기도 수원시 영통구 영통로351번길 7, 영통 드웰 2층 (영통동)",경기도 수원시 영통구 영통동 72-8 영통 드웰,16696,37.2568861635,127.064606386,,205658.6090823,417217.328947517,체력단련장업,사립,,
엘리트루틴,20260316,,13,영업중,,,59.35,10595,"경기도 고양시 덕양구 동송로 33, 이편한세상시티삼송 상가동 2-058호 (동산동)",경기도 고양시 덕양구 동산동 369 이편한세상시티삼송,10595,37.649881189,126.8965324165,,190793.745581355,460809.3267951,체력단련장업,사립,,
펀 GYM,20260507,,13,영업중,,,134.26,17084,"경기도 용인시 기흥구 탑실로 34, 301호 (공세동)",경기도 용인시 기흥구 공세동 734-4,17084,37.238601641,127.1099663108,,209688.18377435,415193.671521403,체력단련장업,사립,,
바른몸PT센터,20260205,,13,영업중,,,105.33,13595,"경기도 성남시 분당구 백현로101번길 20, 그린프라자빌딩 301호 (수내동)",경기도 성남시 분당구 수내동 19-2 그린프라자빌딩 301호,13595,37.3772637393,127.1130784011,,209944.170274259,430582.126593785,체력단련장업,사립,,
더찬스짐,20160428,,13,영업중,,,350.23,12739,경기도 광주시 중앙로319번길 10-27 (송정동),경기도 광주시 송정동 388-1,12739,37.4290621194,127.2572046977,,222691.848158867,436370.072784232,체력단련장업,사립,,
