sigun_nm,nm_sm_nm,telno,additn_info_nm,dat_crtr_ymd,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
화성시,제부도,031-369-1673,,20210305,,경기도 화성시 만세구 서신면 제부리 산12,18553,,
가평군,자라섬,031-8078-8028,무료,20210305,,경기도 가평군 가평읍 달전리 1-1,,37.8102099,127.5352125
가평군,유명산,031-589-5487,,20210305,경기도 가평군 설악면 유명산길 79-53,경기도 가평군 설악면 가일리 산35번지,12473,37.5932243,127.4911984
가평군,아침고요수목원,031-1544-6703,무료,20210305,경기도 가평군 상면 수목원로 432,경기도 가평군 상면 행현리 623-3번지,12448,37.7439537,127.3525341
가평군,쁘띠프랑스,031-584-8200,무료,20210305,경기도 가평군 청평면 호반로 1063,경기도 가평군 청평면 고성리 616-2번지,12456,37.7152481,127.4904238
고양시,중남미문화원,031-962-7171,무료,20210305,경기도 고양시 덕양구 대양로285번길 33-15,경기도 고양시 덕양구 고양동 301번지,10273,37.7039998,126.8953565
가평군,청평호,031-582-0088,무료,20210305,,경기도 가평군 설악면 회곡리 454-3 (가평군 청평면 / 설악면),12459,37.7071367,127.4543907
고양시,렛츠런팜 원당,02-509-2672,무료,20210305,경기도 고양시 덕양구 서삼릉길 233-112,경기도 고양시 덕양구 원당동 201-79번지,10292,37.6614774,126.8682528
고양시,북한산,02-909-0497,"최초 1시간 경형 500원, 중·소형 1,100원, 대형 2,000원",20210305,,경기도 고양시 덕양구 대서문길 265,10582,,
고양시,원마운트,031-1566-2232,"기본 30분 무료, 이후 10분당 300원/스노우파크,워터파크 이용 시 기본?5시간 무료?추가시 당일 무료 주차권증정 (1층 매표소)",20210305,경기도 고양시 일산서구 한류월드로 300,경기도 고양시 일산서구 대화동 2606번지,10392,37.664554,126.7545272
고양시,킨텍스,031-810-8114,"소형차 30분 1,000원 이후 15분당 500원 대형차 30분 2,000원 이후 15분당 1,000원",20210305,,경기도 고양시 일산서구 한류월드로 408,,,
고양시,행주산성,031-8075-4642,"2,000원 (9:00 ~ 18:00)",20210305,,경기도 고양시 덕양구 행주내동 산 26,,,
고양시,일산호수공원,031-909-9000,"최초 30분 300원, 이후 10분마다 100원 (행사시-소형 1,000원/중형 2,000원/대형 3,000원)",20210305,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906번지,10400,37.6537546,126.7686925
과천시,국립현대미술관 과천,02-2188-6000,"2시간 2,000원 (이후 30분당 1,000원)",20210305,경기도 과천시 광명로 313,경기도 과천시 막계동 산58-4번지,13829,37.4309778,127.0199705
과천시,서울랜드,02-509-6000,"소형 10,000원 대형 30,000원 (25인승 이상)",20210305,경기도 과천시 광명로 181,경기도 과천시 막계동 33번지,13829,37.4365017,127.0240724
과천시,관악산,02-3677-2343,,20210305,,경기도 과천시 중앙동,,,
광명시,광명동굴,031-1688-3399,"1,2주차장 경차 1,500원, 중소형 3,000원, 대형 4,000원",20210305,경기도 광명시 가학로85번길 142,경기도 광명시 가학동 27번지,14341,37.4246681,126.8634441
과천시,국립과천과학관,02-3677-1500,"일반차량 5,000원, 대형(25인승이상) 10,000원",20210305,경기도 과천시 상하벌로 110,경기도 과천시 과천동 758번지,13817,37.4385349,127.0055434
광주시,곤지암리조트,02-1661-8787,주차등록필요,20210305,경기도 광주시 도척면 도척윗로 278,경기도 광주시 도척면 도웅리 533번지,12809,37.3374923,127.2963227
광주시,곤지암도자공원,031-799-1500,무료,20210305,경기도 광주시 곤지암읍 경충대로 727,경기도 광주시 곤지암읍 삼리 72-1번지,12805,37.3502799,127.3347904
광주시,남한산성,031-743-6610,동문 주차장 무료,20210305,,경기도 광주시 중부면 남한산성로 784-16,12700,,
군포시,반월호수,031-392-3000,,20210305,경기도 군포시 청백리길 6,경기도 군포시 금정동 844번지,15829,37.3623695,126.9352272
김포시,평화누리길,031-956-8310,,20210305,,경기도 김포시 대곶면 경기도 연천군,,,
김포시,문수산성,031-920-2965,,20210305,경기도 김포시 월곶면 문수산로 102-38,경기도 김포시 월곶면 성동리 233번지,10000,37.7378268,126.5308936
구리시,고구려대장간마을,031-557-1010,무료,20210305,경기도 구리시 우미내길 41,경기도 구리시 아천동 316-47번지,11958,37.5608108,127.1109423
남양주시,몽골문화촌,031-559-8018,"소형 2,000원, 대형 5,000원(몽골문화촌 공연관람 방문고객기준)",20210305,경기도 남양주시 수동면 비룡로 1635,경기도 남양주시 수동면 내방리 254번지,12024,37.7577206,127.2749798
