bizplc_nm,licensg_ymd,licensg_rtrcn_ymd,bsn_state_div,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,roadnm_zipno,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,bizcond_div_nm_info,xcrd_vl,ycrd_vl,cultur_phstrn_indutype_nm,plvtinst_div_nm,insrnc_join_yn,buldng_tot_ar,mber_recrut_tot_psncnt,detls_indutype_nm
서평택골프클럽,20160415,,31,등록취소,,,17951,경기도 평택시 포승읍 포승향남로 218-10,경기도 평택시 포승읍 도곡리 148-3,17951,36.9921783308,126.8584362591,,187390.247354115,387861.747321671,골프연습장업,사립,Y,110783.0,,
아이비 골프연습장,20110825,20111021,32,신고취소,,031-577-0611,,경기도 남양주시 와부읍 수레로116번길 16,경기도 남양주시 와부읍 덕소리 50,472901,37.5915734632,127.2224919294,,219582.600818051,454382.387040145,골프연습장업,사립,,,,
일산스프링힐스CC,20081127,20170920,32,신고취소,,,10454,"경기도 고양시 덕양구 산황로 62 (주교동, 스프링힐스CC)",경기도 고양시 덕양구 주교동 1490-6 스프링힐스CC,10454,37.6577290378,126.81360535,,183525.75133094,461886.698423754,골프연습장업,사립,Y,3632.0,,
목감 휘트니스,20060829,,32,신고취소,,,,"경기도 시흥시 목감초등길 14-22  (조남동,지하1)",경기도 시흥시 조남동 171-18 지하1,429869,37.3852378798,126.8592818605,,187468.461378283,431470.670342224,골프연습장업,사립,0,,,
오성골프연습장,20120322,,34,영업장폐쇄,20140310,031-716-4318,,"경기도 성남시 분당구 미금로 37 (구미동, 하나프라자 5층 )",경기도 성남시 분당구 구미동 204-3 하나프라자 5층,463871,37.3366667073,127.1162331379,,210229.099991459,426078.82970383,골프연습장업,사립,,,,
멘토짐,20120920,,34,영업장폐쇄,20130823,,,"경기도 성남시 분당구 내정로166번길 5, 지층 (수내동)",경기도 성남시 분당구 수내동 58-3 지층,463852,37.3732384748,127.1198418072,,210543.787141579,430134.693921905,골프연습장업,사립,,,,
아이샷골프스쿨,20170629,,13,영업중,,,10495,"경기도 고양시 덕양구 중앙로 554, 1001-1004호 (행신동, 희성프라자)",경기도 고양시 덕양구 행신동 950,10495,37.623696223,126.8358911675,,185442.860419036,457940.495264944,골프연습장업,사립,,,,
일산스프링힐스CC,20170927,,13,영업중,,031-969-2000,10454,"경기도 고양시 덕양구 산황로 62 (주교동, 스프링힐스CC)",경기도 고양시 덕양구 주교동 1490-6,10454,37.6577290378,126.81360535,,183525.75133094,461886.698423754,골프연습장업,사립,,,,
광주 프렌즈 스카이스크린골프,20100129,,13,영업중,,,,경기도 광주시 이배재로 372 (목현동),경기도 광주시 목현동 246-9,464030,37.4354751999,127.2185025959,,219270.918326582,437050.965362843,골프연습장업,사립,,791.0,,
뉴그린골프연습장,20100303,,13,영업중,,,,경기도 광주시 경충대로1461번길 9-55  (쌍령동),경기도 광주시 쌍령동 428,464130,37.3971201933,127.2722550022,,224031.076068938,432817.780994533,골프연습장업,사립,,1483.0,,
