sigun_nm,bizplc_nm,licensg_ymd,bsn_state_nm,medinst_specs_nm,medstaf_cnt,treat_sbject_cont,tot_ar,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
가평군,가평군보건소,19621231,영업중,보건소,14,보건소,1755.75,경기도 가평군 가평읍 가화로 155-18,경기도 가평군 가평읍 읍내리 624번지 1호,477805,37.8334837,127.5106028
고양시,고양시일산동구보건소,20060628,영업중,보건소,5,보건소,3063.57,"경기도 고양시 일산동구 중앙로 1228 (마두동,KT고양지사 일산동구보건소)",경기도 고양시 일산동구 마두1동 1010번지 KT고양지사 일산동구보건소,410813,37.6559819,126.776153
고양시,일산서구보건소,19800101,영업중,보건소,1,내과,1.0,경기도 고양시 일산서구 일중로 54 (일산동),경기도 고양시일산서구 일산동 1680번지 6호,411310,37.6844794,126.7757854
고양시,고양시덕양구보건소,19830207,영업중,보건소,5,내과,1.0,경기도 고양시 덕양구 원당로33번길 28 (주교동),경기도 고양시덕양구 주교동 603번지,412812,37.6578291,126.8310296
과천시,과천시보건소,19980101,영업중,보건소,3,보건소,0.0,경기도 과천시 관문로 69 (중앙동),경기도 과천시 중앙동 1번지 3호,427714,37.4285636,126.9881012
광명시,광명시보건소,19830707,영업중,보건소,15,"보건소, 한방내과, 소아치과, 내과",3138.0,"경기도 광명시 오리로 613 (하안동, 광명시보건소)","경기도 광명시 하안1동 230번지 ,광명시보건소",423851,37.4554107,126.8781649
광주시,광주시보건소,19620101,영업중,보건소,1,보건소,2122.0,경기도 광주시 파발로 194 (경안동),경기도 광주시 경안동 115,464802,37.4164293,127.2507248
구리시,구리시보건소,19880102,영업중,보건소,4,"보건소, 내과",0.0,"경기도 구리시 건원대로34번길 84 (인창동, 구리보건소)",경기도 구리시 인창동 674번지 3호,11922,37.604751,127.1450752
군포시,군포시보건소,19900309,영업중,보건소,4,보건소,5573.2,경기도 군포시 군포로 221 (부곡동),경기도 군포시 부곡동 770-1,435020,37.3331654,126.9259751
김포시,김포시보건소,19620101,영업중,보건소,6,내과,66011.0,경기도 김포시 사우중로 108 (사우동),경기도 김포시 사우동 869번지 김포보건소,415730,37.6237457,126.7229788
남양주시,남양주보건소,19950301,영업중,보건소,1,보건소,956.25,"경기도 남양주시 경춘로 522, 남양주시청제2청사 (다산동)",경기도 남양주시 다산동 3159번지 7호 남양주시청제2청사,12284,37.6102459,127.1719581
동두천시,동두천시보건소,19810701,영업중,보건소,13,보건소,0.0,경기도 동두천시 중앙로 167 (생연동),경기도 동두천시 생연동 714-9,483130,37.8966147,127.0517322
부천시,원미보건소,19900101,영업중,보건소,2,보건소,5537.55,경기도 부천시 옥산로10번길 16 (중동),경기도 부천시 중동 1119번지 ,420851,37.4942664,126.7809633
부천시,오정보건소,19950106,영업중,보건소,2,보건소,16615.0,"경기도 부천시 성오로 172 (오정동,오정구보건소)",경기도 부천시 오정동 129번지 오정구보건소,421705,37.5277281,126.7965432
부천시,소사보건소,19930101,영업중,보건소,2,보건소,1089.0,경기도 부천시 경인옛로 73 (소사본동),경기도 부천시 소사본동 64번지,422701,37.4800489,126.7999425
성남시,수정구보건소,19900401,영업중,보건소,11,보건소,18644.0,"경기도 성남시 수정구 수정로 218 (신흥동, 수정구보건소)",경기도 성남시 수정구 신흥동 3435번지,13346,37.4443151,127.1440483
성남시,성남시분당구보건소,19931013,영업중,보건소,1,보건소,3000.0,경기도 성남시 분당구 양현로 306 (야탑동),경기도 성남시 분당구 야탑동 349번지,463070,37.4110485,127.1246228
수원시,영통구보건소,20061221,영업중,보건소,5,"내과, 한방내과, 침구과",0.0,경기도 수원시 영통구 영통로 396 (영통동),경기도 수원시 영통구 영통2동 961번지 18호,443810,37.2568958,127.069726
수원시,수원시권선구보건소,19900501,영업중,보건소,12,보건소,2496.72,경기도 수원시 권선구 호매실로 22-50 (탑동),경기도 수원시 권선구 탑동 910번지,441440,37.2587409,126.9711303
수원시,수원시팔달구보건소,19940112,영업중,보건소,12,보건소,2396.75,경기도 수원시 팔달구 팔달산로 6 (교동),경기도 수원시 팔달구 교동 56번지 1호,442130,37.2715018,127.0124578
수원시,장안구보건소,19900416,영업중,보건소,1,보건소,3161.27,"경기도 수원시 장안구 송원로 101 (조원동, 장안구구보건소)",경기도 수원시 장안구 조원동 888번지 장안구보건소,16295,37.3030403,127.0099975
시흥시,시흥시보건소,19890101,영업중,보건소,1,내과,5675.2,경기도 시흥시 호현로 55 (대야동),경기도 시흥시 대야동 484-3,14904,37.4455836,126.7852958
안산시,안산시단원보건소,19860101,영업중,보건소,1,보건소,3217.2,경기도 안산시 단원구 화랑로 250 (초지동),경기도 안산시 단원구 초지동 666번지 8호,15396,37.3210208,126.8152687
안산시,상록수보건소,20070912,영업중,보건소,2,보건소,5915.59,경기도 안산시 상록구 차돌배기로1길 5 (사동),경기도 안산시 상록구 사1동 1584번지,426894,37.3002683,126.8450417
안성시,안성시보건소,19670101,영업중,보건소,1,보건소,3533.0,경기도 안성시 강변로74번길 18 (도기동),경기도 안성시 도기동 67번지 21호,456270,37.0001973,127.2698253
안양시,안양시보건소 만안보건과,20110208,영업중,보건소,24,보건소,4837.0,경기도 안양시 만안구 문예로 48 (안양동),경기도 안양시 만안구 안양6동 532번지 1호 문예로48번지(안양시보건소 만안보건과),430824,37.3858484,126.9329501
안양시,안양시 동안구보건소,19921005,영업중,보건소,21,보건소,3017.71,경기도 안양시 동안구 평촌대로253번길 41 (비산동),경기도 안양시 동안구 달안동 1111번지 평촌대로 253번길 41,431811,37.3929692,126.9520679
양주시,양주시보건소,19621231,영업중,보건소,6,보건소,1756.2,경기도 양주시 부흥로 1533 (남방동),경기도 양주시 남방동 1번지 1호,482040,37.7850068,127.0449458
양평군,양평군보건소,20060101,영업중,보건소,1,내과,0.0,경기도 양평군 양평읍 마유산로 17,경기도 양평군 양평읍 양근5리 533번지 1호,476806,37.4970308,127.4867072
여주시,여주시보건소,19650101,영업중,보건소,6,보건소,2420.0,경기도 여주시 여흥로160번길 14 (상동),경기도 여주시 상동 358번지 3호 358-3,469101,37.2945968,127.6404126
오산시,오산시보건소,19900406,영업중,보건소,13,보건소,4342.0,경기도 오산시 경기동로 59 (오산동),경기도 오산시 오산동 25번지,447800,37.1590686,127.0778607
용인시,수지구보건소,20051025,영업중,보건소,10,"내과, 한방내과",2315.58,경기도 용인시 수지구 포은대로 435 (풍덕천동),경기도 용인시 수지구 풍덕천1동 720번지,448554,37.3219745,127.0973688
용인시,처인구보건소,20051031,영업중,보건소,12,보건소,6553.35,경기도 용인시 처인구 중부대로 1199 (삼가동),경기도 용인시처인구 삼가동 556번지,449060,37.2407024,127.179215
용인시,기흥구보건소,20051025,영업중,보건소,45,보건소,7289.0,"경기도 용인시 기흥구 신갈로58번길 11 (신갈동, 기흥구 보건소)",경기도 용인시 기흥구 구갈동 352번지 3호,16969,37.2725644,127.106678
의왕시,의왕시보건소,19900330,영업중,보건소,5,보건소,5328.0,"경기도 의왕시 오봉로 34 (고천동, 의왕시보건소)",경기도 의왕시 고천동,16076,37.3437907,126.9720133
의정부시,의정부시보건소,19950314,영업중,보건소,4,"한방내과, 내과",0.0,경기도 의정부시 범골로 131 (의정부동),경기도 의정부시 의정부동 516번지,480012,37.7361435,127.0395818
이천시,이천시보건소,19620101,영업중,보건소,1,보건소,2183.4,경기도 이천시 증신로153번길 13 (증포동),경기도 이천시 증포동 152번지 2호,467802,37.2889827,127.4523682
파주시,파주시보건소,19630101,영업중,보건소,26,보건소,2054.91,경기도 파주시 후곡로 13 (금촌동),경기도 파주시 금촌동 953번지 1호,413826,37.7563478,126.773916
평택시,평택시평택보건소,19881121,영업중,보건소,1,내과,0.0,경기도 평택시 평택5로 56 (비전동),경기도 평택시 비전동 850,17901,36.990853,127.1119879
평택시,평택시 송탄보건소,19810701,영업중,보건소,5,내과,1415.0,경기도 평택시 서정로 295 (이충동),경기도 평택시 이충동 10번지 24호 송탄 보건복지센터 및 송탄 보건소,17730,37.0657848,127.0664997
포천시,포천시보건소,19850125,영업중,보건소,16,보건소,3294.0,경기도 포천시 포천로 1612 (신읍동),경기도 포천시 신읍동 164번지 3호,487804,37.9008116,127.2012929
하남시,하남시보건소,19900317,영업중,보건소,15,보건소,1658.0,경기도 하남시 대청로 10 (신장동),경기도 하남시 신장동 520번지,465701,37.5392759,127.2145359
화성시,화성시보건소,19621101,영업중,보건소,14,보건소,2002.85,경기도 화성시 향남읍 3.1만세로 1055,경기도 화성시 향남읍 발안리 309번지,445923,37.1292813,126.9045638
