sigun_nm,medchek_inst_nm,medchek_inst_detail_telno_dtls,medchek_rom_detail_telno_dtls,medchek_rom_detail_faxno_dtls,refine_road_nm_addr,refine_lotno_addr,refine_zipno,genrl_medchek_div_nm,orcvt_medchek_div_nm,infant_medchek_div_nm,stcan_medchek_div_nm,cocan_medchek_div_nm,cvccan_medchek_div_nm,brstcan_medchek_div_nm,lican_medchek_div_nm,refine_wgs84_lat,refine_wgs84_logt
가평군,가평군보건소,031-582-2488,031-580-2817,031-580-2559,경기도 가평군 가평읍 가화로 155-18,경기도 가평군 가평읍 읍내리 624-1번지,12413,없음,없음,내원,없음,없음,없음,없음,없음,37.8334837912,127.5106028489
가평군,가평본치과의원,031-585-7528,031-585-7528,031-585-2828,경기도 가평군 조종면 현창로38번길 4-1,경기도 가평군 조종면 현리 265-2번지 (서울프라자약국),12437,없음,내원,없음,없음,없음,없음,없음,없음,37.8185335078,127.3487841781
가평군,뉴욕치과의원,031-585-9455,031-585-9455,031-585-9457,경기도 가평군 청평면 청평중앙로 50,경기도 가평군 청평면 청평리 432-69번지,12452,없음,내원,없음,없음,없음,없음,없음,없음,37.7378718476,127.4200308345
가평군,늘푸른의원,031-584-1551,031-584-1551,031-584-1661,경기도 가평군 설악면 신천중앙로 118,경기도 가평군 설악면 신천리 435-14번지 2층,12465,없음,없음,내원,없음,없음,없음,없음,없음,37.6780590054,127.4909276543
가평군,류치과의원,031-582-6767,031-582-6767,031-582-6768,경기도 가평군 가평읍 가화로 112,경기도 가평군 가평읍 읍내리 474-1번지,12419,없음,내원,없음,없음,없음,없음,없음,없음,37.8297429809,127.5139545893
가평군,서울마음치과의원,031-582-2882,031-582-2882,031-582-2883,경기도 가평군 가평읍 장터3길 10,경기도 가평군 가평읍 읍내리 407-4번지 2층,12419,없음,내원,없음,없음,없음,없음,없음,없음,37.8303918387,127.514693355
가평군,서울베스트치과의원,031-581-8606,031-581-8606,031-581-8609,경기도 가평군 가평읍 가화로 138,경기도 가평군 가평읍 읍내리 443-17번지 2층,12412,없음,내원,없음,없음,없음,없음,없음,없음,37.8317891047,127.5127503949
가평군,서울연합치과의원,031-585-5421,031-585-5421,031-585-5429,경기도 가평군 청평면 청평중앙로 48,경기도 가평군 청평면 청평리 432-11번지 2층,12452,없음,내원,없음,없음,없음,없음,없음,없음,37.7377275656,127.4199288436
가평군,서울정성치과의원,031-584-2804,031-584-2804,031-584-2806,경기도 가평군 청평면 청평중앙로 52,경기도 가평군 청평면 청평리 432-10번지 2층,12452,없음,내원,없음,없음,없음,없음,없음,없음,37.7379171062,127.4203145256
가평군,서울치과의원,031-584-2875,031-584-2875,031-584-8880,경기도 가평군 조종면 현창로 37,경기도 가평군 조종면 현리 409-8번지 우리약국,12437,없음,내원,없음,없음,없음,없음,없음,없음,37.8182533696,127.3482166558
가평군,신동미소 치과의원,031-585-2826,031-585-2826,031-585-2827,경기도 가평군 조종면 현창로 28-5,경기도 가평군 조종면 현리 410-42번지,12438,없음,내원,없음,없음,없음,없음,없음,없음,37.8175878842,127.3493769193
가평군,에이치제이매그놀리아국제병원,031-589-4300,031-589-4658,031-589-4661,경기도 가평군 설악면 미사리로 267-177,경기도 가평군 설악면 송산리 426-10번지,12461,내원+출장,없음,없음,내원,내원+출장,내원,내원,내원,37.6911268232,127.5213805697
가평군,에이치제이매그놀리아국제치과의원,031-589-4300,031-589-4710,031-589-4635,경기도 가평군 설악면 미사리로 267-177,경기도 가평군 설악면 송산리 426-10번지,12461,없음,내원,없음,없음,없음,없음,없음,없음,37.6911268232,127.5213805697
가평군,연세세브란스치과의원,031-584-2879,031-584-2879,031-584-2874,경기도 가평군 조종면 조종희망로 7,경기도 가평군 조종면 현리 412-2번지 3층,12437,없음,내원,없음,없음,없음,없음,없음,없음,37.8183719555,127.3493185166
가평군,연세이사랑치과의원,031-581-2882,031-581-2882,031-581-2882,경기도 가평군 가평읍 연인2길 2,경기도 가평군 가평읍 읍내리 468-8번지 유진빌딩 2층,12418,없음,내원,없음,없음,없음,없음,없음,없음,37.8304010243,127.5132387972
가평군,우리들치과의원,585-2875,031-585-2875,031-585-2862,경기도 가평군 설악면 신천중앙로 116,경기도 가평군 설악면 신천리 435-21번지 2층,12465,없음,내원,없음,없음,없음,없음,없음,없음,37.677950856,127.4910750934
