bizplc_nm,bsn_state_nm,licensg_ymd,refine_road_nm_addr,refine_lotno_addr,refine_zipno,locplc_faclt_telno_dtls,refine_wgs84_lat,refine_wgs84_logt,licensg_rtrcn_ymd,clsbiz_ymd,tcbiz_bgng_ymd,tcbiz_end_ymd,bizcond_div_nm_info,xcrd_vl,ycrd_vl,cultur_phstrn_indutype_nm,cultur_bizman_div_nm,tot_floor_cnt,circumfr_envrn_nm,faclt_ar,ground_floor_cnt,bsmnt_floor_cnt,buldng_purpos_nm,passway_wdth,light_faclt_ilum_amnt,sngrum_rom_cnt,yongroom_cnt,emgncy_strs_yn,emgnexit_yn,man_dong_ventltn_yn,yongroom_yn,specl_light_yn,sondfaclt_yn,tot_gamemchn_vcnt,provsn_gamesw_nm,first_reg_hr,region_div_nm
# 세븐 노래연습장,폐업,20111111,"경기도 성남시 분당구 성남대로 51 (구미동,포스빌 B155-2)",경기도 성남시 분당구 구미동 156 포스빌 B155-2,13636,,37.340506942,127.1080851942,,20180104,,,,209507.949102502,426499.956841716,노래연습장업,유통관련업,13,기타,148.73,8,5,근린생활시설,,,6,0,,,,,,,,,,일반상업지역
#(샵)코인노래연습장,영업중,20170413,"경기도 부천시 원미구 부일로 719, 지층 (역곡동)",경기도 부천시 원미구 역곡동 78-9,14671,,37.4854697445,126.8097551832,,,,,,183102.228103981,442606.77415394,노래연습장업,유통관련업,,,195.73,3,1,,1.0,40.0,25,12,,Y,,Y,,Y,,,,
#(샵)코인노래연습장,폐업,20160730,"경기도 김포시 돌문로 50-20, 5층 (사우동)",경기도 김포시 사우동 938 5층,10108,,37.6201090558,126.7182235112,,20211117,,,,175053.281637221,457566.797917272,노래연습장업,유통관련업,,,134.23,,,,,,22,22,,,,Y,,,,,,
#코인노래연습장,폐업,20170721,"경기도 남양주시 별내중앙로 55, 1동 302호 (별내동, 예스프라자갤럭시 주건축물 )",경기도 남양주시 별내동 1019 1동 302호,12112,,37.6472902803,127.1233803978,,20260316,,,,210818.297934034,460553.402025168,노래연습장업,유통관련업,,,94.5,3,,,,,17,17,,Y,Y,Y,,Y,,,,일반주거지역
(주)스카이 잉글리시,직권말소,20050811,경기도 고양시 일산동구 호수로 340-38,경기도 고양시 일산동구 백석동 1318-1 비잔티움 904호,10449,,37.6386990962,126.7887657343,,20101019,,,,181316.271463745,459613.298407296,노래연습장업,유통관련업,,,,,,,,,,,,,,,,,,,,
(주)화이팅브라보 수노래연습장 안양점,폐업,20061214,"경기도 안양시 만안구 장내로149번길 29 (안양동,2층)",경기도 안양시 만안구 안양동 674-105 2층,13992,,37.3993297547,126.9229739567,,20161005,,,,,,노래연습장업,유통관련업,,유흥업소밀집지역,552.22,,,근린생활시설,1.0,40.0,34,29,Y,Y,Y,Y,Y,Y,,,,일반상업지역
001노래연습장,영업중,20000928,"경기도 성남시 분당구 불정로77번길 4-2  (정자동,지하)",경기도 성남시 분당구 정자동 139-2 지하,13612,,37.3602293219,127.1135949826,,,,,,209991.34,428692.055,노래연습장업,유통관련업,4,학교정화(절대),57.89,3,1,근린생활시설,1.0,43.0,5,1,Y,Y,Y,Y,Y,Y,,,,일반주거지역
007,폐업,20021005,경기도 성남시 수정구 수정로120번길 7  (수진동),경기도 성남시 수정구 수진동 46,13327,,37.4408412802,127.1340037637,,20030113,,,,211787.801284911,437640.831999202,노래연습장업,유통관련업,,,,2,,,1.0,40.0,13,3,Y,Y,Y,Y,Y,Y,,,,
007 노래연습장,영업중,20020917,"경기도 성남시 중원구 둔촌대로425번길 8, 지층 (상대원동)",경기도 성남시 중원구 상대원동 1431 지,13228,,37.4337024881,127.1643995813,,,,,,214479.772543789,436853.195954257,노래연습장업,유통관련업,,,141.8,,1,,,,7,1,N,N,N,Y,N,N,,,,
007노래연습장,폐업,20020401,경기도 오산시 원동로37번길 35-3  (원동),경기도 오산시 원동 775-27,18141,,37.1450516973,127.0703379243,,20070109,,,,206177.575529692,404805.744493425,노래연습장업,유통관련업,,,,,,,,,,,N,N,N,,N,N,,,,
