licensg_ymd,bizplc_nm,unity_bsn_state_nm,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,locplc_ar_info,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,bizcond_div_nm_info,xcrd_vl,ycrd_vl,sanittn_bizcond_nm,buldng_ground_floor_cnt,buldng_bsmnt_floor_cnt,use_bgng_ground_floor_cnt,use_last_ground_floor_cnt,use_bgng_bsmnt_floor_cnt,use_last_bsmnt_floor_cnt,cdtnl_prmsn_dclr_resn,cdtnl_prmsn_bgng_ymd,cdtnl_prmsn_end_ymd,buldng_posesn_div_nm,whm_cnt,female_enflpsn_cnt,male_enflpsn_cnt,retrvl_dry_cnt,bed_noc,multi_utlz_bizest_yn
20060126,(U)유크린명품수선세탁,영업/정상,영업,,032-328-7867,32.55,"경기도 부천시 원미구 소향로 223 (중동,굿모닝오피스텔상가 109호)",경기도 부천시 원미구 중동 1144-1 굿모닝오피스텔상가 109호,14548,37.5010917302,126.7724694194,일반세탁업,179810.687768383,444343.646986282,일반세탁업,0,0,1,1,0,0,,,,임대,1,,,1,,N
20121017,(무인)셀프빨래방,폐업,폐업,20191017,,53.36,"경기도 군포시 용호1로2번안길 15, 101호 (당동)",경기도 군포시 당동 970-5 101호,15871,37.3447636408,126.938599408,빨래방업,194490.988319052,426971.9994299,빨래방업,0,0,,,,,,,,,4,,,0,,N
20060605,(사) 지장협 재활 자립장,폐업,폐업,20180314,031-922-0292,223.80,"경기도 고양시 일산서구 송산로174번길 13-1 (구산동,외 1필지 (1층))",경기도 고양시 일산서구 구산동 627-15 외 1필지 (1층),10202,37.6830673347,126.6995537572,일반세탁업,173428.119696099,464558.456198892,일반세탁업,2,1,1,1,0,0,,,,임대,3,,,0,,N
20150423,(주) 더빨래,폐업,폐업,20170710,031-311-3161,102.80,경기도 시흥시 신현로287번길 14-8 (방산동),경기도 시흥시 방산동 683,14960,37.4093063009,126.7636516519,빨래방업,179005.86714218,434157.427096052,빨래방업,0,0,,,,,,,,,1,0,0,2,,N
20130903,(주) 크린엠디에스,폐업,폐업,20181023,031-374-8787,"1,206.29","경기도 화성시 동탄구 금곡로 63-28 (1층 일부, 2층 일부, 3층 일부)","경기도 화성시 동탄구 금곡동  583 1층 일부, 2층 일부, 3층 일부",18511,37.1677288032,127.0771817956,일반세탁업,206766.085801338,407262.685195099,일반세탁업,0,0,1,3,,,,,,,8,,,0,,N
20260211,(주)경기산업,영업/정상,영업,,,660.00,"경기도 파주시 법원읍 못말길 371-48, 2동 1층 전체",경기도 파주시 법원읍 동문리 293-2,10825,37.8684645247,126.8550861328,세탁업 기타,187224.349281419,485074.512695539,세탁업 기타,1,0,1,1,0,0,,,,,8,0,0,8,,N
20210118,(주)경기산업,영업/정상,영업,,,396.00,"경기도 파주시 광탄면 방축길 113, 가동, 나동",경기도 파주시 광탄면 방축리 289,10831,37.811336408,126.8577078123,일반세탁업,187405.001886385,478757.417996651,일반세탁업,0,0,0,0,0,0,,,,,5,0,0,0,,N
20061117,(주)경성물류,영업/정상,영업,,031-657-4005,231.84,"경기도 화성시 만세구 우정읍 기아자동차로 95 (1, 3)","경기도 화성시 만세구 우정읍 매향리 966 1, 3",18571,37.039269468,126.7889762486,일반세탁업,178347.843007691,392918.701206768,일반세탁업,1,,,,,,,,,,4,,,,,N
20030619,(주)그린존,폐업,폐업,20120315,031-323-2055,397.04,,경기도 용인시 처인구 이동읍 덕성리 563-2,17130,37.1837088662,127.2008055355,일반세탁업,217757.665139061,409144.33838653,일반세탁업,0,0,0,0,0,0,,,,,0,,,1,,N
20160831,(주)그린청명,영업/정상,영업,,031-744-7044,,"경기도 성남시 중원구 순환로 210, 1층 104호 (상대원동)",경기도 성남시 중원구 상대원동 66-1 1층 104호,13204,37.4423347766,127.1796111406,일반세탁업,215822.61318236,437810.624895582,일반세탁업,0,0,,,,,,,,,1,0,0,1,,N
20201104,(주)금빛크린,영업/정상,영업,,,196.00,"경기도 남양주시 수동면 소래비로440번길 56, 주3동 1층",경기도 남양주시 수동면 송천리 421 송아판금,12034,37.6908210562,127.3266312968,일반세탁업,228750.433874015,465402.790817699,일반세탁업,0,0,1,1,,,,,,,2,0,0,0,,N
20070411,(주)깨끗한 세상,폐업,폐업,20181207,031-996-1081,691.20,경기도 김포시 하성면 동마동로 52,경기도 김포시 하성면 마곡리 164-1,10012,37.7155034915,126.6453233472,일반세탁업,168673.599312454,468173.579972723,일반세탁업,1,0,0,0,0,0,,,,자가,7,,,1,,N
20150722,(주)나우글로벌 김포지점,영업/정상,영업,,031-986-4875,838.20,경기도 김포시 통진읍 김포대로2435번길 112-100,경기도 김포시 통진읍 옹정리 190-49,10029,37.6933274006,126.5697877465,세탁업 기타,162025.996109415,465687.067653994,세탁업 기타,1,1,,,,,,,,임대,6,0,2,0,,N
20160607,(주)내츄럴크린,영업/정상,영업,,02-488-8909,141.18,경기도 하남시 고골로242번길 107 (항동),경기도 하남시 항동 339-22,13021,37.5021277265,127.18831632,일반세탁업,216582.026629475,444453.693363836,일반세탁업,0,0,,,,,,,,,1,1,1,1,,N
