sum_yr,sigun_nm,cmpnm_nm,telno,indutype_dtls,bsn_hr,refine_lotno_addr,refine_road_nm_addr,refine_wgs84_lat,refine_wgs84_logt,refine_zipno
2025,가평군,유명산로컬푸드,031-584-8838,,,경기도 가평군 설악면 방일리 228번지,경기도 가평군 설악면 유명로 891,37.62306826,127.4946966,12472
2025,가평군,가평군산림조합,031-582-4570,,,경기도 가평군 가평읍 상색리 413-1번지,경기도 가평군 가평읍 경춘로 1719,37.79486943,127.476477,12426
2025,고양시,송포농협 로컬푸드직매장,031-918-5949,,,경기도 고양시 일산서구 대화동 2032-2번지,경기도 고양시 일산서구 일산로 640,37.6821805,126.7582861,10369
2025,고양시,일산농협 로컬푸드직매장(장항점),031-907-8161,,,경기도 고양시 일산동구 장항동 594번지,경기도 고양시 일산동구 장항로 226-68,37.64299399,126.7776506,10429
2025,고양시,지도농협 로컬푸드직매장(3호점),031-969-5345,,,경기도 고양시 덕양구 화정동 808-17번지,경기도 고양시 덕양구 호국로 573,37.63915043,126.8272982,10455
2025,고양시,고양축협 로컬푸드직매장,031-965-0018,,,경기도 고양시 덕양구 성사동 620-1번지,경기도 고양시 덕양구 호국로 915-14,37.66545082,126.8448508,10294
2025,고양시,원당농협 로컬푸드직매장,031-966-6252,,,경기도 고양시 덕양구 성사동 505번지,경기도 고양시 덕양구 고양대로1369번길 69,37.65747573,126.8386854,10463
2025,고양시,일산농협 로컬푸드직매장(풍산점),031-975-8322,,,경기도 고양시 일산동구 풍동 349-13번지,경기도 고양시 일산동구 숲속마을1로 34,37.663956,126.7996021,10308
2025,고양시,지도농협 로컬푸드직매장(1호점),031-391-2438,,,경기도 고양시 덕양구 행신동 700번지 무원마을,경기도 고양시 덕양구 무원로19 무원마을,37.61468877,126.8321415,10522
2025,고양시,자연터 로컬푸드마켓,031-966-0782,,,경기도 고양시 일산동구 문봉동 158-11번지,경기도 고양시 일산동구 성현로 400,37.7005200279,126.8270162441,10314
2025,고양시,원당농협 로컬푸드복합문화센터,031-965-5975,,,경기도 고양시 덕양구 성사동 410-5번지,경기도 고양시 덕양구 고양대로 1433,37.65331073,126.8433703,10293
2025,고양시,한국화훼농협 로컬플라워 직매장,031-910-8053,,,경기도 고양시 일산서구 대화동 2324번지,경기도 고양시 일산서구 대화로 362,37.6825767791,126.7468618922,10226
2025,고양시,지도농협 로컬푸드직매장(2호점),031-967-6010,,,경기도 고양시 덕양구 화정동 851번지,경기도 고양시 덕양구 화중로 220,37.64647522,126.8347135,10473
2025,고양시,일산농협 로컬푸드직매장(본점),031-975-8322,,,경기도 고양시 일산서구 일산동 594-28번지,경기도 고양시 일산서구 일청로 30,37.68661554,126.7713868,10342
2025,고양시,벽제농협 로컬푸드직매장,031-962-1873,,,경기도 고양시 덕양구 관산동 226-2번지,경기도 고양시 덕양구 통일로 775,37.68722269,126.8638494,10287
2025,고양시,일산농협 로컬푸드직매장(5호점),031-906-8701,,,경기도 고양시 일산동구 장항동 565-8번지,경기도 고양시 일산동구 장항로 274,37.64323172,126.7694191,10429
2025,고양시,신도농협 로컬푸드직매장,02-381-0100,,,경기도 고양시 덕양구 지축동 300번지,경기도 고양시 덕양구 백운길 22,37.65233339,126.9348636,10584
2025,고양시,일산농협 로컬푸드직매장(킨텍스점),031-918-8161,,,경기도 고양시 일산동구 장항동 1753번지 킨텍스원시티,경기도 고양시 일산동구 태극로 8,37.66359198,126.7492193,10394
2025,광명시,광명농협 로컬푸드 직매장,02-2169-8092,,,경기도 광명시 소하동 1340-3번지,경기도 광명시 금하로 450,37.44832071,126.8822936,14316
2025,광주시,경기도 로컬푸드 직매장,031-548-2350,,,경기도 광주시 곤지암읍 삼리 680번지,경기도 광주시 곤지암읍 경충대로 731,37.3535503568,127.3273196181,12805
2025,광주시,서하리 로컬푸드 직매장,031-797-1133,,,경기도 광주시 초월읍 서하리 243-2번지,경기도 광주시 초월읍 해공로 551,37.43613228,127.3080605,12705
2025,광주시,초월농협 하나로마트 로컬푸드직매장,031-798-4983,,,경기도 광주시 초월읍 산이리 95-38번지,경기도 광주시 초월읍 경충대로 926,37.3651270096,127.3114713312,12799
2025,광주시,광주시 자연채 푸드팜 센터,031-760-4675,,,경기도 광주시 양벌동 17-120번지,경기도 광주시 청석로 77,37.39581873,127.2569278,12794
2025,김포시,엘리트농부 로컬푸드 직매장,031-981-8456,,,경기도 김포시 양촌읍 구래리 202-1번지,경기도 김포시 양촌읍 구래로26번길 65-20,37.6491332,126.6199103,10058
2025,김포시,고촌농협 로컬푸드직매장,031-986-4312,,,경기도 김포시 고촌읍 태리 31-14번지,경기도 김포시 고촌읍 장곡로3번길 28,37.60576046,126.7530978,10122
2025,김포시,김포농협 로컬푸드직매장(1호점),031-984-8522,,,경기도 김포시 걸포동 1588번지,경기도 김포시 홍도평로 20,37.63155717,126.7129924,10096
2025,김포시,김포로컬푸드 공동판매장(현대아울렛점),031-8048-2522,,,경기도 김포시 고촌읍 전호리 654번지,경기도 김포시 고촌읍 아라육로152번길 100,37.59729798,126.7852858,10135
2025,김포시,김포농협 로컬푸드직매장(2호점),031-985-8242,,,경기도 김포시 장기동 156-4번지,경기도 김포시 김포한강4로 213,37.64925544,126.6589039,10065
2025,김포시,신김포농협 로컬푸드직매장,031-996-5438,,,경기도 김포시 양촌읍 석모리 1179번지,경기도 김포시 양촌읍 김포한강4로 366,37.6508119,126.6434807,10064
2025,김포시,고촌농협 로컬푸드직매장 고촌점,031-961-0861,,,경기도 김포시 고촌읍 신곡리 570-32번지,경기도 김포시 고촌읍 김포대로 337-1,37.6007472488,126.7700953238,10129
