sigun_nm,bizplc_nm,licensg_ymd,bsn_state_nm,clsbiz_ymd,multi_utlz_bizest_yn,tot_faclt_scale,sanittn_indutype_nm,sanittn_bizcond_nm,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt
고양시,주식회사 소풍,20150527,폐업 등,20170621,N,,식품제조가공업,도시락제조업,"경기도 고양시 덕양구 무원로54번길 7-4, 1층 (행신동)",경기도 고양시 덕양구 행신동 733-14번지,412825,37.6178300597,126.8329632642
구리시,주식회사 비앤에스푸드,20180516,운영중,,N,,식품제조가공업,도시락제조업,"경기도 구리시 경춘로20번길 47, 대교빌딩 2층 (교문동)",경기도 구리시 교문동 341번지 대교빌딩 2층,471855,37.5995738993,127.1179907989
군포시,(주)푸드윈,20081226,운영중,,N,,식품제조가공업,도시락제조업,"경기도 군포시 공단로 149, 105~107,207~209,404호 (당동, 군포현대아이밸리 )","경기도 군포시 당동 14-1번지 군포현대아이밸리(105~107호, 207~209호, 404호",435807,37.3588660074,126.9492106084
군포시,파인쿡,20151117,폐업 등,20161123,N,,식품제조가공업,도시락제조업,"경기도 군포시 공단로 149, 103~104호 (당동, 아이밸리군포)","경기도 군포시 당동 14-1번지 아이밸리군포, 103~104호",435807,37.3588660074,126.9492106084
남양주시,(주)녹채원네이처,20160928,운영중,,N,,식품제조가공업,도시락제조업,경기도 남양주시 화도읍 비룡로464번길 3 (1층일부),경기도 남양주시 화도읍 가곡리 20번지,472841,37.6876671082,127.3152400094
수원시,각시밥상,20160617,운영중,,N,,식품제조가공업,도시락제조업,"경기도 수원시 장안구 경수대로1081번길 9-5, 1층 (파장동)",경기도 수원시 장안구 파장동 576-5번지 1층,440853,37.3089136997,126.9941270631
수원시,(주)모락모락,20141118,운영중,,N,,식품제조가공업,도시락제조업,"경기도 수원시 장안구 수성로 331, 지하1층 (정자동)",경기도 수원시 장안구 정자동 82-16번지 지하1층,440834,37.2925224218,127.0081365441
수원시,(주)니즈푸드,20160216,운영중,,N,,식품제조가공업,도시락제조업,"경기도 수원시 영통구 영통로331번길 13, 1층 (매탄동)",경기도 수원시 영통구 매탄동 512-3번지,443803,37.2554465743,127.0628780555
수원시,웰빙밥상,20160201,폐업 등,20170418,N,,식품제조가공업,도시락제조업,"경기도 수원시 영통구 웰빙타운로49번길 32, 105호 (이의동, 광교웰빙프라자빌딩)",경기도 수원시 영통구 이의동 1204-7번지 광교웰빙프라자빌딩 105호,443270,37.3040885878,127.0468555102
시흥시,새미래협동조합,20150922,운영중,,N,,식품제조가공업,도시락제조업,"경기도 시흥시 정왕천로449번길 7, 1층 (정왕동, 일부)",경기도 시흥시 정왕동 1165-2번지,429847,37.3474392974,126.7540159778
시흥시,주식회사찬이랑밥이랑,20170530,운영중,,N,,식품제조가공업,도시락제조업,경기도 시흥시 군자로 377-2 (거모동),경기도 시흥시 거모동 834-5번지,429800,37.3534313595,126.7769117076
시흥시,(주)이지푸드,20161123,운영중,,N,,식품제조가공업,도시락제조업,경기도 시흥시 봉우순환로113번길 4 (정왕동),경기도 시흥시 정왕동 2245-9번지,429929,37.3569532639,126.7518780224
시흥시,풍성한푸드,20160419,운영중,,N,,식품제조가공업,도시락제조업,"경기도 시흥시 공단1대로195번길 38, 1층 (정왕동, 일부)",경기도 시흥시 정왕동 1268-7번지,429849,37.3411284528,126.7271420244
안산시,(주)우영에프앤디,20171205,운영중,,N,,식품제조가공업,도시락제조업,"경기도 안산시 단원구 산단로 107, 서흥테크노밸리 6층 610호일부,611호 (원시동)",경기도 안산시 단원구 원시동 731-4번지 서흥테크노밸리,425851,37.3054679781,126.7870980862
안산시,한마음푸드(주),20151112,운영중,,N,,식품제조가공업,도시락제조업,"경기도 안산시 상록구 새말길 15 (부곡동, 1층일부)",경기도 안산시 상록구 부곡동 3-2번지 1층일부,426819,37.3460071817,126.8671007381
안성시,푸드홈미,20150729,운영중,,N,,식품제조가공업,도시락제조업,"경기도 안성시 서운면 송죽길 141, 가동",경기도 안성시 서운면 현매리 325-3번지 가동,456851,36.9396883663,127.2255475734
안성시,데일리푸드,20150209,운영중,,N,,식품제조가공업,도시락제조업,경기도 안성시 원곡면 용소길 39-15,경기도 안성시 원곡면 칠곡리 453번지,456812,37.044584589,127.14864478
안성시,이로푸드,20160609,폐업 등,20171011,N,,식품제조가공업,도시락제조업,"경기도 안성시 미양면 협동단지길 3, 2층",경기도 안성시 미양면 양변리 240-23번지,456844,36.9588591538,127.2443949835
안성시,(주)푸드스토리,20140403,폐업 등,20180228,N,,식품제조가공업,도시락제조업,경기도 안성시 원곡면 원암로 250-2,경기도 안성시 원곡면 성주리 21번지,456812,37.0862499641,127.1743875965
안성시,씨제이 대한통운 주식회사,20160603,폐업 등,20180511,N,,식품제조가공업,도시락제조업,"경기도 안성시 일죽면 사실로 161-42, 지1층",경기도 안성시 일죽면 방초리 227-1번지,456912,37.1275748352,127.4314061765
안성시,다정푸드,20150921,폐업 등,20180828,N,,식품제조가공업,도시락제조업,"경기도 안성시 대덕면 만세로 420, A동",경기도 안성시 대덕면 명당리 152-2번지 외1필지 A동,456833,37.0447832261,127.2086724868
안양시,청정푸드,20170117,운영중,,N,,식품제조가공업,도시락제조업,"경기도 안양시 만안구 안양로329번길 108, 지상 2층 (안양동, 안양월드)",경기도 안양시 만안구 안양동 900-10번지,430842,37.4013274083,126.9131289596
안양시,미주외식산업,20150723,폐업 등,20180327,N,,식품제조가공업,도시락제조업,"경기도 안양시 만안구 예술공원로64번길 13, 지상1층 (안양동)",경기도 안양시 만안구 안양동 41-6번지,430854,37.4138343438,126.9177775423
안양시,YJ F&B,20160530,폐업 등,20161118,N,,식품제조가공업,도시락제조업,"경기도 안양시 동안구 엘에스로45번길 33, 지상1층 (호계동)",경기도 안양시 동안구 호계동 660-25번지 지상1층,431833,37.3663367076,126.9541711796
양평군,농업회사법인 정원(주),20180827,운영중,,N,,식품제조가공업,도시락제조업,"경기도 양평군 청운면 설악로 481, 1층",경기도 양평군 청운면 삼성리 209-6번지,476863,37.5810193042,127.7489168517
오산시,에스케이푸드(SK푸드),20180327,운영중,,N,,식품제조가공업,도시락제조업,"경기도 오산시 남부대로362번길 18, 3동 1층 (원동)",경기도 오산시 원동 524번지 3동 1층,447804,37.1335242309,127.0757959861
오산시,시락주식회사,20170829,폐업 등,20180611,N,,식품제조가공업,도시락제조업,"경기도 오산시 오산로 193, 1층 104,124,125호 (오산동, 탑프라자)","경기도 오산시 오산동 882-2번지 탑프라자 1층 104,124,125호",447802,37.1440611146,127.0681252742
용인시,(주)비에스푸드,20150807,폐업 등,20170425,N,,식품제조가공업,도시락제조업,경기도 용인시 기흥구 용인향교로20번길 26 (언남동),경기도 용인시 기흥구 언남동 293번지,446524,37.2962768501,127.1222716508
용인시,이앤지(주),20160112,폐업 등,20170410,N,,식품제조가공업,도시락제조업,경기도 용인시 처인구 모현면 포은대로1272번길 94,경기도 용인시 처인구 모현면 동림리 231-6번지,449853,37.336617718,127.1919704947
용인시,에이스푸드,20150930,폐업 등,20160907,N,,식품제조가공업,도시락제조업,경기도 용인시 처인구 양지면 남평로 84,경기도 용인시 처인구 양지면 남곡리 119-1번지,449821,37.2275867913,127.2922336906
용인시,푸드원,20160627,폐업 등,20170322,N,,식품제조가공업,도시락제조업,경기도 용인시 처인구 양지면 중부대로2670번길 16,경기도 용인시 처인구 양지면 추계리 121-1번지,449824,37.2507731709,127.3272950944
의정부시,(주)플로잇,20161213,운영중,,N,,식품제조가공업,도시락제조업,"경기도 의정부시 둔야로50번길 10-4, 1층 (가능동)",경기도 의정부시 가능동 836-15번지 지상1층,480819,37.7400841728,127.0400568546
이천시,(주)한국데리카후레쉬 제1공장,20170502,운영중,,N,,식품제조가공업,도시락제조업,경기도 이천시 부발읍 황무로 1675,경기도 이천시 부발읍 죽당리 481-4번지,467864,37.273766544,127.5166373596
이천시,우리만세푸드(food),20160810,폐업 등,20170406,N,,식품제조가공업,도시락제조업,경기도 이천시 마장면 서이천로719번길 14-29,경기도 이천시 마장면 장암리 391-5번지,467811,37.2841599953,127.3957175907
파주시,주식회사 라온제나,20160215,운영중,,N,,식품제조가공업,도시락제조업,경기도 파주시 탄현면 방촌로 622,경기도 파주시 탄현면 축현리 476-10번지,413843,37.7997461723,126.7190373792
파주시,주식회사 후레쉬팜,20160630,운영중,,N,,식품제조가공업,도시락제조업,경기도 파주시 월롱면 휴암로 5,경기도 파주시 월롱면 위전리 427-6번지,413812,37.7958018562,126.7908286791
평택시,홈푸드도시락,20150821,폐업 등,20160714,N,,식품제조가공업,도시락제조업,경기도 평택시 고덕면 방축길 221-10,경기도 평택시 고덕면 여염리 39-20번지,451841,37.0242192451,127.0517385799
하남시,(주)제이엠트레이딩,20161114,운영중,,N,,식품제조가공업,도시락제조업,"경기도 하남시 초일로 186, 1층 (초일동)",경기도 하남시 초일동 222-2번지,465210,37.5336237492,127.1858536761
화성시,(주)대주에프앤씨,20160704,운영중,,N,,식품제조가공업,도시락제조업,"경기도 화성시 동탄순환대로 693, 305호 (영천동, 대성메디컬프라자)",경기도 화성시 영천동 678-5번지 305호,445130,37.2065315121,127.1105145787
화성시,이강푸드코리아,20160705,폐업 등,20180719,N,,식품제조가공업,도시락제조업,경기도 화성시 배양남길 167-4 (배양동),경기도 화성시 배양동 15-303번지,445350,37.2192038558,126.9954932143
화성시,그린푸드(Green food),20160128,폐업 등,20170703,N,,식품제조가공업,도시락제조업,"경기도 화성시 정남면 가장로 366, 나동",경기도 화성시 정남면 내리 64-2번지 나동,445962,37.1619311628,127.0199764844
화성시,화성식당,20151123,폐업 등,20160728,N,,식품제조가공업,도시락제조업,"경기도 화성시 삼성1로 297, 1층 (반월동)",경기도 화성시 반월동 357-1번지 1층,445330,37.2283034611,127.0697194833
