sigun_nm,center_nm,telno,refine_zipno,refine_lotno_addr,refine_road_nm_addr,refine_wgs84_lat,refine_wgs84_logt
가평군,가평군정신건강복지센터,031-581-8881,12413,경기도 가평군 가평읍 읍내리 624-20번지,경기도 가평군 가평읍 가화로 155-15,37.83301084,127.5107987
고양시,고양시정신건강복지센터,031-968-2333,10421,경기도 고양시 일산동구 백석동 1195번지,경기도 고양시 일산동구 중앙로 1100,37.64707678,126.7834604
과천시,과천시정신건강복지센터,02-504-4440,13806,경기도 과천시 중앙동 1-3번지,경기도 과천시 관문로 69,37.42979496,126.9869797
광명시,광명시정신건강복지센터,02-897-7787,14203,경기도 광명시 광명동 158-970번지,경기도 광명시 오리로 1018,37.48091102,126.8504658
광주시,광주시정신건강복지센터,031-762-8728,12739,경기도 광주시 경안동 115번지,경기도 광주시 파발로 194,37.41650378,127.2503076
구리시,구리시정신건강복지센터,031-523-8672,11922,경기도 구리시 인창동 674-3번지,경기도 구리시 건원대로34번길 84,37.60472282,127.1450819
군포시,군포시정신건강복지센터,031-461-1771,15887,경기도 군포시 부곡동 770-1번지,경기도 군포시 군포로 221,37.33308151,126.9255083
김포시,김포시정신건강복지센터,031-998-4005,10111,경기도 김포시 사우동 869번지,경기도 김포시 사우중로 108,37.62370303,126.7229457
남양주시,남양주시정신건강복지센터,031-592-5891,12284,경기도 남양주시 다산동 6198번지,경기도 남양주시 경춘로 522,37.6107841,127.1716955
동두천시,동두천시정신건강복지센터,031-863-3632,11344,경기도 동두천시 생연동 714-10번지,경기도 동두천시 거북마루로 49,37.89625113,127.0516303
부천시,부천시정신건강복지센터,032-654-4024,14434,경기도 부천시 오정구 오정동 129번지,경기도 부천시 오정구 성오로 172,37.52827666,126.796147
성남시,성남시소아청소년정신건강복지센터,031-751-2445,13346,경기도 성남시 수정구 신흥동 3435번지,경기도 성남시 수정구 수정로 218,37.44430429,127.1440958
성남시,성남시정신건강복지센터,031-780-7000,13346,경기도 성남시 수정구 신흥동 3435번지,경기도 성남시 수정구 수정로 218,37.44430429,127.1440958
수원시,수원시노인정신건강센터,031-273-7511,16703,경기도 수원시 영통구 영통동 961-18번지,경기도 수원시 영통구 영통로 396,37.2568819,127.0697092
수원시,수원시아동청소년정신건강복지센터,031-242-5737,16439,경기도 수원시 팔달구 화서동 134-3번지,경기도 수원시 팔달구 동말로47번길 17,37.279378,126.999364
