sigun_nm,inst_nm,refine_lotno_addr,refine_road_nm_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,telno,hmpg_url
가평군,가평출장소(남양주가평지사),경기도 가평군 청평면 청평리 432-11번지,경기도 가평군 청평면 청평중앙로 48,12452,37.73754514,127.419815,1577-1000,http://www.nhis.or.kr/retrieveHomeMain.xx
고양시,고양덕양지사,경기도 고양시 덕양구 화정동 973번지,경기도 고양시 덕양구 화신로260번길 57,10500,37.63349459,126.8326751,1577-1000,http://www.nhis.or.kr/retrieveHomeMain.xx
고양시,고양일산지사,경기도 고양시 일산동구 마두동 1010번지,경기도 고양시 일산동구 중앙로 1228,10410,37.65632859,126.7758474,1577-1000,http://www.nhis.or.kr/retrieveHomeMain.xx
과천시,과천지사,경기도 과천시 별양동 1-16번지,경기도 과천시 별양상가1로 13,13837,37.42708321,126.991505,1577-1000,http://www.nhis.or.kr/retrieveHomeMain.xx
광명시,광명지사,경기도 광명시 철산동 250번지,경기도 광명시 철산로 5,14235,37.47607385,126.8667674,1577-1000,http://www.nhis.or.kr/retrieveHomeMain.xx
광주시,경기광주지사,경기도 광주시 경안동 20-14번지,경기도 광주시 광주대로 35,12758,37.40966678,127.2601414,1577-1000,http://www.nhis.or.kr/retrieveHomeMain.xx
구리시,구리지사,경기도 구리시 갈매동 583번지,경기도 구리시 갈매중앙로 86,11901,37.63191227,127.1181634,1577-1000,http://www.nhis.or.kr/retrieveHomeMain.xx
군포시,군포지사,경기도 군포시 당동 776-20번지,경기도 군포시 군포로 522,15855,37.3524753,126.9456697,1577-1000,http://www.nhis.or.kr/retrieveHomeMain.xx
김포시,김포지사,경기도 김포시 장기동 2011-6번지,경기도 김포시 태장로795번길 137,10090,37.639684,126.6845791,1577-1000,http://www.nhis.or.kr/retrieveHomeMain.xx
남양주시,남양주가평지사,경기도 남양주시 다산동 261-3번지,경기도 남양주시 다산지금로163번길 87,12284,37.59607443,127.1748436,1577-1000,http://www.nhis.or.kr/retrieveHomeMain.xx
동두천시,동두천연천지사,경기도 동두천시 생연동 695-22번지,경기도 동두천시 중앙로 206,11334,37.8998561,127.0529313,1577-1000,http://www.nhis.or.kr/retrieveHomeMain.xx
부천시,부천남부지사,경기도 부천시 소사구 소사본동 65-7번지,경기도 부천시 소사구 경인로 386,14693,37.48157065,126.7984918,1577-1000,http://www.nhis.or.kr/retrieveHomeMain.xx
