bizplc_nm,licensg_ymd,bsn_state_nm,locplc_faclt_telno_dtls,locplc_ar_info,roadnm_zipno,refine_road_nm_addr,refine_lotno_addr,refine_zipno,dat_updt_hr,bizcond_div_nm_info,xcrd_vl,ycrd_vl
큐펫,20140320,말소,02-381-8990,0,10583,경기도 고양시 덕양구 통일로 *** (삼송동),,,2026-01-13 17:14:06,,190937.520717141,461531.036521274
도그데이,20221102,말소,,0,10592,"경기도 고양시 덕양구 삼송로 ***, 힐스테이트삼송역스칸센(*블럭) *층 ***호 (삼송동)",경기도 고양시 덕양구 삼송동 *** 힐스테이트삼송역스칸센(*블럭) ***호,10577,2026-01-13 17:14:08,,191155.299951584,461114.626096889
투게독,20161018,말소,,0,10401,"경기도 고양시 일산동구 중앙로 ****-**, ***호 (장항동, 라페스타D)",경기도 고양시 일산동구 장항동 ***-* ***호,10397,2026-01-13 17:14:06,,179483.46426884,462103.411563157
뷰티폼,20180323,말소,,0,10414,"경기도 고양시 일산동구 강석로 ***, 장항빌딩 *층 ***호 (마두동)",경기도 고양시 일산동구 마두동 *** 장항빌딩,,2026-01-13 17:14:06,,180455.674453384,460992.984497656
오늘의 개스트,20191016,말소,,0,10401,"경기도 고양시 일산동구 무궁화로 **, 남정씨티프라자* *층 ***호 (장항동)",경기도 고양시 일산동구 장항동 ***-* 남정씨티프라자,10397,2026-01-13 17:14:06,,179492.666132508,462272.008263397
아담스펫 강아지분양 고양이분양 일산점,20210309,말소,,0,10421,"경기도 고양시 일산동구 중앙로 ****, 제상가동 *층 ***호 (백석동, 흰돌마을*단지아파트)",경기도 고양시 일산동구 백석동 **** 흰돌마을*단지아파트,,2026-01-13 17:14:09,,180650.101712262,460559.038812402
은아 펫 타운,20210902,말소,,0,10246,"경기도 고양시 일산동구 고봉로 ***, *층 (성석동)",경기도 고양시 일산동구 성석동 ****-*,,2026-01-13 17:14:09,,180596.528032349,466657.447497035
릴스퍼피 강아지분양 일산점,20210929,말소,,0,10402,"경기도 고양시 일산동구 정발산로 **, 드림월드빌딩 *층 ***호 (장항동)",경기도 고양시 일산동구 장항동 ***-* 드림월드빌딩 ***호,10397,2026-01-13 17:14:09,,179703.277546761,461593.64421342
쥬박스 스코티쉬폴드,20220303,말소,031-913-0649,0,10386,"경기도 고양시 일산서구 중앙로 ****, 주엽역 삼부르네상스 B***호 (주엽동)",경기도 고양시 일산서구 주엽동 *** 주엽역 삼부르네상스 B***호,,2026-01-13 17:14:11,,178921.755604618,462986.547889216
펫이떳다,20110525,말소,031-594-8866,0,12226,경기도 남양주시 의안로 ***-** (평내동),경기도 남양주시 평내동 ***-*,,2026-01-13 17:17:34,,220915.088432066,460119.835281981
Dog Mom,20120920,말소,,0,,경기도 수원시 권선구 곡선로**번길 **-* (곡반정동),경기도 수원시 권선구 곡반정동 ***-*,,2026-01-13 17:19:36,,202529.055159422,415134.754528436
캐터리 플러스,20130820,말소,070-7794-3354,0,,"경기도 수원시 팔달구 효원로***번길 **, ***호 (인계동)",경기도 수원시 팔달구 인계동 ****-* ***호,,2026-01-13 17:19:36,,202990.651726252,417590.121856118
러브펫 멀티펫샵 수원곡반점,20140515,말소,,0,16671,경기도 수원시 권선구 곡반정로**번길 ** (곡반정동),경기도 수원시 권선구 곡반정동 ***-*,,2026-01-13 17:19:36,,202541.024668134,415067.471891842
페르시안 캣,20140904,말소,,0,16670,경기도 수원시 권선구 동수원로***번길 *** (곡반정동),경기도 수원시 권선구 곡반정동 ***-* (*층),,2026-01-13 17:19:36,,202864.974320186,415563.697658432
베리독 강아지고양이 수원점,20151207,말소,,0,16657,"경기도 수원시 권선구 덕영대로 ****, *층 ***호 (세류동)",경기도 수원시 권선구 세류동 ****-* ***호,,2026-01-13 17:19:36,,201494.378665459,416458.041843635
봉봉펫,20151216,말소,031-244-2419,0,16262,"경기도 수원시 팔달구 중부대로*번길 *, *층 (영동)",경기도 수원시 팔달구 영동 *층,16262,2026-01-13 17:19:36,,201498.317413839,419265.246937639
씨티애견,20080910,말소,031-434-3050,,,"경기도 시흥시 정왕시장길 **, ***호 (정왕동)",경기도 시흥시 정왕동 ****-* ***호,15119,2026-03-10 21:35:50,,177394.005798776,426773.757543338
K.B.T펫월드,20081217,말소,031-433-6434,0,,"경기도 시흥시 정왕천로***번길 *, ***호 (정왕동)",경기도 시흥시 정왕동 ****-* ***호,15119,2026-03-10 21:35:51,,178026.462563253,427060.346014499
바람난강아지,20090415,말소,,,,"경기도 시흥시 정왕시장길 **, ***호 (정왕동)",경기도 시흥시 정왕동 ****-* ***호,15119,2026-03-10 21:35:52,,177519.96,426935.526
우리애견,20090730,말소,,,,"경기도 시흥시 매화*로 **, ***호 (매화동)",경기도 시흥시 매화동 ***-** ***호,,2026-03-10 21:35:54,,183337.081524678,434998.890723225
오이도애견,20100416,말소,031-488-8234,,,"경기도 시흥시 오이도중앙로 ** (정왕동,(*층))",경기도 시흥시 정왕동 ****-** (*층),15119,2026-03-10 21:35:56,,172517.680770372,427222.387869391
도그앤도그,20100705,말소,031-432-2044,,,"경기도 시흥시 마유로 ***-**, ***호 (정왕동)",경기도 시흥시 정왕동 ****-* ***호,15119,2026-03-10 21:35:56,,177180.775369058,427626.071843399
블루아트캣,20130322,말소,031-497-8335,0,15059,"경기도 시흥시 큰솔로 **, ***호 (정왕동)",경기도 시흥시 정왕동 ****-* ***호,15119,2026-03-10 21:36:03,,177963.424698185,426575.939952421
이도그,20120827,말소,031-592-9655,0,12149,"경기도 남양주시 호평로 **, ***동 *호 (호평동, 호평 두산위브파크)",경기도 남양주시 호평동 *** 호평 두산위브파크,,2026-01-13 17:17:34,,221377.152109608,461571.455288391
퍼피쏭,20130426,말소,031-431-6979,0,15051,"경기도 시흥시 정왕천로***번길 *, *층 *호 (정왕동)",경기도 시흥시 정왕동 ****-* *층 *호,15119,2026-03-10 21:36:04,,177986.6105,426937.69
도그스타,20140618,말소,,0,10358,경기도 고양시 일산동구 산두로***번길 ** (정발산동),,,2026-01-13 17:14:06,,180457.485,463516.69
하우스펫,20180622,말소,,0,16891,경기도 용인시 기흥구 마북로***번길 **-* (마북동),경기도 용인시 기흥구 마북동 **-**,,2026-03-26 22:51:35,,211475.513011105,423755.510014241
My pet,20140924,말소,,0,10468,경기도 고양시 덕양구 고양대로****번길 *-** (성사동),경기도 고양시 덕양구 성사동 *** 신원당마을 동문상가 *층,,2026-01-13 17:14:06,,185762.208638136,461192.890606421
(주)성담시화 이마트,20120823,말소,031-451-6200,,15066,경기도 시흥시 정왕대로 *** (정왕동),경기도 시흥시 정왕동 ****-*,15119,2026-03-10 21:36:01,,176599.546077229,427145.740913738
다음펫,20200227,말소,,0,17547,"경기도 안성시 대덕면 내리*길 *, 리틀하우스",경기도 안성시 대덕면 내리 ***-* 리틀하우스,,2026-05-05 03:03:03,,219877.607891898,388760.313314546
슈퍼바우,20141222,말소,1600-3446,0,14063,경기도 안양시 동안구 흥안대로 *** (평촌동),경기도 안양시 동안구 평촌동 ***-*,,2026-04-24 21:32:55,,197678.500680085,432174.297457507
퍼피엘,20220809,말소,,0,11474,"경기도 양주시 옥정동로 ***, 호수메디프라자 *층 **호 (옥정동)",경기도 양주시 옥정동 ****-*,,2026-04-28 22:00:57,,208599.341991448,480182.422724352
오케이독안양점,20151012,말소,,0,13950,경기도 안양시 동안구 관악대로 *** (관양동),경기도 안양시 동안구 관양동 ****-** *층,,2026-04-24 21:32:55,,197673.866692423,433435.454543851
토토로펫평촌점,20151105,말소,,0,14058,"경기도 안양시 동안구 흥안대로 ***, *층 (평촌동)",경기도 안양시 동안구 평촌동 **-* *층,,2026-04-24 21:32:55,,197736.291591163,432530.312896486
펫트리,20160614,말소,031-381-7790,0,14048,"경기도 안양시 동안구 시민대로***번길 **, ***호 (비산동, Festa via)",경기도 안양시 동안구 비산동 ****-* 페스따비아 상가 ***호,,2026-04-24 21:32:55,,195284.256997931,432059.209451179
개냥이(Kaenyange),20170516,말소,031-383-2547,0,13929,"경기도 안양시 동안구 동편로 *, ***호 (관양동, 스마트프라자)",경기도 안양시 동안구 관양동 ****-*,,2026-04-24 21:32:55,,197405.281074226,433738.682409365
베테랑P&K,20200303,말소,,0,17064,"경기도 용인시 기흥구 중부대로 ***, *층 ***호 (신갈동)",경기도 용인시 기흥구 신갈동 **-*,,2026-03-26 22:51:35,,209589.131017061,418838.395858795
도기도기,20161216,말소,031-223-7222,0,16572,경기도 수원시 권선구 효원로 ** (세류동),경기도 수원시 권선구 세류동 **-***,,2026-01-13 17:19:37,,201043.867210739,418234.935706557
똑똑,20190930,말소,,0,18244,"경기도 화성시 만세구 수노을*로 **, 스타타워 ***, ***호 (새솔동)",경기도 화성시 만세구 새솔동 *,18245,2026-02-01 10:34:18,,,
퍼피파파,20140912,말소,031-261-2077,0,16814,경기도 용인시 수지구 신봉*로 *** (신봉동),경기도 용인시 수지구 신봉동 *로 *** (신봉동),,2026-03-26 22:51:43,,206556.46947489,424724.019990124
해피애견타운 용인수지점,20141027,말소,031-365-4545,0,16857,"경기도 용인시 수지구 수지로 **, *층 ***호 (상현동, 힐프라자)",경기도 용인시 수지구 상현동 ***-*,,2026-03-26 22:51:43,,206657.909660156,423113.578121466
