sigun_nm,bizplc_nm,licensg_ymd,refine_road_nm_addr,refine_lotno_addr,refine_zipno,refine_wgs84_lat,refine_wgs84_logt,licensg_rtrcn_ymd,bsn_state_nm,clsbiz_ymd,locplc_faclt_telno_dtls,xcrd_vl,ycrd_vl,parmacy_bsn_ar,apnt_ymd
,(신)제일약국,20070327,"경기도 안산시 단원구 원포공원1로 35, 111호 (초지동, 제일프라자)",경기도 안산시 단원구 초지동 743-6제일프라자 111호,15455,37.3018684,126.8124861,,폐업,20090317,031-414-3181,183309.234865212,422225.59237536,,
,1(일)약국,20071010,경기도 안양시 만안구 박달로 518 (박달동),경기도 안양시 만안구 박달1동 68-16,14009,37.4024396,126.9102165,,영업중,,031-468-3354,,,,
,1(일)약국,20070102,경기도 안양시 만안구 박달로 518,경기도 안양시 만안구 박달1동 68-16,14009,37.4024396,126.9102165,,폐업,,031-468-3354,,,,
,1(일)약국,20030627,경기도 안양시 만안구 박달로 518,경기도 안양시 만안구 박달1동 68-16,14009,37.4024396,126.9102165,,폐업,,031-468-3354,,,,
,"1,2,3 약국",20121217,경기도 남양주시 오남읍 양지로 47-63,경기도 남양주시 오남읍 오남리 571번지 9호,12048,37.6826886,127.2033152,,영업중,,031-529-8099,217862.276821125,464488.168824144,,
,1004 약국,20181101,"경기도 고양시 덕양구 동세로 19, 아카메디 105호 (동산동)",경기도 고양시 덕양구 동산동 352번지 1호,10598,37.6445468,126.8863398,,영업중,,02-381-5052,189893.395,460258.63,,
,100세건강약국,20151228,"경기도 안양시 만안구 안양로 408, 1층 (안양동)",경기도 안양시 만안구 안양동 856번지 4호 1층,13989,37.4071497,126.9148462,,영업중,,031-465-1320,192390.563567837,433900.80149012,,
,100세약국,20071109,경기도 수원시 팔달구 경수대로 568 (인계동),경기도 수원시 팔달구 인계동 942-4,16484,37.2762726,127.0309147,,폐업,20260122,,202664.761554844,419376.130149538,,
,100세약국,20051102,경기도 시흥시 오이도로135번길 44,경기도 시흥시 정왕동2006-4,15015,37.3446059,126.6878515,,폐업,20100302,031-433-0350,,,,
,100세약국,20211028,"경기도 광명시 광명로 877, 상가동 제2-1층 4호 (광명동, 한진아파트)",경기도 광명시 광명동 200-6 한진아파트,14287,37.4776417,126.8519679,,영업중,,02-2619-0081,186852.33556751,441740.293414032,,
,100세약국,19990326,경기도 화성시 효행구 정남면 만년로 540,경기도 화성시 효행구 정남면 괘랑리 1049번지 9호,18516,37.1694314,126.9836705,,영업중,,031-353-7575,198476.461389561,407511.688528806,,
,100세약국,19830629,"경기도 광명시 광명로 877 (광명동, 한진아파트상가 B-2104호)","경기도 광명시 광명4동 200번지 6호 , 한진아파트 상가 B-2104호",14287,37.4776417,126.8519679,,폐업,20211101,02-2619-0081,186852.33556751,441740.293414032,,
,100평 광장약국,20210302,"경기도 의정부시 동일로 732, 금오동 근린생활시설 1층 102호 (금오동)",경기도 의정부시 금오동 441-65 금오동 근린생활시설,11758,37.7519631,127.0492803,,영업중,,,204276.98913897,472174.015976034,,
,100평 우정약국,20140228,"경기도 구리시 경춘로 170, 계성빌딩 1층 (교문동)",경기도 구리시 교문동 216-6 계성빌딩,11925,37.600292,127.1341417,,영업중,,,211779.890625125,455349.802165851,,
,10층비비약국,20251204,"경기도 용인시 기흥구 동백중앙로 283, 골드프라자 B동 1009호 (중동)",경기도 용인시 기흥구 중동 829 골드프라자 B동 1009호,17006,37.2780109,127.1534847,,영업중,,,213551.03723886,419536.014279104,,
,123약국,20070601,경기도 수원시 영통구 월드컵로 153 (원천동),"경기도 수원시 영통구 원천동 65-2 1,2층",16501,37.2773319,127.0483244,,영업중,,031-211-1230,204215.723470462,419487.008808505,,
,123온누리약국,20190207,"경기도 성남시 분당구 벌말로 41, 성원프라자 205호 (야탑동)",경기도 성남시 분당구 야탑동 275번지 4호 성원프라자 205호,13504,37.4116584,127.1381008,,폐업,20230414,031-704-7890,212151.980162099,434402.728715095,,
,12시편한약국,20121128,"경기도 김포시 김포한강1로78번길 7 (장기동, 장기주차타운 118호)",경기도 김포시 장기동 1399번지 장기주차타운 118호,10079,37.644877,126.6706511,,폐업,20191026,031-985-1477,170867.059250133,460330.928488791,,
,13약국,20250807,"경기도 성남시 수정구 심곡로 13, 2층 (심곡동)",경기도 성남시 수정구 심곡동 327-2,13103,37.4492432,127.1036407,,영업중,,031-722-2213,209109.780807299,438571.547637477,,
,1881 약국,20200406,"경기도 양주시 장흥면 가마골로 59, 1층 일부",경기도 양주시 장흥면 부곡리 484번지 1호 1층 일부,11521,37.7235038,126.976206,,폐업,20210915,031-855-2731,197833.105032128,469007.6254347,,
,1등약국,20121018,"경기도 화성시 동탄구 동탄중앙로 381-13, 101호 (석우동, 성심제일프라자)",경기도 화성시 동탄구  41번지 3호 성심제일프라자 101호,18450,37.2164023,127.0790179,,영업중,,031-8015-5105,206941.96322663,412725.928494341,,
,1번약국,20130607,경기도 안양시 만안구 현충로48번길 57 (안양동),경기도 안양시 만안구 안양동 447번지 10호,14030,37.3930443,126.9242309,,영업중,,031-466-0521,,,,
,1층문약국,20260119,"경기도 수원시 장안구 서부로 2139, SK HUB BLUE 1층 1004호 (율전동)",경기도 수원시 장안구 율전동 285-2 SK HUB BLUE,16360,37.2994501,126.9716577,,영업중,,031-302-2002,197415.841321941,421942.320630788,,
,1층약국,20251209,"경기도 안성시 남파로 75, 1층 8호 (당왕동)",경기도 안성시 당왕동 475,17568,37.016752,127.2583766,,영업중,,,222943.736071643,390611.180054487,,
,21C평촌약국,20011227,경기도 안양시 동안구 흥안대로456번길 30,경기도 안양시 동안구 평촌동 68-21 (1층),14062,37.3941107,126.9772189,,폐업,20030530,,,,,
,21세기 동규약국,20081216,경기도 오산시 대원로 1 (오산동),경기도 오산시 오산동 880번지 21호,18138,37.146605,127.0686513,,영업중,,031-374-3680,206028.561768808,404980.26550039,,
,21세기 정약국,20131101,경기도 수원시 권선구 정조로 514 (세류동),경기도 수원시 권선구 세류동 1023번지 4호,16588,,,,폐업,20150527,031-234-3847,200958.024068215,417002.316133525,,
,21세기 정약국,20150527,"경기도 수원시 권선구 정조로 523, 1층 (세류동)",경기도 수원시 권선구 세류동 459-3,16587,37.2559649,127.0110356,,영업중,,031-234-3847,200907.883891475,417115.22289518,,
,21세기 정약국,20090102,경기도 수원시 권선구 정조로 514 (세류동),경기도 수원시권선구 세류동 1023번지 4호,16588,,,,폐업,20131101,,200958.024068215,417002.316133525,,
,21세기분당종로약국,20090102,"경기도 성남시 분당구 야탑로81번길 10, 303-1호 (야탑동, 아미고타워)",경기도 성남시분당구 야탑동 358번지 2호 아미고타워 303-1호,13497,37.4105911,127.1282185,,영업중,,,211279.67,434316.175,,
,21세기분당종로약국,20040825,"경기도 성남시 분당구 야탑로81번길 10, 303-1호 (야탑동, 아미고타워)",경기도 성남시분당구 야탑동 358번지 2호 아미고타워 303-1호,13497,37.4105911,127.1282185,,폐업,20090102,,211279.67,434316.175,,
,21세기성심약국,20090921,경기도 파주시 금정4길 29 (금촌동),경기도 파주시 금촌2동 775번지 6호,10923,37.7571014,126.7777571,,폐업,20100430,031-941-8275,180345.79461494,472756.530772792,,
,21세기성심약국,19930113,경기도 파주시 금정4길 29,경기도 파주시 금촌2동 775-6,10923,37.7571014,126.7777571,,폐업,20090921,031-941-8275,,,,
,21세기성심약국,20100430,경기도 파주시 금정4길 29 (금촌동),경기도 파주시 금촌2동 775번지 6호,10923,37.7571014,126.7777571,,폐업,20221109,,180345.79461494,472756.530772792,,
,21세기세계로약국,19991005,"경기도 성남시 중원구 산성대로372번길 14, 1층 (금광동, 동성빌딩)",성남시 중원구 금광1동11동성빌딩,13180,37.4447456,127.1585959,,영업중,,031-743-0624,213961.96267561,438073.425540112,,
,21세기약국,20100415,"경기도 수원시 장안구 만석로19번길 25-10 (천천동,롯데마트1층)",경기도 수원시 장안구 천천동 525번지 롯데마트1층,16329,37.2964141,126.982251,,폐업,20110224,031-201-8298,198351.916669296,421604.975940414,,
,21세기약국,20190601,"경기도 수원시 장안구 만석로19번길 25-10, 롯데마트 1층 (천천동)",경기도 수원시 장안구 천천동 526번지 롯데마트,16329,37.2964141,126.982251,,영업중,,031-269-5640,198381.270368385,421543.911731433,,
,21세기약국,20030225,경기도 고양시 덕양구 고양대로 1361 (성사동),경기도 고양시덕양구 성사동 700번지 11호,10464,37.6550703,126.8356911,,폐업,20040823,,185430.738354452,461416.525881123,,
,21세기약국,19981205,,경기도 용인시 수지구 죽전리 1003-180번지,16868,37.3276842,127.1092918,,폐업,20000720,,,,,
,21세기약국,20070516,,경기도 파주시 문산읍 문산리 10-109,10823,37.8565148,126.7836315,,폐업,20081120,031-953-1266,,,,
,21세기약국,19991222,"경기도 광명시 오리로 853, 1층 (철산동)","경기도 광명시 철산3동 495번지 12호 , 1층",14252,37.4744746,126.8665968,,폐업,20230331,02-2689-1925,188130.395313953,441376.699996602,,
,21세기약국,20090501,"경기도 고양시 덕양구 고양대로 1361 (성사동, 신원당빌딩)",경기도 고양시 덕양구 성사동 700번지 11호,10464,37.6550703,126.8356911,,폐업,20170101,,185430.738354452,461416.525881123,,
,21세기약국,20011217,경기도 광주시 중앙로 105 (경안동),경기도 광주시 경안동 32-1,12759,37.4092792,127.2583307,,폐업,20150708,031-797-3085,222795.575599874,434154.11939674,,
,21세기약국,20110224,"경기도 수원시 장안구 만석로19번길 25-10 (천천동,롯데마트 1층)",경기도 수원시 장안구 천천동 525번지 롯데마트 1층,16329,37.2964141,126.982251,,폐업,20110309,,198351.916669296,421604.975940414,,
,21세기약국,20110309,경기도 수원시 장안구 만석로19번길 25-10 (천천동),경기도 수원시 장안구 천천동 525번지 525번지 롯데마트 1층,16329,37.2964141,126.982251,,폐업,20190601,031-269-7067,198351.916669296,421604.975940414,,
,21세기약국,20170320,"경기도 수원시 팔달구 정조로 775, 102호 (팔달로3가)",경기도 수원시 팔달구 팔달로3가 101-3번지 102호,16261,37.2771866,127.016121,,영업중,,,201358.825528183,419469.313720595,,
,21세기약국,20080703,"경기도 수원시 팔달구 정조로 775, 102호 (팔달로3가)",경기도 수원시 팔달구 팔달로3가 101번지 3호,16261,37.2771866,127.016121,,폐업,20170320,,201358.825528183,419469.313720595,,
,21세기약국,20080630,"경기도 수원시 장안구 만석로19번길 25-10 (천천동,롯데마트1층)",경기도 수원시 장안구 천천동 525번지 롯데마트1층,16329,37.2964141,126.982251,,폐업,20100415,031-268-0986,198351.916669296,421604.975940414,,
,21세기약국,20081121,,경기도 파주시 문산읍 문산리 37번지 19호 건물10-109,10823,,,,폐업,20110718,031-953-1266,,,,
,21세기연세약국,20160329,"경기도 성남시 분당구 서현로321번길 10, 1층 (서현동)",경기도 성남시 분당구 서현동 97번지 3호 1층 일부,13577,37.3799776,127.1360392,,영업중,,031-707-7990,211985.710246705,430892.847436549,,
,21세기온누리약국,20050926,"경기도 성남시 분당구 서현로321번길 10, 1층 (서현동)",경기도 성남시 분당구 서현동 97-3 1층 일부,13577,37.3799776,127.1360392,,폐업,20160328,,211985.710246705,430892.847436549,,
,21세기정약국,20000909,,수원시 권선구 세류2동 1023-4,16588,37.254926,127.0116282,,폐업,20090102,031-234-3847,,,,
,21세기제일약국,19841206,경기도 군포시 군포로 747 (산본동),경기도 군포시 산본동 266-2,15811,37.3718427,126.9427797,,폐업,20161101,031-394-5757,194859.209170729,429975.236417086,,
,21세기청학보건당약국,20000509,경기도 남양주시 별내면 청학로중앙길 9 (청화빌딩 1층),경기도 남양주시 별내면 청학리 413번지 청화빌딩 1층,12084,37.7086912,127.118407,,영업중,,031-821-1653,210371.397664043,467367.075162049,,
,2동탄약국,20180830,"경기도 화성시 동탄구 동탄순환대로 685, 111호 (영천동)",경기도 화성시 동탄구 영천동 678번지 7호,18472,37.2059649,127.1109231,,영업중,,031-375-1119,209776.812614915,411570.918998877,,
,2층 리본약국,20201116,"경기도 안양시 동안구 평촌대로217번길 45, 평촌코아주차빌딩 208호 (호계동)",경기도 안양시 동안구 호계동 1050 평촌코아주차빌딩,14072,37.3899654,126.9535357,,영업중,,031-381-6366,195813.47630725,431988.167517055,,
,2층 봄약국,20230619,"경기도 과천시 별양상가3로 14, e편한세상 시티 과천 2층 202호 (별양동)",경기도 과천시 별양동 1-22 e편한세상 시티 과천,13837,37.4257832,126.9913073,,폐업,20240430,02-504-1582,199159.234715503,435964.704390001,,
