sigun_nm,faclt_no,play_si_desc,instl_ymd,instl_plc,publ_prvate_div_nm,inoutdr_div_nm,refine_zipno,refine_road_nm_addr,refine_lotno_addr,refine_wgs84_lat,refine_wgs84_logt
가평군,566090,청운 2차 아파트 야외놀이시설,20181009,주택단지,공공,실외,12415,경기도 가평군 가평읍 경반안로 12,경기도 가평군 가평읍 경반리 21-7,,
가평군,577185,남이섬 어린이집 실외놀이터,20210208,어린이집,민간,실외,12422,경기도 가평군 가평읍 북한강변로 1007-34,경기도 가평군 가평읍 달전리 152번지,37.802765094,127.5230711998
가평군,579055,어린이 음악놀이터 놀이체험시설,20210720,아동복지시설,공공,실내,,,경기도 가평군 가평읍 대곡리 214-3,,
가평군,576281,어린이 음악놀이터 실외놀이터,20201231,도시공원,공공,실외,12420,경기도 가평군 가평읍 중앙로 10,경기도 가평군 가평읍 대곡리 241-3,37.8263991772,127.5132608085
가평군,1004429,자라섬 놀이터,20250221,야영장,공공,실외,12421,경기도 가평군 가평읍 자라섬로 60,경기도 가평군 가평읍 대곡리 27-14번지,37.8208729784,127.5209975367
가평군,527247,홍익어린이집 옥상놀이터,20111212,어린이집,민간,실외,12417,경기도 가평군 가평읍 석봉로153번길 16,경기도 가평군 가평읍 대곡리 285-13,37.8286978976,127.5094999059
가평군,520909,우림필유아파트102동어린이놀이터,20061226,주택단지,민간,실외,12416,경기도 가평군 가평읍 문화로 112,경기도 가평군 가평읍 대곡리 360,37.8235153293,127.5094651535
가평군,588683,가평 자이 어린이놀이터2,20230615,주택단지,민간,실외,12416,,경기도 가평군 가평읍 대곡리 389-1 가평 자이 105동 앞,,
가평군,589196,어린이공원,20230620,도시공원,공공,실외,12416,,경기도 가평군 가평읍 대곡리 390-2 어린이공원,,
가평군,588089,가평자이 103동 앞 어린이놀이터1,20230501,주택단지,민간,실외,12416,,경기도 가평군 가평읍 대곡리 390-2번지,,
가평군,588088,가평자이 101동 앞 어린이놀이터3,20230501,주택단지,민간,실외,12416,,경기도 가평군 가평읍 대곡리 390-2번지,,
가평군,520917,선힐하이뷰아파트 놀이터,20071231,주택단지,민간,실외,12416,,경기도 가평군 가평읍 대곡리 402-1번지 가평선힐아파트,37.818729267,127.5102598794
가평군,534639,환두레어린이집 놀이시설,20120812,어린이집,민간,실외,12416,경기도 가평군 가평읍 석봉로3번길 68-15,경기도 가평군 가평읍 대곡리 442,37.8219383249,127.5043291248
가평군,588351,e편한세상 가평퍼스트원아파트 어린이집앞 유아놀이터,20230515,어린이집,민간,실외,12416,,경기도 가평군 가평읍 대곡리 480,,
가평군,588350,e편한세상 가평퍼스트원아파트 104동앞 어린이놀이터1,20230515,주택단지,민간,실외,12416,,경기도 가평군 가평읍 대곡리 480,,
가평군,587430,e편한세상 가평퍼스트원 어린이놀이터2(101동),20230411,주택단지,민간,실외,12416,,경기도 가평군 가평읍 대곡리 487,,
가평군,570475,청운1차아파트 어린이놀이터,20190830,주택단지,민간,실외,12408,경기도 가평군 가평읍 용추로 196,경기도 가평군 가평읍 승안리 273-7번지,37.8447136507,127.4888542789
가평군,590010,힐스테이트 가평 더 뉴 클래스 어린이놀이터1(105동~106동 사이),20230905,주택단지,민간,실외,,,경기도 가평군 가평읍 읍내리 2145,,
가평군,590011,힐스테이트 가평 더 뉴 클래스 어린이놀이터2(103동 앞),20230905,주택단지,민간,실외,12412,경기도 가평군 가평읍 가평제방길 233,경기도 가평군 가평읍 읍내리 215,37.835862937,127.5137625441
가평군,590602,가평읍 문화공원 15호 실외놀이터,20231027,도시공원,공공,실외,12412,,경기도 가평군 가평읍 읍내리 223-3번지 일원,,
가평군,2340,휴먼시아아파트 206동뒤 놀이터,20100728,주택단지,민간,실외,12412,경기도 가평군 가평읍 가화로 164,경기도 가평군 가평읍 읍내리 234(가평읍내 휴먼시아2단지 아파트),37.8347094333,127.5121258551
가평군,1415,가평읍내 주공아파트 놀이터,20091118,주택단지,민간,실외,12412,경기도 가평군 가평읍 가화로 142-26,경기도 가평군 가평읍 읍내리 270,37.832482914,127.5145119446
가평군,475,두손어린이집 놀이터,20090130,어린이집,민간,실외,12412,경기도 가평군 가평읍 정간내로19번길 22,경기도 가평군 가평읍 읍내리 273-7,37.8334653592,127.5144212233
가평군,583274,가평센트럴파크아파트 실외어린이놀이터,20220705,주택단지,민간,실외,12413,,경기도 가평군 가평읍 읍내리 457,,
가평군,573694,가평군육아종합지원센터 실내놀이시설,20200429,육아종합지원센터,공공,실내,12417,경기도 가평군 가평읍 석봉로191번길 19,경기도 가평군 가평읍 읍내리 574-2번지,37.831699403,127.5078297906
가평군,572305,한석봉어린이집 실외놀이시설,20191220,어린이집,공공,실외,12417,경기도 가평군 가평읍 석봉로191번길 19,경기도 가평군 가평읍 읍내리 574-2번지,37.831699403,127.5078297906
가평군,21684,가평어린이집 놀이터,20081120,어린이집,공공,실외,12413,경기도 가평군 가평읍 가화로 163,경기도 가평군 가평읍 읍내리 625-2번지,37.8337992141,127.5110120078
가평군,29498,예원어린이집 어린이놀이시설,20081211,어린이집,민간,실외,12412,경기도 가평군 가평읍 가화로 202,경기도 가평군 가평읍 읍내리 741-5번지,37.8368367954,127.5092850197
