sigun_nm,faclt_nm,mnginst_telno,instl_ymd,refine_road_nm_addr,refine_lotno_addr,refine_wgs84_lat,refine_wgs84_logt,cvlcpt_resn_instl_yn,mm_accto_utlz_noc,locatn_slctn_evl_item,rm,dat_clct_ymd
의왕시,의왕안심택배보관함,031-345-2144,20170331,경기도 의왕시 철도박물관로 66,경기도 의왕시 삼동 191번지,37.321121147,126.9483349669,N,90,다중이용시설+접근성,,20250715
의왕시,의왕안심택배보관함,031-345-2144,20170201,경기도 의왕시 덕장로 19,경기도 의왕시 청계동 983번지,37.3913578456,126.9950421877,N,30,인구밀집도+접근성,,20250715
화성시,병점역안심무인택배함,031-238-0700,20160229,경기도 화성시 떡전골로 97 병점역 2층 맞이방,경기도 화성시 진안동 824-1 병점역 2층 맞이방,37.2070505387,127.0330044357,N,73,유동인구,,20191121
화성시,화산동안심무인택배함,031-238-0700,20160226,경기도 화성시 화산중앙로 16,경기도 화성시 안녕동 20-9,37.2059365037,127.0145635541,N,21,1인가구수+밀집도,,20191121
화성시,봉담읍안심무인택배함,031-238-0700,20160310,경기도 화성시 봉담읍 샘마을1길 7,경기도 화성시 봉담읍 상리 27-1,37.2199093515,126.9499615682,N,20,1인가구수+밀집도,,20191121
화성시,향남읍안심무인택배함,031-238-0700,20160226,경기도 화성시 향남읍 발안로 89,경기도 화성시 향남읍 행정리 287-1,37.1321128653,126.920380206,N,9,1인가구수+밀집도,,20191121
의왕시,의왕안심택배보관함,031-345-2144,20160728,경기도 의왕시 복지로 109,경기도 의왕시 내손동 849-2번지,37.387550074,126.9816249519,Y,120,단독주택 밀집지역+접근성,,20250715
광명시,광명안현경로당 택배함,02-2680-6544,20170806,경기도 광명시 안재로16번길 10,경기도 광명시 하안동 597,37.460103815,126.8724724337,N,148,1인 가구수+밀집도,,20240610
광명시,광명전통시장공영주차장 택배함,02-2680-6544,20181220,경기도 광명시 광명로 938,경기도 광명시 광명동 102-4,37.482342335,126.8561009588,N,183,1인 가구수+밀집도,,20240610
의왕시,의왕안심택배보관함,031-345-2144,20170201,경기도 의왕시 사천로 11,경기도 의왕시 왕곡동 598번지,37.3457955061,126.9768992922,N,30,인구밀집도+접근성,,20250715
의왕시,의왕안심택배보관함,031-345-2144,20160728,경기도 의왕시 찬우물길 11,경기도 의왕시 오전동 844-18번지,37.3536047164,126.9715494624,Y,70,단독주택 밀집지역+접근성,,20250715
화성시,진안동안심무인택배함,031-238-0700,20180531,경기도 화성시 병점4로 34,경기도 화성시 진안동 460-9,37.2132762058,127.0349221071,N,1,1인가구수+밀집도,,20191121
화성시,동탄4동안심무인택배함,031-238-0700,20180504,경기도 화성시 동탄대로시범길 133,경기도 화성시 청계동 530,37.1997235077,127.1122427158,N,16,1인가구수+밀집도,,20191121
수원시,조원1동 행정복지센터,031-5191-3218,20170101,경기도 수원시 장안구 금당로 56 (조원동),경기도 수원시 장안구 조원동 735,37.3016525672,127.016663909,N,155,시민접근성,,20250710
