faclt_sn,inst_cd,faclt_cd,faclt_div,faclt_nm,addr_cd,addr,detail_addr,sec_addr,lat,logt,region_cd,purpos,scale,aceptnc_psncnt,cond_cont,chrgpsn_dept_nm,chrgpsn_co_telno,rsve_meth,srng_div,srng_guid_phrs_cont,utlz_trgt,opr_perd_bgng_dt,opr_perd_end_dt,opr_hlt_resn,rls_yn,use_prmsn_excl_trgt,rsve_perd_bgng_ymd,rsve_perd_end_ymd,rsve_hlt_resn,rsve_ddln_bf_ymd,rsve_ddln_bf_hr,indv_grp_div,aply_raisng_use_yn,reg_ymd,mdfcn_ymd,purpos_etc_cont,charge_duty_cont
5865,B553896,F0023,S1_9,북부청소년문화의집 보암보암실,17732,경기 평택시 이충로 84-6,3층 북부청소년문화의집,,37.0644015,127.0674652,4122,수련활동,33.54,10,,북부청소년문화의집,031-668-8682,방문,선착순,,청소년,,,,Y,성인,,,,,,P,N,20240612,20240612,,-
5863,1270010,F0001,S1_6,가남읍 체육공원,12662,경기 여주시 가남읍 대명산길 98,가남 체육공원,,37.20166671,127.5349062,4167,체육활동,0.0,50,,총무팀,031-887-3848,"전화,방문",선착순,,"개인,단체",,,,Y,.,,,,1,17,"P,T,B",Y,20240611,20240618,,가남 체육공원
5859,1050022,F0022,F1,잔디광장,14547,경기 부천시 원미구 길주로 210,잔디광장,,37.50393007,126.7661497,4119,웨딩홀,0.0,500,예식,행정지원과,032-625-2237,"전화,방문",심사(다중),부천시 공공청사 시설물 사용허가등에 관한 조례,개인,,,,Y,예식외 목적,,,,7,0,P,N,20240604,20240604,,잔디광장 공공웨딩홀담당
5847,1290001,F0010,E1,대강당,12448,경기 가평군 상면 축령로 289-126,가평군 환경성질환 예방관리센터,,37.77229885,127.3364034,4182,"회의,교육,세미나,행사",130.0,60,,환경정책과,031-580-2771,"전화,방문",선착순,,"개인,단체,기업",,,,Y,"취사병행행사, 반려동물동반, 기타 지역주민의 복지향상을 위한 시설사용에 반하는 모임 또는 행사",,,,1,17,"P,T,B",N,20240516,20240715,,
5900,1090020,F0003,D1,강의실2(활동할감2),12997,경기 하남시 감일순환로 181,3층 감일청소년문화의집,,37.50799873,127.1590283,4145,"회의,교육,세미나",62.4,30,,경영기획팀,02-484-0924,"전화,방문",심사(다중),하남시 감일청소년문화의집 시설사용 수칙에 따라 심사,"개인,단체,청소년",1721314800000,1735570800000,,N,"정치행사, 종교행사, 상업적 행사",20240719,20241231,,14,18,"P,T",Y,20240720,20240730,,
5898,1090020,F0001,D1,강의실1(활동할감1),12997,경기 하남시 감일순환로 181,3층 감일청소년문화의집,,37.50799873,127.1590283,4145,"회의,교육,세미나",57.2,30,,경영기획팀,02-484-0924,"전화,방문",심사(다중),하남시 감일청소년문화의집 시설사용 수칙에 따라 심사,"개인,단체,청소년",1721314800000,1735570800000,,N,"정치행사, 종교행사, 상업적 행사",20240719,20241231,,14,18,"P,T",Y,20240719,20240730,,
5891,1290001,F0011,E1,세미나실,12448,경기 가평군 상면 축령로 289-126,가평군 환경성질환 예방관리센터,,37.77229885,127.3364034,4182,"회의,교육,세미나,행사",58.2,20,,환경정책과,031-580-2771,"전화,방문",선착순,,"개인,단체,기업",,,,Y,"취사병행행사, 반려동물동반, 기타 지역주민의 복지향상을 위한 시설사용에 반하는 모임 또는 행사",,,,1,17,"P,T,B",N,20240715,20240715,,
5870,1160032,F0001,A1,두드림공유오피스,14234,경기 광명시 시청로 20,광명시인생플러스센터 1층 B동 두드림공유오피스,,37.47910459,126.8648274,4121,기타,40.0,6,광명시 중장년·기업,일자리창출과,02-2680-6956,"전화,방문",심사(다중),,"개인,단체,기업",,,,Y,「두드림공유오피스」 이용자 준수사항을 위반한 자 등,,,,14,18,"P,T,B",N,20240620,20240808,창업 사무활동,
5868,B553732,F0037,L1,탄현청소년문화의집  큰별,10242,경기 고양시 일산서구 일현로 97-11,공공시설동 2층 탄현청소년문화의집 큰별,,37.69521273,126.7620116,4128,"회의,교육",58.58,16,,탄현청소년문화의집,031-995-4223,"전화,방문",선착순,,"개인,단체,여성,청소년",,,,Y,"정치행사, 종교행사",,,,15,0,"P,T",Y,20240613,20240614,,
5866,1160001,F0010,S1_9,광명골프연습장,14246,경기 광명시 철망산로 94,,,37.47023389,126.8781706,4121,체육활동,0.0,0,,경영지원팀,031-0000-0000,방문,선착순,,개인,,,,N,어린이 이용자(보호자 동행 하에 이용 가능),,,,,,P,N,20240612,20240612,,-
5867,1160001,F0011,S1_7,국민체육센터,14225,경기 광명시 사성로 74,,,37.48679879,126.8656473,4121,체육활동,0.0,0,,경영지원팀,031-0000-0000,방문,선착순,,"개인,단체",,,,N,없음,,,,,,"P,T",N,20240612,20240612,,-
