faclt_nm,faclt_div_nm,refine_road_nm_addr,refine_lotno_addr,refine_wgs84_lat,refine_wgs84_logt,faclt_ar,convnce_faclt_info,stayng_faclt_info,sports_recratn_faclt_info,recrtn_cultur_faclt_info,entrtnmt_faclt_info,sport_faclt_info,apnt_ymd,aceptnc_posbl_psncnt,parkng_comprt_cnt,touresrt_intrd_info,mnginst_telno,mnginst_nm,dat_crtr_ymd
나들라온,관광지,경기도 고양시 일산동구 장대들길 747,경기도 고양시 일산동구 장항동 537-43,37.64063549,126.7560031,664.0,식수대 + 화장실 + 휴계공간,,병영체험실,고양시 관광지 자료배포+행사 안내,병영체험실50명 + 회의실 100명,병영체험실 + 회의실,20230524,150,3,DMZ 평화의 길 고양 거점센터(쉼터)+기존 통일촌 군막사 리모델링,031-8075-3407,경기도 고양시청 관광과,20250905
남한산성,관광지,경기도 광주시 남한산성면 남한산성로 731,경기도 광주시 남한산성면 산성리 158-1번지,37.47669636,127.1884165,526476.0,주차장+화장실,펜션,,행궁+만해기념관 등,관광식당,해당없음,20070124,10000,945,"역사와 문화, 4계절의 아름다움을 감상할 수 있는 곳",031-8008-5155,남한산성세계문화유산센터,20250515
분원백자자료관,관광지,경기도 광주시 남종면 산수로 1642-1,경기도 광주시 남종면 분원리 116번지,37.49625742,127.3034492,3339.0,주차장+화장실,,,백자자료관,,해당없음,20070124,300,0,조선시대 관영사기의 변천과 도자기역사의 발자취 감상,031-799-1500,경기도자박물관,20250515
천진암,관광지,경기도 광주시 퇴촌면 천진암로 1203,경기도 광주시 퇴촌면 우산리 500번지,37.42357313,127.3883989,990000.0,주차장+화장실,,,천주교박물관,,해당없음,20070124,10000,100,천학 강학회를 통해 신앙의 차원인 천주교로 발전시킨 성지,031-764-5953,재단법인 천주교수원교구유지재단,20250515
경기도자박물관,관광지,경기도 광주시 곤지암읍 경충대로 727,경기도 광주시 곤지암읍 삼리 72-1번지,37.35028421,127.3347877,3328.0,주차장+화장실+공원,,,야외조각공원+장작가마+다래시연장 등,,해당없음,20070124,300,482,우리의 전통 도자문화와 역사를 느낄 수 있는 곳,031-799-1500,한국도자재단,20250515
경안천습지생태공원,관광지,경기도 광주시 퇴촌면 산수로 1159,경기도 광주시 퇴촌면 정지리 456-4번지,37.45920014,127.3051169,162000.0,주차장+화장실,,,조류관찰+자연학습의 장,,해당없음,20070124,10000,115,다양한 수생식물 등 조류관찰과 자연학습의 장,031-760-3763,경기도 광주시청,20250515
팔당물안개공원,관광지,경기도 광주시 남종면 산수로 1897,경기도 광주시 남종면 귀여리 267-10번지,37.50956344,127.3174613,708241.0,주차장+화장실+공원,,,시민의 숲+희망의 숲+코스모스길 등,,해당없음,20180131,10000,300,"시민의 숲, 희망의 숲, 코스모스길, 자전거길이 잘 조성된 공원",031-760-4483,경기도 광주시청,20250515
중대물빛공원,관광지,경기도 광주시 순암로 307,경기도 광주시 중대동 229번지,37.40272258,127.218054,216372.0,주차장+화장실+공원,,,장미터널+연꽃로드+아치목교 등,,해당없음,20180131,10000,100,"장미터널, 연꽃로드, 아치목교 등이 있는 수변공원",031-760-3763,경기도 광주시청,20250515
소요산관광지,관광지,경기도 동두천시 평화로2910번길 145,경기도 동두천시 상봉암동 산 1-1,37.94652177,127.0693409,2472000.0,관리사무소+주차장+화장실,캐라반,,캠핑장+자유수호평화박물관+경기북부어린이박물관,야외음악당,,19770331,100000,500,가을 단풍이 아름다워 예부터 경기의 소금강이라 일컬어졌으며 자재암 원효폭포 등의 관광명소가 소재하고 있다,031-860-2049,경기도 동두천시청 관광휴양과,20250731
고구려대장간마을,관광지,경기도 구리시 우미내길 41,경기도 구리시 아천동 산45-1,37.560808,127.110949,4928.0,관리사무소+화장실+주차장,,,,,,20080425,200,100,국내유일의 고구려 박물관으로 아차산에서 출토된 유물을 전시하고 있으며 고구려모습을 보여주는 야외전시관을 운영,031-550-8355,경기도 구리시청,20251219
동구릉,관광지,경기도 구리시 동구릉로 197,경기도 구리시 인창동 66-1,37.617129,127.136334,1969675.0,관리사무소+화장실+주차장,,,,,,19700526,5000,109,유네스코 세계유산이자 사적 제193호로 지정된 「구리 동구릉(東九陵)」은 ‘도성(都城)의 동(東)쪽에 있는 아홉(九) 기의 왕릉’이라 하여 동구릉이라 붙여짐,031-563-2909,문화재청,20251219
반월호수,관광지,경기도 군포시 호수로 92,경기도 군포시 둔대동 354-3,37.32458238,126.8899642,12000000.0,화장실,,,,,,20210512,10000,120,순환산책로가 조성되어 있고 아름다운 풍경으로 유명한 장소이다.,031-392-3000,경기도 군포시청,20251231
초막골 생태공원,관광지,경기도 군포시 초막골길 216,경기도 군포시 산본동 856,37.35410097,126.9191417,561500.0,화장실,,,전시관,카페,방문자센터,20100901,90000,184,수리산이 가진 자연적 환경과 조선시대 역사유적 등의 문화유산을 겸비한 생태문화공간이다.,031-392-3000,경기도 군포시청,20251231
