market_nm,market_type_nm,refine_road_nm_addr,refine_lotno_addr,market_estbl_cycl,refine_wgs84_lat,refine_wgs84_logt,store_cnt,trtmnt_prodlst_dtls,use_posbl_giftcertf_nm,hmpg_addr,pbctlt_hold_yn,parkplc_hold_yn,estbl_yr,market_rprs_telno,dat_crtr_ymd,sigun_nm
가평잣고을시장,상설장+5일장,경기도 가평군 가평읍 장터2길 12,경기도 가평군 가평읍 읍내리 405,5일+10일,37.82972123,127.5148873,116,음식점,,,Y,Y,2015,031-582-8181,20251110,가평군
경안시장,상설장+3일장,경기도 광주시 경안로25번길 14-1,경기도 광주시 경안동 33-16,3일+8일,37.40885235,127.2570231,91,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,Y,Y,2005,031-761-2800,20251110,광주시
산본시장,상설장,경기도 군포시 산본천로183번길 6,경기도 군포시 산본동 251-4,매일,37.37016452,126.938529,146,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,http:산본전통시장.kr,Y,Y,1985,031-399-4248,20251110,군포시
군포역전시장,상설장,경기도 군포시 군포로538번길 18,경기도 군포시 당동 750-9,매일,37.35386933,126.9476622,60,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,Y,Y,1985,031-455-3366,20251110,군포시
역곡상상시장,상설장,경기도 부천시 원미구 부일로749번길 31,경기도 부천시 원미구 역곡동 84-7,매일,37.48757743,126.8118954,97,농산물+축산물+수산물+가공식품+의류,,,Y,Y,1984,032-343-8562,20251110,부천시
원종종합시장,상설장,경기도 부천시 오정구 삼작로 394,경기도 부천시 오정구 원종동 372-1,매일,37.51974201,126.8055478,51,농산물+축산물+수산물,,,Y,Y,1987,032-681-0985,20251110,부천시
강남시장,상설장,경기도 부천시 원미구 옥산로154번길 21,경기도 부천시 원미구 도당동 274-54,매일,37.50749709,126.7814665,113,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1985,032-676-8000,20251110,부천시
중동사랑시장(부천중동시장),상설장,경기도 부천시 원미구 부흥로200번길 25,경기도 부천시 원미구 중동 724,매일,37.49497098,126.764586,84,농산물+가공식품,,,Y,Y,1995,070-7377-1717,20251110,부천시
원미종합시장,상설장,경기도 부천시 원미구 조종로49번길 21-3,경기도 부천시 원미구 원미동 97-12,매일,37.49368572,126.79018,108,농산물+축산물+수산물+가공식품,,,Y,N,1985,032-655-6682,20251110,부천시
원종중앙시장,상설장,경기도 부천시 오정구 성오로124번길 47,경기도 부천시 오정구 원종동 209-5,매일,37.52507056,126.8023099,58,농산물+축산물,,,Y,Y,1991,032-678-2787,20251110,부천시
