기관명,분류,종별,주소,좌표X,좌표Y,전화번호,출처
영남,공원,어린이공원,경기도 시흥시 대야동 332-106,,,031-310-2694,경기데이터드림
85호,공원,수변공원,경기도 시흥시 거북섬로 26,126.6731033534,37.3274408727,031-310-3869,경기데이터드림
아름,공원,소공원,경기도 시흥시 배곧동 53,126.7376734179,37.3751420174,031-310-3870,경기데이터드림
소공원월동4,공원,소공원,경기도 시흥시 월곶동 1071-7,126.764795117,37.3781741832,031-310-3873,경기데이터드림
거모공원,공원,어린이공원,경기도 시흥시 군자로466번길 92,126.7843493091,37.3430747685,031-310-3871,경기데이터드림
은계소공원,공원,소공원,경기도 시흥시 대야동 648,126.7969647766,37.4487897309,031-310-2694,경기데이터드림
물왕소공원,공원,소공원,경기도 시흥시 산현동 493,126.8431399927,37.3773517232,031-310-3872,경기데이터드림
장현문화1,공원,문화공원,경기도 시흥시 장곡동 861,126.7803368811,37.3815457876,031-310-3873,경기데이터드림
놀자숲,공원,문화공원,경기도 시흥시 대야동 산171-1,,,031-310-2343,경기데이터드림
갈대너울,공원,소공원,경기도 시흥시 배곧동 301,126.7063436701,37.3567244486,031-310-3870,경기데이터드림
생매,공원,어린이공원,경기도 시흥시 대야동 570-3,126.7942191235,37.4468272121,031-310-2694,경기데이터드림
대야삼1,공원,어린이공원,경기도 시흥시 비둘기공원1길 6,126.7889027009,37.4419458795,031-310-2694,경기데이터드림
대야삼2,공원,어린이공원,경기도 시흥시 대야동 638-1,126.7914831244,37.4400406339,031-310-2694,경기데이터드림
대야이1,공원,수변공원,경기도 시흥시 은행로218번길 14,126.7921167781,37.4463637961,031-310-2694,경기데이터드림
MTV 60호,공원,수변공원,경기도 시흥시 정왕동 2726-6,126.6765466472,37.3219977908,031-310-3862,경기데이터드림
MTV88호,공원,문화공원,경기도 시흥시 거북섬둘레길 42,126.680791543,37.3241773184,1544-9662,경기데이터드림
장현2,공원,체육공원,경기도 시흥시 장현동 686,126.8024750736,37.3767894652,031-310-3472,경기데이터드림
선사유적공원,공원,역사공원,경기도 시흥시 능곡동 479,126.8115003294,37.3750817937,031-310-6739,경기데이터드림
능골공원,공원,근린공원,경기도 시흥시 능곡동 781,126.8083189326,37.3655520644,031-310-3871,경기데이터드림
목실공원,공원,어린이공원,경기도 시흥시 능곡동 495,126.8132251419,37.3737155983,031-310-3871,경기데이터드림
가래울공원,공원,어린이공원,경기도 시흥시 능곡동 793,126.8138107943,37.3650721711,031-310-3871,경기데이터드림
산들공원,공원,근린공원,경기도 시흥시 거모동 1352,126.7807844539,37.3470772801,031-310-3871,경기데이터드림
나래솔공원,공원,근린공원,경기도 시흥시 엠티브이26로 41,126.7041088449,37.3232187638,031-310-3862,경기데이터드림
하늬공원,공원,근린공원,경기도 시흥시 시화호수전원2길 58,126.7005168749,37.3170922681,031-310-3865,경기데이터드림
물비늘,공원,수변공원,경기도 시흥시 정왕동 2609-6,126.7095214881,37.3209722218,031-310-3865,경기데이터드림
승지공원,공원,근린공원,경기도 시흥시 능곡중앙로 85,126.8131849527,37.3713774904,031-310-3871,경기데이터드림
장현소공원2,공원,소공원,경기도 시흥시 장곡동 897-1,126.7876307344,37.3780664664,031-310-3869,경기데이터드림
86호,공원,수변공원,경기도 시흥시 거북섬로 180,126.6861726522,37.3202394137,031-310-3869,경기데이터드림
한울(3),공원,수변공원,경기도 시흥시 배곧동 309,126.7310449263,37.3859030341,031-310-3870,경기데이터드림
한울(2),공원,문화공원,경기도 시흥시 배곧동 307,126.701796762,37.3539939196,031-310-3870,경기데이터드림
죽율체육,공원,체육공원,경기도 시흥시 죽율동 769,126.7599599424,37.3491855533,031-310-3869,경기데이터드림
장현소공원3,공원,소공원,경기도 시흥시 장현동 675-2,126.8025164295,37.3782198895,031-310-3873,경기데이터드림
