ID,시군구코드,학교구분,학교코드,학교명,설립구분,설립형태,남학생수,여학생수,남교사수,여교사수,경도,위도,학교주소,홈페이지,학교알리미홈페이지,전화번호,조사일자,1학년학급수,1학년학생수,2학년학급수,2학년학생수,3학년학급수,3학년학생수,4학년학급수,4학년학생수,5학년학급수,5학년학생수,6학년학급수,6학년학생수,기타학급수,기타학생수,특수학급수,특수학생수,교사당학생수,졸업학생수,일반고_전문대,특성화고_일반대,특목고_국외진학,자율고_취업,기타,읍면동코드,중부원점X,중부원점Y,지번코드,학교급
1839,41390,고등학교,J100004834,시흥고등학교,공립,단설,,,68,,126.8140030000,37.3894960000,"경기도 시흥시 상직길 25, 시흥고등학교 (하상동)",www.siheung.hs.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100004834,031-317-2744,2023년 4월,11,341,11,338,11,301,0,0,0,0,0,0,2,8,0,0,14,,,,,,,41390120,183460.6182040200,431949.2159572000,4139012000103840000,고등학교
1854,41390,고등학교,J100004910,군서고등학교,공립,단설,,,67,,126.7425603000,37.3488650000,경기도 시흥시 군서마을로 100(정왕동),www.gunseo.hs.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100004910,031-363-1525,2023년 4월,11,356,11,345,11,324,0,0,0,0,0,0,2,16,0,0,15,,,,,,,41390132,177122.3113369100,427455.0703284300,4139013200118080001,고등학교
1821,41390,고등학교,J100000857,한국조리과학고등학교,사립,단설,,,34,,126.8330170000,37.4588120000,"경기도 시흥시 금오로 640(과림동,한국조리과학고등학교)",www.kcas.hs.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100000857,02-2610-4600,2023년 4월,6,215,6,218,6,207,0,0,0,0,0,0,0,0,0,0,18,,,,,,,41390112,185157.8666466100,439638.4444425900,4139011200100110001,고등학교
1823,41390,고등학교,J100000859,경기자동차과학고등학교,사립,단설,,,57,,126.8389099000,37.4135703000,"경기도 시흥시 금오로 103, 경기자동차과학고등학교 (무지내동,경기자동차과학고등학교)",www.ghas.hs.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100000859,031-310-9000,2023년 4월,8,191,8,192,8,171,0,0,0,0,0,0,0,0,0,0,9,,,,,,,41390134,185670.6009366900,434616.8066655600,4139013400103410002,고등학교
1824,41390,고등학교,J100000862,함현고등학교,공립,단설,,,62,,126.7384129000,37.3660809000,"경기도 시흥시 역전로 463, (정왕동,함현고등학교) (정왕동)",www.hamhyun.hs.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100000862,031-430-8226,2023년 4월,10,339,10,338,10,311,0,0,0,0,0,0,2,15,0,0,16,,,,,,,41390132,176760.1674772800,429366.6046877500,4139013200118780009,고등학교
1564,41390,고등학교,J100000499,군자디지털과학고등학교,공립,단설,,,62,,126.7854300000,37.3501600000,"경기도 시흥시 군자로487번길 54(거모동,군자디지털과학고등학교)",www.gunja.hs.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100000499,031-489-8114,2023년 4월,8,121,8,115,8,109,0,0,0,0,0,0,2,13,2,6,5,,,,,,,41390127,180920.6538911100,427589.2909866700,4139012700114180002,고등학교
1304,41390,고등학교,J100005665,시흥능곡고등학교,공립,단설,,,64,,126.8121470000,37.3739100000,"경기도 시흥시 승지로 107, 시흥능곡고등학교 (능곡동)",http://www.shng.hs.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100005665,031-8084-8102,2023년 4월,10,314,10,302,10,258,0,0,0,0,0,0,2,11,0,0,13,,,,,,,41390118,183292.8328007000,430219.8892982100,4139011800104850000,고등학교
1305,41390,고등학교,J100005666,시흥매화고등학교,공립,단설,,,48,,126.8158993000,37.4160587000,"경기도 시흥시 매화로 35(매화동, 시흥매화고등학교)",http://www.mh.hs.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100005666,031-365-8300,2023년 4월,8,194,8,214,8,176,0,0,0,0,0,0,1,6,0,0,12,,,,,,,41390108,183634.2823726500,434896.6855960700,4139010800101960000,고등학교
1307,41390,고등학교,J100005668,신천고등학교,공립,단설,,,61,,126.7784736000,37.4351486000,경기도 시흥시 포도원로 50(신천동),http://www.sch.hs.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100005668,070-7871-5800,2023년 4월,10,292,10,281,10,249,0,0,0,0,0,0,2,14,0,0,13,,,,,,,41390102,180326.5114791900,437022.3240338100,4139010200105340002,고등학교
1635,41390,고등학교,J100000607,서해고등학교,공립,단설,,,68,,126.7238020000,37.3605728000,"경기도 시흥시 정왕신길로 13(정왕동, 서해고등학교)",http://www.seohae.hs.kr/,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100000607,031-496-2969,2023년 4월,11,383,11,373,11,356,0,0,0,0,0,0,3,20,0,0,16,,,,,,,41390132,175464.2298730400,428759.0317069500,4139013200118860006,고등학교
