ID,시군구코드,학교구분,학교코드,학교명,설립구분,설립형태,남학생수,여학생수,남교사수,여교사수,경도,위도,학교주소,홈페이지,학교알리미홈페이지,전화번호,조사일자,1학년학급수,1학년학생수,2학년학급수,2학년학생수,3학년학급수,3학년학생수,4학년학급수,4학년학생수,5학년학급수,5학년학생수,6학년학급수,6학년학생수,기타학급수,기타학생수,특수학급수,특수학생수,교사당학생수,졸업학생수,일반고_전문대,특성화고_일반대,특목고_국외진학,자율고_취업,기타,읍면동코드,중부원점X,중부원점Y,지번코드,학교급
744,41390,중학교,J100005392,논곡중학교,공립,단설,,,18,,126.8571415000,37.3888406000,"경기도 시흥시 수인로2421번길 72(논곡동, 논곡중학교)",www.shnongok.ms.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100005392,070-7097-1390,2023년 4월,3,56,3,59,2,53,0,0,0,0,0,0,2,11,0,0,9,,,,,,,41390125,187280.2733279700,431869.8266010400,4139012500101600045,중학교
776,41390,중학교,J100005613,시흥능곡중학교,공립,단설,,,34,,126.8147590000,37.3648520000,경기도 시흥시 능곡로 117(능곡동),http://www.shngok.ms.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100005613,070-7096-7189,2023년 4월,6,163,7,194,6,158,0,0,0,0,0,0,1,6,0,0,15,,,,,,,41390118,183522.1917895000,429214.2250783100,4139011800107910000,중학교
777,41390,중학교,J100005614,응곡중학교,공립,단설,,,43,,126.7832226000,37.3809044000,"경기도 시흥시 장곡로54번길 14, 응곡중학교 (장곡동)",http://eunggok.ms.kr/,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100005614,031-317-7306,2023년 4월,8,228,8,229,8,220,0,0,0,0,0,0,0,0,1,4,15,,,,,,,41390130,180732.9282739200,431001.5815562000,4139013000103860007,중학교
778,41390,중학교,J100005615,시흥매화중학교,공립,단설,,,20,,126.8155811000,37.4132419000,"경기도 시흥시 매화로 71(매화동,시흥매화중학교)",http://shmaehwa.ms.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100005615,031-8042-2790,2023년 4월,4,85,3,76,4,85,0,0,0,0,0,0,1,6,0,0,12,,,,,,,41390108,183605.5054762900,434584.1452722300,4139010800102690000,중학교
734,41390,중학교,J100005353,월곶중학교,공립,단설,,,28,,126.7378750000,37.3927737000,"경기도 시흥시 월곶해안로 63(월곶동, 월곶중학교)",www.wolgot.ms.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100005353,070-7158-9000,2023년 4월,5,155,5,154,5,133,0,0,0,0,0,0,2,10,0,0,16,,,,,,,41390131,176720.7507696300,432328.9661340300,4139013100110100002,중학교
740,41390,중학교,J100005387,시화중학교,공립,단설,,,29,,126.7561038000,37.3409864000,경기도 시흥시 큰솔로52번길 23(정왕동),http://www.sihwa.ms.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100005387,070-7097-0700,2023년 4월,5,86,5,93,6,113,0,0,0,0,0,0,2,9,0,0,10,,,,,,,41390132,178319.9324501400,426577.5646604500,4139013200115520000,중학교
780,41390,중학교,J100005619,은계중학교,공립,단설,,,54,,126.8001535200,37.4471530000,"경기도 시흥시 대은로111번길 10(대야동, 은계중학교)",http://eungye.ms.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100005619,070-7097-0471,2023년 4월,10,302,10,306,10,297,0,0,0,0,0,0,1,2,0,0,16,,,,,,,41390113,182247.8551277600,438350.2344556500,4139010100106420244,중학교
1142,41390,중학교,J100002685,군자중학교,공립,단설,,,42,,126.7853286000,37.3509968000,경기도 시흥시 군자봉길 299(거모동),kunja.ms.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100002685,031-487-7341,2023년 4월,7,198,7,179,7,186,0,0,0,0,0,0,3,14,1,4,13,,,,,,,41390127,180911.8816636000,427682.1746132700,4139012700114180000,중학교
1144,41390,중학교,J100002687,대흥중학교,공립,단설,,,22,,126.7839878000,37.4475288000,"경기도 시흥시 서해안로 1587(대야동,대흥중학교)",www.daehung.ms.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100002687,070-7097-0916,2023년 4월,4,121,5,127,3,80,0,0,0,0,0,0,1,5,0,0,15,,,,,,,41390101,180817.6280837200,438395.0953640900,4139010100103770070,중학교
1149,41390,중학교,J100002692,서해중학교,공립,단설,,,49,,126.7260643000,37.3572065000,"경기도 시흥시 옥구천서로373번길 18, 서해중학교 (정왕동)",http://www.seohae.ms.kr/,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100002692,070-7097-1901,2023년 4월,7,200,9,246,10,270,0,0,0,0,0,0,1,6,0,0,14,,,,,,,41390132,175663.5422399000,428384.8744763900,4139013200118660004,중학교
1480,41390,중학교,J100007065,조남중학교,공립,단설,,,62,,126.8585510000,37.3780460000,"경기도 시흥시 목감둘레로 205, 조남중학교 (조남동)",http://www.jonam.ms.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100007065,031-490-4800,2023년 4월,14,412,11,325,10,305,0,0,0,0,0,0,1,4,0,0,16,,,,,,,41390124,187403.2851695500,430671.7110769400,4139012400107020000,중학교
1523,41390,중학교,J100007928,시화나래중학교,공립,단설,,,24,,126.7208350000,37.3084180000,"경기도 시흥시 거북섬남로 70(정왕동, 시화나래초중학교)",http://www.shnarae.ms.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100007928,0313643500,2023년 4월,3,63,2,46,2,32,0,0,0,0,0,0,4,13,0,0,6,,,,,,,41390132,175184.3081320900,422971.9755995500,,중학교
1525,41390,중학교,J100007941,배곧라라중학교,공립,단설,,,23,,126.7233011900,37.3696150900,경기도 시흥시 서울대학로 255배곧라라초중학교,http://baegotlaraj.ms.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100007941,031-503-7900,2023년 4월,9,265,2,48,1,9,0,0,0,0,0,0,1,1,0,0,14,,,,,,,41390132,175422.8088000800,429762.6262038800,4139013500101890000,중학교
1152,41390,중학교,J100002695,한국글로벌중학교,사립,단설,,,16,,126.8330260000,37.4589260000,"경기도 시흥시 금오로 640, 한국글로벌중학교 (과림동,한국조리과학고등학교)",www.koreaglobal.ms.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100002695,02-2617-5384,2023년 4월,2,57,2,61,2,40,0,0,0,0,0,0,1,3,0,0,10,,,,,,,41390112,185158.6852547000,439651.0943124600,4139011200100110001,중학교
1154,41390,중학교,J100002697,소래중학교,공립,단설,,,52,,126.7965130000,37.4371400000,"경기도 시흥시 은행로 60, 소래중학교 (은행동)",http://sorae.ms.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100002697,031-8042-5272,2023년 4월,10,309,10,299,9,270,0,0,0,0,0,0,1,5,0,0,17,,,,,,,41390106,181923.3472180700,437239.7221567500,4139010600101070000,중학교
1155,41390,중학교,J100002698,송운중학교,공립,단설,,,36,,126.7314078000,37.3594291000,"경기도 시흥시 옥구천동로 433-11(정왕동,송운중학교)",www.songun.ms.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100002698,031-506-1230,2023년 4월,7,195,5,124,6,163,0,0,0,0,0,0,2,7,0,0,13,,,,,,,41390132,176137.5960832700,428630.1664717500,4139013200118750004,중학교
1158,41390,중학교,J100002701,시흥은행중학교,공립,단설,,,62,,126.8020546000,37.4428489000,"경기도 시흥시 은행로144번길 36(은행동, 시흥은행중학교)",www.eunhaeng-sh.ms.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100002701,070-7097-0309,2023년 4월,11,336,11,336,12,367,0,0,0,0,0,0,2,7,0,0,16,,,,,,,41390106,182415.0569598800,437872.2278793700,4139010600105440000,중학교
1159,41390,중학교,J100002702,시흥중학교,공립,단설,,,39,,126.7325180000,37.3527830000,"경기도 시흥시 옥구천동로374번길 39(정왕동,시흥중학교)",www.siheung.ms.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100002702,031-503-2008,2023년 4월,8,224,6,170,7,198,0,0,0,0,0,0,2,12,0,0,15,,,,,,,41390132,176233.8506519300,427892.3402076800,4139013200118700004,중학교
1160,41390,중학교,J100002703,신천중학교,공립,단설,,,24,,126.7825010000,37.4340542000,"경기도 시흥시 포도원로 88-1(신천동, 신천중학교)",shshincheon.ms.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100002703,070-7097-0415,2023년 4월,3,84,3,63,4,88,0,0,0,0,0,0,3,15,0,0,10,,,,,,,41390102,180682.6275376900,436900.0421388900,4139010200102070001,중학교
1164,41390,중학교,J100002707,연성중학교,공립,단설,,,32,,126.8138620000,37.3925830000,"경기도 시흥시 하상로 14-7, 연성중학교 (하상동,연성중학교)",www.yeonseong.ms.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100002707,031-317-3032,2023년 4월,5,121,6,150,6,154,0,0,0,0,0,0,2,11,0,0,13,,,,,,,41390120,183448.8089772900,432291.8201184100,4139012000103700000,중학교
1168,41390,중학교,J100002711,장곡중학교,공립,단설,,,38,,126.7875985000,37.3799090000,경기도 시흥시 장곡로 10(장곡동),http://www.janggok.ms.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100002711,0314817499,2023년 4월,5,133,8,206,6,152,0,0,0,0,0,0,3,14,0,0,13,,,,,,,41390130,181120.1950090100,430890.2361446300,4139013000108260000,중학교
1169,41390,중학교,J100002712,정왕중학교,공립,단설,,,41,,126.7424592000,37.3402366000,"경기도 시흥시 정왕대로298번길 28(정왕동,정왕중학교)",www.jeongwang.ms.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100002712,070-7097-0520,2023년 4월,7,200,8,221,7,202,0,0,0,0,0,0,2,8,0,0,15,,,,,,,41390132,177110.7435643000,426497.5651378200,4139013200117870003,중학교
1171,41390,중학교,J100002714,함현중학교,공립,단설,,,36,,126.7367760000,37.3636470000,"경기도 시흥시 역전로 435(정왕동, 함현중학교)",hamhyun.ms.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100002714,031-433-0073,2023년 4월,6,155,7,187,7,201,0,0,0,0,0,0,1,5,0,0,15,,,,,,,41390132,176614.4272415500,429096.9066732500,4139013200118770004,중학교
1496,41390,중학교,J100007324,배곧해솔중학교,공립,단설,,,80,,126.7179750000,37.3607620000,경기도 시흥시 서울대학로 150-23(정왕동),http://bg-haesol.ms.kr/,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100007324,031-8063-1800,2023년 4월,14,427,17,518,13,386,0,0,0,0,0,0,1,5,0,0,16,,,,,,,41390135,174948.1326393900,428781.5539308300,4139013500102630000,중학교
1444,41390,중학교,J100006119,배곧중학교,공립,단설,,,78,,126.7308364000,37.3748761000,"경기도 시흥시 배곧4로 72, 배곧중학교 (정왕동)",http://www.baegot.ms.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100006119,031-8099-9920,2023년 4월,12,365,14,449,16,487,0,0,0,0,0,0,2,13,0,0,16,,,,,,,41390132,176091.8679027800,430344.5357217100,4139013500101480000,중학교
1445,41390,중학교,J100006148,시흥가온중학교,공립,단설,,,57,,126.7939400000,37.3731600000,"경기도 시흥시 장현순환로 100(장현동, 시흥가온중학교)",http://www.gaon21.ms.kr,http://www.schoolinfo.go.kr/ei/ss/Pneiss_c01_s0.do?HG_CD=J100006148,031-365-8200,2023년 4월,12,341,10,279,9,255,0,0,0,0,0,0,2,7,0,0,15,,,,,,,41390129,181680.1496513500,430140.0230518100,4139012900105950000,중학교
