기관명,분류,종별,주소,좌표X,좌표Y,전화번호,출처
안양지구축산업협동조함,소형마트,슈퍼마켓,경기 시흥시 박달로 17,126.85689814,37.40002501,031-403-8882,카카오맵
소래농협 과림지점,소형마트,슈퍼마켓,경기 시흥시 금오로575번길 7,126.83288175,37.45232994,031-2619-8696,카카오맵
진로마트 목감점,소형마트,슈퍼마켓,경기 시흥시 조남길 19,126.86018156,37.38285275,031-411-0988,카카오맵
엘마트 시흥점,소형마트,슈퍼마켓,경기 시흥시 은행로 70,126.79638813,37.43823402,031-404-6750,카카오맵
예당마트,소형마트,슈퍼마켓,경기 시흥시 큰솔로 68-2,126.75443969,37.34292364,,카카오맵
하모니마트 정왕점,소형마트,슈퍼마켓,경기 시흥시 정왕시장길 52,126.74908572,37.34569838,031-319-8908,카카오맵
미산할인마트,소형마트,슈퍼마켓,경기 시흥시 미산로 143,126.7921921,37.41796828,,카카오맵
하모니마트 시화점,소형마트,슈퍼마켓,경기 시흥시 큰솔로12번안길 18,126.7528158,37.3398027,031-499-8289,카카오맵
서울DC마트,소형마트,슈퍼마켓,경기 시흥시 수인로3247번길 4,126.79745748,37.43808449,031-312-8370,카카오맵
자연들마트,소형마트,슈퍼마켓,경기 시흥시 오이도중앙로36번길 6,126.68937133,37.34552062,,카카오맵
현대할인마트,소형마트,슈퍼마켓,경기 시흥시 신흥마을1길 10,126.77838492,37.43882874,031-312-7740,카카오맵
원마트,소형마트,슈퍼마켓,경기 시흥시 진말로9번길 11,126.7841955,37.37809644,,카카오맵
그린할인마트,소형마트,슈퍼마켓,경기 시흥시 봉우재로23번안길 12,126.74159022,37.34621205,,카카오맵
마트앤마트,소형마트,슈퍼마켓,경기 시흥시 협력로 281,126.71479809,37.35207204,,카카오맵
과림할인마트,소형마트,슈퍼마켓,경기 시흥시 금오로 123,126.83979345,37.41490683,031-317-0102,카카오맵
신천홈마트,소형마트,슈퍼마켓,경기 시흥시 신천로 46,126.7886465,37.43510653,031-312-2002,카카오맵
리빙아울렛,소형마트,슈퍼마켓,경기 시흥시 삼미시장1길 19,126.78390767,37.44059414,,카카오맵
다원에프지 시흥지점,소형마트,슈퍼마켓,경기 시흥시 함송로 24,126.7302523,37.36329542,,카카오맵
홈마트 신천점,소형마트,슈퍼마켓,경기 시흥시 시흥대로 1110,126.79356078,37.43665324,031-311-3334,카카오맵
애니타임 365,소형마트,슈퍼마켓,경기 시흥시 정왕대로233번길 34,126.74188349,37.34757865,,카카오맵
세계로마트 시흥점,소형마트,슈퍼마켓,경기 시흥시 수인로3312번길 16,126.7894807,37.44144575,031-404-9777,카카오맵
큐엔씨마트,소형마트,슈퍼마켓,경기 시흥시 솔고개길 36-11,126.86278604,37.38556698,031-403-1425,카카오맵
그린마트 거모점,소형마트,슈퍼마켓,경기 시흥시 도일로 133,126.78419443,37.34219957,031-493-8100,카카오맵
월드마트,소형마트,슈퍼마켓,경기 시흥시 서울대학로264번길 22,126.7264879,37.3678847,031-434-9552,카카오맵
킹마트 능곡점,소형마트,슈퍼마켓,경기 시흥시 승지로 49,126.80959632,37.3685874,,카카오맵
최고마트,소형마트,슈퍼마켓,경기 시흥시 서해안로 1597,126.78581054,37.44774444,031-313-0456,카카오맵
B마트,소형마트,슈퍼마켓,경기 시흥시 서울대학로264번길 26-12,126.72598181,37.36735823,,카카오맵
아울렛마트,소형마트,슈퍼마켓,경기 시흥시 옥구상가3길 25,126.722587,37.35422779,,카카오맵
농민마트,소형마트,슈퍼마켓,경기 시흥시 월곶중앙로 90,126.73574776,37.39024929,031-315-8253,카카오맵
모노마트 시흥점,소형마트,슈퍼마켓,경기 시흥시 복지로 126,126.79248207,37.45001698,031-404-7906,카카오맵
하모니마트 연성점,소형마트,슈퍼마켓,경기 시흥시 시청로68번길 1,126.79992339,37.38062172,,카카오맵
시화호수마트,소형마트,슈퍼마켓,경기 시흥시 시화호수전원2길 45-4,126.70024184,37.3185133,,카카오맵
엠티브이마트,소형마트,슈퍼마켓,경기 시흥시 시화호수전원2길 45-2,126.7000598,37.31833173,,카카오맵
프라임마트,소형마트,슈퍼마켓,경기 시흥시 삼미시장2길 44,126.78458336,37.4398205,031-317-7111,카카오맵
홈마트,소형마트,슈퍼마켓,경기 시흥시 큰솔로8번안길 33-1,126.75466874,37.34016246,,카카오맵
월곶리퍼반품마트,소형마트,슈퍼마켓,경기 시흥시 월곶해안로 143,126.73590539,37.38780878,031-318-0771,카카오맵
24시 플러스마트,소형마트,슈퍼마켓,경기 시흥시 정왕신길로229번길 14,126.7434126,37.34927951,,카카오맵
케이마트,소형마트,슈퍼마켓,경기 시흥시 매화로 46,126.81449183,37.41557533,,카카오맵
홈마트 시흥장곡점,소형마트,슈퍼마켓,경기 시흥시 장현장곡로 15,126.78968153,37.37933531,031-311-3855,카카오맵
오이도직판장마트,소형마트,슈퍼마켓,경기 시흥시 오이도로 173,126.68808579,37.34527036,031-431-4454,카카오맵
두산할인마트 거모점,소형마트,슈퍼마켓,경기 시흥시 군자로 498,126.78440131,37.34562745,031-494-9044,카카오맵
세일마트,소형마트,슈퍼마켓,경기 시흥시 새재로 25,126.80262129,37.38172911,031-317-9724,카카오맵
하모니마트 유천점,소형마트,슈퍼마켓,경기 시흥시 중심상가로 345,126.75028053,37.33592115,031-432-5566,카카오맵
행복한아시안마트,소형마트,슈퍼마켓,경기 시흥시 큰솔로7번안길 13-2,126.75099472,37.34039716,010-7677-1966,카카오맵
방배마트,소형마트,슈퍼마켓,경기 시흥시 봉우재로 58-1,126.74640685,37.34760285,,카카오맵
대호마트,소형마트,슈퍼마켓,경기 시흥시 관곡지로 222-1,126.81233952,37.39489625,031-503-5989,카카오맵
하모니마트 정왕역점,소형마트,슈퍼마켓,경기 시흥시 오동마을로 14,126.74313577,37.35268659,,카카오맵
포동할인마트,소형마트,슈퍼마켓,경기 시흥시 신현로14번길 11,126.78639243,37.40762507,031-315-5319,카카오맵
선창마트,소형마트,슈퍼마켓,경기 시흥시 오이도로 179,126.68780705,37.34499391,,카카오맵
아리랑마트,소형마트,슈퍼마켓,경기 시흥시 봉우재로 23-1,126.74357963,37.34529914,031-503-2668,카카오맵
한라마트,소형마트,슈퍼마켓,경기 시흥시 배곧1로 27-15,126.71291622,37.3625428,031-433-2200,카카오맵
