기관명,분류,종별,주소,좌표X,좌표Y,전화번호,출처
시흥식자재마트 시화점,식자재마트,슈퍼마켓,경기 시흥시 평안상가4길 21,126.75013654,37.33783103,,카카오맵
식자재왕도매마트 시화점,식자재마트,슈퍼마켓,경기 시흥시 옥구공원로 183,126.73201087,37.3449275,1833-6222,카카오맵
대진식자재마트 기반영,식자재마트,슈퍼마켓,경기 시흥시 함송로13번길 27,126.73213791,37.36507652,031-433-9888,카카오맵
에이스식자재마트 정왕점,식자재마트,슈퍼마켓,경기 시흥시 정왕대로 64,126.72352374,37.35425161,031-432-0988,카카오맵
비엘식자재마트 정왕점,식자재마트,슈퍼마켓,경기 시흥시 정왕대로 64,126.72352374,37.35425161,031-432-0988,카카오맵
웰빙식자재마트 시흥점,식자재마트,슈퍼마켓,경기 시흥시 은계번영길 9,126.8016343,37.43747167,031-404-9198,카카오맵
시흥식자재마트,식자재마트,슈퍼마켓,경기 시흥시 은행로 70,126.79638813,37.43823402,031-404-6750,카카오맵
슈퍼맨식자재마트 신천점,식자재마트,슈퍼마켓,경기 시흥시 신천로 46,126.78861353,37.43517855,031-315-9661,카카오맵
베스트마트 식자재 정왕점,식자재마트,슈퍼마켓,경기 시흥시 정왕대로 64,126.72352148,37.35425161,031-431-0988,카카오맵
진로식자재마트 매화점,식자재마트,슈퍼마켓,경기 시흥시 매화2로 46,126.81014814,37.41658389,031-314-1110,카카오맵
이지식자재마트,식자재마트,식품판매,경기 시흥시 호현로 176-13,126.78889787,37.45503017,,카카오맵
THE바른식자재마트,식자재마트,슈퍼마켓,경기 시흥시 은계번영길 9,126.80163544,37.43747077,031-404-9196,카카오맵
중랑식자재마트,식자재마트,슈퍼마켓,경기 시흥시 서해안로1685번길 91,126.7968153,37.45785701,,카카오맵
보보스식자재마트,식자재마트,식품판매,경기 시흥시 평안상가1길 1,126.74832302,37.33887058,,카카오맵
한솔식자재마트,식자재마트,식품판매,경기 시흥시 시흥대로 920-1,126.78985189,37.41861468,,카카오맵
