검색카테고리,id,place_name,category_name,세부분류,category_group_code,phone,address_name,road_address_name,x,y,place_url,법정동코드,법정동명,법정동_시도,법정동_시군구,법정동_읍면동,법정동_리,행정동코드,행정동명,행정동_시도,행정동_시군구,행정동_읍면동
병원,13524090,경기시흥내과의원,"의료,건강 > 병원 > 내과",내과,HP8,031-507-3111,경기 시흥시 대야동 532-6,경기 시흥시 비둘기공원로 8,126.7904429,37.4440658,http://place.map.kakao.com/13524090,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동
병원,455720152,굿이브닝치과의원,"의료,건강 > 병원 > 치과",치과,HP8,031-506-2875,경기 시흥시 대야동 650,경기 시흥시 은계중앙로 374,126.7950868,37.45092885,http://place.map.kakao.com/455720152,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동
병원,9682801,김창규치과의원,"의료,건강 > 병원 > 치과",치과,HP8,031-316-2878,경기 시흥시 대야동 543-1,경기 시흥시 비둘기공원7길 33,126.79269463921413,37.443017388167696,http://place.map.kakao.com/9682801,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동
병원,1246256855,라치과의원,"의료,건강 > 병원 > 치과",치과,HP8,031-317-7582,경기 시흥시 대야동 532-6,경기 시흥시 비둘기공원로 8,126.7904633,37.44405863,http://place.map.kakao.com/1246256855,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동
병원,14507684,미소의원,"의료,건강 > 병원 > 피부과",피부과,HP8,031-314-7585,경기 시흥시 대야동 469-6,경기 시흥시 복지로 55,126.7894568,37.44434156,http://place.map.kakao.com/14507684,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동
병원,10392215,밝은안과의원,"의료,건강 > 병원 > 안과",기타,HP8,031-312-8810,경기 시흥시 대야동 573-3,경기 시흥시 대은로 79,126.7970772,37.44458555,http://place.map.kakao.com/10392215,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동
병원,1715045899,벧엘한방병원,"의료,건강 > 병원 > 한방병원",기타,HP8,031-503-3333,경기 시흥시 대야동 650,경기 시흥시 은계중앙로 374,126.79508681942835,37.45092884725283,http://place.map.kakao.com/1715045899,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동
병원,15106495,비타민치과의원,"의료,건강 > 병원 > 치과",치과,HP8,031-315-2888,경기 시흥시 대야동 568-2,경기 시흥시 복지로 96,126.7918127,37.44727583,http://place.map.kakao.com/15106495,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동
병원,2040650016,삼성본어스병원,"의료,건강 > 병원 > 정형외과",정형외과,HP8,1522-5211,경기 시흥시 대야동 650-1,경기 시흥시 은계중앙로306번길 82,126.7947981,37.45112747,http://place.map.kakao.com/2040650016,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동
병원,17110602,삼성필의원,"의료,건강 > 병원 > 피부과",피부과,HP8,031-316-7800,경기 시흥시 대야동 568-2,경기 시흥시 복지로 96,126.7918354,37.44725424,http://place.map.kakao.com/17110602,4139010100,경기도 시흥시 대야동,경기도,시흥시,대야동,,4139051000,경기도 시흥시 대야동,경기도,시흥시,대야동
