기관명,분류,종별,주소,좌표X,좌표Y,전화번호,출처
365능곡온누리약국,약국,약국,"경기도 시흥시 능곡번영길 30, 센텀시티 121호 (능곡동)",126.8066452,37.3702036,031-435-7897,경기데이터드림
365보건약국,약국,약국,"경기도 시흥시 정왕천로411번길 48, 102호 (정왕동)",126.74772,37.3470298,031-504-1611,경기데이터드림
365봄날약국,약국,약국,"경기도 시흥시 은행고길 28, 1층 101,102호 (은행동)",126.7993364,37.4407643,031-8042-3034,경기데이터드림
365조은약국,약국,약국,"경기도 시흥시 목감중앙로 47, 골든프라자 101호 (조남동)",126.854796,37.3735227,031-403-1178,경기데이터드림
365해피약국,약국,약국,"경기도 시흥시 산현마을길 56, 청담빌딩 1동 1층 101호 (산현동)",126.8455203,37.3764823,031-411-3655,경기데이터드림
365햇살약국,약국,약국,"경기도 시흥시 황고개로 530, 107호 (장곡동)",126.7892564,37.3782036,,경기데이터드림
365행복약국,약국,약국,"경기도 시흥시 마유로418번길 18, 108호 (정왕동, 정왕프라자)",126.742925,37.3511996,031-431-4691,경기데이터드림
3층신동아약국,약국,약국,"경기도 시흥시 정왕대로 230, 3층 306호 (정왕동)",126.738494,37.3449788,031-434-4588,경기데이터드림
거모보룡약국,약국,약국,경기도 시흥시 군자로 520 (거모동),,,031-491-8306,경기데이터드림
거북섬약국,약국,약국,"경기도 시흥시 거북섬로 207, 돌핀프라자 106호 (정왕동)",126.6875568,37.3227096,031-433-7493,경기데이터드림
건강당약국,약국,약국,"경기도 시흥시 진말로9번길 2, 108호 (장곡동, 부석프라자)",126.7852668,37.378468,031-503-0771,경기데이터드림
건강약국,약국,약국,"경기도 시흥시 중심상가4길 18, 18호 (정왕동, 이송빌딩)",126.737569,37.343792,031-433-3923,경기데이터드림
건강을주는약국,약국,약국,"경기도 시흥시 도일로135번길 4, 104호 (거모동, 빅타운)",126.7846021,37.3425985,031-494-3554,경기데이터드림
건강플러스약국,약국,약국,"경기도 시흥시 희망공원로 269, 홈플러스시화점 2층 (정왕동)",126.7252373,37.3452082,031-496-9736,경기데이터드림
공룡약국,약국,약국,"경기도 시흥시 서울대학로278번길 19-13, A동 209호 (배곧동, 시흥배곧 C1 호반 써밋플레이스)",126.7270163,37.3709989,031-8042-5076,경기데이터드림
관곡지약국,약국,약국,"경기도 시흥시 관곡지로40번길 22, 102호 (하중동)",126.8006166,37.399156,031-435-3445,경기데이터드림
광성약국,약국,약국,"경기도 시흥시 역전로 292, 1층 101호 (정왕동)",126.7398335,37.3520992,031-495-7373,경기데이터드림
굿모닝약국,약국,약국,"경기도 시흥시 정왕대로 220 (정왕동, 우리메디칼센타 305호)",126.7376872,37.3454964,031-319-8286,경기데이터드림
굿모닝온누리약국,약국,약국,"경기도 시흥시 승지로60번길 25, 102~103호 (능곡동, 센타프라자)",126.8122671,37.367992,031-317-7571,경기데이터드림
그린약국,약국,약국,"경기도 시흥시 대은로 83, 2층 203-1호 (대야동, 루비프라자)",126.7975226,37.4449448,031-435-2250,경기데이터드림
나나약국,약국,약국,"경기도 시흥시 장현장곡로 2, 110호 (장곡동)",126.7893068,37.3788529,031-311-8840,경기데이터드림
녹십자약국,약국,약국,경기도 시흥시 도일로 123 (거모동),126.7837541,37.3415478,031-494-4930,경기데이터드림
뉴스퀘어약국,약국,약국,"경기도 시흥시 수도권제1순환고속도로 105, 2층 (조남동)",126.8554983,37.3838382,070-4146-6666,경기데이터드림
느티나무약국,약국,약국,경기도 시흥시  대은로  100 (대야동),,,031-318-0008,경기데이터드림
늘좋은약국,약국,약국,"경기도 시흥시 시흥대로 1121, 106호 (신천동, 휴먼프라자)",126.7911786,37.4355599,031-313-5007,경기데이터드림
늘편한약국,약국,약국,"경기도 시흥시 봉우재로 11-1, 1층 (정왕동, 양지빌딩)",126.7428224,37.3445468,031-431-1438,경기데이터드림
늘푸른온누리약국,약국,약국,"경기도 시흥시 복지로 75, 1층 (대야동)",126.7904349,37.4460833,031-313-3332,경기데이터드림
능곡프라자약국,약국,약국,"경기도 시흥시 능곡로 188, 효창프라자 109호 (능곡동)",126.8103662,37.3683865,031-317-8101,경기데이터드림
다나약국,약국,약국,"경기도 시흥시 비둘기공원6길 4, 성원상떼빌 센트럴 오피스텔 101,102호 (대야동)",126.7915216,37.4435389,,경기데이터드림
다솜약국,약국,약국,"경기도 시흥시 진말로9번길 2, 202호 (장곡동, 부석프라자)",126.7852668,37.378468,031-318-7533,경기데이터드림
다인약국,약국,약국,"경기도 시흥시 월곶중앙로58번길 5-6, 213호 (월곶동, 시흥 월곶역 블루밍더마크)",,,,경기데이터드림
다함 한약국,약국,약국,"경기도 시흥시 목감우회로 45, 405호 (목감동, 한울플러스)",126.8609131,37.3820288,031-411-5475,경기데이터드림
대야약국,약국,약국,"경기도 시흥시 은계로 353, 105호 (대야동)",126.7945103,37.450308,031-312-8255,경기데이터드림
대우약국,약국,약국,경기도 시흥시 수인로2421번길 109 (논곡동),126.8604952,37.3873446,031-405-6169,경기데이터드림
대학약국,약국,약국,"경기도 시흥시 서울대학로264번길 26-12, 배곧에토스 105호 (배곧동)",126.7260372,37.367369,031-431-4558,경기데이터드림
대한약국,약국,약국,"경기도 시흥시 삼미시장2길 13, 101호 (신천동, 월드아트빌)",126.7816868,37.441136,031-318-0916,경기데이터드림
대홍약국,약국,약국,"경기도 시흥시 삼미시장1길 37, 1층 107호 (신천동)",126.7825475,37.44097,031-311-4544,경기데이터드림
더나은약국,약국,약국,"경기도 시흥시 목감남서로 9-33, 더클래스투 104-1호 (조남동)",126.8533203,37.3783369,031-503-3177,경기데이터드림
더아름다운약국,약국,약국,"경기도 시흥시 수인로 3362, 태종빌딩 1층 102호 (신천동)",126.7854898,37.4406453,031-314-2100,경기데이터드림
더튼튼약국,약국,약국,"경기도 시흥시 배곧4로 103, 대경프라자 108호 (정왕동)",126.7345653,37.3738692,031-434-8106,경기데이터드림
도담약국,약국,약국,"경기도 시흥시 장현순환로 1, 메인프라자 104호 (장현동)",126.7937061,37.380673,,경기데이터드림
돌고래약국,약국,약국,"경기도 시흥시 배곧4로 32-9, 골든프라자 108호 (정왕동)",126.7271721,37.3767326,031-431-2018,경기데이터드림
동안약국,약국,약국,"경기도 시흥시 월곶중앙로30번길 4, 104호 (월곶동)",126.7423886,37.3877015,031-435-0545,경기데이터드림
동의세란약국,약국,약국,"경기도 시흥시 봉우재로 10 (정왕동, 세란약국)",126.7430974,37.344143,031-319-2539,경기데이터드림
드림약국,약국,약국,"경기도 시흥시 서울대학로264번길 44-4, 107호 (정왕동)",126.7282075,37.3671759,031-498-5955,경기데이터드림
든든약국,약국,약국,"경기도 시흥시 함송로 16, 1층 104호 (정왕동)",126.729575,37.3637596,031-496-9489,경기데이터드림
따뜻한 온누리 약국,약국,약국,"경기도 시흥시 은계번영길 19, 은계 디스퀘어큐브 1층 104호 (은행동)",126.8030427,37.4372709,070-4107-9329,경기데이터드림
